Title     : ADVANCED HEALTH VOCABULARY ❤️  | Words & phrases you need to know
Video ID  : PXuIa2LLkUo
URL       : https://www.youtube.com/watch?v=PXuIa2LLkUo
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1195
Saved at  : 2026-06-05 10:01:17
------------------------------------------------------------

[00:00.28]  This is an incredibly important topic
[00:03.92]  because we're talking about health. This
[00:06.16]  is something that we discuss all the
[00:08.24]  time with friends, colleagues, family
[00:10.80]  members, and I I really want to go deep
[00:13.60]  and talk about some advanced vocabulary
[00:16.56]  when it comes to both physical and
[00:18.64]  mental health. We're going to look at
[00:20.00]  some idioms, individual words, useful
[00:22.12]  phrases. And before we begin, if you are
[00:26.56]  interested, if you're someone who likes
[00:28.00]  building your vocabulary, practicing,
[00:29.76]  and improving your speaking skills,
[00:31.44]  check out the link in the description if
[00:33.20]  you would like to join my speaking
[00:35.04]  course. It's for upper intermediate to
[00:37.04]  advanced speakers. And the course is all
[00:39.20]  about helping you speak confidently,
[00:41.12]  speak clearly, and speak naturally. So,
[00:44.24]  click on that link down below if you'd
[00:45.84]  like to learn more or join the course.
[00:48.16]  And yeah, I hope to speak to you soon.
[00:51.32]  So, let's go ahead and get going because
[00:54.16]  I I there's a lot that I want to cover.
[00:56.16]  I actually have quite a few words and
[00:59.12]  phrases that I want to go over. And
[01:00.64]  we're going to start with some idioms.
[01:02.00]  Idioms that are related to health in one
[01:04.72]  way or another. Of course, I want you to
[01:07.28]  participate and write your answers in
[01:09.28]  the comments in the chat because after
[01:11.52]  all, this this is interactive English.
[01:13.52]  This is what this is what you're
[01:14.80]  supposed to do. This is my expectation.
[01:17.16]  So, I'm giving you part of the idiom.
[01:22.24]  Uh, it's not good to keep things m up.
[01:26.00]  If you're having problems, you should
[01:27.92]  talk about them. So, there's one word
[01:30.80]  missing. You can see that the part of
[01:33.84]  the idiom is up. It's not good to keep
[01:36.32]  things m up. If you're having problems,
[01:39.52]  you should talk about them. So, what
[01:42.00]  what phrase are we talking about that
[01:45.60]  would fit this context? And yeah, this
[01:48.96]  is one that I feel like you would often
[01:51.60]  use. It is an idiom. So, I think it is a
[01:54.08]  little more uh often used in casual
[01:56.76]  conversation, but still one that I think
[01:59.60]  is useful. One that you can use in
[02:02.16]  casual conversation, especially if
[02:04.00]  somebody is going through a tough time
[02:06.80]  and they're, I don't know, they're
[02:08.80]  keeping things in their anger, their
[02:11.44]  frustration, and you say, "Hey, it's not
[02:14.72]  good to keep things bottled up." I saw a
[02:17.84]  couple answers. Perfect. Excellent. Well
[02:19.92]  done. If you're having problems, you
[02:22.16]  should talk about them. So, in this
[02:23.92]  case, we're talking about to bottle
[02:26.24]  something up. And that means to suppress
[02:29.20]  or hide emotions. This is something
[02:31.68]  that, to be perfectly honest, we can all
[02:34.56]  relate to this. I I think at one point
[02:37.04]  or another, something's happened. We've
[02:39.04]  had some emotional distress and we just
[02:42.00]  bottle things up. It's not a good thing.
[02:44.40]  It happens. And that's why I said I feel
[02:46.48]  like this is one that you could
[02:47.76]  certainly use in conversation. and
[02:49.60]  you're talking to someone and you're
[02:51.44]  talking about yourself and yeah, I just
[02:53.04]  bottled things up or talking to someone
[02:55.52]  else. Hey, don't you shouldn't bottle
[02:57.04]  things up. Here are a couple example
[02:58.80]  sentence sentences. I just want to give
[03:00.88]  you a little more context so that it it
[03:03.36]  has you have a better understanding,
[03:04.72]  especially if this is new. If you keep
[03:07.04]  bottling up your anger, it might
[03:09.12]  eventually explode at the wrong time. I
[03:12.00]  think that's true. And the next
[03:13.76]  sentence, it's healthier to talk about
[03:15.68]  your problems than to bottle them up.
[03:18.72]  So, to bottle something up, very good
[03:21.92]  phrase. All right, let's keep going. I
[03:24.96]  saw some uh great answers in there,
[03:27.28]  especially All right, from our members,
[03:28.88]  Lai Kevin, uh good to see you. How about
[03:32.32]  uh what do you think about this one?
[03:34.80]  After crying for a while, she
[03:38.60]  m together and face the situation. So I
[03:43.44]  gave you two of the the mm to indicate
[03:47.04]  that there are two missing words and the
[03:51.12]  final word in this idiom this phrase is
[03:55.00]  together. Think about the context. After
[03:58.08]  crying for a while she m together and
[04:01.68]  faced the situation.
[04:04.84]  So, this is another one that I feel like
[04:08.56]  is often
[04:10.12]  used because we're in these situations
[04:13.60]  where there whether you're you're
[04:16.08]  crying, uh you're sad, you're really
[04:18.64]  angry, there's a lot of emotion. And I'm
[04:21.20]  kind of giving you a hint. That is a key
[04:23.04]  word when thinking about this phrase,
[04:26.44]  emotion. And I see some people like put
[04:29.92]  yourself, not put yourself together.
[04:31.68]  You're close. You're on the right track.
[04:34.72]  So, in this case, we're talking about
