Title     : ADVANCED PHARMACY VOCABULARY 💊  | Words & phrases you should know
Video ID  : b_4j7MsJLKg
URL       : https://www.youtube.com/watch?v=b_4j7MsJLKg
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 752
Saved at  : 2026-06-05 10:12:36
------------------------------------------------------------

[00:00.00]  hello and welcome to today's lesson I
[00:04.56]  have a vocabulary lesson for you and
[00:07.80]  this I think this is a very important
[00:09.90]  lesson and I know I say that often but
[00:12.84]  this time I really mean it because we're
[00:15.60]  going to talk about something that is a
[00:18.06]  part of our everyday lives and that is
[00:20.70]  just going to the pharmacy this is
[00:22.74]  something that we have to do from time
[00:24.60]  to time so that's why I think it's very
[00:28.08]  important that we're able to express our
[00:30.90]  thoughts and opinions when we are there
[00:33.96]  and this vocabulary that I'm going to go
[00:36.90]  over with you today I think is very
[00:39.06]  useful and I would say that it is more
[00:42.48]  advanced vocabulary but because we
[00:45.90]  people go to the pharmacy often I think
[00:48.78]  some of these words you've probably
[00:50.58]  heard of which is great because I like
[00:53.28]  again they're very important but again
[00:56.04]  it's good to get a little bit of a
[00:57.36]  reminder if you already know some of
[00:59.16]  them and I as always I really hope that
[01:02.70]  you learned something new and as we go
[01:04.92]  through this it's going to get a little
[01:06.78]  more difficult so some of the more
[01:08.46]  difficult words I've saved uh until the
[01:11.64]  very end so let's go ahead and begin I'm
[01:14.64]  going to present this to you as well a
[01:17.46]  little bit of a quiz to test your
[01:19.20]  knowledge so that you can participate in
[01:21.42]  the lesson I want you to write your
[01:23.22]  answers in the chat or uh write your
[01:26.88]  answers in the comments even if you're
[01:29.04]  watching this later I just want you guys
[01:30.84]  you know it's interactive English I want
[01:33.00]  you to participate so the first question
[01:36.54]  uh I wanted to start out with something
[01:39.12]  well probably
[01:41.34]  one of the most important words so this
[01:44.88]  is referring to a piece of paper on
[01:48.42]  which a doctor writes the details of a
[01:52.02]  medicine or drugs that someone needs
[01:55.16]  what do you call that piece of paper and
[01:59.70]  this is an important word again if you
[02:01.68]  go to the doctor they may give you this
[02:03.60]  and then you're going to take it to the
[02:05.58]  pharmacy in which case then they will
[02:08.22]  give you the the drugs or the medicine
[02:10.86]  that you need all right so excellent uh
[02:13.74]  great Lolly great to see you perfect uh
[02:17.34]  Takaya good to see you Muffin Oleg so
[02:20.52]  the answer I'll try to give some shout
[02:22.44]  outs as we go through this is a
[02:24.60]  prescription so if you go to a pharmacy
[02:27.84]  or even a doctor this is a must know
[02:31.02]  word very important but just based on
[02:34.20]  the the chat it seems like this is a
[02:36.18]  word that many of you are familiar with
[02:37.68]  that's wonderful we're talking about a
[02:40.08]  prescription one thing thing that I want
[02:42.18]  to point out very quickly is just the
[02:44.46]  pronunciation has three syllables the
[02:47.10]  stress is on that second syllable
[02:50.60]  prescription prescription so again you
[02:54.48]  want to make sure that you are
[02:55.92]  pronouncing this word correctly if you
[02:58.20]  go to a pharmacy and you tell them okay
[03:00.48]  here is my prescription
[03:02.42]  and they will give you the medicine that
[03:05.22]  you need the next one
[03:07.56]  okay let's keep uh let's keep moving
[03:11.04]  right along all right so this is talking
[03:16.26]  about uh a medicine or chemical that can
[03:21.90]  destroy harmful bacteria in the body
[03:26.48]  or limit their growth
[03:30.30]  all right what what would you call this
[03:33.42]  okay what are what are we talking about
[03:35.22]  here
[03:37.20]  so again this is a word that I think is
[03:42.78]  very important Anonymous started that's
[03:45.00]  why I said these are must know words a
[03:47.64]  medicine or chemical that can be uh that
