Title     : ADVERB VOCABULARY QUIZ  | Advanced English Words
Video ID  : zTCZGBnbE0I
URL       : https://www.youtube.com/watch?v=zTCZGBnbE0I
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 764
Saved at  : 2026-06-05 10:37:39
------------------------------------------------------------

[00:03.00]  what is up everyone I hope that you are
[00:07.08]  feeling super smart today because I have
[00:11.00]  an adverb vocabulary quiz for you that
[00:13.84]  is what we are going to do in today's
[00:16.24]  lesson now if this is your first time
[00:18.92]  here I just want to introduce myself my
[00:21.00]  name is Wes and this is interactive
[00:23.52]  English which is all about helping you
[00:25.76]  guys practice and improve your English
[00:28.36]  skills and we do that by trying to make
[00:30.96]  interactive lessons we want you to
[00:33.64]  participate in these lessons which is
[00:36.20]  exactly what we're going to do today
[00:38.24]  because I have a bunch of different
[00:40.12]  questions for you and I want you guys to
[00:42.52]  answer if you are in the chat then I
[00:44.80]  want you to write your answers in the
[00:46.56]  chat even if you are watching this
[00:48.88]  lesson later I want you guys to write
[00:51.12]  your answers in the comment I want you
[00:53.04]  to be engaged and interact with this
[00:55.40]  quiz so I want to take a quick moment
[00:58.12]  and say hello and give a shout out to to
[01:00.16]  those who are with us today hello Vishnu
[01:02.72]  qu uh Claudia um avilash Andre Kai indu
[01:08.08]  Judy noain Ira um who else do we have
[01:13.56]  aat welcome welcome Ana hello hello if
[01:17.32]  you joined us just say your name tell me
[01:19.44]  your name in the chat I just love
[01:20.80]  hearing from you guys so I told you that
[01:23.96]  today we are go be going to do an adverb
[01:28.12]  quiz an adverb VOC vocabulary quiz so
[01:32.44]  when you think of adverbs I think most
[01:34.32]  people think of grammar but this is not
[01:36.72]  a grammar quiz I want to make that very
[01:38.80]  clear at the beginning this is more of a
[01:41.28]  vocabulary quiz because I am going to
[01:43.72]  ask you the meaning of different adverbs
[01:46.88]  that is the quiz so I've taken uh
[01:49.48]  different words and these are more
[01:51.28]  advanced English words and the reason I
[01:53.88]  chose these words is because I feel like
[01:55.96]  they're often used as adverbs of course
[01:58.60]  you can have a word that is a verb an
[02:01.32]  adjective or an adverb uh they can be
[02:03.92]  used in different parts of speech but I
[02:06.00]  speech but I specifically chose these
[02:08.16]  words because I feel like we often find
[02:10.60]  them as adverbs so the way I'm going to
[02:13.20]  do this is some of these questions are
[02:15.72]  going to ask you about synonyms uh some
[02:18.76]  questions are going to be asking about
[02:20.96]  the the meaning of these adverbs what
[02:23.36]  what does this adverb mean and others
[02:25.28]  are going to be about trying to put the
[02:27.48]  words in context and I'm going to give
[02:30.00]  you an example sentence so it's all
[02:31.64]  multiple choice all right don't worry
[02:34.24]  and I just want you guys to try the best
[02:36.56]  you can don't be shy don't hesitate to
[02:39.60]  give an answer please please please
[02:41.72]  please write those answers in the chat
[02:43.72]  or in the comments so the reason why
[02:46.76]  we're doing this today is because well
[02:48.76]  first it's important to build your
[02:50.84]  vocabulary the the bigger your
[02:53.24]  vocabulary the greater your
[02:54.92]  comprehension it's also going to be more
[02:57.16]  easily uh you can more easily
[02:59.12]  communicate and produce the language
[03:01.52]  especially when you're speaking and the
[03:03.52]  reason you can do this is because of
[03:05.36]  number three you can more accurately
[03:07.84]  express your thoughts your opinions your
[03:10.08]  ideas you will be able to say exactly
[03:12.88]  what you want to say because you know
[03:15.04]  the words so adverbs uh just a quick
[03:19.04]  review what are adverbs well again as I
[03:21.84]  mentioned it is a part of speech mostly
[03:24.64]  when we think of adverbs we think of
[03:26.48]  grammar and we did a grammar lesson on
[03:29.44]  adver verbs before which I will link
[03:32.08]  somewhere around here if you want to
[03:34.08]  check it out it is all about adverb
[03:36.36]  placement and I highly suggest you check
[03:38.52]  out that lesson so an adverb the first
[03:41.92]  thing we need to know is that it
[03:43.28]  modifies a verb most of the time it
[03:46.52]  doesn't always modify a verb it can
[03:48.56]  modify an adjective a determiner a
[03:50.92]  clause but in this quiz all of these
[03:53.96]  adverbs will modify the verbs and we use
[03:57.12]  them they they typically Express manner
[03:59.92]  time frequency such as always usually
[04:03.32]  sometimes rarely never or a a degree to
[04:06.28]  the extent at which something can happen
[04:08.96]  so this is how we usually uh what
[04:11.56]  adverbs typically Express and mostly
[04:14.88]  these words will end in an ly all of our
[04:17.48]  words today in this quiz they are all ly
[04:21.04]  words all right I'll I'll go ahead and
[04:22.80]  tell you that from the beginning and the
[04:24.88]  other tricky thing like I mentioned we
[04:26.88]  talked about in a previous lesson is
[04:28.68]  that adverbs may go in different places
[04:30.68]  within a sentence they might go at the
[04:32.40]  beginning they might go at the end most
[04:35.04]  often you will find adverbs in the
[04:36.88]  middle of a sentence they will either
[04:38.84]  come before the verb or right after the
[04:41.40]  verb and as as I go through the quiz I
[04:44.04]  will be giving you some example
[04:45.96]  sentences so you'll be able to see where
[04:48.44]  they fall in the sentence all right the
[04:51.52]  one other thing I will
[04:53.36]  say in this vocabulary quiz I am when I
[04:56.88]  give you the answer I'm going to tell
[04:58.76]  you what that ad verb means and I will
[05:00.92]  give you some example sentences all of
[05:03.36]  the other adverbs that I use in those
[05:05.72]  examples I'm not going to go over the
[05:07.84]  meaning for every single adverb that you
[05:10.08]  see on on this quiz because that would
[05:12.72]  just take hours so if there is another
[05:15.40]  word on there that you don't know I
[05:17.36]  highly encourage you to to look it up
[05:19.72]  look up that word find out its meaning
[05:21.88]  try to see how it's used in different
[05:23.72]  sentences so that you can better
[05:25.68]  understand that word but I'm just going
[05:27.00]  to go over those adverbs that are the an
[05:29.72]  answer to these questions all right are
[05:32.00]  you guys ready Ethan riswan Loi Mr
[05:35.16]  English are you are you guys ready Mina
[05:38.04]  all right so if you're ready you need I
[05:41.12]  want you to click on the Go Button you
[05:43.40]  need to click on the go button and then
[05:45.96]  this quiz is going to start so please
[05:48.72]  click on that go button right now even
[05:50.56]  if you're watching this
[05:51.84]  later all right excellent let's begin I
[05:55.44]  told you this is interactive so the
[05:57.84]  first question is which is a synonym for
[06:03.04]  quickly which of these adverbs keenly
[06:07.12]  briskly fervently cooly which is a
[06:10.52]  synonym for quickly I told you these are
[06:13.68]  all ly adverbs so I want you to write
[06:17.88]  your answer in the chat or write your
[06:20.60]  answer in the comments you can either
[06:22.24]  write the word or just write the letter
[06:24.88]  A B C or D what what do you guys what do
[06:29.76]  you guys think all right which is a
[06:32.24]  synonym for
[06:34.64]  quickly all right one of those words all
[06:37.56]  right
[06:39.48]  so this is okay so I we got some mixed
[06:43.08]  answers in here between C and B the
[06:45.68]  answer if you're talking about quickly
[06:48.04]  you know doing something quickly moving
[06:50.60]  quickly the answer is brisly which is
[06:55.32]  which is wait what is briskly that is B
[06:57.88]  briskly that is the answer so briskly
[07:00.48]  means to move or do something with great
[07:03.68]  speed and often when I think of briskly
[07:06.48]  I think you're you're very focused and
[07:08.44]  you're very serious and you are doing
[07:10.40]  something briskly you're not joking
[07:12.20]  around so for example uh right here he
[07:14.96]  was running late so he walked briskly to
[07:18.36]  work and it's talking about the way he
[07:20.60]  walked the way he moved you walk briskly
[07:23.60]  and in this example I wanted to give you
[07:25.56]  a different context so when when you
[07:27.92]  retort it's also like you're say saying
[07:29.84]  something back what's that she retorted
[07:32.24]  briskly I couldn't hear you and in this
[07:34.76]  case again this this briskly it kind of
[07:37.16]  gives us a little more information
[07:38.88]  because it it sets the tone of the
[07:41.16]  conversation because when you if you
[07:43.16]  retort briskly you're you're kind of
[07:45.24]  saying it quickly and with a little bit
[07:47.60]  of force and you're serious it's not
[07:49.56]  like you're like oh what's that I didn't
[07:51.12]  hear you you're more like wait what's
[07:52.76]  that I didn't hear you so it really kind
[07:55.88]  of captures the the the essence of the
[07:58.44]  dialogue that you're trying to you so
[08:01.12]  that is number one B briskly if you got
[08:04.96]  that right uh hit that like button so
[08:07.48]  that I know if I see it go up then I'll
[08:09.20]  like okay you guys you guys got this you
[08:11.80]  understand all right so the next
[08:14.44]  question all
[08:15.88]  right this means happening or being done
[08:20.96]  at the same time which of these adverbs
[08:24.56]  means happening or being done at the
[08:27.16]  same time a automatically
[08:29.96]  B annually C mechanically or D
[08:35.80]  simultaneously what do you guys think
[08:38.04]  and some of these adverbs again I I I
[08:40.76]  think they are a little more advanced
[08:43.04]  but some are more intermediate you might
[08:44.88]  be familiar with some of these words
[08:47.00]  already which is great because it's
[08:48.84]  always good to review all right so we're
[08:51.56]  getting some answers in there great
[08:53.52]  excellent
[08:54.76]  austo uh Kow AI lyd deare indu Judy
[09:00.20]  excellent yes the correct answer is D
[09:03.64]  simultaneously so if you do something
[09:06.80]  simultaneously it is happening or being
[09:09.40]  done at the same time check out my
[09:11.80]  beautiful example sentences over here
[09:15.00]  yes the letters and packages went out
[09:18.88]  simultaneously they went out at the same
[09:21.08]  time and again this comes after the verb
[09:24.44]  the the phrasal verb went out and we use
[09:27.76]  it down here and we use it for the verb
[09:30.08]  in this example we simultaneously
[09:32.36]  developed a marketing plan and created
[09:34.92]  new products you're talking about two
[09:36.88]  things that you do at the same time you
[09:39.12]  are doing them simultaneously all right
[09:42.28]  are you ready the next question right
[09:44.92]  here now put this in context I'm giving
[09:47.64]  you a sentence now they M offered to
[09:52.12]  donate their time and money to the
[09:55.08]  relief effort okay so uh I'll go ahead
[09:58.52]  you can you know that the verb is
[10:00.72]  offered and that's what we're trying to
[10:03.24]  describe now I will I I will say
[10:06.04]  grammatically you you could use maybe
[10:08.92]  some of these different words in there
[10:10.76]  but again think about the context of
[10:13.48]  this situation so you need to understand
[10:16.00]  some of the other words in this sentence
[10:18.44]  to help you accurately choose which
[10:21.00]  adverb best completes this sentence all
[10:23.76]  right what do you guys think yes Junior
[10:26.56]  Andre uh Mr Dy ell
[10:30.32]  a wait oh see no oh close uh yes so the
[10:35.40]  answer is generously a generously they
[10:40.76]  generously offered to donate so again
[10:44.04]  the key word in there was donate when
[10:45.80]  you're donating you're giving something
[10:48.16]  and if you're doing that you know that's
[10:49.68]  a very generous thing to do so you
[10:51.72]  generously offer to donate and it's it
[10:54.88]  just means that you are regularly giving
[10:57.00]  or sharing you're just an unselfish
[10:59.36]  person so you do things generously and
[11:02.76]  in my example sentence I said people in
[11:04.72]  the community generously volunteered to
[11:07.52]  build houses after a storm so most of
[11:09.88]  the time this adverb is used with verbs
[11:13.52]  that that mean good things that mean
[11:15.60]  things that have to do with sharing or
[11:17.52]  or good work like volunteering or it
[11:20.64]  could say they generously cooked dinner
[11:23.08]  for the entire neighborhood they did
[11:25.04]  this thing it was very generous of them
[11:28.00]  they were unselfish and they generously
[11:31.12]  genuis did that I'm having a tough time
[11:33.88]  saying generously all right the next
[11:37.12]  question are you guys ready you guys are
[11:39.32]  rocking this
[11:41.36]  excellent what is a synonym for
[11:45.40]  intentionally what is a synonym for
[11:48.52]  intentionally A B C or D I want you guys
[11:53.12]  to write your answers in that chat all
[11:57.48]  right or write them in the comments if
[11:59.60]  you if you guys are just joining us we
[12:01.92]  are doing a quiz an adverb vocabulary
[12:05.12]  quiz and I'm asking you questions I want
[12:07.80]  you to write the answer all right what
[12:09.76]  is a synonym for intentionally is it
[12:12.20]  deliberately promptly honestly or
[12:16.00]  reluctantly all right excellent uh I see
[12:19.12]  some great answers in here yes Ellie
[12:22.52]  essan Olivia uh pritish Mor morillo uh
[12:29.88]  I'm trying to get as many names as I can
[12:32.04]  the answer is a deliberately so if you
[12:35.48]  do something deliberately it means
[12:37.92]  consciously and intentionally you do
[12:40.68]  something on purpose so again in this
[12:44.04]  case uh I'm I'm describing these verbs
[12:46.96]  these actions and I might say you
[12:49.24]  deliberately gave me the wrong
[12:51.44]  directions maybe you did not want this
[12:53.92]  person to find this place and you
[12:56.08]  deliberately gave them the wrong
[12:57.92]  directions it's I I feel like this word
[13:00.84]  is often used as an adverb you hear this
[13:03.60]  a lot you deliberately do something or I
[13:06.36]  left his name off the list deliberately
[13:08.96]  there is a reason why I didn't do this
[13:11.60]  so you do something deliberately you do
[13:14.16]  it on purpose there is a reason for
[13:16.28]  doing that all right so I just wanted to
[13:19.48]  let you guys know if you enjoy what we
[13:22.24]  do here at interactive English I
[13:24.72]  encourage you to check us out on patreon
[13:28.08]  we offer some cool reward rewards I will
[13:30.08]  leave a link in the description down
[13:32.92]  below part of those rewards one of them
[13:35.36]  is actually the lesson notes to all of
[13:37.88]  these live lessons I post these notes on
[13:40.96]  on our uh patreon page and those people
[13:43.64]  who are patrons who are who who are
[13:46.16]  absolutely our best friends they have
[13:48.28]  access to these notes that that we use
[13:50.64]  during these live lessons so check that
[13:53.36]  out link is in the description let's
[13:55.88]  continue all right how how are you guys
[13:57.84]  doing let let me you know in the
[13:59.96]  comments tell me how how many have You'
[14:01.80]  got we got we did four questions already
[14:04.52]  how many out of four have you gotten
[14:06.88]  have did you get all of them correct did
[14:08.84]  you get two correct did you get three
[14:10.96]  correct write that write that in the
[14:12.96]  comments let me know all right so let's
[14:16.28]  continue the next question is
[14:20.52]  this asking you for the meaning blank m
[14:24.76]  means in a way that makes fun of someone
[14:28.76]  or or something so we're talking about a
[14:31.80]  word this word means in a way that makes
[14:35.04]  fun of someone or something is it A
[14:38.84]  woefully B zestfully C mockingly or D
[14:43.84]  boastfully and and don't try to guess
[14:46.20]  based off of my intonation and again
[14:48.32]  even if you don't know all of these
[14:49.92]  words you know just take a guess all
[14:51.80]  right have fun with this just just try
[14:53.60]  and guess which one you think it means
[14:56.08]  so which one means to make fun of
[14:57.96]  someone or something this is not you
[15:00.32]  know this is not a very good word I
[15:02.24]  don't think because people you know they
[15:04.20]  don't like this so yes excellent all
[15:06.52]  right maybe this was a little easy uh
[15:08.72]  most of you got this excellent Zen
[15:10.76]  Shanti uh purple butterfly Alonzo gelle
[15:14.76]  excellent yes the answer is C mockingly
[15:18.76]  all right you're doing something
[15:20.28]  mockingly it's in a way that makes fun
[15:22.36]  of someone or something for example he
[15:25.56]  imitated his boss's voice mockingly so
[15:28.56]  if you imitate somebody's voice maybe
[15:30.60]  you're you're making fun of them the way
[15:32.44]  that they talk or the way that they
[15:34.28]  sound and you're doing it mockingly or
[15:37.40]  this
[15:38.68]  one I just love that picture down there
[15:41.40]  I've used it before when when asking
[15:43.80]  questions on our social media and I'd
[15:46.40]  say they mockingly bought two stuffed
[15:48.76]  animals that was a little typo there
[15:50.68]  that should be animals with an S for
[15:53.40]  their pet and if you can't see that
[15:56.40]  image down there it's the dog with the
[15:59.16]  two stuffed animals and he's asking are
[16:01.72]  you mocking me cuz I feel like I'm being
[16:04.36]  mocked so in that case he's using mock
[16:07.28]  to mock someone as a verb but again many
[16:10.32]  of these words you can use them as a
[16:12.56]  verb an adjective an adverb different
[16:15.36]  parts of speech it's great to learn them
[16:17.28]  all because that's an awesome way to
[16:19.64]  build your vocabulary so mockingly you
[16:23.04]  do something mockingly next question all
[16:26.76]  right are you guys ready here we go
[16:29.68]  so this is a sentence I want you to put
[16:32.76]  it in context our home is M clean but we
[16:38.68]  try our home is M clean but we try all
[16:44.04]  right this is I I I am actually talking
[16:46.84]  about our apartment where we live so
[16:49.84]  keep in mind the context we do have a a
[16:53.00]  new baby so I I would actually say you
[16:55.88]  know yeah our home is clean but we try
[16:58.96]  all right what do you think would best
[17:01.32]  complete this sentence based on that
[17:03.40]  context speedily disparagingly certainly
[17:07.68]  or relatively what what do you guys
[17:10.16]  think AB BC or D all right you guys
[17:13.04]  quick quick on the quick on the draw
[17:15.24]  there ly Ellie Claudia jelle
[17:18.76]  Asma uh Alonzo star night yes all right
[17:23.08]  excellent thank you guys for answering
[17:24.72]  the correct answer is D relatively our
[17:28.08]  home is relative L clean but we try so
[17:31.52]  if I'm saying something is relatively
[17:33.80]  clean it's talking about to a certain
[17:36.12]  degree especially when you're comparing
[17:38.56]  it with some other thing or some some of
[17:41.76]  the same kind so maybe I'm just
[17:43.28]  comparing it to to other people's
[17:45.32]  apartments and saying yeah you know our
[17:46.92]  home is relatively clean but we have
[17:49.52]  this new baby we're we're trying we're
[17:51.20]  trying to keep it as clean as we CL can
[17:53.40]  but it's relatively clean um probably I
[17:57.08]  think these are two other good examples
[17:59.16]  if you're talking about you can use it
[18:01.60]  to talk about an environment or even an
[18:04.60]  object so for example my phone is
[18:07.12]  relatively new if somebody says hey is
[18:09.56]  that a new phone and maybe it's 3 months
[18:11.88]  old or it's it's two weeks old and you
[18:14.56]  can say yeah it's relatively new it's
[18:16.64]  not brand new it's relatively new
[18:18.88]  compared to other phones it is new
[18:21.40]  another time where you often hear this
[18:24.44]  adverb is when talking about the weather
[18:27.40]  if you ever watch the weather channel in
[18:29.52]  English the next time you are watching
[18:31.36]  The Weather Channel I want you to see if
[18:34.16]  you can identify the word relatively
[18:37.16]  because you hear it a lot because when
[18:39.12]  talking about the weather we often
[18:41.60]  compare one day to the other days or to
[18:45.00]  the week before or to the month before
[18:47.24]  so you're often comparing different days
[18:49.44]  and they might say you know Tom tomorrow
[18:51.12]  will be relatively cool but things will
[18:53.88]  warm up next week so again especially
[18:56.88]  when talking about the weather you say
[18:58.84]  yeah it's going to be you know
[18:59.84]  relatively hot compared to other days um
[19:03.72]  so we use this word a lot excellent so
[19:07.64]  keep that in mind all right ready next
[19:10.40]  question boom all right what is a
[19:14.00]  synonym for longingly what do you guys
[19:17.84]  think A B C or D what is a synonym for
[19:23.00]  longingly that is my and if you don't
[19:24.96]  know what longingly means then that's
[19:27.68]  going to make it a little more difficult
[19:29.28]  but I encourage you to take a guess do
[19:31.48]  you think it means the same sim same as
[19:34.84]  a sharply B whsy C queasily or D wearily
[19:41.28]  what do you guys think all right which
[19:43.32]  one would you say is is a very is
[19:45.96]  similar to longingly all right you do
[19:48.40]  something longingly is very similar to
[19:52.28]  what all right have some different
[19:54.48]  answers in here um all right
[20:00.52]  yeah all right this one maybe is a
[20:02.12]  little more challenged so yes uh junior
[20:05.52]  excellent
[20:07.08]  um Gaz gazelle yes uh
[20:11.76]  AI who else has that one I'm trying to
[20:14.76]  get to Alonzo great job yes if you're
[20:17.92]  talking about longingly it it means the
[20:20.88]  S it's has a similar meaning to
[20:23.72]  wishfully so when you're talking about
[20:26.04]  doing something wishfully it's like
[20:28.24]  you're a little sad and you're thinking
[20:30.72]  about something that it's just not
[20:33.32]  possible it because maybe it already
[20:36.04]  happened and you can't change the past
[20:38.60]  or you're just thinking about the past
[20:40.48]  you're remembering things that happened
[20:42.76]  in the past and you're thinking about it
[20:45.24]  longingly you you you you want this
[20:48.56]  thing to happen again you wish it could
[20:50.64]  happen again and you're thinking about
[20:52.80]  it you you remember something wistfully
[20:56.00]  like that first example so I say he whis
[20:58.80]  ful remembered his childhood playground
[21:01.88]  so he's thinking about this good memory
[21:04.24]  and he's thinking it makes him a little
[21:06.24]  sad because maybe it was such a good
[21:07.72]  memory he wants to go back and you
[21:09.28]  wistfully remember his childhood
[21:11.24]  playground or in the case of this like
[21:14.16]  you you want something and you can't
[21:17.36]  have it the cat stared wistfully at the
[21:20.36]  mouse and I just love that image so
[21:24.32]  that's why I I use that sentence the cat
[21:26.72]  stared wistfully at the mous he wants
[21:29.28]  that Mouse all right but it's impossible
[21:31.44]  he shouldn't he shouldn't attack the
[21:32.88]  mouse he shouldn't eat it so this one
[21:35.40]  again it's maybe not as common but again
[21:38.08]  it's good to learn new words and and be
[21:40.56]  able to understand how they're used in
[21:42.68]  different context are you guys ready
[21:45.36]  ready for the next one all right again
[21:49.56]  if you if you've gotten more than five
[21:52.48]  of these right uh let let me know hit
[21:55.00]  hit that like button so I know okay you
[21:57.20]  guys you guys are in this all right you
[21:59.80]  guys are doing well the next question
[22:03.08]  that I have for you is right here
[22:08.84]  ready so it's another definition one all
[22:12.64]  right it means very serious or formal in
[22:16.40]  manner Behavior or expression okay again
[22:20.16]  if you guys if you're just joining us
[22:21.92]  welcome we're taking this quiz and I
[22:24.60]  want you guys to participate write your
[22:27.00]  answers in the chat or if you're
[22:29.32]  watching it later write your answers in
[22:31.12]  the comments this means very serious or
[22:33.72]  formal in your manner Behavior or
[22:36.80]  expression is it a captively b
[22:40.48]  abnormally C solemnly D deceivingly what
[22:45.20]  do you guys think all right seeing uh
[22:49.08]  some good answers excellent wow you guys
[22:52.76]  you guys rock this one all right so the
[22:56.28]  answer is C solom ly it means very
[23:00.24]  serious or formal in your manner
[23:02.80]  Behavior or expression so in my example
[23:06.08]  sentence I used it at the very beginning
[23:07.96]  in this case all right most of the time
[23:09.76]  like I said it goes before the verb or
[23:12.24]  or after the verb but in this case I put
[23:14.20]  it at the beginning and this just adds a
[23:16.40]  little emphasis because solemnly he
[23:19.44]  recounted what happened during the
[23:21.68]  accident so once I start out with
[23:23.36]  solemnly I really set you you set the
