Title     : AMERICAN IDIOMS 🇺🇸  Important phrases you need to know
Video ID  : oVPgrG0LnpQ
URL       : https://www.youtube.com/watch?v=oVPgrG0LnpQ
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 846
Saved at  : 2026-06-05 10:12:25
------------------------------------------------------------

[00:00.00]  hello and welcome to today's lesson so I
[00:04.80]  have a fun lesson to test your knowledge
[00:09.30]  of some informal vocabulary and I say
[00:12.30]  the word informal because we are going
[00:15.42]  to be learning some American internet
[00:18.26]  American idioms all right I'm having a
[00:21.60]  tough time speaking today uh I am from
[00:24.24]  the United States so these are some
[00:27.42]  idioms that I think you could use or you
[00:30.24]  may hear in more casual conversation and
[00:33.84]  I I've done this in the form of a quiz
[00:36.42]  lesson so I want you to participate
[00:38.34]  write your answers in the chat or in the
[00:41.70]  comments even if you're watching this
[00:43.74]  later after all this is interactive
[00:46.20]  English I want you to be a part of the
[00:48.96]  lesson and if you would like to get the
[00:52.68]  lesson notes from today's lesson check
[00:55.14]  out the link down in the description you
[00:57.90]  can join our community if you are
[01:00.00]  already a part of our email Community
[01:02.22]  then I've I've gone ahead and I've sent
[01:04.26]  them to you you will find them in your
[01:06.36]  inbox so without further Ado here is the
[01:11.82]  first idiom that I want to teach you or
[01:13.86]  well test your knowledge so
[01:18.30]  to start out with we're going to start
[01:20.46]  easy and then I'm going to try to make
[01:22.62]  it a little more difficult so right now
[01:25.92]  I'm giving you a couple of words in the
[01:29.64]  idiom as well as the meaning so the
[01:32.82]  meaning of this idiom is to do or say
[01:36.42]  something that helps you get rid of
[01:39.48]  strong feelings and energy and what are
[01:42.42]  you going to do so I'll go ahead and
[01:45.12]  tell you that there are four words
[01:49.20]  in this idiom and and that's what it
[01:52.08]  means right there and you could use the
[01:54.12]  picture as a little bit of a hint but
[01:57.36]  let me know if you know what idiom I'm
[02:00.36]  talking about write it in the chat write
[02:03.54]  it uh in the comments I want to hear
[02:06.54]  from you and I'll try to give some shout
[02:08.88]  outs as we go through this if I see some
[02:12.06]  correct answers
[02:13.56]  so any guesses about what this idiom is
[02:17.52]  to um off some um
[02:20.82]  you're doing something that helps you
[02:22.98]  get rid of some strong feelings or
[02:25.74]  energy and typically I would say they're
[02:27.84]  probably it's probably negative energy
[02:30.66]  or you're upset about something and then
[02:33.36]  you're gonna do some activity in order
[02:35.22]  to off some um
[02:38.64]  so all right Reagan excellent nailed it
[02:42.36]  we're talking about the idiom to blow
[02:45.12]  off some steam so I've given you an
[02:49.02]  example sentence down there like looking
[02:52.02]  at this picture I go for a long run if I
[02:54.90]  want to blow off some steam so perhaps
[02:57.12]  you had a tough day at work and you're
[02:59.52]  just frustrated and you have a lot of I
[03:02.70]  don't know pent up emotion you need to
[03:05.64]  get rid of that energy and you do
[03:08.10]  something to blow off some steam and
[03:10.68]  often I think it would refer to a
[03:13.20]  physical activity you're going to go for
[03:15.06]  a run you'll go for it go to the gym and
[03:17.70]  you just need to blow off some steam so
[03:20.28]  hopefully again my my goal with all of
[03:23.10]  these lessons is that you learn
[03:25.20]  something new and if that idiom is new
[03:28.14]  for you then that's perfect I'm happy as
[03:30.84]  long as if you learn one thing today
[03:32.64]  then then I think that's a success
[03:35.88]  so the next one again I'm giving you a
[03:39.30]  couple of words that are a part of this
[03:42.72]  idiom
[03:43.68]  and what do you think the the meaning
[03:47.76]  it's referring to someone or something
[03:51.66]  is too good or expensive for someone to
[03:55.50]  have
[03:56.48]  often I think that this is referring to
[04:00.84]  a person so I know it says someone or
[04:03.78]  something but generally someone is too
[04:07.38]  good
[04:08.40]  for someone else
[04:10.50]  you would use this idiom and say wow
[04:13.68]  this person is
[04:15.84]  um out your
[04:18.54]  um
[04:19.20]  I feel like the second word you probably
[04:22.02]  know you can guess that that's a
[04:23.94]  preposition and I'm kind of giving you
[04:26.58]  part of it so what would that final word
[04:29.76]  be out of you oh I just said it out of
[04:33.72]  your what do you think excellent Vidya
[04:37.38]  Manuel you got it and think about when
[04:40.56]  you when I show you the idiom I'll tell
[04:43.26]  you it's right out of your league
[04:45.36]  try to think about a TV show or movie
[04:48.24]  perhaps you've seen and you've you've
[04:51.00]  maybe heard this idiom before and say
[04:53.40]  someone's out of your league so that
[04:55.86]  example sentence down there oh she's
[04:58.14]  definitely out of your league often I
[05:01.38]  think if you hear this idiom I'll go
[05:03.54]  ahead and tell you you probably would
[05:06.12]  hear it in the context of
[05:08.82]  talking about some uh some woman who
[05:12.60]  they you know some maybe some guy is
[05:15.84]  interested in this woman and the the
[05:18.84]  guy's friends are like look she is too
[05:21.66]  good for you she's too attractive she's
[05:23.70]  too smart she's too successful for you
[05:26.34]  she's out of your league so you would
[05:29.34]  probably more likely hear it in that
[05:31.32]  context it could go the other way around
[05:33.66]  in saying some guy is out of a woman's
[05:37.38]  League either way but generally speaking
[05:39.72]  I think you would hear it like some some
[05:42.12]  guy some friends are telling this guy
[05:44.64]  look she's out of your league all right
[05:46.14]  don't even try to date this person she's
[05:48.30]  too successful she's too attractive to
[05:50.22]  date you uh and you'd say someone's out
[05:52.38]  of your league
[05:53.76]  the next one all right I think you guys
[05:55.86]  again you did well on that one excellent
[05:58.68]  uh Ali Yankee Park perfect uh thank you
[06:01.50]  guys participate love it Mina Sid again
[06:03.90]  I'll try to get those shout outs
[06:06.12]  this one down I'm only giving you one
[06:09.42]  word now there are actually four words
[06:13.56]  in this idiom so think about the meaning
[06:16.98]  and consider the picture as well we're
[06:19.86]  talking about a situation
[06:22.56]  it's full of suspense and we're
[06:25.56]  referring to the last minute of
[06:29.64]  something or at the very end
[06:32.64]  and generally you would be talking about
[06:35.34]  some activity
[06:37.26]  perhaps a sport a competition
[06:40.68]  and you could say it's coming down
[06:44.42]  and there are four words and once I know
[06:48.00]  this can be a little tricky I think
[06:49.80]  sometimes I'll probably I'll show you
[06:52.20]  the idiom and then you think oh yes I
[06:54.84]  have heard that it makes sense now
[06:57.96]  so
[06:59.76]  I'm trying to give you a little bit of
[07:01.68]  the context to to better understand it
[07:04.32]  again competition this situation
[07:08.70]  it's at the last minute
[07:10.68]  very suspenseful so it's perhaps a close
[07:13.08]  competition to give you a
[07:16.08]  a more specific example think about the
[07:19.92]  final World Cup match between France and
[07:24.24]  Argentina full of suspense it came down
[07:27.60]  to the very end and you could say it's
[07:30.30]  coming down
[07:31.92]  um
[07:33.54]  the answer in case you have not heard
[07:36.90]  this one
[07:38.28]  down to the wire so if something is
[07:41.34]  coming down to the wire it it's
[07:43.44]  referring to the end of this activity
[07:47.06]  and generally I would say often you
[07:50.34]  might hear this being used in the
[07:52.98]  context of like some competition a match
[07:55.44]  because of it's very close then well
[07:58.44]  that's full of suspense you're like well
[08:00.18]  who's going to win we don't know it's
[08:02.10]  coming down to the wire
[08:03.90]  and that's the example that I gave you
[08:06.24]  this is it the game is coming down to
[08:09.00]  the wire and you would often use it with
[08:11.58]  that verb to come to come down to the
[08:14.46]  wire all right excellent uh Ricardo
[08:16.98]  Julia uh sanjana me uh down and we'll
[08:21.18]  close uh Bahar perfect down down to the
[08:24.84]  wire
[08:25.98]  the next one
[08:28.50]  what do you think I almost skipped ahead
[08:30.42]  and and showed you the answer
[08:32.76]  um
[08:34.32]  again just giving you one word at the
[08:37.86]  very end
[08:39.12]  and you would
[08:41.22]  um this one has three words up
[08:46.02]  and you're asking for some something
[08:49.28]  and I think often you might be asking
[08:53.40]  for money that's why I included this
[08:56.04]  picture someone handing another person
[08:59.16]  some money perhaps they were asking for
[09:01.74]  this money and they were um up
[09:06.54]  they were up for money in this case
[09:10.80]  so
[09:12.54]  let me know if you have any guesses like
[09:15.78]  I said this is a little bit more
[09:17.40]  challenging I'm only giving you that
[09:19.50]  that tiny word at the end up but if you
[09:23.76]  are up you are asking someone for
[09:27.18]  something this is an informal way of
[09:30.48]  asking and
[09:33.14]  I would say no not could you help me up
[09:37.38]  we're talking about yes NC good job to
[09:42.00]  hit someone up and again you could use
[09:45.54]  this uh you could talk about you're
[09:47.28]  going to hit your friend up for some
[09:51.66]  cash you're trying to borrow money like
[09:53.70]  I said I think often you may hear people
[09:56.52]  using it in that context they need some
[09:58.62]  money they need to borrow it and you're
[09:59.88]  gonna hit someone up for some cash like
[10:02.22]  that a sentence he's always hitting me
[10:04.14]  up for cash but you could hit someone up
[10:06.72]  you could hit him up you could hit her
[10:09.24]  up you can hit them up and you're just
[10:12.72]  asking for something to hit someone up
[10:15.60]  it is a very informal phrase then
[10:19.56]  we have this one
[10:21.54]  what do you think uh the picture again
[10:24.78]  you I'm giving you the word arm and you
[10:27.06]  can see that arm in the picture so it's
[10:28.80]  probably not uh giving you too much of a
[10:32.64]  hint but hopefully the meaning will help
[10:36.12]  you out in thinking about this idiom in
[10:38.76]  which you're trying to persuade someone
[10:41.12]  to do something they do not want to do
[10:46.58]  what do you think what's that idiom
[10:49.02]  we're talking about to um
[10:52.04]  arm again this this idiom has three
[10:57.48]  different words it's going to end with
[10:59.52]  the arm and you're really you're kind of
[11:02.64]  being a little aggressive trying to
[11:05.34]  persuade this person to do something
[11:07.92]  that they're really reluctant to do it's
[11:10.98]  like I'm not sure about this I don't
[11:12.72]  know if I want to do it and then the
[11:14.40]  other person is trying to um
[11:16.14]  [Music]
[11:17.54]  their arm and really trying to get them
[11:20.46]  to do this
[11:22.68]  so
[11:24.18]  if you know the answer write it in the
[11:26.58]  chat or write it in the comments I see
[11:28.56]  one correct answer already in there
[11:31.62]  excellent
[11:33.54]  uh
[11:35.46]  uh Mage you you got it we're talking
[11:37.98]  about the idiom
[11:39.90]  to twist someone's arm
[11:43.56]  again you could say you're twisting his
[11:45.84]  arm or twisting her arm in which case
[11:48.30]  you are persuading someone rather
[11:50.46]  aggressively to do something that they
[11:52.80]  are reluctant to do and I used it down
[11:55.50]  here like again more in the negative
[11:57.18]  like hey there's no need to twist my arm
[11:59.52]  I'll do it like in this situation the
[12:03.30]  person saying yes I'll do it you don't
[12:05.34]  have to persuade me you don't have to
[12:06.96]  try to twist my arm all right there's no
[12:09.42]  need to twist my arm
[12:11.78]  so now I want to switch things up a
[12:15.84]  little bit and what I want to do is I'm
[12:19.68]  going to just give you a picture and I
[12:22.26]  want you to look at the picture and see
[12:24.60]  if you can guess the idiom that I'm
[12:27.60]  talking about and I will give you a hint
[12:29.88]  after showing you the picture once again
[12:33.00]  if you would like to get the lesson
[12:36.24]  notes check out the link down in the
[12:38.82]  description I'll go ahead and throw it
[12:40.74]  here in the chat if you're interested in
[12:43.74]  getting these lesson notes and joining
[12:45.60]  our email community and of course if you
[12:48.00]  if you enjoy learning new idioms let me
[12:50.22]  know hit that like button that gives me
[12:53.10]  an idea of okay people are interested in
[12:56.34]  learning American idioms and maybe I'll
[12:59.04]  do another follow-up lesson in the
[13:01.20]  future teaching some more of these
[13:03.18]  idioms again this is part of building
[13:05.28]  your informal vocabulary so this I think
[13:08.34]  is a common idiom this is one that I use
[13:11.46]  I don't want to say all the time but
[13:13.44]  when I don't want to give you too much
[13:15.36]  of a hint so
[13:18.36]  look at the picture you can see this
[13:20.70]  person is on the couch uh you have that
[13:24.66]  cloud hanking over them and
[13:29.40]  I think you will probably get this
[13:31.86]  because this is a really common idiom I
[13:35.46]  just told you that I use this all the
[13:37.32]  time when I'm feeling this way I
[13:40.56]  generally don't say that I'm sick I
[13:44.34]  would say yeah I'm feeling a little
[13:46.92]  under the weather you guys rock that one
[13:49.92]  so that was I I was gonna give you the
[13:53.04]  idiom and I just told you the meaning it
[13:56.28]  means that you're feeling a little sick
[13:57.96]  slightly unwell so if you're really ill
[14:01.80]  you wouldn't really use this idiom so
[14:04.20]  generally you would use it when you have
[14:06.06]  a cold you're coughing you're sneezing
[14:08.46]  you feel a little sick and you'd say
[14:10.26]  you're you're feeling a little under the
[14:12.06]  weather excellent job uh Wolfgang
[14:15.50]  yong-hee Valentina uh Julia nice uh
[14:20.16]  Dario great job
[14:21.90]  so that one I feel like maybe is a
[14:24.96]  little easier
[14:26.52]  this one's going to be a little more
[14:28.56]  difficult because I don't think this
[14:30.66]  idiom is as common as the last one to
[14:33.18]  say that you're feeling under the
[14:34.26]  weather however what I would say is
[14:38.34]  look at the picture
[14:40.56]  and
[14:42.12]  the idiom is really exactly what this
[14:46.74]  picture is showing so what you see again
[14:50.88]  I don't want to give away all of these
[14:53.04]  words but looking at the picture
[14:56.64]  what phrase would you use to describe
[14:59.58]  this picture talking about this person
[15:02.10]  or someone
[15:03.78]  what do you think it's not as commonly
[15:07.74]  used but again it's still one that you
[15:10.20]  may come across if you're watching a TV
[15:13.98]  show or movie so I'll give you a hint
[15:15.42]  it's not a cucumber it's a pickle that
[15:18.24]  is a it's a jar of pickles and where
[15:21.20]  where is
[15:23.16]  this person
[15:24.84]  what would you say
[15:26.52]  where is this person so you would say
[15:28.62]  someone is um now I know I see many of
[15:32.58]  you using like cool as a cucumber that
[15:34.74]  is another idiom to say that you're
[15:37.50]  you're calm you're relaxed you're you're
[15:39.96]  Carefree but that that's not the idiom
[15:41.76]  I'm talking about this is a pickle so
[15:43.98]  what would you say someone is um the
[15:47.04]  idiom I'll go ahead and tell you we're
[15:49.02]  talking about the idiom uh to be in a
[15:51.60]  pickle excellent Dario Reagan
[15:54.36]  now what does it mean if someone says
[15:57.30]  I'm going to quiz you again if somebody
[15:59.40]  says wow I'm I'm in a bit of a pickle
[16:03.18]  what does that mean
[16:06.06]  and that's really I think how you might
[16:08.82]  hear it you're talking about some
[16:11.42]  situation and saying yeah right now I'm
[16:14.76]  really in a bit of a pickle or you could
[16:17.34]  use it to describe someone else I don't
[16:19.26]  know what she's gonna do she's she's in
[16:21.36]  a pickle
[16:22.80]  so if someone
[16:24.90]  is in a pickle in case this idiom is new
[16:28.02]  it means that they're really in a
[16:30.54]  difficult situation and you're not sure
[16:33.30]  how to handle this situation and you'd
[16:36.30]  say wow right now I'm in in a pickle and
[16:40.44]  yeah you could say Bahar like you said
[16:42.30]  to be stuck kind of it's it's a problem
[16:44.22]  uh that you're experiencing so the
[16:47.22]  example sentence can you help me I'm in
[16:49.44]  a pretty pickle and I added the word
[16:51.48]  pretty sometimes you may hear people use
[16:54.18]  the word pretty with this idiom that's
[16:57.06]  that's a pretty pickle uh and referring
[17:00.18]  to this difficult situation but in
[17:03.60]  general you could say just someone's
[17:05.10]  someone's in a pickle
[17:06.92]  now let me give you a little more
[17:10.68]  context with this picture and think
[17:13.50]  about well where is this picture and
[17:16.50]  what what's going what's going on
[17:19.62]  so you can see that this is a a bowling
[17:24.54]  alley
[17:25.62]  now I know that this specifically is a
[17:29.82]  bowling lane but the word Lane is not in
[17:33.12]  this idiom I've actually already used
[17:36.24]  the word that was in this idiom I just
[17:38.46]  want you in general to think about where
[17:40.26]  is this picture at
[17:42.36]  and then look at that arrow and what
[17:46.02]  could you say I think this one is a
[17:48.12]  little more difficult to try to think of
[17:50.64]  the idiom even though it's one that you
[17:53.28]  might already be familiar with and and
[17:55.38]  you know so like I said think about
[17:57.78]  where this picture is at
[18:01.14]  and then think about that Arrow
[18:04.56]  so
[18:06.00]  the picture
[18:07.52]  is at well the place would be a bowling
[18:12.12]  alley
[18:13.98]  so specifically if this is a lane at the
[18:17.34]  bowling alley but I said not just in
[18:19.56]  general where's that it's at the bowling
[18:21.12]  alley and that arrow is pointing in
[18:24.30]  which direction
[18:27.18]  it's pointing up so the idiom that I was
[18:30.90]  trying to elicit from you was to say up
[18:34.98]  someone's alley
[18:37.14]  so if you say that something is up your
[18:40.92]  alley do you have any guess what what
[18:44.04]  that means that hey I really hope that
[18:47.40]  this lesson is right up your alley
[18:50.22]  and often I think you may hear people
[18:52.62]  use it with that word right something is
[18:55.14]  right up your alley
[18:58.16]  if you don't know or you haven't heard
[19:01.26]  of this idiom before I think it's a good
[19:03.30]  one to describe this specific situation
[19:05.52]  you're talking about
[19:07.10]  something that is you're saying that it
[19:10.62]  is exactly the type of thing that this
[19:13.38]  person knows or likes to do
[19:16.02]  I just mentioned that oh this lesson I
[19:18.96]  really think this is right up your alley
[19:20.82]  if you enjoy building your vocabulary
[19:23.28]  learning new idioms this lesson is right
[19:26.34]  up your alley it is the exact kind of
[19:29.04]  lesson that you like that you enjoy or
[19:32.10]  just to give you another context with
[19:33.90]  that sentence down there the game we're
[19:35.82]  gonna play is right up your alley so
[19:38.34]  maybe somebody does not know what game
[19:40.32]  they're getting ready to play and say oh
[19:41.94]  don't worry this game it's right up your
[19:43.56]  alley I'm sure that you're going to like
[19:45.60]  it you're going to enjoy it it's the the
[19:47.64]  exact thing that you love to do
[19:50.58]  the next one again I started with that
[19:54.12]  easy one talking about a little under
[19:57.30]  the weather very specific this one is a
[20:00.18]  little more challenging uh but there's
[20:01.98]  there's two pictures
[20:03.54]  and I was trying to give you a little
[20:06.36]  bit of a hint with the inside and
[20:08.34]  outside so think about let for forget
[20:11.22]  that person who's thinking for just a
[20:13.38]  moment think about that other picture on
[20:15.90]  the other side it is a circle
[20:19.14]  but it's also what
[20:22.16]  and you're inside that and then the
[20:26.04]  other person
[20:27.30]  who's clearly outside
[20:30.30]  seems a little confused and they're not
[20:32.76]  sure they're not really sure what's
[20:34.92]  going on
[20:36.48]  so I know the word circle is not part of
[20:40.86]  this
[20:42.24]  I'll I'll go ahead and give you a little
[20:44.52]  bit of a hint what I was going for was a
[20:47.34]  loop
[20:48.90]  so a loop is like a circle
[20:52.58]  and now that you know we're talking
[20:55.02]  about a loop and you can inside or
[20:58.20]  outside
[20:59.72]  what would you say and this I think is a
[21:02.46]  I think this is a kind of a common idiom
[21:04.86]  that somebody might use excellent Rose
[21:09.18]  you you nailed it we're talking about
[21:13.38]  out of the loop so what does it mean I'm
[21:16.26]  telling you the idiom now what's your
[21:18.72]  guess what do you think it means if I
[21:20.76]  say look I'm I'm out of the loop
[21:24.96]  don't ask me I'm out of the loop
[21:27.96]  if someone is out of the loop what do
[21:30.54]  you think and then now you could use the
