Title     : AMERICAN SLANG WORDS 🇺🇸  QUIZ LESSON
Video ID  : FdocSXPK07E
URL       : https://www.youtube.com/watch?v=FdocSXPK07E
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 932
Saved at  : 2026-06-05 10:32:55
------------------------------------------------------------

[00:00.16]  Hey everyone, my name is Wes. This is
[00:03.44]  Interactive English, which is all about
[00:05.84]  helping you guys practice and improve
[00:07.92]  your English skills. And today we're
[00:10.32]  going to do another practice lesson.
[00:11.92]  This is going to be a bit of a quiz on
[00:14.72]  American slang. That's right. I have a
[00:17.92]  bunch of different questions for you to
[00:19.84]  test your comprehension of American
[00:22.80]  slang. Now, slang is interesting because
[00:26.32]  I'd say that a as somebody who's a
[00:28.88]  teacher, I would tell you that it's not
[00:31.12]  absolutely necessary that you learn
[00:33.84]  slang, American slang or British slang.
[00:36.24]  But at the same time, I understand that
[00:38.40]  many of you want to learn slang because
[00:40.88]  you hear it quite often when you're
[00:42.72]  talking or when you're listening to um
[00:45.36]  maybe a podcast or a TV show or you're
[00:48.32]  watching a movie. So, I understand why
[00:50.56]  it is something you want to learn. it
[00:52.96]  can be important for your comprehension.
[00:55.20]  So, we're going to go over these words
[00:56.72]  and phrases today that I think are you
[00:59.68]  don't have to go out and try to use them
[01:01.76]  because they they can be very specific,
[01:03.92]  but it is good to have for your
[01:05.60]  comprehension. And like I said, today
[01:07.92]  it's all about practicing your skills
[01:10.16]  and this is a great way to do so because
[01:12.00]  you can practice them in real time. So,
[01:14.00]  if you are in the chat, I'm gonna ask
[01:15.84]  you questions. I want you to write your
[01:17.92]  answer in the chat. And even if you're
[01:19.92]  watching this later, I want you to write
[01:22.64]  your answer in the comments and and use
[01:24.80]  it like like it's a piece of paper and
[01:26.96]  you are writing down your answers. All
[01:28.88]  right. So, as we go through um the quiz,
[01:32.32]  I will give some shoutouts to those of
[01:34.40]  you that are with me right now. But
[01:36.32]  whoops, I'm getting ahead of myself.
[01:37.76]  Sorry. Wait, you were not meant to see
[01:40.32]  that just yet. I I wanted to start out
[01:43.04]  just with this simple um you know just
[01:45.52]  talking about what is slang in case that
[01:48.56]  this is something you are not familiar
[01:50.48]  with. So I I will read that in case
[01:52.88]  you're having trouble seeing it. I was
[01:54.72]  trying to find a font color that just
[01:56.56]  popped out but it was a little
[01:58.16]  difficult. So slang that this is it's
[02:01.20]  words and phrases that are very
[02:04.00]  informal, very casual. They're much more
[02:07.52]  common in spoken English instead of
[02:10.40]  writing. So you will hear them u more
[02:13.36]  often than you're going to read uh these
[02:15.76]  words or phrases and they are typically
[02:19.44]  restricted or limited to a particular
[02:22.80]  group um a particular group of people
[02:25.68]  and this could be a particular group of
[02:28.08]  people in a certain region because slang
[02:31.36]  on the east coast of the United States
[02:33.68]  is different from slang on the west
[02:35.68]  coast of the United States or it could
[02:38.08]  depend on the age group as well. So,
[02:40.56]  younger people might use certain words
[02:42.88]  or phrases that older people like me
[02:46.88]  don't use or we may even be unaware of
[02:49.84]  these words. And this is why I find it
[02:52.96]  interesting because with when it comes
[02:55.60]  to slang, I we've done some lessons
[02:58.08]  before uh on slang and I will leave a
[03:01.84]  link in the comments if you want to
[03:04.56]  check out some of those lessons because
[03:06.48]  all of the questions that I have for you
[03:09.60]  are based on those lessons. And
[03:12.40]  sometimes when I when I did those
[03:13.92]  lessons, I would receive comments and
[03:15.92]  people, especially Americans, they would
[03:18.08]  be like, I don't use that word. Nobody
[03:20.56]  uses it. And that's the thing about
[03:22.32]  slang. Just because one person doesn't
[03:25.12]  use the word, that does not mean that it
[03:27.44]  that people don't use it. Slang is very
[03:30.64]  limited to again a certain region, a
[03:33.68]  certain age group, a particular group of
[03:35.92]  people. So that that is important to
[03:38.56]  keep that in mind, especially when
[03:40.40]  you're talking about, oh, I want to go
[03:41.84]  out and use it because some people the
[03:44.08]  people you're talking to, they may not
[03:45.84]  be familiar with this slang. So keep
[03:48.48]  that in mind. And now let's begin the
[03:50.56]  first question that I have for you. Now
[03:52.88]  this is a bit more common. All right.
[03:55.04]  And I I've given you this to try and put
[03:58.08]  it in context and I'd say, "Dude, what
[04:00.72]  are you doing? That's my food." So I put
[04:03.76]  it in quotes because again, we're we're
[04:05.44]  referring to spoken English. It's more
[04:07.84]  common when it's spoken. So that's the
[04:10.08]  way I kind of want you to think about
[04:11.76]  this. Even though you're able to read
[04:13.28]  it, think about it as though somebody's
[04:15.12]  saying it. And if somebody's saying,
[04:16.32]  "Dude, what are you doing? That's my
[04:18.48]  food. What does dude refer to? Does it
[04:22.16]  refer to a man? Does it refer to a
[04:24.72]  woman? Or does it refer to either a man
[04:27.60]  or a woman? So dude, it's talking about
[04:30.08]  a person. I think many of you know that.
[04:32.48]  You probably have heard this word and
[04:34.48]  you are familiar with it. But what do
[04:36.80]  you think is it referring to? Does it
[04:39.12]  refer to a man, a woman, or either a man
[04:41.92]  or a woman? And this could be a bit
[04:44.48]  tricky. All right. Excellent. Yes. Uh,
[04:47.04]  busorn ramesa uh Chris Albert, thank you
[04:50.96]  for your answer. The answer is C. Either
[04:54.48]  a man or a woman. Now, I I will say
[04:57.28]  this, it generally refers to a man. Most
[05:01.76]  of the time that you you're when
[05:03.84]  somebody says dude, they're talking
[05:05.44]  about like maybe a group of guys or or a
[05:08.32]  a guy or a man. However, it can be used
[05:12.40]  as a genderneutral
[05:14.56]  uh noun. All right. It can be a a girl
[05:17.68]  could say this to another girl and say,
[05:19.84]  "Dude, it does not only have to be for a
[05:23.28]  man." The reason I put this in here is
[05:25.28]  because many of you have asked me this
[05:27.36]  question um from one of our other
[05:29.68]  lessons, and you say, "Well, dude, can
[05:31.68]  it be used to talk about either a man or
[05:34.08]  a woman?" Yes, it can be used in that s
[05:36.80]  context, but generally speaking, most of
[05:40.24]  the time it's used when talking about a
[05:43.12]  guy. For example, in that sentence, if
[05:45.04]  somebody says like, oh, you know, it's a
[05:47.44]  dude, then they're talking about it's a
[05:49.36]  guy, it's a man. In that context, if
[05:51.76]  somebody says, oh, you know, it's a
[05:53.20]  dude, they would be referring to, okay,
[05:55.36]  it's a man. But when you're talking to
[05:57.60]  somebody else and kind of instead of
[05:59.36]  saying like, hey, you, you want to talk
[06:01.76]  to that person and say, hey, dude, dude,
[06:04.48]  what are you doing? It could be a man or
[06:06.96]  a woman. It just depends. All right. So,
[06:09.20]  ju just a quick little that's a quick
[06:11.04]  clarification on the word dude. Most of
[06:13.68]  the time it's talking about a man, but
[06:15.84]  you could it could be used to talk uh to
[06:18.24]  another a woman, a female. And again,
[06:20.64]  this is a word that typically younger
[06:23.60]  people are going to use. Like people
[06:25.60]  like like my grandparents, they're not
[06:27.68]  using the word dude. Okay? Uh I don't
[06:30.24]  really use this word uh that often very
[06:33.44]  I I used it a lot more when I was
[06:34.96]  younger. All right? Now I feel like I'm
[06:36.64]  getting old because I don't use dude
[06:38.40]  anymore. All right, the next one. It's a
[06:40.72]  fill in the blank. All right, I would
[06:42.64]  just tell you guys, you know, you all
[06:44.48]  are great. I really want to give you m
[06:47.92]  for being here today. I really want to
[06:49.92]  give you m for being here today. What do
[06:52.48]  you think? Which word best completes
[06:54.88]  that that phrase? And I've I've
[06:57.04]  highlighted the slang phrase in in red.
[07:00.40]  So that is the whole part of the slang.
[07:02.48]  Give you what do you think? Uh, which
[07:05.28]  word best completes that? Is that a
[07:07.92]  cred, b props, or c shoutouts? All
[07:12.24]  right, what do what do you guys think?
[07:14.64]  All right. Um, you all are great. I
[07:17.84]  really want to give you m for being here
[07:20.64]  today. Which one do you think uh best
[07:23.92]  completes it? And I'm seeing a a lot of
[07:26.72]  different answers. Wow. Okay. Wait a
[07:28.80]  second. I thought you guys watched our
[07:30.72]  other slang videos. You should have
[07:32.16]  learned this already. All right. So many
[07:34.64]  of you are saying see all right if you
[07:38.00]  know I you could give a shout out but in
[07:40.88]  this case this context when you're
[07:42.72]  talking about the phrase together um yes
[07:45.84]  I want to give some shout outs to yes
[07:47.76]  Mrs. reluctant. Perfect. Claudia,
[07:49.92]  excellent. Esther, uh, miracle happens.
[07:52.72]  The correct answer is B. You give
[07:55.36]  someone props. All right. Now, when you
[07:58.64]  give props like, hey, I want to give you
[08:00.48]  props. You are giving someone proper
[08:03.76]  recognition or respect or, you know, for
[08:07.28]  doing something like uh in that
[08:09.04]  sentence, you know, I want to give you
[08:10.24]  mad props. Sometimes it's used with that
[08:12.96]  word as well, mad. But to give someone
[08:15.28]  props is, you know, you're giving them
[08:17.04]  respect. you're giving them some
[08:18.80]  recognition. I do think that this is a
[08:21.76]  little more common. You might even hear
[08:23.84]  it used uh in the workplace as well,
[08:26.32]  like yeah, you know, I want to give you
[08:27.76]  props for the work that you did on that
[08:30.08]  project. You want to give somebody
[08:32.00]  respect. Now, many of you said a shout
[08:35.04]  out because a shout out is also uh
[08:38.08]  recognition, but oftent times um you
[08:42.08]  could say I guess you want to give a
[08:43.76]  shout out. But when when I think of this
[08:46.32]  context like I want to give a shout out,
[08:48.40]  it means like I am announcing something.
[08:51.60]  Somebody is saying something to a wide
[08:54.56]  audience cuz right now there are many of
[08:56.56]  you watching this. So I might give a
[08:58.40]  shout out to you individually. But if
[09:00.80]  you're just talking to one other person
[09:02.96]  and you say like you know oh or even a
[09:05.76]  small group you'd say you know I want to
[09:07.60]  give you props. I want to give you props
[09:09.36]  for uh for doing this thing. You want to
[09:12.00]  give them respect. So, that is the
[09:14.48]  entire slang phrase to give someone
[09:16.88]  props. All right. This this next one.
[09:20.48]  Okay. What do you guys think? Um,
[09:24.40]  all right. This means to expose your
[09:27.04]  butt to others on purpose. And this is
[09:31.36]  very childish. It's something that I I
[09:34.72]  think maybe it's an older term. Um, but
[09:38.32]  it to expose your butt on purpose.
[09:40.16]  Usually doing it as a joke. And I put
[09:42.16]  that picture. Do you see those zebras in
[09:44.16]  there? Th those pesky zebras. They're
[09:46.32]  showing us. They're showing us their
[09:47.52]  butts. All right. If somebody's showing
[09:49.92]  you your butt on purpose, does that mean
[09:51.92]  to A to show, B to flash, or C to moon?
[09:57.20]  What do you think? Uh what do you think
[09:59.04]  is the correct answer? A, B, or C? Show,
[10:02.56]  flash, or moon. All right. Again, this
[10:05.20]  was in one of the previous lessons, so
[10:07.04]  if you saw that, then you should
[10:08.88]  remember it. Yes. Excellent, Paul.
[10:11.12]  Perfect. Um, who else? Uh, Simo,
[10:16.40]  Cece, uh, Arty, Metate. It's moving
[10:19.60]  really fast now, but yes, the answer is
[10:21.44]  C. Moon. So, to moon someone, you're
[10:24.72]  using it as a verb. It means that to
[10:27.20]  expose your butt to somebody on purpose.
[10:30.40]  This is when you are joking around. And
[10:33.20]  like I said, it's childish. I think of
[10:35.52]  like teenagers, they would do this and
[10:38.32]  they would moon somebody or like if uh
[10:41.20]  and and again I think maybe this is some
[10:44.16]  kind of childish joke that is just in
[10:46.72]  the United States. I can't say whether
[10:48.72]  other countries that this is happening.
[10:50.96]  Um but I could ask you know have you
[10:52.56]  ever mooned? Have you ever mooned
[10:53.84]  someone or have you ever mooned a group
[10:55.44]  of people? I will admit yes. When I was
[10:58.88]  a child I mooned I think it was probably
[11:01.84]  like a car. the cars are going down the
[11:04.08]  road and I would show my butt or
[11:06.16]  something and that would be like to moon
[11:08.64]  someone. All right. Yes, it is a
[11:10.48]  childish prank. Um, but now you know.
[11:14.00]  Again, this is probably not as common,
[11:16.40]  but again, that's why it's slang. So,
[11:19.44]  here's the next one. All right, put it
[11:21.44]  in context. Again, I put those uh wait a
[11:25.12]  second so you can see my quotes my
[11:26.88]  quotes up there so you know that I'm
[11:28.80]  talking about spoken English. and
[11:30.72]  somebody would say, "Hey, are you down
[11:32.88]  to go with me to the courthouse? Are you
[11:34.96]  down? Are you down to go with me to the
[11:36.88]  courthouse?" Again, I highlighted uh the
[11:39.52]  slang in red, which is down. So, what
[11:42.08]  does that mean? If somebody says, "Hey,
[11:43.44]  are you down to go with me to the
[11:45.12]  courthouse?" A, are you okay to do
[11:47.84]  something? B, are you happy to do
[11:49.84]  something? C, are you unwilling to do
[11:52.80]  something? Which uh which of those would
