Title     : Advanced American Idioms 🇺🇸  | LIVE QUIZ LESSON
Video ID  : cSVpsfA-pfQ
URL       : https://www.youtube.com/watch?v=cSVpsfA-pfQ
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 968
Saved at  : 2026-06-05 10:23:02
------------------------------------------------------------

[00:00.08]  everyone welcome to today's lesson
[00:03.28]  uh my name is wes this is interactive
[00:05.76]  english and the channel
[00:07.44]  it's it's just all about helping you
[00:09.28]  practice and improve your english skills
[00:11.20]  if this is your first time here please
[00:13.36]  let me know in the comments in the chat
[00:16.08]  love hearing from new people
[00:17.68]  and i also enjoy uh hearing from people
[00:20.72]  who regularly watch
[00:22.16]  our videos as well uh great to see so
[00:25.20]  many
[00:25.60]  familiar faces i have i think it's a fun
[00:28.96]  lesson and it's a useful lesson
[00:31.60]  especially for your comprehension
[00:34.88]  so i'm going to talk to you about idioms
[00:36.88]  we're going to talk about
[00:38.48]  some advanced idioms and i put the
[00:41.76]  um the flag from the united states
[00:43.84]  because i think these are idioms that
[00:46.16]  people will use
[00:47.28]  in the u.s that that does not mean that
[00:50.16]  they're only
[00:51.04]  used in the united states i think many
[00:54.00]  of these idioms
[00:55.36]  are pretty common across all english
[00:58.24]  varieties
[00:59.76]  if you're talking about british english
[01:01.36]  or in canada australia
[01:04.16]  south africa i think many people may use
[01:07.12]  these idioms
[01:08.48]  but the reason why i say they're
[01:10.48]  advanced is because
[01:13.20]  they're not um they are a little more
[01:15.92]  difficult
[01:16.72]  i think the meaning of these idioms are
[01:19.84]  very different from their individual
[01:22.48]  words
[01:23.20]  and the way that we're going to do this
[01:24.72]  is we're going to practice i'm going to
[01:26.64]  give you
[01:27.20]  it's it's kind of a quiz lesson so i'm
[01:29.60]  going to give you some questions and i
[01:31.68]  want you to try to answer
[01:33.84]  and think about the the idiom in english
[01:37.12]  and it this is going to be challenging
[01:38.88]  it will be difficult
[01:40.16]  i hope that you learn some new idioms
[01:42.96]  today
[01:43.76]  and the one thing i want to say is this
[01:45.52]  will be very helpful for your
[01:47.20]  comprehension
[01:48.32]  i'm i'm teaching you these idioms not so
[01:51.04]  that oh
[01:51.60]  i have to go out there and use them if
[01:53.76]  you can if you find yourself
[01:55.84]  in the appropriate situation that's
[01:57.68]  great but i think it's really useful for
[01:59.84]  your comprehension because you will hear
[02:02.16]  these idioms from time to time if you're
[02:04.88]  in a conversation
[02:06.24]  or watching a movie tv show listening to
[02:08.96]  a podcast or an audio book
[02:11.28]  these are idioms that you may hear and
[02:13.44]  it's really helpful
[02:14.56]  for your conversation so this will be
[02:17.12]  challenging i'm just going ahead and
[02:18.88]  throw that out there
[02:20.16]  uh i want to give some quick hellos to
[02:23.28]  uh people that are here with me hello
[02:25.60]  lollygatrudist
[02:26.88]  uh great to see some members excellent
[02:29.60]  um
[02:30.00]  bombas and nat karina uh arafan takayo
[02:33.60]  hey takayo how are you
[02:35.36]  um and i i want you guys to participate
[02:39.04]  throughout this lesson and i will give
[02:42.08]  you some questions
[02:43.44]  give you a moment to think about the
[02:45.20]  answer and then of course
[02:46.48]  i will tell you the answer so let's go
[02:48.80]  ahead and start and we're going to
[02:50.64]  practice with some of these
[02:52.72]  idioms the first way that we're going to
[02:54.80]  do this is
[02:55.76]  i'm going to give you the meaning of the
[02:58.16]  idiom
[02:58.96]  and then i'm going to give you a picture
[03:00.96]  that to kind of help you out
[03:03.52]  and i want you to just write the idiom
[03:05.60]  what idiom am i talking about in english
[03:08.08]  so
[03:08.72]  the the first one is this right here
[03:12.56]  to do or say something that lacks
[03:15.92]  evidence or support and you see the
[03:19.52]  picture
[03:20.24]  use that picture hopefully it'll help
[03:22.72]  you again i know this is difficult i
[03:25.12]  know this is challenging
[03:26.72]  but just bear with me and i will show
[03:29.44]  you the idiom
[03:30.24]  and then the meaning as well so you can
[03:32.64]  kind of think about it
[03:34.00]  but if you're thinking about like you're
[03:36.40]  you're saying
[03:37.12]  something that lacks evidence or support
[03:41.12]  often i think people will use this idiom
[03:44.40]  at the beginning of a sentence when they
[03:47.84]  want to make a guess
[03:49.12]  about something all right and the
[03:51.52]  picture there
[03:52.56]  is well you see a bird that is out
[03:55.84]  on a limb the key word there is limb
[03:58.80]  that's what i was hoping that
[04:00.32]  you would think of but i i know that
[04:02.80]  that
[04:03.60]  that may be very difficult because the
[04:05.60]  idiom that i'm talking about is
[04:07.60]  to go out on a limb and if you say that
[04:11.04]  you're going to
[04:12.08]  like go out on a limb you're saying
[04:14.24]  something or doing something that lacks
[04:16.00]  evidence let me give you
[04:17.28]  uh more of an explanation i told you
[04:19.92]  that somebody would use this
[04:21.92]  when they're about to maybe make a guess
[04:24.48]  they don't really have much evidence
[04:26.64]  but they're going to make a guess and
[04:28.32]  they'll say i'm going to go out on a
[04:30.16]  limb
[04:30.64]  and say that and then they share their
[04:33.84]  opinion
[04:34.80]  i'm going to go out on a limb and say
[04:36.80]  that he was lying all right i don't have
[04:39.20]  evidence
[04:40.08]  but i'm going to suggest that and you'd
[04:42.48]  say i'm going to go
[04:43.84]  out on a limb all right so that's a good
[04:46.40]  idiom
[04:46.96]  um that's a good idiom to learn you go
[04:49.28]  out on a limb
[04:50.08]  you're saying something not with much
[04:51.76]  evidence and remember i think it's
[04:53.60]  mostly
[04:54.08]  it's often used in that context people
[04:56.16]  would say well i'm going to go out on a
[04:57.92]  limb
[04:58.32]  and say whatever guess it is all right
[05:01.28]  excellent um
[05:02.88]  i hope some of you got that one let's
[05:05.12]  look at this one the next one
[05:07.28]  hopefully this is a little easier i
[05:09.36]  think the picture
[05:10.80]  um you could probably perhaps guess it a
[05:13.76]  little more
[05:14.56]  so is to greatly annoy or upset
[05:17.68]  someone use that picture think about
[05:20.80]  what's happening in the picture there's
[05:22.80]  a car driving
[05:24.48]  and there is a
[05:27.60]  what what is that those are bricks but i
[05:30.48]  was trying to go for
[05:31.76]  a wall all right so think about what
[05:35.36]  edm that would be in english if you are
[05:38.88]  uh greatly annoying someone or perhaps
[05:41.44]  you're upsetting
[05:42.64]  uh this person you could say
[05:45.76]  that this person is what
[05:49.04]  excellent uh i'm a uh
[05:53.12]  anna perfect we're talking about driving
[05:56.80]  someone up the wall to drive someone up
[05:59.68]  the wall
[06:00.24]  means that you are well you're very
[06:02.32]  annoyed and you would
[06:04.00]  say that uh like i said you could um
[06:07.28]  say this person is driving me
[06:10.40]  up the wall so if somebody is driving
[06:12.56]  you up the wall then they are
[06:14.32]  annoying you um and upsetting you
[06:17.52]  excellent uh
[06:21.15]  [Music]
[06:22.88]  we have uh voice uh
[06:26.32]  ramon excellent i'll try to get in as
[06:28.24]  many shout outs as i can
[06:29.84]  and again if you're just joining us we
[06:31.60]  are doing a little bit of an idiom
[06:34.00]  quiz and these are more advanced idioms
[06:36.96]  and i think it's definitely a little
[06:38.24]  more
[06:38.64]  advanced in the way that i'm trying to
[06:41.28]  quiz you
[06:42.00]  on these so again i'm giving you the
[06:44.96]  meaning
[06:45.76]  when someone is so frustrated or annoyed
[06:49.36]  they can no longer cope or they can no
[06:52.64]  longer
[06:54.08]  deal with this situation and you would
[06:56.80]  describe
[06:57.60]  this and somebody would
[07:00.64]  they would say this idiom right here and
[07:03.04]  it that's what it means
[07:04.40]  and use this picture uh to help you
[07:07.28]  guess what the idiom is
[07:08.88]  that's a picture that's a rope all right
[07:11.92]  um so i just told you it's a rope
[07:16.16]  that is part of the idiom so
[07:19.52]  think about that hopefully that may help
[07:21.68]  you especially if you've heard this
[07:23.44]  idiom before
[07:24.72]  um you some you're frustrated you can no
[07:27.76]  longer cope
[07:28.80]  excellent yes uh ramon
[07:32.32]  uh sid what somebody would say
[07:36.24]  is that they are at the end of their
[07:38.96]  rope
[07:39.68]  so so if i were to tell you i'm at the
[07:42.80]  end of my rope
[07:44.32]  it means that i'm so frustrated i can no
[07:47.84]  longer deal with this situation
[07:50.32]  and often i think people may use this if
[07:53.28]  you're
[07:54.08]  maybe having an argument or a
[07:55.84]  disagreement with somebody you're very
[07:58.16]  frustrated
[07:59.28]  uh perhaps parents with children they're
[08:02.00]  they're
[08:02.80]  very frustrated with their children and
[08:05.12]  you could say they
[08:06.16]  they can't cope they'd say uh i'm i'm at
[08:09.04]  the end of my rope
[08:10.80]  so it's in that case people might use it
[08:14.32]  as kind of a warning that if you're
[08:16.00]  frustrated with somebody and you're
[08:17.44]  telling them look
[08:18.48]  i'm at the end of my rope that you're
[08:20.72]  you're really about
[08:21.76]  at this point that you're no longer to
[08:23.84]  cope excellent um
[08:26.88]  so are you ready uh these are some other
[08:29.52]  good i see some other good
[08:30.56]  and uh idioms guesses that people are
[08:33.28]  using here's another one
[08:34.88]  and then i'm gonna switch it up the way
[08:36.88]  that i'm asking you this so
[08:39.68]  here's the the meaning of the idiom and
[08:42.16]  there are some pictures to help you so
[08:44.72]  if uh you are talking about personal
[08:48.24]  issues in front of other people
[08:51.84]  that are not involved so really if
[08:54.80]  you're
[08:55.28]  talking about your personal issues that
[08:59.12]  in front of other people and you don't
[09:01.04]  need to be doing this
[09:03.28]  what would you how would how would you
[09:04.64]  describe that situation
[09:07.84]  you have a picture right there of
[09:09.44]  laundry all right
[09:11.04]  dirty laundry so that
[09:14.08]  that is your clue that is your hint uh
[09:17.12]  dirty laundry and people are talking
[09:19.92]  about their
[09:20.64]  issues in front of other people and i
[09:23.68]  think often
[09:24.48]  people would use it to tell somebody
[09:27.76]  not to do this so perhaps you're at a
[09:30.88]  party with a group of people
[09:32.80]  and you're talking maybe you're having a
[09:35.12]  little bit of an argument with your
[09:36.48]  friend your
[09:37.60]  boyfriend girlfriend husband wife and
[09:40.00]  you you start talking about your
[09:41.60]  personal issues your relationship
[09:43.52]  whatever and the other person i say look
[09:46.08]  we don't need to
[09:47.12]  let's let's not do this let's not do
[09:49.36]  this so often
[09:50.56]  um you may use this with the negative
[09:53.12]  excellent
[09:53.92]  um we have some excellent uh
[09:57.04]  mzz uh you guys are close uh
[10:01.04]  michael perfect the the idiom
[10:04.32]  is to air out one's dirty laundry to air
[10:08.48]  out your dirty laundry
[10:10.08]  is if you are talking about your
[10:12.32]  personal issues
[10:13.52]  in front of other people and like i said
[10:17.76]  i think you would think somebody's in a
[10:19.52]  group and
[10:20.88]  two people are talking and somebody is
[10:23.60]  really
[10:24.48]  they're talking about their personal
[10:26.72]  issues with
[10:27.84]  maybe this other person and they say
[10:29.44]  look let's let's not air out our dirty
[10:32.08]  laundry or you don't need to air out
[10:34.16]  your
[10:34.48]  your dirty laundry um excellent yes so
[10:38.00]  you
[10:38.48]  i think you might hear it used with that
[10:40.16]  word let's like let's not
[10:41.68]  air out our dirty laundry we don't need
[10:43.44]  to do this stop airing out
[10:45.52]  your dirty laundry excellent uh maggie
[10:48.24]  perfect how are you excellent great to
[10:50.00]  see you
[10:51.04]  uh so those are again a
[10:54.24]  couple of idioms that we've talked about
[10:56.08]  so far so i've given you
[10:57.84]  uh to go out on a limb you're kind of
[11:02.08]  saying something without evidence we can
[11:04.56]  also drive someone up the wall which
[11:06.56]  makes them a little crazy
[11:08.24]  you if you want to say that you can no
[11:09.92]  longer cope you're at the end of your
[11:11.44]  rope
[11:12.16]  and uh to air out your dirty laundry is
[11:15.04]  talking about your personal issues
[11:17.20]  so now we're gonna switch it up i have
[11:19.68]  some more idioms
[11:20.88]  for you uh but the way that i'm going to
[11:23.04]  do it this time
[11:24.16]  now i'm i'm going to give you uh like a
[11:26.96]  conversation
[11:28.40]  and i'm gonna give you a blank so i'm
[11:30.32]  gonna give you the context
[11:32.08]  and then i'm gonna give you one word
[11:34.00]  which uh
[11:35.44]  is a hint to what the idiom is so let me
[11:38.00]  show you that will be a better way to
