Title     : Advanced American Idioms 🇺🇸  | QUIZ LESSON
Video ID  : LlbbezgA48w
URL       : https://www.youtube.com/watch?v=LlbbezgA48w
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 364
Saved at  : 2026-06-05 08:20:19
------------------------------------------------------------

[00:00.00]  hey everyone my name is wes this is
[00:02.24]  interactive english the channel is just
[00:04.40]  all about trying to help you practice
[00:06.48]  and improve your english skills
[00:08.24]  and today i have it's a quiz lesson i'm
[00:10.96]  going to quiz you on some
[00:12.48]  advanced english idioms and these are
[00:15.52]  idioms that i think are pretty common in
[00:17.20]  the united states you may hear these
[00:19.44]  uh in conversation from time to time so
[00:22.72]  for some of you this may be new and for
[00:25.28]  others
[00:25.92]  you may be familiar with it because if
[00:28.08]  you follow the channel regularly
[00:30.24]  what i've done is i've taken an older
[00:32.24]  live lesson and i've just shortened it
[00:34.16]  so
[00:34.88]  if you have already seen it then this
[00:36.80]  would be a good time to review and see
[00:38.96]  if you remember the answers and see if
[00:41.04]  you remember these idioms
[00:43.12]  so without further ado here is your
[00:46.56]  idiom quiz
[00:47.76]  the first way that we're going to do
[00:49.28]  this is i'm going to give you the
[00:51.68]  meaning of the idiom
[00:53.36]  and then i'm going to give you a picture
[00:55.36]  that to kind of help you out the
[00:58.24]  the first one is this right here
[01:01.68]  to do or say something that lacks
[01:05.04]  evidence or support and you see the
[01:08.64]  picture
[01:09.44]  use that picture hopefully it'll help
[01:11.84]  you again i know this is difficult i
[01:14.24]  know this is challenging
[01:15.84]  but just bear with me and i will show
[01:18.56]  you the idiom and then the meaning
[01:20.40]  as well so you can kind of think about
[01:24.84]  it
[01:26.80]  you see a bird that is out on a limb
[01:30.56]  the key word there is limb that's what i
[01:32.96]  was hoping that
[01:33.92]  you would think of but i i know that
[01:36.48]  that uh
[01:37.28]  that may be very difficult because the
[01:39.28]  idiom that i'm talking about
[01:40.72]  is to go out on a limb and if you
[01:44.24]  say that you're going to like go out on
[01:46.56]  a limb
[01:47.36]  you're saying something or doing
[01:48.72]  something that lacks evidence i hope
[01:50.32]  some of you got that one
[01:52.00]  let's look at this one the next one
[01:54.40]  hopefully this is a little easier
[01:56.32]  i think the picture um you could
[01:59.36]  probably
[01:59.92]  perhaps guess it a little more so is to
[02:02.48]  greatly
[02:03.20]  annoy or upset someone use that picture
[02:07.20]  think about what's happening in the
[02:09.20]  picture there's a car driving
[02:11.60]  and there is a
[02:14.64]  what what is that
[02:19.44]  we're talking about driving someone
[02:22.48]  up the wall to drive someone up the wall
[02:25.12]  means that you are
[02:26.56]  well you're very annoyed and you would
[02:28.96]  say that
[02:29.76]  uh like i said you could um say this
[02:33.04]  person is driving
[02:34.64]  me up the walls again i'm giving you the
[02:37.28]  meaning
[02:38.16]  when someone is so frustrated or annoyed
[02:41.76]  they can no longer cope or they can no
[02:45.04]  longer
[02:46.48]  deal with this situation and you would
[02:49.12]  describe this
[02:50.64]  and somebody would they would say this
[02:54.08]  idiom right here
[02:59.20]  what somebody would say is that they are
[03:01.68]  at the end
[03:02.64]  of their rope so so if i were to tell
[03:05.84]  you
[03:06.72]  i'm at the end of my rope it means that
[03:09.60]  i'm
[03:10.08]  so frustrated i can no longer deal with
[03:13.20]  this situation
[03:14.16]  here here's another one and then i'm
[03:15.76]  gonna switch it up the way that i'm
[03:17.84]  asking you this so
[03:20.16]  here's the the meaning of the idiom and
[03:22.72]  there are some pictures to help you so
[03:25.20]  if uh you are talking about personal
[03:28.72]  issues
[03:30.08]  in front of other people that are not
[03:33.20]  involved
[03:33.76]  how would you describe that situation
[03:40.08]  the idiom is to air out
[03:43.28]  one's dirty laundry to air out your
[03:45.44]  dirty laundry
[03:46.72]  is if you are talking about your
[03:48.88]  personal issues
[03:50.16]  in front of other people so now we're
[03:53.12]  gonna switch it up i have some more
[03:55.04]  idioms
[03:55.76]  for you uh but the way that i'm going to
[03:57.92]  do it this time
[03:59.04]  now i'm going to give you uh like a
[04:01.84]  conversation
[04:03.28]  and i'm going to give you a blank so i'm
[04:05.20]  going to give you the context
[04:06.96]  and then i'm going to give you one word
[04:08.80]  which
[04:10.24]  is a hint to what the idiom is so let me
[04:12.88]  show you that will be a better way to
[04:14.64]  explain it
[04:15.52]  so the thing about here's this situation
[04:17.44]  right here
[04:18.96]  one person there's a blank because this
[04:21.84]  person is using the idiom
[04:24.00]  the key word is speak so this that word
[04:27.60]  is part of the idiom and the other
[04:29.52]  person says hey tom we were just talking
[04:32.00]  about you
[04:32.96]  what idiom might this person be using
[04:35.60]  it's really
[04:36.32]  um it's kind of it's an expression that
[04:38.96]  people would use in english
[04:40.88]  to when this situation occurs
[04:48.00]  i think you may have heard this uh
[04:50.08]  expression before
[04:51.28]  speak of the devil so i told you i think
[04:53.84]  we can all relate to it we're having a
[04:55.28]  conversation
[04:56.00]  talking about somebody that person just
[04:58.40]  arrives or perhaps they call
[05:00.32]  and you could say speak of the devil
