Title     : American Culture Quiz 🇺🇸  (ONLY 3% CAN PASS THIS TEST)
Video ID  : TffOC4_lqMU
URL       : https://www.youtube.com/watch?v=TffOC4_lqMU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 883
Saved at  : 2026-06-05 10:15:59
------------------------------------------------------------

[00:00.08]  hey everyone welcome to today's lesson
[00:03.44]  this is uh i've been looking forward to
[00:05.92]  this lesson for a while because we are
[00:07.92]  going to talk well a little bit about
[00:10.40]  american culture so i have a quiz
[00:13.92]  uh for you about american culture this
[00:17.04]  is an interactive lesson so i hope that
[00:19.60]  you participate write your answers in
[00:22.32]  the chat or even if you're watching
[00:24.00]  later write your answers in the comments
[00:26.16]  now i i am from the united states
[00:29.28]  the quiz of course i do not represent
[00:32.40]  everything about uh american culture
[00:36.00]  some of this is going to be through my
[00:38.32]  own perspective but i feel that uh
[00:42.32]  people from the united states would
[00:43.92]  would do quite well with this and i
[00:45.68]  think many of you because we have people
[00:48.48]  in our community from all over the world
[00:50.96]  that are familiar with u.s culture
[00:53.52]  because of movies or songs or tv shows
[00:57.28]  um and and just just knowing about it
[00:59.84]  and reading about it so this is a little
[01:01.52]  bit of test many of you maybe have
[01:03.68]  traveled there and i know many people um
[01:06.48]  that watch these video lessons actually
[01:08.72]  live in the us so it'll be a
[01:11.28]  little bit interesting to get your take
[01:13.44]  and to hear your answers with uh these
[01:16.40]  uh questions
[01:18.08]  so i i do want to say uh quick hello um
[01:22.64]  ah vicky gustav uh glad you're glad to
[01:25.84]  see you good glad you made it um
[01:29.28]  hello lolly sleepwalker angela yashar
[01:32.40]  good to see you
[01:33.92]  and i i'm gonna get through some more
[01:36.24]  shout outs as we go through this um
[01:39.52]  and
[01:40.72]  the first thing that i want to say real
[01:42.24]  quickly quick little announcement is
[01:44.48]  that i am getting ready to start uh well
[01:47.60]  i'm going to start an uh speaking course
[01:50.08]  in january in case you're interested the
[01:53.20]  the course is all about helping you
[01:54.72]  speak confidently speak clearly speak
[01:57.04]  naturally we talk about a variety of
[01:59.52]  topics trying to build speaking
[02:01.36]  confidence we do different speaking
[02:03.36]  activities so the the course includes uh
[02:07.28]  eight weekly lessons with me so you get
[02:10.24]  to speak directly with me if you would
[02:12.96]  like more information
[02:15.20]  about this i'm gonna throw it you can
[02:17.12]  check out the link down in the
[02:18.48]  description i'm also going to throw
[02:20.40]  something in the chat right here
[02:22.40]  and last thing i just reminded me um
[02:26.56]  because it is 2022 is around the corner
[02:29.76]  you can use the code speak 22 to get 22
[02:34.40]  off so if you're interested in the
[02:36.56]  course maybe you want to improve your
[02:38.80]  speaking fluency in 2022 check that out
[02:42.16]  link is in the description so let's go
[02:45.04]  ahead and begin
[02:47.12]  with the first question that i have for
[02:49.36]  you and that is this one right here okay
[02:52.96]  so
[02:54.56]  we're going to start out uh
[02:56.16]  i i think this is some of these my
[02:58.48]  hair's all
[02:59.68]  all messed up
[03:01.44]  some i think are going to be much easier
[03:03.28]  than the others when is thanksgiving in
[03:05.52]  the united states okay
[03:07.60]  and
[03:08.56]  i think if you if you really follow my
[03:11.20]  video lessons i just did one very
[03:13.52]  recently
[03:14.64]  about thanksgiving and talked
[03:16.72]  specifically about this
[03:19.12]  like when is it
[03:20.72]  and it is not like
[03:22.72]  there are several many countries
[03:24.08]  celebrate thanksgiving it's at a
[03:25.76]  different time but in the united states
[03:28.64]  when when do we celebrate thanksgiving
[03:31.44]  let me know um
[03:33.44]  in the chat in the comments uh hi bemini
[03:36.64]  how are you good to see you again
[03:38.48]  uh i got some well answered wait
[03:41.68]  mustafa jan eight january no no no no no
[03:44.24]  not january yuri not in october um
[03:48.40]  i thought
[03:49.52]  people no lolli not the 28th of november
[03:52.64]  not for
[03:53.76]  don't think about this year just in
[03:55.60]  general what is kind of like the rule in
[03:58.64]  general jen you're close you're close
[04:02.00]  like the
[04:03.52]  the the last thursday of november you're
[04:05.36]  getting close uh zodiac yes it is the
[04:08.80]  correct answer um yes
[04:12.08]  in november yes the it is in november
[04:15.76]  specifically
[04:17.28]  and this is what i mentioned in in the
[04:19.20]  united states
[04:20.56]  it's going to be on the fourth thursday
[04:23.60]  of november so somebody had mentioned
[04:25.60]  like the last thursday in general it
[04:27.84]  typically is the last thursday depending
[04:30.72]  on how the
[04:32.00]  the year is it quite possibly um
[04:36.64]  i'm trying to think i guess you could
[04:37.84]  have uh no you wouldn't be able to have
[04:40.64]  five thursdays so then you could say
[04:42.24]  maybe last thursday in general the
[04:44.88]  fourth the fourth thursday
[04:47.68]  in november um is when thanksgiving is
[04:51.76]  celebrated so i saw like a couple
[04:54.48]  different months out there uh january is
[04:56.96]  that okay let's let's move on see how
[04:59.12]  well we do this next one
[05:00.96]  this is a little more pop culture right
[05:03.04]  here
[05:04.16]  who is considered the queen of pop
[05:07.84]  okay and maybe maybe i don't know it's
[05:11.04]  because of my my age um
[05:13.84]  what do you think so
[05:15.36]  for those of you
[05:16.88]  you're sure you're familiar with michael
[05:18.80]  jackson the king of pop
[05:21.52]  who is considered
[05:23.20]  the queen of pop
[05:25.12]  who do you think any any guesses it is
[05:28.00]  i'll go ahead and tell you it is another
[05:30.72]  musician
[05:32.08]  another singer
[05:34.08]  who
[05:34.96]  is also
[05:36.84]  um you know not not from today but a
[05:41.04]  while back um the queen of pop
[05:44.48]  yeah all right excellent uh
[05:47.20]  stacy ashar
[05:49.84]  virginia
[05:51.36]  michelle leonardo rita all right
[05:53.04]  excellent if you guys got that right
[05:54.88]  just hit that like button alright hit
[05:56.72]  that like button share the lesson help
[05:58.56]  us spread the word getting a lot of good
[06:01.12]  answers in here so madonna
[06:03.28]  is the queen of pop and i don't know who
[06:06.72]  uh
[06:07.68]  if she gave herself that title i really
[06:10.08]  don't know but michael jackson is
[06:12.00]  considered the king of pop uh madonna is
[06:15.28]  the queen of pop the next question we're
[06:17.92]  just gonna keep rolling through these
[06:20.88]  this is uh maybe if you've been to the
[06:24.16]  u.s perhaps you've been to the city
[06:26.96]  in which city can you visit both
[06:30.32]  the coca-cola museum
[06:32.40]  and the birth home of martin luther king
[06:35.68]  jr
[06:36.72]  so you have a little bit of um
[06:39.20]  well a little bit of history in there
[06:40.96]  with uh mlk as well as
[06:44.48]  some corporate american corporate trivia
[06:48.00]  with coca-cola
[06:50.80]  so what do you think hi takayam good to
[06:52.80]  see you
[06:53.92]  um
[06:54.88]  mustafa asks what's pop pop is just a
[06:56.88]  genre of music when you talk about like
[06:59.20]  pop music
[07:00.96]  so
[07:01.68]  what what city what do you think
[07:04.72]  you said georgia you're getting close
[07:06.80]  but what city georgia's the state
[07:09.28]  um wow you guys uh
[07:12.88]  some of you rock this out pretty quickly
[07:14.96]  maybe you've been there maybe to the
[07:16.96]  coca-cola museum or the mlk so
[07:20.48]  the correct answer
[07:22.72]  is the city
[07:24.56]  of atlanta now atlanta's the city
[07:27.84]  atlanta is the capital of georgia
[07:30.16]  georgia is the state some of you had
[07:32.80]  were writing georgia but atlanta is the
[07:36.24]  capital of georgia it is where you will
[07:38.48]  find the birthplace of martin luther
[07:40.24]  king jr as well as coca-cola coca-cola's
[07:43.52]  headquartered in atlanta and they have
[07:46.00]  this coca-cola museum and you can
[07:48.64]  drink a bunch of coca-cola all right
[07:52.64]  some people put alabama you're close
[07:54.56]  you're in the south
[07:57.44]  the next question all right
[08:00.24]  so
[08:01.04]  i i tried my best to kind of mix it up
[08:04.00]  between some
[08:05.52]  history and pop culture um just some
[08:08.96]  travel stuff so we'll we'll see uh we'll
[08:12.48]  see what you think again this is just
[08:15.12]  i made this quiz so it's really through
[08:16.96]  my perspective but
[08:19.04]  people on the west coast especially in
[08:22.00]  california and this is true what i've
[08:24.00]  learned about people in california they
[08:26.24]  are crazy
[08:27.92]  about this fast food chain there is a
[08:31.68]  particular
[08:32.96]  fast food chain
[08:34.80]  that people are crazy about they think
[08:37.36]  it's the best one oh this one's the best
[08:39.04]  it's so much better than all the others
[08:40.96]  so not saying like it's the best
[08:42.48]  restaurant but in thinking of like your
[08:44.56]  your fast food options
[08:46.80]  people think this one is by far the best
[08:49.92]  and i say it's the west coast because
[08:53.04]  this chain is
[08:54.64]  mostly on the west coast you're not
[08:57.52]  really gonna i don't know if they have
[08:59.04]  any on the east coast
[09:01.12]  so this is a very this is a good one if
[09:03.76]  you've traveled to california or on the
[09:06.56]  west coast maybe you've talked to other
[09:08.88]  americans and they mention
[09:10.88]  this fast food and i keep talking right
[09:13.60]  now a little bit of rambling because i
[09:15.52]  have not seen
[09:16.88]  the correct answer just yet
[09:19.68]  it's not mcdonald's it's not taco bell
[09:22.00]  it's not burger king it's not a food
[09:24.48]  truck uh that's good on alex
[09:27.20]  yes
[09:28.24]  alex you must have been to uh
[09:31.52]  california because it is correct the
[09:34.24]  correct answer is in and out uh in and
[09:37.36]  out burger it's a chain that i don't
[09:39.76]  know
[09:40.64]  maybe i don't know if it started in
[09:42.08]  california i think it might have because
[09:44.00]  there are many of them in california but
[09:46.56]  they're all they're along the west uh
[09:48.96]  the west coast it is still a private
[09:51.04]  company so it is not a public company
[09:53.36]  like mcdonald's which is maybe another
[09:55.52]  reason why it's a little uh it's a
[09:57.92]  little smaller but you find them mostly
[10:00.64]  on the west coast and people who live
[10:03.04]  out there they think like oh it's the
[10:05.28]  best fast food in the world that some
[10:07.84]  people don't even consider it fast food
[10:09.52]  i would disagree with that but um
[10:12.56]  just in case if you're ever in
[10:13.76]  california go
[10:15.12]  yeah check out in and out burger you can
[10:17.36]  see for yourself this video is not
[10:19.20]  sponsored by in-n-out burger all right
[10:21.52]  so just a just a heads up though
[10:23.84]  um
