Title     : COMMONLY CONFUSED WORDS IN ENGLSH | Prefixes Un-  vs Dis-  | Build English Vocabulary
Video ID  : PraVZaXHpYI
URL       : https://www.youtube.com/watch?v=PraVZaXHpYI
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 307
Saved at  : 2026-06-05 08:29:07
------------------------------------------------------------

[00:00.00]  today I want to help you build your
[00:01.59]  vocabulary by talking about some
[00:03.78]  commonly confused words that's coming up
[00:08.81]  hi everyone my name is Wes this is
[00:11.67]  interactive English which is all about
[00:13.83]  helping you practice and improve your
[00:15.75]  English skills and today it's more of a
[00:18.45]  vocabulary lesson even though there is a
[00:20.94]  little bit of grammar to it because I
[00:23.64]  want to talk to you about some commonly
[00:25.74]  confused words with the prefixes on and
[00:29.16]  dis now if you don't know what a prefix
[00:32.04]  is it is a group of letters that is
[00:34.11]  added before a base word and it changes
[00:37.83]  the meaning so for example you could
[00:39.78]  have well dress and undress agree
[00:44.43]  disagree when you add those prefixes to
[00:48.36]  the front of those base words it's going
[00:51.12]  to change the meaning so let's start
[00:52.92]  with the meaning of those prefixes unn
[00:54.93]  and dis and in general they both pretty
[00:57.96]  much mean not however there are some
[01:00.15]  slight differences unn can mean not as
[01:03.30]  in well unlock you know the door is
[01:05.97]  unlocked
[01:07.02]  it's not locked it can also mean the
[01:09.24]  opposite of some action for example
[01:12.29]  undress instead of getting dressed I you
[01:15.66]  know I at night I got undressed and I
[01:17.79]  put on my pajamas dis can also mean not
[01:20.67]  as in disobey you do not obey someone it
[01:25.38]  also can mean a lack of something for
[01:28.11]  example honesty dishonesty this person
[01:31.17]  lacks honesty or it can mean the
[01:33.06]  opposite of some action disappear
[01:36.09]  instead of appearing it's gonna it's
[01:38.52]  gonna be the opposite it's gonna go away
[01:39.81]  it's going to disappear now the reason
[01:42.60]  why I say that that these prefixes can
[01:45.69]  create a bunch of different commonly
[01:48.48]  confused words is because there are some
[01:51.39]  base words in which you can add either
[01:54.57]  on or dis and when you do that you're
[01:58.05]  going to have different meanings so
[02:00.45]  let's begin by talking about our first
[02:03.87]  set of words unqualified and
[02:07.31]  disqualified so let's start with
[02:09.39]  unqualified the base word qualified it's
[02:12.42]  an adjective it may
[02:13.68]  that you have some knowledge some skill
[02:16.44]  some experience in order to do something
[02:19.68]  this person is qualified if they are
[02:22.50]  unqualified then then it's just like
[02:24.54]  putting not in front of it this person
[02:26.61]  does not have the skills the knowledge
[02:28.11]  or the experience to do something they
[02:31.05]  are unqualified I think of like a job
[02:34.23]  position you apply for a job maybe you
[02:37.14]  are qualified or you are unqualified for
[02:39.78]  that position oh man I can't believe you
[02:42.63]  fail oh I'm gonna lose my job just
[02:45.66]  because I'm dangerously unqualified now
[02:48.63]  disqualified this actually comes from
[02:51.00]  the verb to qualify which means that you
[02:54.99]  have if there's a competition that you
[02:57.33]  have met the standards in order to
[02:59.73]  participate or continue to qualify but
[03:02.94]  if you are disqualified you may be
[03:06.30]  disqualified from a competition or from
[03:09.33]  an event which means that you have
[03:12.65]  violated or broken those standards or
[03:16.50]  you maybe have cheated in some way which
[03:19.23]  now it prohibits you from participating
[03:23.19]  in this event and in this case it would
[03:25.44]  be an adjective you could say I was
[03:27.60]  disqualified from the competition I did
[03:31.11]  something wrong so I was disqualified or
[03:33.78]  the team was disqualified because they
[03:36.24]  were caught cheating you pull that crap
[03:38.10]  one more time disqualified so with both
[03:41.49]  of these words unqualified and
[03:43.59]  disqualified they are both adjectives
[03:45.96]  but the the meaning is completely
[03:48.48]  different
[03:49.38]  unqualified you have no skill or
[03:51.57]  experience disqualified you have
[03:54.57]  violated some some rule and you cannot
[03:57.90]  participate in some activity next I want
[04:00.69]  to talk to you about unable vs. disabled
[04:03.18]  now both words have that base word able
[04:05.79]  which means that you have the the skill
[04:08.52]  or knowledge in order to do something if
[04:11.97]  we add the prefix on unable it's also an
[04:15.96]  adjective and it's like we're adding not
[04:18.03]  in front of that that meaning that you
[04:20.19]  are that you do not have the skill or
[04:22.92]  the strength or the opportunity to to
[04:26.14]  do something you are unable to do it
[04:28.45]  Charlotte was a bit freaked out as well
[04:30.82]  unable to sleep and unable to unpack I'm
[04:33.25]  unable to have children disabled means
[04:36.61]  that this this is actually a verb to
[04:39.67]  disable something and when you disable
[04:42.94]  something it means that you are you are
[04:45.91]  ruining it so that it's not able to work
[04:49.84]  that you are destroying something so
[04:52.63]  that it does not work correctly this is
[04:55.90]  actually the opposite of the verb enable
[04:59.50]  so in that case you have another prefix
[05:02.71]  there and able to enable something it
[05:05.05]  means that you are you were doing
[05:06.64]  something to get it working to disable
[05:09.43]  something that you are doing something
[05:11.23]  so that it's not working for example if
[05:14.11]  there maybe there's an alarm and the
[05:16.99]  alarm is broken you want to disable the
[05:19.90]  alarm so that it stops going off please
[05:22.44]  disable the field system in this case
[05:25.84]  there are two different parts of speech
[05:27.46]  you are unable to do something an
[05:29.95]  adjective you can't do it or you want to
[05:32.98]  disable something a verb you want to
[05:36.49]  stop it from working correctly then we
[05:38.95]  have unarmed versus disarmed and the
[05:41.50]  difference between these two is really
[05:43.45]  just the part of speech even though the
[05:45.67]  meaning is a little similar so let's
[05:47.98]  start with that base word again armed
[05:50.92]  now this can be an adjective which
[05:53.11]  you're describing someone who has
[05:55.06]  weapons so if somebody is unarmed then
[05:59.23]  you are it's also an adjective you are
[06:01.30]  describing somebody who does not have
[06:03.55]  weapons I often think you might hear
[06:05.95]  this in a movie or TV show somebody
[06:08.23]  walks out there hands are up and they
[06:09.70]  say I'm unarmed don't shoot I'm unarmed
[06:11.80]  you're unarmed indeed we are sir Tatum
[06:15.25]  may I address you and your deputy but
[06:18.40]  arm can also be a verb to arm someone
[06:21.91]  which means to give them weapons and in
[06:25.12]  that case to disarm means to give up
[06:28.36]  weapons and in our original example
[06:30.90]  unarmed versus disarmed we're talking
[06:34.06]  about the past it is a regular verb
[06:36.16]  armed disarmed the
[06:38.69]  don't last long here gentlemen you will
[06:41.69]  now be disarmed you can try you refuse
[06:44.60]  to obey our laws so unarmed means you
[06:48.02]  don't have weapons it's an adjective
[06:49.90]  disarmed is the past tense verb means
[06:53.87]  that you you are giving up your weapons
[06:56.72]  disarmed now let's look at two words
[06:59.12]  that I think are are commonly confused
[07:01.55]  and that is uninterested versus
[07:04.34]  disinterested so let's begin with
[07:07.10]  interested which is an adjective that
[07:09.11]  means that you that you are showing that
[07:11.60]  you want to learn more about something
[07:13.88]  or or be involved in it
[07:16.18]  uninterested it's also an adjective
[07:18.62]  which means that you that you do not
[07:21.44]  want to learn more about it and I I
[07:24.20]  think it maybe shows that somebody is
[07:27.11]  bored or indifferent along with your
[07:29.87]  station down the planet dr. only a few
[07:32.06]  months we found them totally
[07:33.56]  uninterested in medical aid or hospitals
[07:35.63]  they believed that only the strong
[07:38.26]  disinterested has a completely different
[07:41.06]  meaning even though it is an adjective
[07:43.40]  it means that someone is impartial or
[07:47.87]  unbiased let me give you an example if
[07:50.21]  there is a competition and there's going
