Title     : Ghostly Halloween Idioms That Will Scare You Stiff  🎃
Video ID  : h7gDtiU92aI
URL       : https://www.youtube.com/watch?v=h7gDtiU92aI
Language  : English (en)
Generated : No (manually created)
Snippets  : 93
Saved at  : 2026-06-05 09:44:59
------------------------------------------------------------

[00:04.68]  Today I'm going to teach you 11 spooky, scary Halloween idioms.
[00:11.72]  I'm sure you're wondering, "Why 11?"
[00:14.26]  Because 11 is an odd number and we are all about
[00:18.90]  odd things around Halloween time.
[00:29.14]  Today we're talking about Halloween idioms.
[00:32.66]  So if you're ready for some spooky fun, keep watching.
[00:36.46]  You can use these idioms anytime, anywhere, not just on Halloween.
[00:40.90]  But keep in mind that idioms are more of an informal way of communicating.
[00:46.06]  So don't go putting them on job applications, or essays, or things like that.
[00:50.86]  Are you ready for some spooky idioms?
[00:53.40]  Let's go!
[00:54.66]  Number one...
[00:56.20]  Are you scared?
[00:58.42]  You should be because this idiom is scared stiff.
[01:03.26]  And scared stiff means very badly, badly, badly, badly, frightened.
[01:08.34]  So frightened that you can't really move. You're stiff.
[01:13.32]  You can't move. Badly frightened. Scared stiff.
[01:24.18]  Number two - something that comes back to haunt.
[01:28.14]  This idiom refers to a mistake from the past that affects someone later.
[01:33.98]  So if something has come back to haunt you, it's not usually good.
[01:37.62]  It's something that you've done a long time ago, and you
[01:41.06]  see the consequences of that action now.
[01:44.56]  It's not good, and it's very, very terrifying.
[01:55.50]  Number three - a stab in the back.
[01:58.58]  Ouch...that is painful.
[02:00.70]  Now from the get-go you can tell that this is not good.
[02:04.40]  Nobody wants to get stabbed in the back.
[02:06.80]  But what it really means is if somebody betrays you.
[02:12.18]  This idiom could be a stab in the back or it could be to stab someone in the back.
[02:17.58]  This idiom usually does refer to people who are close to you.
[02:21.02]  They are usually the ones who can stab you in the back.
[02:24.12]  So if you have any friends, please don't stab them in the back.
[02:27.82]  It's not nice. It's painful.
[02:37.02]  Number four - witch hunt.
[02:39.38]  A witch hunt is an investigation usually used to
[02:43.14]  harass a particular person or a group of people.
[02:47.46]  So it's not good. It's like you're targeting a specific
[02:51.58]  person or group of people to harass them.
[02:54.82]  Not good.
[03:02.70]  Number five - skeleton in the closet.
[03:06.02]  Whoo...did it get cold in here?
[03:08.40]  This one refers to an embarrassing or incriminating secret from your past.
[03:14.46]  It references having a corpse hidden inside your closet.
[03:21.38]  You wouldn't want anyone to find out about that.
[03:31.30]  Number six - blind as a bat.
[03:33.76]  I love this idiom.
[03:35.24]  And you know why? Because I am kind of blind as a bat.
[03:40.18]  It just means a person who cannot see very well.
[03:43.80]  So without my contacts or my glasses I am definitely blind as a bat.
[03:48.86]  I would run into things, hit things, fall. Not good.
[04:00.22]  Number seven - night owl.
[04:02.32]  This is a person who is awake during the night.
[04:05.56]  They are very comfortable staying up at night.
[04:08.92]  Maybe they're working or they're studying.
[04:11.72]  Or maybe they're watching movies or other things.
[04:14.42]  They're just very comfortable being up and awake in the middle of the night.
[04:20.36]  I am NOT a night owl.
[04:22.80]  I love to go to bed early.
[04:25.06]  In fact, it one of my favorite things.
[04:27.20]  So...not a night owl.
[04:36.60]  Number eight - in cold blood.
[04:39.42]  Now we're really getting somewhere scary.
[04:42.46]  This idiom means to do something without mercy or emotion.
[04:47.72]  And it usually refers to killing.
[04:51.10]  So it's an idiom that I hope you don't use very often at all.
[04:56.94]  Hopefully maybe never because it's just not a good situation to have.
[05:08.40]  Number nine - a death trap.
[05:10.56]  A death trap is a place that is potentially very dangerous.
[05:15.96]  I challenge you to say death trap ten times. Go!
[05:19.56]  Death trap, death trap, death trap, death trap, death....five times even is hard.
[05:33.90]  Number ten - ghost town.
[05:36.26]  I love ghosts. No, sorry ghosts. If you hear me, I don't love you. I was joking.
[05:40.86]  It's not as scary as it sounds though because a ghost town is a place that is empty.
[05:47.02]  So it doesn't have to be an actual town full of ghosts.
[05:52.00]  Although, how scary would that be?
[05:56.72]  But I'm a wuss so I'd get scared and run.
[06:06.90]  And number 11, the oddest one of all, to give someone the heebie-jeebies.
[06:13.50]  I love this idiom. The first time I learned this idiom, I was actually watching Madagascar.
[06:19.04]  Out of all things...yes the animated cartoon movie. Yes, that's the one.
[06:24.10]  Does anyone else have the heebie-jeebies?
[06:26.78]  It sounds really funny, the heebie-jeebies, but it doesn't have a good or funny meaning.
[06:32.16]  If somebody is giving you the heebie-jeebies, it means
[06:35.16]  they're making you very, very scared.
[06:38.02]  So scared that you're trembling. Ohhh.
[06:41.24]  Gives me the heebie-jeebies.
[06:50.30]  Now are you ready for spooky practice?
[06:53.72]  In the comments, tell us about a time when someone scared you stiff or gave you the heebie-jeebies.
[06:59.60]  Go!
[07:00.50]  That's it for this lesson.
[07:01.76]  Please give this video a thumbs up if you feel like you've
[07:04.44]  learned something new and had some spooky fun.
[07:07.94]  Thank you for joining us and we'll see you next time.
[07:10.72]  Bye!
