Title     : LEARN ALL 12 VERB TENSES IN ENGLISH  🎊
Video ID  : 57siOIS-qEU
URL       : https://www.youtube.com/watch?v=57siOIS-qEU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1249
Saved at  : 2026-06-05 10:33:13
------------------------------------------------------------

[00:00.56]  Hello. What's up everyone? My name is
[00:03.60]  Wes and in case this is your first time
[00:06.80]  here at Interactive English, we are all
[00:09.12]  about helping you practice and improve
[00:11.36]  your English skills. And today, this is
[00:13.68]  a lesson that many people have requested
[00:16.16]  us to do. We are going to talk about all
[00:19.76]  12 verb tenses. That's right. I am going
[00:22.32]  to cover all 12 verb tenses in this
[00:25.44]  lesson. But not only that, I want you
[00:28.08]  guys to practice your skills, which is
[00:30.08]  what this is all about. So, I want you
[00:32.00]  to write sentences throughout this
[00:33.92]  lesson. Write sentences in the chat and
[00:36.64]  practice these verb tenses. And even if
[00:38.72]  you are watching this later, I want you
[00:40.88]  to use the comment section as though it
[00:43.44]  were a piece of paper and write
[00:45.28]  sentences there. A and always practice,
[00:48.40]  practice, practice, practice. That is
[00:50.48]  what these interactive lessons are all
[00:53.04]  about. So, I want to give quick shout
[00:55.28]  out. Hello Lai, Luna, Susanna, Min,
[00:57.84]  Yelvin, Sed, Angela, welcome. Thank you
[01:00.88]  for joining me today. I will give some
[01:02.80]  more shoutouts throughout the lesson,
[01:04.72]  especially as you guys are writing your
[01:07.12]  sentences. So, let's just let's let's
[01:10.32]  just begin. All right, there are 12
[01:12.96]  different verb tenses that we're going
[01:14.88]  to talk about today. So, you may think,
[01:17.28]  well, how did we get to 12? Well, there
[01:19.60]  are four aspects in which you were
[01:21.76]  talking about the simple, the
[01:23.60]  progressive, the perfect or the perfect
[01:26.32]  progressive. Now, you may hear some
[01:28.72]  people refer to the progressive as
[01:31.28]  continuous, they mean the same thing.
[01:33.76]  Either one, whether you want to say the
[01:35.60]  the progressive tense or continuous,
[01:38.16]  either one is okay. So, we have those
[01:40.16]  four aspects and then the three main
[01:42.72]  tenses which I think everyone is
[01:45.04]  familiar with, the past, the present,
[01:47.36]  and the future. And when we multiply
[01:49.52]  four * 3, we get 12. We get 12 different
[01:53.12]  verb tenses. Now, I I gave you this just
[01:56.00]  as a reference. I use the verb uh the
[01:59.04]  base verb go to go. And I conjugated it
[02:03.44]  using those four different aspects and
[02:06.16]  those three main tenses. I'm not going
[02:09.12]  to go over this chart with you. This is
[02:10.88]  again just for you to kind of look at
[02:12.72]  and and examine because we are going to
[02:15.44]  talk about each and every one of these
[02:17.60]  verb tenses. And what I'm going to do is
[02:20.00]  I I'm going to tell you how we like when
[02:23.44]  the verb tense is used. I'm going to ask
[02:25.60]  you a question and then I'm going to
[02:27.36]  give you some example sentences showing
[02:29.76]  you again how to use this verb tense.
[02:32.24]  Some common ways in which the verb
[02:33.92]  tenses are used. And again, I want you
[02:36.40]  guys to write in the chat so that
[02:38.56]  anybody watching this, they can see all
[02:40.40]  of these wonderful examples of these
[02:42.96]  verb tenses being used. The other thing
[02:44.96]  I would say is that I am going to try
[02:47.84]  and start, it's going to start with the
[02:49.92]  easiest tenses and then kind of work
[02:52.32]  your way up to the more difficult ones.
[02:54.48]  So these are it's almost like this is
[02:57.36]  the order in which learners would learn
[02:59.60]  these verb tenses. Now there are
[03:01.36]  different ways I in different orders in
[03:04.16]  which somebody may learn it but just in
[03:05.92]  general these are the ones that I think
[03:07.36]  are the most I guess the most valuable.
[03:09.84]  I I've ordered them in terms of
[03:11.84]  importance and priority. Okay. So here
[03:14.80]  we go. Let's go. We're going to start
[03:17.28]  with the present simple. Okay, which is
[03:19.28]  generally used to describe actions in
[03:22.32]  the present that are either habitual or
[03:25.60]  factual. All right. So just keep that in
[03:28.00]  mind. Present simple. And I've given you
[03:30.08]  a question that I want you to answer and
[03:32.24]  I want you to write a complete sentence.
[03:34.88]  All right? For all of these questions,
[03:36.56]  please write in complete sentences.
[03:40.08]  Okay? So my question is, how often do
[03:43.44]  you study English? How often do you
[03:45.44]  study English? Write your answer in the
[03:48.08]  chat or if you're watching it later,
[03:49.84]  write that in the comments. And I'm
[03:51.68]  going to keep a lookout for for some of
[03:54.08]  those comments right there. Okay. Um,
[03:56.88]  ready? So, how often do you study
[03:59.36]  English? Here are some example sentences
[04:03.20]  that that I would give you. Okay, right
[04:05.92]  here. So, I I would say the following.
[04:08.88]  All right. I we usually play soccer when
[04:12.56]  you're talking about those adverbs of
[04:14.72]  frequency. Always, usually, sometimes,
[04:17.68]  rarely, never. It's often used in the
[04:20.40]  present simple. Okay? We usually play
[04:23.36]  soccer. We play. I could say another one
[04:26.00]  like nobody stands up to her. I wanted
[04:28.32]  to throw that three word that that
[04:30.24]  phrasal verb in there. Um, stand up to
[04:33.52]  someone. If you stand up to someone, it
[04:35.68]  means you are you are kind of you're
[04:37.52]  you're kind of fighting back. You're
[04:39.04]  you're you're sticking up for yourself.
[04:41.04]  Usually, you would stand up to a bully.
[04:43.36]  So, you could say like, you know, nobody
[04:45.04]  stands up to her and nobody stands.
[04:47.68]  Remember, subjectverb agreement. Then I
[04:50.32]  throw a question in there. A question
[04:52.08]  using the present simple. Do you enjoy
[04:54.64]  watching YouTube would be just again a
[04:56.88]  question. Now keep in mind in this case
[04:59.60]  watching. All right, this is not the
[05:01.68]  continuous tense. Watching is a garand.
[05:04.96]  All right, you enjoy doing something. So
[05:07.92]  watching is not a verb. It's not in the
[05:10.08]  it's it's actually a garand. So keep
[05:12.24]  that in mind if you're wondering like,
