Title     : LEARN THE FUTURE TENSE  | Will + (Be) Going To
Video ID  : VF9Gd8tPJeU
URL       : https://www.youtube.com/watch?v=VF9Gd8tPJeU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 867
Saved at  : 2026-06-05 10:46:56
------------------------------------------------------------

[00:04.64]  all right hello hello hello what's up
[00:09.42]  hope you're having a good Saturday a
[00:11.76]  good weekend
[00:12.63]  and if you're watching this some other
[00:15.09]  time just hope you're having a good day
[00:17.25]  so today we have a super special lesson
[00:22.32]  for you I know I say that every time but
[00:24.39]  this time I really mean it because we
[00:26.94]  are going to talk to you about the
[00:30.18]  future so this is it's a good time for
[00:33.99]  this lesson because we just started a
[00:36.66]  new year and I think many of us are
[00:39.66]  thinking about the future the things
[00:42.39]  that we want to do the things that we're
[00:44.94]  planning so it's very relevant for this
[00:48.39]  time of year and if you are joining us
[00:51.66]  please in the chat say hello let me know
[00:55.11]  where you're joining us from one hello
[00:57.12]  good to have you here Isabella Shahan
[01:00.27]  Jace hello denisa from Romania excellent
[01:04.26]  we have people from all over the world
[01:06.90]  good to have you guys here again today
[01:10.17]  we're going to talk about right here the
[01:13.56]  future and I know what you might be
[01:16.17]  thinking maybe you're thinking well the
[01:18.30]  future I know how to talk about the
[01:20.31]  future we'll be going to I guarantee you
[01:23.76]  stick around we are going to talk about
[01:26.28]  some things that you probably haven't
[01:29.10]  learned and things that even if you have
[01:32.37]  learned them maybe you're not using them
[01:34.53]  as often as you should because you just
[01:37.74]  need more practice with it so as we go
[01:40.38]  through each of these parts each part of
[01:43.62]  this lesson I am gonna have you guys
[01:45.93]  practice I'm going to ask you to write
[01:48.39]  sentences and talk about the future tell
[01:51.45]  me about your future
[01:53.61]  who else Katya Mohammed great to have
[01:56.25]  you guys
[01:57.21]  long hello hello if I miss some of your
[02:01.04]  comments I apologize but I'm going to
[02:04.47]  try and and acknowledge these as we go
[02:07.74]  through so again you're just joining us
[02:09.81]  we are going to talk about the future
[02:13.38]  so let's begin so first I want to look
[02:17.07]  at this right here which is grammar the
[02:21.30]  grammar and I know you're thinking gosh
[02:23.13]  oh no more grammar I'm not going to get
[02:26.52]  into the nitty bitty details of the
[02:29.31]  grammar I'm mostly going to talk to you
[02:31.82]  about these different tenses and when we
[02:35.49]  use them so if we're talking about the
[02:38.13]  future forms right here you can see them
[02:41.70]  right along this side there are four
[02:43.92]  different forms the simple future tense
[02:46.65]  the future continuous the future perfect
[02:49.44]  the future perfect continuous those are
[02:52.17]  the four four forms that I'm going to go
[02:54.81]  through each one and kind of tell you
[02:56.90]  when to use them and we'll practice
[02:59.91]  using them but we can also use this is
[03:03.54]  very important because we use these all
[03:05.73]  the time right down here we can use the
[03:08.46]  simple present and the present
[03:11.43]  continuous to talk about the future and
[03:13.83]  we use those all the time so let's start
[03:18.33]  talking about it so hello
[03:21.00]  mohit pun hunka Pankaj George excellent
[03:27.06]  Nordine great to have you guys here hope
[03:30.03]  you're having a wonderful day and if
[03:32.16]  you're just joining us again say what's
[03:34.41]  up in the chat and even if you're
[03:36.84]  watching this later on just write your
[03:38.49]  name tell me where you're from
[03:39.63]  we like hearing from you guys so first
[03:44.13]  let's let's start out with something a
[03:47.16]  bit easy which I think you guys are very
[03:49.56]  familiar with and that is the simple
[03:52.08]  future form using will alright so when
[03:56.04]  we're using will you're just going to
[03:58.44]  use the subject will plus the base verb
[04:01.74]  alright and we use this all the time -
[04:05.82]  for example we use this like the first
[04:07.89]  one to make predictions okay like maybe
[04:10.53]  we'll say I think it'll rain tomorrow
[04:12.57]  and usually that prediction is about you
[04:15.87]  know maybe 50% alright we're not
