Title     : Listening & Speaking GAME  | Intermediate Vocabulary Describing People
Video ID  : O-bDHB6BZHA
URL       : https://www.youtube.com/watch?v=O-bDHB6BZHA
Language  : English (en)
Generated : No (manually created)
Snippets  : 85
Saved at  : 2026-06-05 09:50:22
------------------------------------------------------------

[00:00.00]  What's up everyone! Today we're going to do an activity called...
[00:13.66]  The nouns we are going to describe today are people.
[00:16.74]  This is a listening and speaking activity
[00:19.52]  around the level of an intermediate learner.
[00:21.96]  However, this is a great exercise for anybody who's looking to practice their English.
[00:26.62]  In this activity, Ioana is going to describe six different nouns.
[00:30.86]  Each noun is a person.
[00:32.56]  You will have 10 seconds to say the answer.
[00:35.84]  Please say it out loud. Talk to the computer. Talk to us.
[00:41.12]  This is a speaking exercise so please SPEAK.
[00:44.08]  But before we begin, let's do an example.
[00:46.86]  Ioana is going to describe a word to me.
[00:49.94]  And then I am going to try and think of the answer.
[00:52.22]  I do not know this word. I promise you.
[00:55.10]  No looking Wes!
[00:55.94]  I'm not looking.
[00:57.14]  Ready?
[00:57.68]  I'm ready.
[00:58.40]  Okay, this person is an important male figure in your life.
[01:02.82]  He's one of your parents.
[01:04.48]  Another name for this person is dad.
[01:07.70]  And it's not your mother but your...
[01:10.12]  I think the answer is father.
[01:12.94]  Yay! Good job!
[01:14.32]  Okay, so you get the idea. Ioana is going to describe a noun to you.
[01:19.18]  You'll have 10 seconds to answer.
[01:21.24]  Remember, say your answer out loud.
[01:23.84]  After we finish all six of the words, then I'm going to go over the answers with you.
[01:28.96]  Are you ready?
[01:30.52]  This is your mother's father or your father's father.
[01:34.72]  They're a member of your family who you love a lot.
[01:38.24]  You always see them on holidays.
[01:40.00]  And it's not your grandmother but your...
[01:47.86]  This person is kind of like a doctor but for your teeth.
[01:50.60]  They clean the teeth, but also they fix them if there's a problem.
[01:55.84]  If you eat too much candy, you need to go see them.
[02:04.96]  This is somebody who loves playing sports.
[02:07.84]  He or she will play basketball or baseball.
[02:11.30]  People in this category include Michael Jordan, Messi, Tiger Woods.
[02:22.04]  When you need to travel somewhere, this person is the one who flies your plane.
[02:28.90]  That's all I got. What else do they do?
[02:31.38]  They fly your plane.
[02:38.96]  This person works at a restaurant. They work in the kitchen.
[02:42.00]  They make the food. They cut it up. They cook it.
[02:44.80]  Many times they go to culinary school to learn how to do this.
[02:48.26]  Basically, they make your food.
[02:55.98]  This is a person you go to classes with...to school with.
[02:59.76]  They help you when you miss a class. They give you their notes.
[03:02.48]  They're the same level as you are. They're right next to you in the classroom.
[03:11.70]  Hopefully, you were able to come up with an answer to those.
[03:14.58]  If you would like to do the activity again before I show you the answers,
[03:18.38]  pause the video. You can go back.
[03:20.96]  But right now, I'm going to tell you what the answer are.
[03:24.66]  This is your mother's father or your father's father.
[03:28.94]  And it's not your grandmother but your...
[03:31.08]  The answer is grandfather.
[03:33.00]  It's your mother's father...your dad's father.
[03:36.80]  This person is kind of like a doctor but for your teeth.
[03:39.48]  They clean the teeth, but they also fix them if there's a problem.
[03:44.60]  The answer is dentist...the doctor for your teeth.
[03:49.36]  This is somebody who loves playing sports.
[03:52.24]  He or she will play basketball or baseball.
[03:55.76]  People who play a lot of sports, they are athletes.
[04:00.68]  When you need to travel somewhere, this person is the one who flies your plane.
[04:06.00]  A pilot flies the plane, so the answer is pilot.
[04:10.76]  This person works at a restaurant. They work in the kitchen. They make the food.
[04:14.76]  A cook is a person who makes the food, and that is the answer.
[04:20.56]  This a person you go to classes with...to school with.
[04:24.20]  They're right next to you in the classroom.
[04:26.28]  People who are in the classroom with you, those are your classmates.
[04:29.94]  So now we're going to switch roles, and it is your turn.
[04:33.18]  I am going to show you two nouns, and YOU are going to describe them to Ioana.
[04:39.68]  She cannot see these words. I promise.
[04:42.24]  Ioana is going to try and guess what the answer is.
[04:45.34]  Remember to be creative! Don't just use one word! Use complete sentences!
[04:50.26]  This is a speaking exercise so...
[04:54.24]  Are you ready?
[04:56.30]  Let's begin!
[05:13.74]  Is it an actress?
[05:33.06]  Fireman!
[05:34.90]  Yay! Good job! We make a great team.
[05:37.66]  Okay, nice job! We hope you enjoyed this activity.
[05:40.36]  We're always looking to hear from our students.
[05:42.80]  Let us know what you think. Give us your feedback in the comments below.
[05:46.28]  And we'll see you next time!
