Title     : Rhythm & Flow in English  | Thought Groups, Word Stress, & Connected Speech
Video ID  : A0n65zB430k
URL       : https://www.youtube.com/watch?v=A0n65zB430k
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 347
Saved at  : 2026-06-05 08:11:22
------------------------------------------------------------

[00:00.04]  so Rhythm and flow in English it's so
[00:02.48]  important for your speaking fluency as
[00:04.84]  well as your comprehension because it
[00:06.72]  it's just going to make it so much
[00:08.36]  easier for other people to understand
[00:10.48]  what you're saying and we're really
[00:12.08]  going to have a look at three different
[00:13.56]  things thought groups stress and a
[00:16.16]  little bit of connected speech we're
[00:17.52]  going to talk about linking and I just I
[00:19.76]  don't want to just tell you about this
[00:22.40]  and have you hear it I also want to show
[00:24.88]  it to you and the way that I'm going to
[00:26.72]  do this and demonstrate this to you is
[00:28.88]  with a poem and because it is Christmas
[00:32.00]  time I've chosen a poem called a visit
[00:35.20]  from St Nicholas it is very popular so
[00:38.80]  it it this is also a little bit of a
[00:40.68]  cultural lesson because this is a poem
[00:42.88]  that you will hear if you're watching a
[00:44.92]  TV show or movie now before we get into
[00:47.40]  Rhythm and flow I I want to quickly go
[00:49.48]  over some of the vocabulary so that you
[00:51.88]  definitely understand everything that
[00:54.32]  that you're going to hear so it begins
[00:56.88]  TW the Night Before Christmas went all
[00:59.12]  through the house
[01:00.52]  twas is the very old contraction of it
[01:04.68]  was it is not something that you should
[01:07.04]  use in spoken English you may hear it
[01:09.92]  like at the beginning of a story if it's
[01:12.44]  from a long time ago but it is the
[01:15.12]  contraction of it was the next line is
[01:17.92]  not a creature was stirring not even a
[01:20.44]  mouse stirring just means moving
[01:23.96]  slightly and then the stockings were
[01:26.84]  hung by the chimney with care so stock
[01:29.92]  stockings are talking about like just
[01:32.08]  this large sock that you would uh at
[01:35.08]  Christmas time hang by the fireplace and
[01:37.48]  it gets filled with presents and then
[01:40.00]  speaking of the fireplace a chimney is
[01:42.32]  just like this vertical pipe in in the
[01:45.16]  home that would let the smoke uh allow
[01:48.12]  it to escape from the house then we have
[01:50.20]  in hopes that St Nicholas soon would be
[01:52.92]  there St Nicholas is just talking about
[01:55.96]  Santa Claus the big Jolly fellow who
[01:58.48]  brings kids all of those gifts the
[02:00.52]  children were nestled all snug in their
[02:02.60]  beds so nestled means that well just
[02:06.16]  settled comfortably and often you may
[02:09.04]  hear it as a verb to Nestle but it just
[02:11.44]  refers to one's comfort and that's a
[02:13.60]  little similar to Snug snug is an
[02:15.92]  adjective that means comfortable warm
[02:18.80]  cozy and you may hear people use this uh
[02:21.88]  with that collocation all snug I'm all
[02:24.36]  snug under the blanket in this case the
[02:26.88]  children are all snug in their bed and
[02:29.16]  finally while visions of sugar plums
[02:31.48]  danced in their heads so sugar plums
[02:34.32]  it's just a small round sugary candy
[02:37.72]  it's it's not really a plum it just
[02:39.48]  looks like a plum let me say it again
[02:41.16]  but but this time together and then
[02:43.04]  we're going to talk about thought groups
[02:44.72]  because part of the flow is determined
[02:47.52]  by thought groups ready TW the Night
[02:50.52]  Before Christmas went all through the
[02:52.56]  house not a creature was stirring not
[02:55.16]  even a mouse the stockings were hung by
[02:57.92]  the chimney with care in hopes that St
[03:00.36]  Nicholas soon would be there the
[03:02.68]  children were nestled all snug in their
[03:04.72]  beds while visions of sugar plums danced
[03:07.52]  in their heads so as I was saying that
[03:11.00]  I'm sure that you heard the the
[03:13.24]  different thought groups because in
[03:15.04]  spoken English we will use a short pause
[03:18.52]  in order to break down a longer sentence
[03:20.88]  and really we're just we're grouping
[03:23.08]  together meaningful information which is
[03:25.80]  why they're called thought groups it
[03:27.44]  just makes it easier for others to
[03:30.04]  understand what we're saying and
[03:32.68]  grammatically these pauses are often
[03:35.08]  accompanied with a comma but but that's
[03:37.52]  not always the case if you have just a
[03:39.96]  question would you like coffee or tea
[03:42.72]  all right there's no comma in that
[03:44.36]  question but you heard the two thought
[03:46.20]  groups would you like coffee or tea the
[03:48.52]  other thing I would say is that at the
[03:50.32]  end of a thought group you you're
[03:52.20]  typically going to have a stressed word
[03:54.80]  and I want to talk about stress right
[03:56.60]  now because that's going to help us
[03:58.76]  create a r
[04:00.68]  and that's because well English is a
[04:03.08]  stressed time language what does that
[04:05.44]  mean this means that English is a
[04:07.20]  language where stressed syllables or
[04:09.60]  words are said at approximately regular
[04:13.04]  intervals and that means that the time
[04:15.12]  between one stress syllable and the next
[04:17.60]  are approximately the same and then if
[04:20.32]  there are any words that come between
[04:22.92]  they're going to be shortened or reduced
[04:25.16]  to fit this Rhythm so I have now moved
[04:28.04]  to the table and the reason I have done
[04:29.84]  this is because very soon we're going to
[04:31.84]  create a beat which is really going to
[04:33.56]  help you understand Rhythm but before we
[04:36.12]  do that I wanted to quickly let you know
[04:38.64]  that if you would like to develop your
[04:40.52]  speaking fluency you can join my
[04:43.00]  speaking course click on that link Down
[04:45.28]  Below in the description the course is
[04:47.36]  all about trying to help you speak
[04:48.76]  confidently speak clearly and speak
[04:51.12]  naturally and best of all because it's
[04:53.48]  2022 you can use the code speak 22 to
[04:57.44]  get 22% off so click click on that link
[05:00.48]  down in the description if you'd like to
[05:02.48]  sign up the course includes weekly group
[05:05.28]  lessons with me there are lesson PDFs
[05:08.56]  lesson preview videos uh pronunciation
[05:11.56]  video lessons a couple of audio lessons
[05:13.60]  resource guides there is a lot so click
[05:16.36]  on that link down in the description to
[05:18.44]  find out more about class times and
[05:21.40]  availability and if you have any
[05:23.32]  questions or would like to take the
[05:24.76]  course privately with me just send me an
[05:26.84]  email at info@ interactive English
[05:29.24]  videos . and I hope to speak to you soon
[05:33.44]  so let's talk about Rhythm and the
[05:36.72]  reason why I moved to the table is
[05:38.56]  because well we need to create a beat
[05:41.16]  and that's really going to to show you
[05:43.32]  that you're going to say this poem using
[05:46.20]  those stressed intervals and I'm going
[05:48.04]  to say each of those intervals for
[05:50.20]  approximately the same amount of time
[05:52.56]  and the first thing that I need to do is
[05:55.04]  we'll just just create a beat okay so uh
[05:58.92]  here is my beat
[06:00.56]  and it's a little fast but every time
[06:02.84]  you hear my fingers tap the table that
[06:05.76]  that is a stronger sound that's going to
[06:07.48]  be a stressed word or or a stressed
[06:09.52]  syllable okay we're going to fit
[06:11.32]  everything into this Rhythm are you
[06:14.04]  ready here we go it was the night before
[06:17.28]  Christmas went all through the house not
[06:18.84]  a creature was stirring not even a mouse
[06:21.04]  the stockings were hung by the chimney
[06:22.72]  with care and hopes that St Nicholas
[06:24.44]  soon would be there the children were
[06:26.12]  nestled all snug in their beds while
[06:27.88]  visions of sugar plums danced in their
[06:29.88]  heads okay so I told you that was a that
[06:32.76]  was a bit of a fast beat but you can see
[06:36.28]  the different stressed intervals each
[06:38.52]  one of those took about the same amount
[06:40.68]  of time to say so even though I don't
[06:43.60]  have to keep a beat that fast those
[06:46.52]  intervals are are still going to be said
[06:49.08]  at approximately the same amount of time
[06:51.92]  the other thing I'd point out is that
[06:53.72]  you you can probably tell that the
[06:56.52]  stress is going to come toward the end
[06:59.28]  of the interval now that doesn't mean
[07:01.56]  that you're you're always going to
[07:03.00]  stress the entire word like you have a
[07:05.72]  word like Christmas okay the stress is
[07:08.72]  in that word but Christmas has two
[07:11.40]  syllables and the stress is going to be
[07:13.64]  on the first syllable if we really
[07:15.32]  wanted to get specific so if I wanted to
[07:18.40]  show you exactly where the stress is
[07:20.84]  then it would look like this it was the
[07:23.00]  night before Christmas went all through
[07:24.80]  the house not a creature was stirring
[07:26.80]  not even a mouse the stockings were hung
[07:29.16]  by the chimney with care in hopes that
[07:31.32]  St Nicholas soon would be there the
[07:33.48]  children were nestled all snug in their
[07:35.44]  beds while visions of sugar plums danced
[07:37.76]  in their heads no matter whether you're
[07:39.28]  keeping a quick beat or a slow beat as
[07:42.48]  long as you are saying those intervals
[07:44.80]  and approximately the same amount of
[07:46.60]  time that's the most important thing
[07:48.68]  because that's going to develop that
[07:51.00]  Rhythm and flow so now let's talk about
[07:54.84]  well smoothing things out with connected
[07:57.68]  speech and really what I'm talking about
[08:00.08]  is linking so I'm back over here on the
[08:02.44]  couch to talk to you about linking and
[08:04.68]  this is part of connected speech and
[08:06.40]  really what it means is that the end of
[08:08.52]  one word is going to blend with the
[08:10.96]  start of the next word and this often
[08:13.40]  happens when the final sound of one word
[08:16.12]  is a consonant sound and then the
[08:18.68]  beginning sound of the next word will be
[08:20.64]  a vowel sound so let's go through the
[08:22.92]  poem and I'm going to point out all of
[08:25.08]  the phrases that we can link it was the
[08:27.24]  night before Christmas went all through
[08:29.00]  the house
[08:30.12]  when all you have that final consonant
[08:33.32]  sound that n we can link that with the
[08:36.36]  vowel sound in all when all and and
[08:40.24]  really what it would more sound like is
[08:42.88]  that that n is going to get moved over
[08:45.92]  to the beginning of all it was the night
[08:48.68]  before Christmas when n through the
[08:50.88]  house all right that's a little
[08:52.36]  exaggerated but just want to make it
[08:54.48]  easier for you to to hear it not a
[08:57.16]  creature was stirring not even a mouse
[09:00.04]  so let's first talk about not a okay the
[09:03.52]  first thing I'm going to do is I I'm
[09:05.20]  going to pronounce the article a with
[09:07.20]  the schah sound and I'm just going to
[09:08.68]  say uh it's an unstressed vowel sound
[09:11.56]  and then I'm going to change the t a
[09:13.80]  little bit because it comes between two
[09:16.24]  vowel sounds I'm from the United States
[09:18.96]  so I'm going to pronounce this with a
[09:21.08]  flap T it's going to sound like a soft D
[09:24.52]  NADA NADA okay and again we can link
[09:29.04]  that that D sound at the end of not with
[09:33.32]  the article a NADA all right n a
[09:36.24]  creature was stirring not even a mouse
[09:39.12]  all right we can do the same thing with
[09:41.00]  not even a again I'm going to use a flap
[09:44.92]  T so it's going to sound like a d that's
[09:47.12]  going to get linked not even and then
[09:50.24]  we'll link the N with with the article a
[09:54.00]  not even a not even a mouse not a
[09:57.80]  creature was stirring not even even a
[09:59.80]  mouse the stockings were hung by the
[10:02.16]  chimney with
[10:03.56]  care no nothing we need to link here all
[10:06.52]  right yay excellent uh in hopes that St
[10:09.80]  Nicholas soon would be there again there
[10:12.84]  there's nothing that we need to link so
[10:15.04]  let's continue the children were nestled
[10:17.56]  all snug in their beds okay so there
[10:20.20]  there's a couple of things going on the
[10:21.96]  first thing that I want to look at
[10:23.52]  nestled all so you you could link that D
[10:28.68]  that Eed has a D sound with the vowel
[10:31.80]  sound in all nestled all it really
[10:35.32]  depends on how quickly you're reading
[10:37.12]  this because remember that is a
[10:39.92]  different thought group so because it's
[10:42.24]  a poem there there's no rule as to how
[10:45.28]  fast you need to read this you can find
[10:47.56]  your own Rhythm and flow if you are
[10:49.96]  reading it a little quicker and you're
[10:51.80]  making a much shorter pause then you may
[10:54.68]  hear people link these words the
[10:56.76]  children were nestled all snug in their
[10:58.64]  bed okay in that case you do hear a
[11:01.56]  little bit of linking if you're you're
[11:03.68]  reading it slower and you really make a
[11:06.80]  pause then you're not going to link
[11:09.68]  those words together the children were
[11:11.48]  nestled all snug in their beds okay in
[11:14.36]  that case I'm not going to link the the
[11:17.56]  final consonant sound in nestled that D
[11:21.28]  with all I I think generally speaking if
[11:24.96]  words are in two different thought
[11:26.56]  groups you're not going to end up
[11:28.20]  linking them but again it really just
[11:30.36]  depends on on your own Rhythm and flow
[11:32.96]  and how quickly you would be saying this
[11:35.40]  poem now the next phrase snug in we're
[11:38.48]  definitely going to link that final g
[11:41.04]  sound with the vowel sound in snug in
[11:43.92]  their beds and finally while visions of
[11:46.48]  sugar plums danced in their heads so
[11:49.48]  visions of we're going to link that that
[11:52.20]  consonant Z with the vowel sound in of
[11:54.76]  vision Z and dance in that Ed has a
[11:59.32]  voiceless T sound which we will link
[12:02.12]  with uh the vowel sound in in danced in
[12:05.04]  danced in their heads so let's review
