Title     : SHOULD HAVE | COULD HAVE  | WOULD HAVE - Modals of Lost Opportunity
Video ID  : LPpZEq8d66g
URL       : https://www.youtube.com/watch?v=LPpZEq8d66g
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 246
Saved at  : 2026-06-05 08:09:17
------------------------------------------------------------

[00:00.16]  i should have joined the interactive
[00:02.08]  english community or i could have joined
[00:04.08]  the interactive english community or i
[00:06.40]  would have joined the interactive
[00:08.40]  english community so today i want to
[00:10.48]  talk to you about these modals should
[00:12.80]  have could have and would have and
[00:15.04]  they're often referred to as modals of
[00:17.52]  lost opportunity because we use them to
[00:20.64]  describe situations that we imagine are
[00:24.32]  different now the good news is that you
[00:27.60]  have not lost this opportunity if you
[00:30.24]  would like to join the interactive
[00:32.00]  english community there is a link down
[00:34.24]  in the description it is a great way for
[00:36.56]  you and me to to keep in touch but let's
[00:38.80]  get back to these modals because i want
[00:40.80]  to make sure that you are using them
[00:42.56]  correctly and i think this is very
[00:44.48]  useful because quite often we want to
[00:46.88]  describe our feelings about past
[00:49.28]  decisions so you're going to use should
[00:51.28]  have when something did not happen but
[00:53.84]  you wish that it did happen you'll use
[00:56.56]  could have when something was possible
[00:59.20]  but it did not happen and you will use
[01:01.68]  would have when something happened but
[01:04.32]  you're just imagining a different result
[01:06.96]  now before we just dive right into these
[01:09.52]  modals i want to talk to you about
[01:11.04]  pronunciation and grammar because with
[01:13.28]  pronunciation these modals will often
[01:16.16]  get reduced so what's happening is that
[01:19.28]  the h in half it's it's just going to
[01:21.76]  get removed and then that vowel sound is
[01:24.24]  going to become more of a schwa so we're
[01:26.80]  left with of
[01:28.32]  and then the final d that consonant
[01:30.64]  sound will get linked with that schwa so
[01:33.20]  it's like we have should of
[01:35.44]  could of
[01:36.80]  would of all right it's linked together
[01:39.28]  and people may even reduce it further if
[01:42.72]  they're speaking really fast and they're
[01:44.88]  gonna drop that v and you just hear the
[01:47.12]  schwa shoulda coulda woulda but in
[01:51.20]  general i think it's
[01:53.36]  often you're going to hear these modals
[01:55.76]  get reduced and you can listen to me as
[01:58.56]  the lesson goes on i will i will reduce
[02:01.52]  them the other thing i want to say uh
[02:03.60]  when it comes to grammar is that
[02:06.24]  with these modals you're going to follow
[02:08.56]  them with the past participle so with
[02:11.44]  with regular verbs you're just going to
[02:13.84]  to use that ed
[02:15.76]  should have played could have called
[02:18.88]  would have walked with irregular verbs
[02:21.52]  you just need to know the past
[02:23.44]  participle should have won
[02:25.84]  could have broken
[02:27.28]  would have bought now that we got
[02:28.96]  grammar and pronunciation out of the way
[02:31.60]  let me give you a little more context
[02:33.12]  with each of these modals and we'll
[02:35.12]  begin with should of so when you think
[02:38.16]  of should've think of
[02:39.84]  regret i i told you that something did
[02:42.56]  not happen but you wish that it did
[02:45.12]  happen so perhaps you're you're thinking
[02:47.44]  about a past decision and somebody had a
[02:50.72]  good idea or a recommendation and you
[02:52.96]  did not listen to it and you lost that
[02:56.16]  opportunity when when talking about that
[02:58.56]  situation we can then use should've so
[03:01.76]  i'm i'm constantly asking you to
[03:04.64]  subscribe to the channel and turn on
[03:06.48]  notifications so let's just let's just
[03:09.12]  imagine that uh you you don't do this
[03:12.32]  and then in the future you're gonna look
[03:14.64]  back at this situation and you might say
[03:18.96]  i should have listened to wes
[03:21.20]  my name's wes by the way in case this is
[03:23.28]  your first time here
[03:24.88]  you'd say i really want to practice and
[03:27.84]  improve my english skills therefore i
[03:30.64]  should have subscribed to the channel
[03:32.64]  and turned on notifications
[03:35.12]  now if you want to use should have in
[03:38.32]  the negative should not have in that
[03:40.88]  case it's like you regret something that
[03:43.44]  was wrong i should not have yelled at my
[03:46.64]  brother i should not have cheated on the
[03:49.44]  exam
[03:50.56]  i should not have eaten that and that's
[03:53.04]  one that i feel like i i probably use
[03:55.52]  from time to time yes i should not have
[03:58.24]  eaten that
[03:59.28]  bad decision now let's move on to could
[04:02.00]  have and with this modal i want you to
[04:04.48]  think of possibility that's the one word
[04:06.88]  i want you to keep in mind possibility i
[04:09.68]  i told you that with this modal
[04:12.16]  something was possible but it did not
[04:14.72]  happen i was so tired i could have
[04:17.68]  stayed in bed all day
[04:20.48]  it did not happen but i
[04:23.12]  it was possible and i know that i i give
[04:26.24]  you a lot of examples so today i have a
[04:28.40]  special guest the famous marlon brando
[04:32.00]  is going to give you the next example
[04:34.08]  you was my brother charlie you should
[04:35.76]  have looked out for me a little bit
[04:37.68]  oh excellent marlon a little bit of
[04:39.68]  review with should have so you should
[04:42.40]  have looked out for me again something
[04:44.96]  that did not happen but but he wishes
[04:47.68]  that it did happen now i will make a
[04:50.48]  quick little grammar correction you
[04:52.32]  would not say you was instead you're
[04:54.56]  going to use you were but that that's
[04:57.28]  okay let's just focus on these modals so
[04:59.84]  please continue you don't understand i
[05:02.16]  could have had class
[05:04.24]  i could have been a contender
[05:06.56]  i could have been somebody
[05:09.84]  of a bum so at this moment he feels like
[05:12.64]  a bum but those other things were
[05:15.52]  possible i could have been a contender i
[05:18.40]  could have been somebody and and what
[05:20.72]  he's referring to is uh boxing he was a
[05:23.44]  prize fighter i could have been a
[05:25.04]  contender and then if we want to use the
[05:27.04]  negative could not have in that case
[05:29.68]  we're just saying the opposite and
[05:31.76]  saying that something was impossible so
[05:34.64]  before i said i was so tired i could
[05:37.60]  have stayed in bed all day that's
[05:39.76]  talking about something that was
[05:41.28]  possible if i changed that sentence
[05:43.44]  around and said
[05:45.44]  i had so much work to do i could not
[05:48.56]  have stayed in bed all day
[05:50.40]  now i'm talking about something
[05:52.56]  impossible i could not have stayed in
[05:54.88]  bed because i had so much work and then
[05:57.68]  there's would've and with would've the
[06:00.64]  word that i want you to remember and
[06:02.24]  keep in mind is different because when
[06:05.36]  you use would have it's like something
[06:08.08]  happened but you are imagining a
[06:10.56]  different result something different
[06:13.12]  from the the real situation and often
[06:16.00]  you are going to use this modal with the
[06:18.88]  third conditional those if statements so
[06:21.84]  i could say the team would have won the
[06:24.24]  championship if their best player had
[06:26.72]  not gotten injured so in this case i'm
[06:30.00]  imagining that different result because
[06:33.92]  the real situation is that the best
[06:36.08]  player was injured and the team did not
[06:38.80]  win the championship i want to make a
[06:40.64]  quick distinction between could have and
[06:42.96]  would have because
[06:44.56]  it's possible for you to use could have
[06:46.88]  in that sentence the team could have won
[06:49.52]  the championship but again in that case
[06:51.68]  we're talking about a possibility if i
[06:54.48]  say the team would have won the
[06:56.24]  championship
[06:57.60]  now it's more certain and that is the
[07:00.24]  result that that i'm imagining so it's
[07:03.04]  really a difference between possibility
[07:05.68]  and certainty could have and would have
[07:08.00]  you could also use would of to show that
[07:10.08]  you wanted to do something but you were
[07:12.24]  not able to i would have given you a
[07:14.56]  ride but my car broke down and once
[07:17.68]  again i could use the third conditional
[07:20.08]  to say the same thing same meaning i
[07:22.64]  would have given you a ride if my car
[07:24.72]  had not broken down now using it in the
[07:26.80]  negative would not have you're still
[07:29.44]  imagining a different result but instead
[07:32.00]  of imagining a result that would have
[07:34.72]  happened you're imagining that your your
[07:37.28]  real situation would not have happened
[07:40.16]  if some other things occurred i would
[07:42.40]  not have finished the project without
[07:44.16]  your help so the real situation is that
[07:47.04]  i did finish the project and i'm just
[07:49.12]  imagining a different result or
[07:52.08]  i if i had not been stuck in traffic i
[07:55.28]  would not have been late for work
[07:57.60]  so it can be a little tricky to to wrap
[08:00.16]  your head around some of these examples
[08:02.00]  just know that with would have you're
[08:04.88]  imagining a different result now
[08:07.04]  something you may not have known about
[08:08.88]  these modals is that you can use them
[08:11.04]  together as an idiom should have could
[08:13.44]  have would have mostly
[08:14.96]  people would use this in spoken english
[08:17.36]  and they are going to reduce these
[08:19.28]  modals should have could have would have
[08:20.96]  or they would reduce it more and say
[08:22.80]  shoulda coulda woulda so what what this
[08:25.20]  means is that you are dismissing someone
[08:28.56]  else's regret or worry about a past
[08:32.00]  action or some lost opportunity and
[08:34.24]  you're just dismissing that so it's kind
[08:36.80]  of a cold response and it's just
[08:39.52]  unsympathetic so let's say that we work
[08:41.76]  together and you're a little upset with
[08:43.52]  me because i i made you do more work and
[08:46.48]  i'm telling you like yeah maybe maybe i
[08:48.88]  should have worked harder so that you
[08:51.20]  did not have to do my work for me and
[08:54.08]  you're a little annoyed you're a little
[08:55.44]  upset and you would say yeah shoulda
[08:58.24]  could have would have uh it's already
[08:59.84]  done it's too late i've already did your
[09:01.84]  work and then i could keep going and say
[09:03.92]  i know that you did that extra work and
[09:06.72]  i would have offered to help but i was
[09:10.00]  stuck in traffic and once again you
[09:12.72]  could dismiss my regret and say shoulda
[09:15.44]  coulda would have i don't care about
[09:17.76]  your excuse i'm still angry should've
[09:20.08]  could have would have all right you
[09:21.04]  can't change the past so that idiom is a
