Title     : SPEAKING ACTIVITY 💬  Practice using descriptive vocabulary
Video ID  : lJEUAKa_0As
URL       : https://www.youtube.com/watch?v=lJEUAKa_0As
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 194
Saved at  : 2026-06-05 08:06:17
------------------------------------------------------------

[00:00.16]  so many people tell me that they want to
[00:02.24]  practice their speaking skills but they
[00:04.32]  don't have anyone to talk to and there
[00:06.88]  are ways for you to practice on your own
[00:09.60]  you can pretend like you're giving a
[00:11.60]  presentation or talk to yourself in the
[00:13.76]  mirror or sing a song or even shadowing
[00:17.20]  but today i want to do an actual
[00:19.76]  speaking activity and this is one that i
[00:22.24]  would do in class with my students it's
[00:24.72]  very easy it's very simple and i it's an
[00:28.40]  activity in which you are going to use
[00:31.20]  the vocabulary that you already know and
[00:33.84]  you may even discover a few new words
[00:36.24]  that you don't know
[00:37.84]  and i also think it's fun because it
[00:39.68]  gets you thinking in a different way
[00:41.60]  because well there's more than one way
[00:44.08]  that you can do this so to start out all
[00:47.28]  i want you to do is listen to what i'm
[00:50.16]  telling you and put a picture up here in
[00:53.12]  your mind so for right now this is just
[00:55.84]  listening comprehension for you i am
[00:58.24]  going to be speaking and if i do my job
[01:00.80]  well well then it should be easy for you
[01:03.44]  to understand what i'm saying you'll
[01:05.76]  you'll hear these words i'll try to be
[01:08.00]  very descriptive and it should be easy
[01:10.32]  for you to put that picture right up
[01:11.92]  here so just listen to what i'm saying
[01:14.96]  and picture it so this is a picture at
[01:17.84]  the airport and it is at a gate and it
[01:21.60]  looks like the gate is empty because you
[01:23.92]  can see two rows
[01:26.56]  of black chairs that are empty nobody is
[01:31.12]  sitting there
[01:32.40]  and the chairs are across from each
[01:34.40]  other the chairs are also next to a
[01:37.52]  giant window in which you can see
[01:40.32]  outside and outside it looks like a nice
[01:44.16]  day it's a little cloudy and there is a
[01:46.88]  plane that is out on the tarmac and it
[01:50.00]  looks like the plane has just landed
[01:52.88]  because it's pulling up to the gate the
[01:55.84]  plane is white has a little bit of
[01:58.08]  orange in it there are also two airport
[02:01.84]  employees out there they're very small
[02:04.56]  and you can see them wearing a yellow
[02:06.96]  vest and i say that the plane has just
[02:09.20]  landed because it looks like it's
[02:10.80]  pulling up to the gate next to the
[02:13.20]  gangway and then the passengers will
[02:15.84]  disembark but right now
[02:18.08]  it's not it's not attached to the
[02:20.24]  gangway it's just pulling in so i hope
[02:23.12]  that you understood what i was saying
[02:25.60]  and you could put a picture in your mind
[02:27.84]  and that picture looked like this and
[02:31.12]  you can let me know in the comments if
[02:33.44]  your picture looked like the one that i
[02:35.52]  was showing you so
[02:37.12]  with this activity i was using
[02:39.36]  vocabulary that that i already know and
[02:42.08]  i said that maybe you'll discover some
[02:44.00]  words that you don't know so i used
[02:46.32]  words to describe this picture like gate
[02:49.60]  tarmac gangway
[02:51.68]  these are words that you might not use
[02:54.08]  every day but they are important if you
[02:56.16]  like to travel and if you fly when
[02:58.64]  you're traveling well these are words
[03:00.48]  that you might hear or you could use so
[03:03.84]  the gate is an area in the airport where
[03:07.20]  well passengers will enter the plane or
[03:09.68]  leave the plane
[03:11.12]  the tarmac is a smooth concrete area
[03:15.20]  where planes generally park and you
[03:17.76]  refer to that as the tarmac and then a
[03:20.56]  gangway is an elevated walkway that
[03:23.84]  people will cross so the planes will
[03:26.88]  pull up to the gate the gangway will
[03:29.36]  connect to the plane and then the
[03:30.88]  passengers will disembark so this is
[03:33.76]  what i want you to do i want you to
[03:36.88]  describe a picture to me so the goal is
[03:40.32]  just to try and be as descriptive as
[03:42.88]  possible you can do this with so many
[03:45.44]  different pictures related to topics
[03:48.00]  that you think are important and i i
[03:50.80]  told you that it's a it's a fun little
[03:52.64]  mental exercise because there are
[03:54.88]  different ways that you can do this not
[03:56.96]  everyone is going to describe a picture
[03:59.76]  in the same way and sometimes i've had
[04:02.80]  people tell me that they get stuck when
[04:04.80]  they're having a conversation they're
[04:06.80]  trying to describe a situation and
[04:09.76]  they're searching for that right word or
[04:11.92]  phrase so practicing this is a great way
[04:15.20]  to challenge yourself and try to get
[04:17.60]  unstuck so that's what we're gonna do
[04:20.16]  right now but before we start this
[04:21.84]  speaking activity i wanted to let you
[04:23.68]  know that you can sign up for my
[04:25.52]  speaking course if you would like to
[04:27.12]  practice and improve your skills and
[04:29.52]  when you click on that link down below
[04:31.92]  you will find a special discount just
[04:34.24]  for you we do a variety of different
[04:37.04]  speaking activities such as the one that
[04:39.36]  we're doing in this lesson right now and
[04:41.84]  the course is all about helping you
[04:43.68]  speak confidently speak clearly and
[04:45.84]  speak naturally each week there is a
[04:48.16]  different speaking topic you will learn
[04:50.40]  useful vocabulary as i already mentioned
[04:53.12]  we do engaging speaking activities we
[04:56.08]  warm up each lesson with pronunciation
[04:58.32]  or connected speech in addition there
[05:00.96]  are pronunciation video lessons included
[05:03.68]  in the course and i am also going to
[05:06.88]  teach you some of the language nuances
[05:08.96]  like when to use certain words and
[05:10.88]  phrases just click the link to sign up
[05:12.96]  or learn more about the course and yeah
[05:15.68]  i just hope to speak to you soon so
[05:18.24]  let's get back to our speaking activity
[05:20.88]  and now i want you to describe a picture
[05:24.40]  to me
[05:25.44]  this is the picture you're going to
[05:27.36]  describe i want you to give me as much
[05:29.84]  information as you possibly can the goal
[05:32.72]  is to be descriptive so what i want you
[05:35.20]  to do is pause the video
[05:37.36]  say this out loud take your time
[05:40.32]  and be descriptive and then when you're
[05:42.72]  done you can continue watching and
[05:45.12]  listen to how i would describe the
[05:46.88]  picture and that way you can check to
[05:48.64]  see if we were using some of the same
[05:50.40]  vocabulary i told you there are
[05:52.48]  different ways that you can do this so
[05:54.88]  right now just pause the video describe
[05:57.36]  the picture to me and then keep watching
[06:08.80]  so this is a picture at the beach and at
[06:11.52]  the front of the picture there is a huge
[06:13.84]  pier and on the pier there are many
[06:17.28]  colorful buildings because it's an
[06:19.76]  amusement park and at the amusement park
[06:22.96]  you can see this huge ferris wheel
[06:26.00]  and in front of the ferris wheel there's
[06:28.24]  a large solar panel collecting sunlight
[06:32.16]  providing energy for this amusement park
[06:34.96]  so
[06:35.84]  this large pier then extends further out
[06:39.68]  into the ocean uh on a more narrow pier
[06:43.28]  to a couple of other buildings that are
[06:46.56]  out on another platform further out into
[06:49.84]  the ocean and then in the background
[06:52.88]  behind the pier you can see the beach
[06:56.16]  the beach is pretty empty you can see
[06:59.12]  the white caps where the ocean waves are
[07:01.84]  breaking and further off in the distance
[07:04.08]  you can see these these green hills
[07:06.40]  where the forest is so hopefully you use
[07:09.68]  some of the same words that i did when
[07:12.08]  you were describing this picture a pier
[07:14.96]  amusement park ferris wheel solar panel
[07:17.92]  white caps and there is really no wrong
[07:21.04]  answer because like i said there's more
[07:23.12]  than one way to do this it really just
[07:25.04]  gets the vocabulary juices going you're
[07:27.52]  using the words that you already know
[07:29.52]  and then hopefully maybe you just
[07:31.36]  discovered a few words that well maybe
[07:33.84]  you forgot or maybe you didn't know and
[07:36.64]  now you can try to make them a part of
[07:38.64]  your speaking vocabulary but this is a
[07:40.48]  great activity to practice being
[07:42.32]  descriptive because when you are talking
[07:45.36]  about your experience traveling at a
[07:48.32]  party some event you want to use precise
[07:51.52]  words and phrases so that others easily
[07:53.92]  understand what you're saying and if you
[07:55.84]  participated in this speaking activity i
[07:58.88]  want you to let me know down in the
[08:00.80]  comments just write the word speaking
[08:03.84]  that way i know that you were describing
[08:06.32]  the picture you were speaking out loud
[08:08.88]  and practicing your skills if you
[08:11.20]  enjoyed this activity please hit that
[08:14.16]  like button as always thank you so much
[08:16.40]  for watching and i will see you next
[08:18.64]  time so long
