Title     : THANKSGIVING PHRASES + COLLOCATIONS 🦃  | Build Your Holiday Vocabulary
Video ID  : o6C7FMGVHbs
URL       : https://www.youtube.com/watch?v=o6C7FMGVHbs
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 249
Saved at  : 2026-06-05 08:11:58
------------------------------------------------------------

[00:00.00]  Fall is in the air, and this is the
[00:02.72]  first phrase that I would like to teach
[00:05.24]  you. So, if you say that something is in
[00:07.88]  the air, what it means is that well,
[00:10.68]  you are aware of something or that that
[00:13.24]  something is in the immediate
[00:15.16]  surroundings. So, you could say that
[00:17.12]  well, like love is in the air. This is
[00:19.28]  another common phrase, but if we were
[00:22.00]  were talking about fall, you could say
[00:23.52]  fall is in the air or or autumn is in
[00:26.48]  the air, either one. And and you would
[00:28.72]  hear people use this phrase well, when
[00:31.80]  it starts to become fall. The the
[00:33.84]  temperatures are getting colder.
[00:36.32]  Um the leaves are starting to change
[00:38.24]  color, and and you could use this
[00:40.12]  phrase. And something else that's
[00:42.36]  happening this time of year is
[00:44.64]  Thanksgiving. And I want to teach you
[00:47.52]  about Thanksgiving in the United States.
[00:49.76]  I want to teach you a little bit about
[00:52.12]  um you know, the holiday in general as
[00:55.16]  well as some vocabulary, some useful
[00:58.12]  phrases and collocations that you may
[01:00.64]  hear or that you could use if you're
[01:02.60]  talking to somebody about Thanksgiving.
[01:05.12]  So, the very first thing that you should
[01:06.84]  know is that in the United States,
[01:09.36]  Thanksgiving is celebrated on the fourth
[01:12.20]  Thursday of November. It's a family
[01:14.80]  holiday in in which everyone will get
[01:17.80]  together, and that is a useful phrasal
[01:20.88]  verb when talking about Thanksgiving.
[01:23.16]  Get together just means that well,
[01:25.36]  people are meeting each other at in a
[01:27.96]  arranged time, and in this case, it's
[01:30.28]  Thanksgiving. Very popular time for
[01:32.24]  people to get together. But let's talk
[01:33.52]  about why people get together. How how
[01:35.80]  did this all begin? So, the origin of
[01:38.56]  Thanksgiving dates back to the early
[01:40.76]  1600s when colonists came over to well,
[01:44.24]  what is now the United States. And in
[01:46.76]  the beginning, I think they were having
[01:48.36]  a tough go at it. So, they came to an
[01:51.00]  agreement with the Wampanoag, which was
[01:53.88]  the Indian tribe that was in the area.
[01:56.40]  And the agreement was that the the
[01:58.76]  colonist would supply the Wampanoag with
[02:01.80]  European weaponry.
[02:03.56]  Well, more more like this.
[02:05.56]  And in return, the Wampanoag would give
[02:08.64]  the colonist some food. And one year,
[02:11.44]  the colonist and the Wampanoag, they
[02:13.32]  shared an autumn harvest. And that's
[02:15.84]  another colocation when talking about
[02:17.76]  Thanksgiving, this time of the year.
[02:19.84]  Harvest means just to gather crops. And
[02:22.16]  this is something that that people would
[02:23.96]  do before winter. So, they may talk
[02:25.84]  about the autumn harvest or even the
[02:28.00]  fall harvest. Anyway, this became known
[02:31.44]  as the first Thanksgiving. Now, many
[02:33.52]  people like to think of this event as
[02:35.68]  everyone getting along and sharing,
[02:37.80]  probably because that's how we like to
[02:39.76]  think about Thanksgiving today. But
[02:41.60]  really, what this symbolized was a rare
[02:44.44]  peaceful coexistence between these two
[02:46.64]  groups, between the colonist and the
[02:48.36]  Indians. I think it's a far stretch to
[02:50.64]  say that they were BFFs. And then
[02:52.24]  afterwards, the US went on to become
[02:54.64]  independent, become a country, and and
[02:56.88]  states would celebrate Thanksgiving
[02:59.08]  independently until Abraham Lincoln came
[03:01.88]  along. And you may be familiar with
[03:03.72]  President Abraham Lincoln because he was
[03:06.20]  president during the Civil War. And it
[03:08.24]  was actually in the midst of the Civil
[03:10.40]  War that Abraham Lincoln proclaimed that
[03:12.96]  there be a national Thanksgiving Day
[03:15.64]  held in November. And I think there are
[03:17.44]  probably many Americans who are
[03:19.28]  unfamiliar with Abraham Lincoln's role
[03:21.84]  in Thanksgiving. But this is how it all
[03:24.16]  got started. Nowadays, each November,
[03:26.40]  people will get together and and they'll
[03:28.68]  have a family gathering, which is
[03:30.40]  another colocation when the family just
[03:33.28]  comes together. You could use this to to
[03:35.76]  talk about well, Thanksgiving, some
[03:37.88]  other family event, or or even other
[03:40.32]  family holidays. And you have a family
[03:42.72]  gathering. Now, people mostly will
[03:45.24]  celebrate with family, but but you could
[03:47.04]  also celebrate Thanksgiving with
[03:49.16]  friends. It's it's just about well,
[03:51.20]  being with the people that you care
[03:53.28]  about. And it's also about the food.
[03:55.52]  Thanksgiving is an important food
[03:57.20]  holiday. Everyone will will get
[03:58.80]  together. You have a family gathering
[04:00.68]  and people will have a feast. And that
[04:03.76]  is another great phrase. A feast is just
[04:06.32]  talking about a large meal and you would
[04:08.72]  use it with the verb have to have a
[04:11.04]  feast. Or somebody may describe and talk
[04:14.24]  about Thanksgiving and say, "Oh, it's
[04:15.84]  going to be a huge feast." So, you you
[04:18.48]  could use those phrases when when
[04:20.28]  talking about Thanksgiving or really any
[04:22.24]  other big food event. Now, speaking of
[04:26.16]  big events, if we're talking about food,
[04:28.68]  the main event, of course, is turkey.
[04:31.40]  Turkey is clearly associated with
[04:34.00]  Thanksgiving and I'm not just talking
[04:35.60]  about like small slices of turkey. I'm
