Title     : TRICKY VERB TENSES  😲 Advanced Grammar Quiz
Video ID  : TFNi5N48nEo
URL       : https://www.youtube.com/watch?v=TFNi5N48nEo
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 277
Saved at  : 2026-06-05 08:15:40
------------------------------------------------------------

[00:00.08]  hey everyone my name is wes this is
[00:02.16]  interactive english the channel's all
[00:04.00]  about trying to help you
[00:05.44]  practice and improve your english skills
[00:07.44]  and today we're going to be
[00:09.12]  talking about well english grammar i
[00:11.28]  have a verb tense quiz
[00:13.36]  that i want to give you so you can
[00:15.68]  practice your grammar skills and see
[00:18.16]  if you can complete some of the
[00:20.56]  sentences
[00:21.36]  with the correct verb tense so i will
[00:24.24]  give you
[00:24.80]  a moment to think of your answer and
[00:27.04]  then of course i will tell you what the
[00:28.96]  answer is and i will i'll try to help
[00:31.76]  you out a little bit i'm going to give
[00:33.12]  you a hint
[00:34.08]  with each of these questions so this is
[00:36.80]  actually a live lesson that i did a
[00:38.80]  while back i've just shortened it
[00:41.12]  for some of you that means that this may
[00:43.28]  be review which is always good
[00:45.36]  and for others of you if this is new let
[00:48.24]  me know how you did
[00:49.52]  in the comments below let's just go
[00:51.52]  ahead and start the quiz
[00:53.36]  good luck let's just look at our very
[00:55.92]  first question
[00:56.88]  maybe this is a little tricky so i've
[00:58.80]  given you a hint that this
[01:00.56]  is uh well there is a modal in this
[01:03.68]  sentence
[01:04.56]  all right there's a modal in this
[01:06.88]  sentence
[01:07.92]  and i want you to the main verb is no he
[01:11.04]  ought um
[01:12.72]  better
[01:17.36]  the answer is to no so i told you that
[01:20.64]  it's a little tricky because
[01:21.92]  you're not only writing the verb you
[01:23.28]  need to put the preposition to
[01:25.36]  in there so ought is your modal verb
[01:28.40]  many people really consider
[01:29.68]  ought to as the modal and then
[01:32.72]  when you have like a modal verb you're
[01:34.56]  going to follow that
[01:36.16]  with the base verb no the next one right
[01:39.28]  here
[01:40.32]  this is going to be again maybe it's a
[01:42.80]  little tricky
[01:43.60]  we'll see i did say this is more
[01:45.12]  advanced grammar so the plane
[01:48.24]  um your main verb is arrive
[01:51.44]  at 8 pm your clue is
[01:54.72]  scheduled time somebody is saying that
[01:57.68]  oh
[01:58.16]  we got to get to the airport the plane
[02:00.80]  um
[02:01.44]  at 8 pm
[02:06.72]  the reason i said i thought it would be
[02:08.32]  tricky is because i thought many people
[02:10.16]  might say
[02:10.80]  will arrive which you could say but
[02:13.60]  scheduled time
[02:15.04]  it's more common that people are going
[02:17.36]  to use the present simple
[02:19.20]  i'm talking about something in the
[02:20.96]  future but i'm
[02:22.24]  using the present tense because we're
[02:24.96]  talking about
[02:25.76]  something that is scheduled scheduled
[02:28.16]  time
[02:28.96]  how about this one again um
[02:32.32]  your clue unspecified time
[02:35.52]  so how would you complete this sentence
[02:38.88]  i um to china twice
[02:45.84]  in this case unspecified time we're
[02:48.56]  talking about the present
[02:50.08]  perfect tense i have been to china
[02:53.52]  twice you don't know when i'm talking
[02:56.88]  about
[02:57.52]  i didn't tell you the time so in that
[03:00.32]  case
[03:00.80]  it's it's common people are going to use
[03:03.04]  the present perfect tense i have been
[03:05.44]  to china twice here we go
[03:09.12]  and this is true actually uh this is a
[03:12.32]  true sentence for me and my family i'd
[03:14.64]  say last year
[03:16.24]  last year at this time we
