Title     : US Regional Vocabulary You Need to Know 🇺🇸  (+ Lesson Notes)
Video ID  : OimYIupXx4c
URL       : https://www.youtube.com/watch?v=OimYIupXx4c
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 325
Saved at  : 2026-06-05 08:00:38
------------------------------------------------------------

[00:00.00]  this lesson is about the United States
[00:02.34]  which is where I am from and I want to
[00:05.16]  teach you some Regional vocabulary which
[00:07.80]  I think is useful for any Foreigner who
[00:10.44]  may be living there as well as anyone
[00:12.84]  who is just going to visit the US so if
[00:16.38]  you enjoy building your vocabulary
[00:18.30]  Please Subscribe turn on notifications
[00:20.70]  that way I can become your teacher my
[00:24.06]  name is Wes the channel is interactive
[00:26.16]  English it's all about trying to help
[00:28.14]  you reach your fluency goals so I want
[00:31.56]  you to participate in this lesson all
[00:34.20]  right I want you to think about what
[00:36.90]  vocabulary word or phrase would you use
[00:40.02]  to describe these certain things and
[00:42.48]  here is the first one okay what what
[00:44.76]  would you call this if somebody were to
[00:47.40]  ask you hey would you like a
[00:49.86]  all right we're talking about a
[00:51.90]  carbonated beverage so overwhelmingly in
[00:56.22]  the United States and I think in English
[00:58.14]  throughout the world people are going to
[01:00.36]  use the word soda and just say yeah
[01:02.58]  would you like a soda now a long time
[01:05.76]  ago in the 1800s Wendy's carbonated
[01:08.40]  beverages first came out people would
[01:10.38]  use the phrase soda pop it's not common
[01:13.50]  nowadays most people have just taken
[01:15.96]  that first word soda and they've just
[01:17.70]  run with it however in some places in
[01:21.00]  the U.S such as some of those Midwestern
[01:23.58]  states like Wisconsin and Minnesota
[01:25.64]  people may say pop would you like a pop
[01:28.86]  and they're talking about a carbonated
[01:30.60]  beverage now if you're from the south
[01:32.76]  which is where I grew up you may hear
[01:35.70]  people just use the word Coke and I know
[01:38.82]  Coke is the name of a brand this coke
[01:41.22]  was invented in Atlanta Georgia has deep
[01:44.04]  roots in the South and it's it's so
[01:46.92]  popular so well known that people may
[01:49.80]  use the word Coke when referring to any
[01:52.68]  carbonated beverages would you like a
[01:54.90]  Coke would you like a soda or maybe
[01:56.70]  would you like a pop so I've given you
[01:59.64]  this map right here just to give you an
[02:01.80]  idea as to where people may use these
[02:05.28]  different words that does not mean this
[02:07.62]  is my disclaimer that if you're in this
[02:10.20]  area that everyone is going to use this
[02:13.68]  word I told you most people in the U.S
[02:16.14]  are going to say soda there there are
[02:18.90]  many transplants across the country
[02:21.00]  which is another great word it refers to
[02:22.74]  a person who moves to a new place
[02:25.16]  therefore there's a lot of mixing going
[02:28.26]  on you're going to hear people in
[02:29.88]  different parts of the country use a
[02:32.34]  variety of words based on where they
[02:34.50]  grew grew up or their own experience so
[02:36.78]  this map is just to give you a general
[02:38.76]  idea as to where you may hear people use
[02:42.12]  some of these different words and
[02:44.16]  phrases and if you would like to get a
[02:46.92]  copy of these beautiful lovely Maps well
[02:49.32]  check out the link down in the
[02:51.06]  description because when you join our
[02:52.92]  email Community then you can access this
[02:55.74]  lovely ebook with this different
[02:57.60]  Regional vocabulary let's look at the
[03:01.20]  next one what would you call these
[03:04.02]  insects right here these small little
[03:06.18]  insects that I think technically they're
[03:08.46]  beetles and they're related to the glow
[03:10.92]  worm because their butts light up so
[03:13.98]  what would you call these small insects
[03:17.04]  right here they're actually it's real
[03:18.66]  they're really beautiful to watch in the
[03:20.76]  evening there are two different words
[03:22.80]  that you may hear people use
[03:25.08]  I think most places throughout the
[03:28.44]  United States they're going to say that
[03:30.96]  these insects are fireflies
[03:33.54]  however if you're in the South again
[03:36.36]  which is where I grew up people may call
[03:39.18]  them lightning bugs and this is actually
[03:41.88]  something that I have experience with
[03:43.86]  because when I was younger uh I would
[03:46.50]  visit family in North Carolina and see
[03:48.90]  them and I'm constantly hear and talk
[03:50.64]  about lightning bugs and it wasn't until
[03:52.62]  I got a little older that I heard people
[03:54.96]  talking about fireflies and I realized
[03:57.36]  oh it's it's the same insect we're
[03:59.70]  talking about the same thing so you may
[04:01.86]  hear people say fireflies or lightning
[04:04.80]  bugs if you're in the South let's stay
[04:06.72]  in the South for just a little bit and I
[04:08.58]  want to see how well you know your
[04:10.50]  Southern dialect because most people
[04:13.26]  throughout the United States would refer
[04:15.66]  to a group of people as you guys and it
[04:19.74]  doesn't matter if it's a group of men
[04:21.72]  and women or only a group of men or only
[04:24.24]  a group of women it's pretty common to
[04:27.00]  refer to that group and say you guys
[04:29.54]  except in the South you may hear people
[04:33.50]  use this instead it's a contraction
[04:38.34]  I imagine you've heard this word
[04:41.10]  watching well TV shows or movies and in
[04:45.00]  the South you may hear people say y'all
[04:47.64]  this is a contraction stands for you all
[04:50.10]  and it's just reduced to y'all
[04:53.70]  y'all want a Coke and then we can go to
[04:56.22]  the park and watch the lightning bugs
[04:58.46]  that is that's something somebody may
[05:01.44]  say and they use all of those phrases
[05:03.54]  right there now I catch myself using
[05:07.20]  both from time to time I grew up in the
[05:09.12]  South but I've lived in many other
