Title     : WAYS TO SAY "I'M SICK" 🤒  | Learn these Super Useful Phrases
Video ID  : 6zatfYBY-kU
URL       : https://www.youtube.com/watch?v=6zatfYBY-kU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 292
Saved at  : 2026-06-05 08:11:31
------------------------------------------------------------

[00:00.48]  oh god
[00:06.24]  i'm not really that sick that was just
[00:08.40]  for effect obviously i feel well enough
[00:10.80]  to to create this lesson right now but i
[00:13.52]  i have been sick quite a bit this fall
[00:15.68]  and winter it's that time of the year
[00:17.52]  when i think a lot of people get sick
[00:19.60]  and that's why i want to teach you some
[00:21.84]  different ways that you can tell someone
[00:24.16]  i'm sick in general i often like to tell
[00:27.44]  people you know i'm feeling a little bit
[00:29.36]  under the weather i'm feeling under the
[00:30.88]  weather this is an idiom that i think is
[00:33.28]  pretty common uh in just casual
[00:35.60]  conversation and it means that you're
[00:37.84]  like a little sick that it's nothing
[00:39.76]  really serious but instead of saying
[00:42.80]  that you're sick or a little sick you
[00:44.72]  could just say yeah i'm feeling i'm
[00:46.80]  feeling under the weather i am just
[00:49.04]  feeling under the weather and
[00:51.60]  i think that i will go home and rest and
[00:54.24]  i really think this is a useful lesson
[00:56.88]  because it's great to learn new ways to
[00:59.92]  say things that are pretty pretty common
[01:03.12]  in our daily lives like like being sick
[01:06.88]  so if you like adding variety to your
[01:09.92]  language skills please subscribe turn on
[01:12.64]  notifications that way i can become your
[01:16.40]  teacher my name is wes the channel is
[01:18.80]  interactive english and that's what it's
[01:20.64]  all about trying to help you improve and
[01:22.88]  reach your fluency goals the next way
[01:25.36]  that you can tell someone you're sick is
[01:27.60]  just to say yeah i have a cold and a
[01:30.08]  cold is a common infection it affects
[01:32.72]  your nose your throat you may cough a
[01:34.88]  lot and it's just a general statement to
[01:37.44]  tell someone that you're sick you can
[01:39.52]  even add bit of i have a bit of a cold
[01:42.48]  if you want to tell them that it's mild
[01:44.48]  it's not too serious you could say you
[01:46.56]  have a bit of a cold now if you want to
[01:49.12]  go to the other end and say that you
[01:51.44]  were very sick you could tell someone oh
[01:54.16]  i'm sick as a dog
[01:55.92]  and this is an informal statement it's
[01:58.40]  also a simile because you're you're
[02:00.00]  comparing yourself to a dog
[02:02.00]  it's actually been around for hundreds
[02:03.52]  of years a long time ago dogs were seen
[02:06.08]  as undesirable animals and there were
[02:08.56]  quite a few statements that that talked
[02:11.12]  about dogs negatively just like this one
[02:13.84]  so when you say you're sick as a dog it
[02:15.92]  means that you're really sick
[02:17.84]  often i think there's vomiting involved
[02:21.12]  and yeah it's not good to be sick as a
[02:23.92]  dog no rations fresh water
[02:27.36]  kowalski's sick as a dog
[02:30.88]  enrico
[02:32.32]  he's trying to eat him
[02:34.08]  you could also say
[02:35.76]  i don't feel so well it's a very common
[02:38.00]  statement and i often i think people
[02:40.08]  would use this one when they're they're
[02:42.64]  starting to feel sick that it's just
[02:45.68]  beginning and you can let someone know
[02:47.92]  that this is what's happening like yeah
[02:49.52]  i don't i just don't feel so well i
[02:51.28]  don't know what it is but i don't feel
[02:52.88]  well i know talking about being sick is
[02:55.52]  a bit of a downer and i want to hit the
[02:58.08]  pause button on that and talk to you
[02:59.60]  about something that's going to be
[03:01.36]  really exciting and make you feel good
[03:03.76]  and i'm gonna just throw this off so i
[03:07.52]  i seem a little healthier right now and
[03:10.08]  i wanted to let you know that enrollment
[03:12.16]  is now open if you'd like to join my
[03:14.96]  speaking course this will be the first
[03:16.64]  speak up course of 2022 so it's a great
[03:19.92]  way to start the year on the right foot
[03:22.24]  keep your english skills healthy and
[03:24.24]  alive and the course is all about trying
[03:26.88]  to help you speak confidently speak
[03:28.64]  clearly and speak naturally and there is
[03:31.92]  a special start of year discount because
[03:35.20]  it's 2022
[03:37.20]  if you use the code speak 22 you can get
[03:40.72]  a 22 discount so click on the link in
[03:43.68]  the description if you'd like to sign up
[03:46.00]  the course includes weekly group lessons
[03:49.12]  with me i will be your teacher there are
[03:52.40]  weekly lesson pdfs there are lesson
[03:55.04]  preview videos there are a lot of
[03:56.80]  pronunciation video lessons as well as
[03:59.36]  resource guides some audio lessons
[04:01.36]  there's a lot just click on the link if
[04:03.28]  you'd like to join or learn more about
[04:05.44]  class times and availability you can
[04:07.68]  also do the course privately with me and
[04:10.08]  take one-on-one lessons you can email me
[04:12.96]  at info
[04:14.92]  interactiveenglishvideos.com if you'd
[04:16.32]  like to learn more about taking a
[04:18.48]  private course or email me if you have
[04:20.56]  any questions about the course in
[04:22.40]  general so this is a great opportunity
[04:24.72]  to practice and improve your speaking
[04:26.88]  fluency with me
[04:28.40]  all you got to do is click on that link
[04:30.16]  let's get back to those very useful but
[04:32.16]  not really things you want to have to
[04:34.16]  tell someone because it's not fun to be
[04:36.40]  sick and the next uh well let me uh let
[04:39.36]  me get the the blanket uh back on
[04:41.84]  because it
[04:42.96]  gives the right gives the right look for
[04:45.04]  this lesson i have been feeling a little
[04:47.12]  under the weather i'm feeling better now
[04:49.12]  but the next one that i have is i might
[04:51.84]  be coming down with something and
[04:54.24]  you would tell somebody this
[04:56.40]  if you're again if you're just starting
[04:58.08]  to feel sick you're using that modal of
[05:00.80]  possibility might and often it refers to
[05:03.84]  a cold and it's just letting someone
[05:06.40]  know that your immediate future does not
[05:08.96]  look good and then we can change this
[05:10.96]  sentence just a little and take that
[05:12.96]  modal out of there and now we have i've
[05:15.12]  come down with something so in this case
[05:17.20]  you are telling someone that you are
[05:19.52]  sick so you're using something because
[05:22.64]  maybe you have not been to the doctor
[05:24.64]  you don't know what it is probably you
[05:26.72]  think it's a cold or you could use this
[05:29.60]  because you just don't want to be very
[05:32.40]  specific perhaps you're calling in sick
[05:35.28]  to work and you don't want to tell them
[05:36.96]  exactly what's going on you could just
[05:39.12]  say yeah i've come down with something
[05:41.04]  georgie you're coming with us yesterday
[05:42.88]  lunch um
[05:44.96]  actually i've come down with something
[05:46.80]  it's like
[05:48.16]  a little tickle
[05:49.60]  oh
[05:52.00]  could also tell someone i'm feeling a
[05:54.08]  bit run down so to feel run down this is
[05:57.12]  an idiom it means that you you feel
[05:59.36]  tired and weak and once again this is
[06:02.72]  one that you would use that if you're
[06:04.56]  just starting to feel sick and i think
[06:06.56]  that's because at the beginning people
[06:09.04]  often feel tired and and weak and you
[06:11.76]  could say yeah i feel a bit run down
[06:14.08]  that's how i feel now but perhaps in the
[06:16.64]  future it's going to turn into a cold or
[06:18.80]  something else so far i've talked about
[06:20.80]  general ways to say i'm sick but right
[06:23.60]  now i want to teach you some ways to to
[06:25.68]  be more specific and describe the
[06:28.40]  illness you may be experiencing so you
[06:31.20]  could tell someone i have a splitting
[06:33.84]  headache and i i like this one you can
[06:36.96]  use splitting i don't i don't like
[06:38.96]  having a splitting headache that's not
[06:40.72]  good but i i like this informal phrase
[06:44.16]  because you can say that you have a
[06:45.92]  splitting headache to say that you have
[06:48.00]  a very bad headache it could be caused
[06:51.36]  by a cold or maybe stress i know when
[06:54.56]  i've been sick sometimes i've had a
[06:56.88]  splitting headache where's all this
[06:58.72]  hesitation coming from i
[07:01.04]  i'm sorry
[07:02.56]  i just have a splitting headache let's
[07:04.48]  stick with the head and you can tell
[07:06.32]  someone i'm congested so congested just
[07:10.00]  means abnormally full and you would say
[07:13.52]  i'm congested mostly to talk about your
[07:16.32]  nose but you could also refer to your
[07:18.56]  head in general if
[07:21.20]  everything it just feels full up here
[07:23.04]  you could tell someone i'm congested
[07:25.20]  right now i feel a little bit congested
[07:27.92]  but it's all it's working its way out
[07:30.96]  now if you want to be more specific
[07:33.52]  really just talking about the nose then
[07:35.68]  you could tell someone i'm stopped up
[07:37.76]  and in that case it means that you might
[07:41.04]  be having trouble
[07:43.52]  i am a little
[07:45.52]  congested in that case it means that you
[07:47.84]  might be having a little trouble
[07:49.36]  breathing you're constantly blowing your
[07:51.84]  nose trying to get all that mucus out of
[07:55.20]  there and yes you could tell someone
[07:57.76]  yeah i'm stopped up now if you're
[07:59.44]  coughing a lot then you could say i'm
[08:01.76]  coughing up a storm so this is an
[08:04.16]  informal phrase in the u.s and if you if
[08:07.68]  you say something up a storm it refers
[08:11.04]  to doing something with a lot of energy
[08:14.48]  or strength or ability oh i'm just
[08:16.64]  packing up a storm because she has been
[08:18.64]  tweeting up a storm i wrote up a storm
[08:20.72]  making book after book it can be used to
[08:23.36]  refer to things that are both good and
[08:25.44]  bad in this case it's not good to be
[08:28.08]  coughing a lot if you tell someone yeah
[08:30.08]  i'm just i've been coughing up a storm
[08:32.40]  now i will say that i think you would
[08:35.12]  more likely use this phrase to make an
[08:37.36]  observation about someone else if if
[08:40.16]  this other person is coughing a lot then
[08:42.80]  you could say yes he or she is coughing
[08:45.28]  up a storm you could also say i have a
[08:47.28]  fever which is a little more specific or
[08:49.68]  or say i'm running a temperature both of
[08:52.00]  them mean the same thing you're just
[08:54.16]  saying that your head is hot because
[08:56.08]  your body temperature has risen which is
[08:58.72]  a sign that something is wrong because
[09:00.56]  there are many illnesses associated with
[09:03.12]  a fever you could also tell someone i
[09:05.36]  caught a bug so
[09:07.20]  to say that you caught a cold is a
[09:09.60]  common collocation those are words that
[09:11.68]  are frequently used together but in this
[09:13.84]  case we're we're just replacing cold
[09:16.40]  with bug and if you caught a bug
[09:19.52]  it refers to a virus or bacteria and you
[09:23.12]  could say yeah i caught a bug now if you
[09:26.00]  want to be a little more specific with
[09:28.00]  this often somebody might say something
[09:30.64]  like oh i caught a stomach bug and in
[09:33.44]  that case you're referring to
[09:35.92]  the stomach being affected which then
[09:39.04]  means that you are
[09:41.04]  probably
[09:42.48]  getting sick and vomiting if you tell
[09:45.12]  someone that that you caught a stomach
[09:46.88]  bug and you could also use 24-hour bug
[09:50.96]  that's another uh phrase that's pretty
[09:53.44]  common and you're just telling someone
[09:55.68]  that you're you're you're pretty sick
[09:58.16]  for just this short period of time and
[10:00.16]  then it goes away it's a 24-hour bug
[10:03.44]  you need a prescription it's a 24-hour
[10:06.16]  buckets just going around our family
[10:08.72]  caught a 24-hour bug a few months ago
[10:12.72]  and it sucked also when talking about
[10:15.44]  stomach sickness you you could tell
[10:17.12]  someone yeah i can't keep anything down
[10:19.76]  so in this case you're you're talking
[10:22.00]  about vomiting that you're unable to
[10:24.32]  keep food in your stomach and this is
[10:27.28]  what happens commonly when you catch a
[10:29.60]  stomach bug you may also tell someone
[10:32.08]  something is not sitting well or the
[10:34.40]  food is not sitting well so
[10:36.80]  in general if something does not sit
[10:39.12]  well then that means that you don't like
[10:41.52]  it so in this case
[10:43.68]  you're referring to food and your
[10:46.72]  stomach does not like it so you could
[10:48.80]  say yeah it's just it's not sitting well
[10:51.44]  maybe
[10:52.48]  you have a stomach ache perhaps it could
[10:54.80]  refer to a little bit of food poisoning
[10:57.36]  that you feel it in your stomach and you
[11:00.40]  hopefully can keep it down but you could
[11:02.88]  just tell someone yeah just something's
[11:04.96]  not sitting well except for that
[11:06.16]  yokohama beef bowl i tried for lunch not
[11:08.64]  sitting so well and then if you want to
[11:10.32]  be very specific you could just tell
[11:12.24]  someone i have the flu it's very common
[11:14.72]  this time of year in winter it refers to
[11:17.20]  influenza and it really uh it reminds me
[11:20.88]  i still need to get my flu shot i really
[11:23.20]  hope that you learn something new even
[11:25.60]  though i hope that you do not have to
[11:28.08]  use these phrases but in reality you
[11:31.12]  know we we all get sick so they can be
[11:34.32]  very useful if you enjoyed the lesson
[11:37.20]  please hit that like button as always
[11:40.08]  thank you so much for watching and i
[11:42.00]  will see you next time so long
