Title     : Career frameworks, A/B testing, onboarding tips, selling to engineers |  Laura Schaffer (Amplitude)
Video ID  : UMAmj1bciww
URL       : https://www.youtube.com/watch?v=UMAmj1bciww
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 2348
Saved at  : 2026-06-21 01:41:26
------------------------------------------------------------

[00:00.12]  and like the you know dead of the Night
[00:01.92]  by that I mean like you know 7 P.M or
[00:03.72]  something on I think it was a pretty
[00:05.52]  sure it was a Friday we just
[00:08.70]  asked for forgiveness and kind of put
[00:11.64]  these questions into the silent flow and
[00:13.44]  ran his Navy test with a small group and
[00:16.56]  you know I'm fully expecting okay this
[00:18.30]  is gonna like hurt our numbers but maybe
[00:19.80]  it won't be so bad you know and I'm
[00:21.96]  gonna be prepared to Advocate the power
[00:23.40]  of this data that we're getting and I
[00:25.44]  was totally weird I'm thinking with like
[00:26.76]  written started to write like a like the
[00:28.20]  framework for how I wanted to to surface
[00:30.78]  this and we start to get the data for
[00:33.00]  this thing I'm not getting an improved
[00:35.04]  conversion like there's no
[00:36.84]  personalization nothing passed it just
[00:39.18]  the questions it improved conversion by
[00:40.86]  like five percent
[00:42.12]  like just improve signups and it's one
[00:44.76]  of those like what like okay this like
[00:47.10]  what is going on here
[00:50.30]  welcome to Lenny's podcast where I
[00:53.40]  interview world-class product leaders
[00:54.84]  and growth experts to learn from their
[00:56.40]  hard-won experiences building and
[00:58.26]  growing today's most successful products
[01:00.18]  today my guest is Laura Schaefer the
[01:02.94]  week we recorded this chat turned out to
[01:04.98]  be Laura's first week in a new gig as
[01:07.98]  head of growth for amplitude taking over
[01:10.14]  for a previous legendary guest Elena
[01:12.90]  Verna prior to amplitude Laura was VP of
[01:15.30]  product and growth at a company called
[01:16.62]  rapid before that she spent over seven
[01:18.72]  years at twilio as head of growth and PM
[01:21.96]  lead of the growth platform and the
[01:23.76]  experimentation platform at twilio in
[01:25.80]  our conversation we dig into Laura's
[01:27.36]  career growth framework and the
[01:28.68]  importance of carving your own path
[01:30.48]  versus waiting for one to be carved for
[01:32.64]  you we also get into a bunch of tactical
[01:34.92]  and surprising advice around running
[01:36.90]  experiments making decisions on gut
[01:39.60]  versus data developing your growth
[01:41.76]  strategy and how to sell your product to
[01:43.86]  developers Laura has a wealth of wisdom
[01:46.14]  and I learned a lot from her
[01:47.70]  conversation with that I bring you Laura
[01:50.46]  Schaefer after a short word from our
[01:52.80]  wonderful sponsors
[01:54.74]  this episode is brought to you by
[01:56.88]  public.com I want to tell you about
[01:59.22]  their new treasury accounts which earn a
[02:01.62]  4.8 yield on your cash that is higher
[02:04.68]  than a high yield savings account while
[02:06.54]  still being backed by the full faith and
[02:08.34]  credit of the US government treasure
[02:10.86]  yields are at a 15-year high but buying
[02:13.56]  U.S treasuries is super complicated if
[02:15.72]  you go to a bank or navigate an ancient
[02:18.00]  Government website or at least that was
[02:20.40]  the case now you can move your cash into
[02:22.92]  US Treasury with the flexibility of a
[02:25.08]  bank account you can access your cash
[02:26.82]  whenever you want even before your
