Title     : Failure
Video ID  : 9euy9gC48lc
URL       : https://www.youtube.com/watch?v=9euy9gC48lc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1694
Saved at  : 2026-06-21 01:29:15
------------------------------------------------------------

[00:01.33]  [Music]
[00:02.48]  today we've got another very special
[00:04.96]  compilation episode something I've been
[00:07.12]  pulling on more and more with the
[00:08.36]  podcast and the newsletter in case
[00:09.72]  you've noticed is failure normally I
[00:12.76]  spent a lot of time researching how the
[00:14.36]  best companies and the best product
[00:15.72]  leaders operate but you can learn a lot
[00:18.48]  and often a lot more from failure and so
[00:21.64]  what we've done with this episode is
[00:23.08]  we've looked at all of the past episodes
[00:25.36]  we've done and pulled out all the most
[00:27.12]  interesting and insightful stories of
[00:28.88]  failure and turned it into this very
[00:30.96]  focused episode on failure I hope that
[00:33.84]  you find this useful and interesting let
[00:36.16]  us know what you think in the comments
[00:37.60]  on YouTube or on Lenny newsletter. or
[00:40.04]  just let me know on Twitter if you like
[00:42.20]  this we'll keep doing this if not we'll
[00:43.76]  probably not either way I hope you enjoy
[00:46.44]  before we dive in here is a short word
[00:48.60]  from our wonderful
[00:50.84]  sponsors let me tell you about a product
[00:53.28]  called SBD the all-in-one Communications
[00:56.04]  API platform designed for both web and
[00:58.36]  mobile apps in a world saturated with
[01:00.68]  multi-channel communication product
[01:02.56]  teams are discovering the effectiveness
[01:04.28]  of inapp communication with sendbird
[01:07.20]  businesses can Elevate their inapp
[01:09.16]  experience with decluttered and branded
[01:11.36]  communication featuring AI powered chat
[01:13.72]  Bots one-way messages chat video calls
[01:16.80]  and live stream capabilities all
[01:18.60]  tailored for Commerce marketing and top
[01:20.88]  tier support forward-thinking companies
[01:23.32]  such as Hing patreon Yahoo Accolade and
[01:26.32]  more use senir to build Ina
[01:28.36]  communication experiences that drive
[01:30.28]  engagement conversion and retention inap
[01:33.16]  communication has the highest conversion
[01:35.76]  highest engagement and highest
[01:37.44]  satisfaction of any communication
[01:39.44]  Channel and when it comes to investing
[01:41.40]  in this channel trust sber to take your
[01:43.80]  inep communication experience to the
[01:45.88]  next level start today with S bir's free
[01:48.32]  plan and as a listener of Lenny's
[01:50.24]  podcast you'll get an additional 2
[01:52.40]  months of unlimited usage and access to
[01:54.88]  all premium features including creating
[01:56.96]  your very own generative AI chatbot
[01:59.40]  visit send bird.com Lenny to begin your
[02:03.12]  free Journey that's send bird.com
[02:07.24]  Lenny this episode is brought to you by
[02:09.96]  EPO EPO is a Next Generation AB testing
[02:12.96]  and feature management platform built by
[02:15.12]  Al Lums of airb B and snowflake for
[02:17.32]  modern growth teams companies like
[02:19.32]  twitch Muro clickup and DraftKings rely
[02:22.20]  on EPO to power their experiments
[02:24.80]  experimentation is increasingly
[02:26.60]  essential for driving growth and for
[02:28.80]  understanding the performance of new
[02:30.16]  features an EPO helps you increase
[02:32.28]  experimentation velocity while unlocking
[02:34.44]  rigorous deep analysis in a way that no
[02:36.56]  other commercial tool does when I was at
[02:38.72]  Airbnb one of the things that I loved
[02:40.44]  most was our experimentation platform
[02:42.64]  where I could set up experiments easily
[02:44.52]  troubleshoot issues and analyze
[02:46.40]  performance all on my own EPO does all
[02:48.60]  that and more with Advanced statistical
[02:50.64]  methods that can help you shave weeks
[02:52.28]  off experiment time and accessi for
[02:54.68]  diving deeper into performance and outof
[02:57.00]  the box reporting that helps you avoid
[02:58.76]  annoying prolonged analytic Cycles EPO
[03:01.84]  also makes it easy for you to share
[03:03.20]  experiment insights with your team
[03:04.80]  sparking new ideas for the AB testing
[03:06.88]  flywheel EPO Powers experimentation
[03:09.56]  across every use case including product
[03:12.16]  growth machine learning monetization and
[03:14.60]  email marketing check out EPO at geo.com
[03:18.12]  Lenny and 10x your experiment velocity
[03:21.48]  that's
[03:22.32]  geo.com
[03:25.28]  Lenny all righty first up we've got
[03:28.20]  Katie Dill who is head of design at
[03:30.04]  stripe and former head of design at
[03:31.92]  Airbnb and lft sharing this amazing
[03:34.28]  story of how the entire design team at
[03:36.12]  Airbnb basically rebelled against her
[03:38.60]  soon after she joined and what she
[03:40.28]  learned from that experience I'm happy
[03:42.96]  to talk about it because frankly it was
[03:45.36]  the biggest learning experience of my
[03:47.04]  leadership career or at least that
[03:48.40]  happened in one moment and it happened
[03:50.36]  in my early days at Airbnb so I was
[03:53.64]  hired to take on the design organization
[03:56.72]  or the experience design organization
[03:58.36]  that's basically the product design team
[04:00.28]  uh which was 10 people at the time and
[04:02.16]  so they had been reporting directly to
[04:03.88]  one of the founders and they were going
[04:06.00]  to start reporting to me and during my
[04:08.56]  interview process I learned a lot about
[04:10.36]  what was working and what wasn't working
[04:12.44]  and some of the you know trials and
[04:14.04]  tribulations with the the design
[04:16.00]  organization and its collaboration with
[04:18.00]  others so it seemed like there was room
[04:20.24]  for improvement in how engineering and
[04:22.36]  product management and design all worked
[04:23.96]  together and there was also really low
[04:26.96]  engagement scores in the design team and
[04:29.72]  so I kind of came in ready to go and you
[04:33.28]  know excited to try to help make some
[04:35.04]  change based on all the things that I
[04:36.88]  had learned uh from various leaders and
[04:38.92]  people across the company and I you know
[04:41.88]  came in swinging ready to go and then
