Title     : How Anthropic, Costco, and Patagonia all build incorruptible companies  | Eric Ries
Video ID  : PoJ1vTdHpks
URL       : https://www.youtube.com/watch?v=PoJ1vTdHpks
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 3117
Saved at  : 2026-06-21 00:56:24
------------------------------------------------------------

[00:00.08]  all kinds of famous companies. The thing
[00:02.24]  that destroyed them was not competition.
[00:04.56]  Their very success became a liability.
[00:07.12]  >> I want to hear the OpenAI versus
[00:08.72]  anthropic story. Dario was a first-time
[00:10.64]  founder. Wasn't a hot company at all.
[00:12.72]  The boom hadn't happened yet. Chat GPD
[00:14.56]  hadn't been invented yet. Nonetheless,
[00:16.08]  they were true believers in this safety
[00:17.68]  [music] mission. And so, one of their
[00:18.72]  investors suggested they come talk to
[00:20.08]  me. I told them, "Look, if you don't get
[00:21.52]  this right, here's what's going to
[00:22.56]  happen." They [music] were very
[00:23.36]  determined to do something about it.
[00:25.36]  They wrote into their charter. Anthropic
[00:27.84]  has directors on its for-profit board
[00:30.00]  who are appointed by and are accountable
[00:32.08]  to an outside group of trustees who are
[00:34.16]  AI safety experts who do not have equity
[00:36.24]  in Anthropic. Whenever you see Anthropic
[00:38.16]  do the right thing, like when they
[00:39.20]  refuse to release a model because they
[00:40.72]  think it's too dangerous, think about
[00:42.16]  how much that's costing them.
[00:43.44]  >> This new book, Incorruptible, is about
[00:45.12]  helping you protect [music] what you've
[00:46.48]  built. What is it that you need
[00:48.00]  protection from? We all know this force.
[00:50.88]  I call it the force that no one controls
[00:53.44]  but everyone obeys that tends to drag
[00:56.24]  organizations down into mediocrity to
[00:58.88]  the point that we lose control of them.
[01:00.88]  What's a broadstroke solution to this?
[01:02.80]  Harder is easier. If you're willing to
[01:04.40]  be principled in your decision-m [music]
[01:06.48]  you will get these unexpected rewards.
[01:09.60]  But most leaders [music] when asked to
[01:12.32]  defend their principles can't do it
[01:14.48]  because they've been taught ROI [music]
[01:16.16]  based thinking, shareholder primacy.
[01:17.76]  That's the path of maximum
[01:19.12]  profitability. That's nuts.
[01:22.96]  Today my guest is Eric Reese, author of
[01:25.68]  the most influential and impactful book
[01:27.92]  in startup history, the lean startup.
[01:30.24]  Today he is back with a new book 15
[01:32.64]  years later called Incorruptible: Why
[01:34.88]  Good Companies Go Bad and How [music]
[01:36.32]  Great Companies Stay Great. The way Eric
[01:38.56]  describes the connection between these
