Title     : 👂Young product managers
Video ID  : omk7ZUXveHw
URL       : https://www.youtube.com/watch?v=omk7ZUXveHw
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 24
Saved at  : 2026-06-21 01:35:47
------------------------------------------------------------

[00:00.00]  something I heard about you is that
[00:01.80]  you're often the youngest person in the
[00:03.66]  room and you often lead people with
[00:05.70]  decades more experience than you and I
[00:08.10]  want to ask what have you learned about
[00:10.14]  how to Garner trust and win over
[00:13.14]  Skeptics the thing I would say is bring
[00:15.54]  the Insight know that I customer Know
[00:17.88]  Thy Market know like competitors know
[00:20.10]  like numbers Know Thy product if you can
[00:23.16]  be the person in the room who has
[00:24.84]  watched customers use the product and
[00:27.00]  has a point of view about why one one
[00:29.64]  tool is significantly better or worse in
[00:32.16]  a given Dimension and you can do that
[00:34.74]  with confidence and Clarity and you
[00:37.68]  don't need to know the other person's
[00:40.08]  functional domain if you don't need the
[00:43.26]  expertise and what they're experts at
[00:45.36]  you can bring Insight that makes people
[00:47.96]  curious and trust you and just
[00:51.48]  immediately believe that there's an
[00:53.58]  opportunity that's you're not advocating
[00:56.28]  for it just is is true
