Title     : Announcing MicroConf Masterminds
Video ID  : FZ7ybZT8jH0
URL       : https://www.youtube.com/watch?v=FZ7ybZT8jH0
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 45
Saved at  : 2026-06-20 21:54:52
------------------------------------------------------------

[00:05.30]  hey there I'm Rob walling co-founder of
[00:07.98]  micro comp
[00:08.58]  I want to talk to you a bit about
[00:09.90]  founder support and accountability I've
[00:12.42]  been a longtime believer in the
[00:13.77]  importance of accountability partners
[00:15.24]  and a need for outside eyes on your
[00:17.46]  business especially now having a founder
[00:20.34]  or two to connect with on a regular
[00:21.30]  basis about your wins your failures and
[00:23.85]  what you're trying to achieve can make a
[00:25.38]  huge difference in your success over the
[00:27.36]  long term that's why I'm super excited
[00:29.34]  to launch micro comm masterminds since
[00:32.94]  the beginning micro comp has been about
[00:34.32]  connecting founders to one another and
[00:36.57]  we've talked about the value of
[00:37.59]  masterminds in this community for years
[00:39.38]  many successful founders I know have
[00:41.94]  come to lean on their masterminds to
[00:43.56]  sanity check decisions help with
[00:45.42]  accountability and keep them motivated
[00:47.40]  on this long journey of building and
[00:49.29]  growing the startup if you've ever
[00:51.33]  thought you'd like to join a mastermind
[00:52.80]  but didn't know where to start
[00:53.82]  that's why we're here our process is
[00:56.58]  super simple there's a quick application
[00:58.17]  that will ask you things like your
[00:59.67]  location what stage you're in your teen
[01:01.95]  size and revenue using those data points
[01:04.59]  we've created a proprietary matching
[01:06.33]  system to generate small groups of
[01:07.89]  like-minded founders after we make our
[01:10.35]  matches we'll send you an email intro
[01:11.94]  and a QuickStart guide for getting up
[01:13.53]  and running I've been in a few
[01:15.12]  masterminds one of which has been
[01:16.68]  running for about nine years
[01:18.30]  much of the most valuable feedback and
[01:20.64]  support I've received has been from
[01:22.26]  those groups our enrollment process has
[01:24.69]  only opened for two weeks so if this
[01:26.49]  sounds interesting head over to micro
[01:28.11]  Kampf masterminds calm
