Title     : Bootstrapping VS Venture Capital  - What Is The Right Move?
Video ID  : osu2JKekD0Y
URL       : https://www.youtube.com/watch?v=osu2JKekD0Y
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 285
Saved at  : 2026-06-20 21:47:49
------------------------------------------------------------

[00:00.00]  so the topic i'm covering today is
[00:01.20]  bootstrapping versus venture capital
[00:02.72]  what's the right move and for those in
[00:04.48]  this community you know that the right
[00:06.08]  move is that it depends right it depends
[00:09.12]  on your your circumstances depends on
[00:11.28]  your goals so first thing i'm going to
[00:12.64]  do is talk about bootstrapping what is
[00:14.48]  it i'm guessing most folks watching this
[00:16.96]  know what it is but it's using your own
[00:19.60]  funds it can often be called
[00:21.36]  self-funding although i would say
[00:23.12]  there's a little bit of a nuance even
[00:24.64]  with self-funding and bootstrapping but
[00:26.08]  it's you maintaining complete control of
[00:27.76]  your company and it's the simplest
[00:29.84]  structure if you don't take outside debt
[00:32.00]  or outside investment you're
[00:33.60]  bootstrapping and it's how most
[00:35.36]  businesses not just tech businesses you
[00:37.28]  know because i'm going to focus more on
[00:38.56]  sas and startups and high growth but
[00:40.56]  just most businesses are started this
[00:42.40]  way dry cleaners bookstores and frankly
[00:45.04]  it's how most businesses should be
[00:47.52]  funded the reason for that is that once
[00:50.40]  you take on an investor they have an
[00:52.56]  expectation of a return and they may
[00:54.80]  provide a ton of value to you advice you
[00:56.88]  may even become friends with your
[00:57.92]  investor but most investors are writing
[01:01.04]  checks with bootstrap businesses that
[01:03.44]  implies that at some point you either
[01:05.20]  have to you know pull profits out of the
[01:06.80]  business or you have to sell that
[01:08.88]  business for you know what they call a
[01:10.40]  liquidity event you sell it for a chunk
[01:13.20]  of cash and then that would go to the
[01:14.56]  founders and the investors bootstrapping
[01:16.96]  really is the default and frankly i
[01:19.20]  think bootstrapping should be the
[01:20.56]  default talk about venture capital now
[01:22.56]  you probably know high level that
[01:24.16]  venture capital is cash right it's
[01:26.80]  venture cash it's money that venture
[01:28.96]  capitalists raise from wealthy
[01:30.88]  individuals or institutions and they do
[01:34.40]  it to invest in specifically high-risk
[01:38.00]  high-growth companies it's not
[01:40.00]  considered venture capital if someone
[01:41.60]  raises a fund and buys a bunch of real
[01:44.32]  estate or
[01:45.52]  invests in a bunch of car washes that
[01:47.68]  can still be a thing but at that point
[01:49.60]  it's usually called well real estate
[01:51.12]  might be a real estate investment trust
[01:52.80]  buying car washes or buying businesses
[01:54.32]  is usually referred to as private equity
[01:56.64]  which is a less risky model so the idea
[01:59.28]  with venture capital is that it's high
[02:00.80]  risk and high growth and they want you
[02:02.80]  to put the pedal to the metal and to go
[02:04.24]  big or to go home some examples of those
[02:06.24]  include sequoia capital andreessen
[02:08.32]  horowitz uh bessemer venture partners
[02:10.24]  those are just three there are literally
[02:12.00]  hundreds of venture capital firms i
[02:13.68]  think i i don't refer to tiny seed as
[02:16.48]  this tiny seed is the the fund and
[02:19.28]  accelerator that branches out of you
[02:21.04]  know that formed out of microconf but
[02:22.64]  technically we are a venture fund and an
[02:25.36]  accelerator but we're we don't i don't
[02:27.44]  call us that because we are different
[02:29.20]  you know we don't have that same mindset
[02:30.96]  of we expect one in ten companies to be
[02:33.76]  a billion dollar unicorn and expect the
[02:35.76]  rest to fail much like uh venture
[02:37.92]  capital does from an investor side it's
[02:40.48]  interesting to think about venture
[02:41.44]  capital from an investor side and from
[02:42.96]  the people who run the funds why would
[02:45.52]  an investor write a check to a venture
[02:47.92]  capital fund at all couldn't they just
[02:49.76]  buy stocks and bonds the thing is is
[02:52.64]  some of these wealthy individuals and a
[02:54.96]  lot of these large institutions like
[02:57.12]  endowments right an endowment is a big
[02:59.36]  fund that yale or stanford or harvard
[03:01.52]  have they don't want to be 100 in public
[03:04.32]  stocks and bonds because the stock
[03:05.60]  market is very bumpy right if you have
[03:07.92]  these huge drops 50 drops and they want
[03:10.64]  to even that out in addition they have
[03:12.96]  so much money to deploy billions and
[03:15.28]  billions of dollars that they can and
[03:17.84]  should diversify venture capital from
[03:20.08]  the investor side is restricted to
[03:22.40]  accredited investors if you raise a
[03:24.80]  venture fund in the u.s you have to
[03:27.20]  raise from wealthy individuals last
[03:28.80]  thing i want to cover on that is how do
[03:30.00]  venture capitalists make money so they
[03:31.84]  make money two ways they make a
[03:33.76]  management fee and they have carried
[03:35.92]  interest or it's also called carry so
[03:38.40]  the management fee it varies on
[03:40.08]  structure but the standard is a two
[03:42.08]  percent management fee per year based on
[03:44.00]  the assets managed then there's carried
[03:46.24]  interest or carry
[03:47.68]  and that is the profit or the gain the
[03:50.96]  net gain on the assets that you invest
[03:53.44]  so let's say you invest that 10 million
[03:55.28]  dollars that you raise into a bunch of
[03:56.88]  startups some of them go out of business
[03:58.56]  and usually in venture it's like six
[04:02.88]  or seven they expect to just go to zero
