Title     : MicroConf Remote 2020
Video ID  : q1WNvRoSays
URL       : https://www.youtube.com/watch?v=q1WNvRoSays
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 7391
Saved at  : 2026-06-20 21:53:29
------------------------------------------------------------

[00:08.43]  [Music]
[00:18.07]  [Music]
[00:29.92]  let's get the show
[00:31.04]  started welcome to microconf remote the
[00:33.60]  must-see tv
[00:34.64]  experience of the year for the next five
[00:37.12]  hours we're going to take you on a
[00:38.40]  binge-worthy journey
[00:39.68]  that will showcase a story arc that
[00:41.52]  every bootstrap founder aspires to
[00:43.60]  create
[00:44.48]  microconf has been the meeting place for
[00:46.24]  thousands of founders over the last
[00:47.68]  decade
[00:48.40]  for years we've talked about hosting
[00:50.08]  microconf remote but if there was ever a
[00:52.16]  year to take the show online
[00:53.84]  2020 is it when we launched microconf
[00:56.64]  back in 2011
[00:57.76]  terms like stair stepping value metric
[01:00.16]  and the long
[01:00.80]  slow sas ramp of death didn't even exist
[01:04.16]  and the idea of building a bootstrap
[01:05.76]  startup to a transformational level of
[01:07.60]  success
[01:08.40]  seemed out of the question for years
[01:10.80]  this movement has blown
[01:12.00]  expectations out of the water and has
[01:13.92]  created an entire economy of sas
[01:15.84]  products with the sole goal of helping
[01:18.00]  others reach scalable
[01:19.36]  sustainable levels of success we've had
[01:22.48]  conversations with thousands of founders
[01:24.32]  who have started life-changing
[01:25.76]  businesses
[01:26.56]  generate thousands tens of thousands or
[01:28.72]  more in revenue each month
[01:30.64]  we've seen folks take back their sense
[01:32.24]  of freedom by having the chance to work
[01:34.00]  for themselves
[01:34.80]  on their own time we've seen
[01:36.80]  groundbreaking products that have
[01:38.16]  changed the way we work
[01:39.44]  all while avoiding the rat race chasing
[01:41.44]  after venture capital
[01:42.88]  and we believe that you can do the same
[01:45.36]  that's why we're here today
[01:46.56]  to show you that no matter the stage of
[01:48.32]  your founder journey you have all of the
[01:50.00]  resources you need
[01:51.12]  to build something that can change your
[01:52.72]  life you're going to hear from an
[01:53.92]  all-star lineup
[01:54.88]  who have reached some of the most
[01:56.16]  celebrated milestones in a business's
[01:58.08]  growth
[01:58.80]  from launch to the grind towards your
[02:00.56]  first 10k of mrr
[02:02.56]  then onto a pair of co-founders who have
[02:04.32]  found a clear strategic
[02:05.84]  path to help them blow past 100k of mrr
[02:09.68]  and finally we'll leave you with one of
[02:11.44]  the most successful stories of a tech
[02:13.12]  company
[02:13.60]  that has endured the dot-com bubble
[02:15.76]  economic downturns
[02:17.04]  and was able to launch another business
[02:18.80]  in the midst of a pandemic
[02:20.48]  to viral levels of success hi
[02:23.68]  my name is patrick i'm based in the
[02:26.40]  dallas texas area
[02:28.40]  and i am in the midst of starting my
[02:30.48]  very first productized
[02:32.00]  service business in the healthcare space
[02:34.40]  never been to a microconf before
[02:36.16]  but found this community tangentially
[02:38.88]  through some other podcasts and have
[02:40.88]  really been inspired
[02:42.48]  nearly 500 of you are brand new to the
[02:44.72]  microcomp community
[02:45.84]  we want to welcome you these are your
[02:47.84]  people and we know
[02:49.44]  because there are people too hi folks my
[02:52.72]  name is anna mast and i'm the cto of
[02:54.40]  boondocker's welcome which is an online
[02:56.00]  driveway surfing community for our
[02:57.36]  viewers
