Title     : RightMessage Year 1:  From $75k Launch to Virtually Bankrupt to Product Market Fit – Shai Schechter
Video ID  : MLn1K--8zPU
URL       : https://www.youtube.com/watch?v=MLn1K--8zPU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 818
Saved at  : 2026-06-20 22:19:32
------------------------------------------------------------

[00:00.89]  [Music]
[00:10.49]  so I have a friend who used to work at
[00:14.52]  MIT in the early 90s
[00:17.82]  and it was when the World Wide Web had
[00:20.37]  just been invented and through his work
[00:23.31]  there he ended up creating one of the
[00:25.29]  world's on the first hundred websites
[00:27.06]  ever and he told me that at the time
[00:30.51]  when he made a website you would send an
[00:33.48]  email to Tim berners-lee the inventor of
[00:35.88]  the web and he would list your website
[00:38.55]  on his website of all the websites now
[00:43.50]  it turns out you can't do that anymore
[00:45.50]  Tim hasn't replied to any of my emails
[00:48.05]  there are more than 100 websites now and
[00:50.70]  I love had two or three people are still
[00:53.91]  making notes at that point more than 100
[00:57.72]  and it's that's that's about the caliber
[01:00.66]  of this talk so there are more than
[01:02.97]  hundred web sites now we can we can
[01:06.00]  build a great site we can build a great
[01:07.38]  apps we can build a great product people
[01:09.75]  won't just show up to it right and this
[01:12.81]  was something that I'd learnt over the
[01:14.91]  years and it's something that kind of
[01:18.84]  we'd put things in place to try and make
[01:20.64]  our launch work and bring people in and
[01:23.01]  it did what we didn't realize is that
[01:26.78]  that's not all there is to it sometimes
[01:29.40]  even if you have a decent launch there's
[01:31.74]  more obstacles ahead it's not all plain
[01:33.90]  sailing and I think some other people in
[01:36.63]  here have experienced something similar
[01:37.74]  so I want to touch something I want to
[01:40.50]  talk about today I want to talk about
[01:41.73]  our journey over the last year or two
[01:43.65]  building write message and it's a story
[01:47.07]  with some ups and downs as you can
[01:49.02]  probably tell from the title so I want
[01:53.16]  to split it into three parts first part
[01:54.99]  is the launch which I think went pretty
[01:57.96]  well we were happy with it and so I'm
[02:00.36]  going to go over some of the things that
[02:01.65]  we did that I think contributed to it
[02:05.07]  working this is a selfie of me on launch
[02:10.92]  day we were happy
[02:12.72]  and then gonna talk a little bit about
[02:14.49]  what happened after launch because after
[02:16.14]  launch things kind of plateaued things
[02:18.12]  didn't go quite how we wanted it was
[02:20.16]  more this and this and this you may
[02:24.21]  recognize some of these faces from your
[02:25.74]  own startup there was a lot of that
[02:28.11]  final one and I'm gonna kind of talk
[02:31.77]  about why that happened like I say I
[02:34.65]  think other people have maybe seen that
[02:36.21]  happen and maybe what we can do about it
[02:39.12]  and - part 3 is we were able to kind of
[02:41.73]  learn a lot from that we were able to
[02:42.99]  rebuild we were we were able to kind of
[02:45.54]  start up and to the right again in a
[02:47.40]  more kind of sustainable weight so gonna
[02:49.92]  walk through those things so first of
[02:54.66]  all I didn't always want to I didn't
[02:56.58]  always know I wanted to work in software
[02:57.78]  I was about 5 years old someone asked me
[03:01.02]  what I wanted to be when I grew up and I
[03:03.96]  told them I wanted to be a librarian in
[03:05.61]  the daytime and a stripper at night this
[03:10.89]  is true so my parents were kind of
[03:13.47]  relieved when I when I went into a
[03:17.01]  software business instead and because
[03:21.06]  they don't like books and so I worked in
[03:25.98]  kind of software consulting marketing
[03:27.59]  marketing consulting I have run my
[03:30.99]  message in my second sass my second
[03:32.82]  sister made any money and so I've kind
[03:35.37]  of bounced between those and a couple of
[03:36.87]  years ago my friend Brennan Dunn and I
[03:39.54]  started working or started launched
[03:42.39]  write message some of you probably know
[03:44.64]  Brennan he's been I think at 15 micro
[03:47.13]  comps so you may have crossed paths it's
[03:48.90]  a lot does anyone has anyone already
[03:51.81]  heard of right message before this
[03:53.79]  conference you'll know okay awesome so
[03:56.43]  if everyone else briefly right message
[03:58.05]  is a a website personalization platform
[04:00.66]  the idea is that the different people
[04:03.06]  who come to your website have different
[04:04.23]  needs and if you can figure out what
[04:05.88]  those needs are you can stickmen people
[04:07.29]  into those needs you can tailor the
[04:10.41]  marketing that you show them to resonate
[04:13.11]  with those needs and your conversion
[04:14.22]  rates go up and everyone is happy it's
[04:17.34]  kind of it's a marketing tool it plugs
[04:18.48]  into your website and that's that's what
[04:19.65]  it does so long before we were talking
[04:24.12]  about building a SAS
[04:26.43]  this is kind of the first bit that's
[04:28.42]  relevant these are some tweets from 2015
[04:31.00]  2016 2017 from Brennan and from myself
[04:34.24]  where we had an even thought of building
[04:37.69]  a SAS we hadn't had plans to build the
[04:39.43]  SAS we were just kind of consulting in
[04:42.43]  this space and Brennan was doing some
[04:44.11]  things for his own infrared website and
[04:45.88]  that he was he was he was trying some of
[04:47.77]  this personalization we were both seeing
[04:49.09]  it working really well but we weren't
[04:51.76]  setting out to build a SAS and I think
[04:53.29]  that's kind of relevant because one of
[04:56.38]  the things that sometimes doesn't work
[04:58.00]  is to try and Lister decide you're going
[05:00.64]  to build a SAS and then build it and
[05:01.90]  then try and fight the audience we
[05:03.55]  weren't trying to build the SAS at all
[05:04.81]  when trying to do anything like that we
[05:07.42]  were just kind of seeing some stuff that
[05:09.34]  works in a in a space that we were that
[05:11.20]  we were both working in and we were
[05:13.57]  yelling to everyone about what we were
[05:15.49]  doing we were showing everyone what we
[05:17.50]  were doing and some people started
[05:19.90]  following along and I think without
[05:22.12]  without realizing it we were kind of
[05:23.80]  starting to follow like this micro comm
[05:26.53]  playbook right this idea of like looking
[05:30.25]  do you have an audience first of all
[05:31.84]  before you start just setting out to
[05:33.67]  build something and it got to the point
[05:36.01]  these people that were following along
[05:37.27]  with what we were doing we started to
[05:39.85]  see that there might be this this market
[05:42.22]  for us like people wanted a way of doing
[05:44.83]  what we were talking about without
[05:46.03]  writing code and that kind of thing and
[05:48.15]  so and we still kind of said we don't
[05:52.21]  want to build a SAS like if unless it's
[05:55.45]  definitely the right thing to do and so
[05:57.67]  we decided that we would kind of test
[05:59.05]  the water and if we were going to do
[06:00.88]  this we were going to pre sell it first
[06:02.08]  and so we said we are not writing a line
[06:05.62]  of code unless we can get 10 grand
[06:07.44]  $10,000 of pre-order money in the bank
[06:09.94]  when we sent out this email to the
[06:11.80]  people that had been starting to follow
[06:13.12]  along and kind of saying yeah we're
[06:17.77]  thinking of doing this if you want in
[06:20.17]  you can pay some money in advance it'll
[06:22.18]  be a discount on what it what the final
[06:24.76]  price would be we said well kind of
[06:28.63]  we'll help you get set up it's like free
[06:30.16]  consulting the money back guarantee
[06:32.58]  there's it will send you monthly reports
[06:35.26]  of how everything's working even those
[06:37.12]  monthly reports were
[06:39.55]  we were trying to like build as little
[06:41.32]  code as possible so we were like even if
[06:42.70]  we do do this those monthly reports
[06:44.80]  which are now ad like a proper part of
[06:46.39]  the product at that time we just piped
[06:48.55]  everything into Mixpanel and took
[06:49.96]  screenshots and emailed them to these
[06:51.58]  people so we were kind of trying to
[06:53.89]  build as little as little as possible so
[06:56.44]  we're doing those pre-sales and it's
[06:59.89]  kind of it's another one of those things
[07:00.91]  that sometimes hear about at microcon
[07:02.95]  and we did get the presale money and we
[07:05.65]  started to build this thing and it was
[07:08.11]  it was a little side project and this
[07:12.97]  was kind of we started just building in
[07:15.16]  the open again another kind of thing you
[07:17.11]  hear from time to time or again and
[07:19.12]  again are microcon we started to just
[07:22.51]  send screenshots like this is what we're
[07:24.04]  working on this is this is how it looks
[07:25.81]  at the moment some of them are really
[07:26.98]  crude I mean this was really really
[07:29.71]  basic this literally says right message
[07:32.92]  logo in the in the corner like we hadn't
[07:35.35]  there was a lot we hadn't done yet but
[07:36.97]  we were just sharing everything and it
[07:38.83]  helped build that audience more and more
[07:40.15]  and when we weren't sure what to do with
[07:44.62]  the feature we weren't sure what to do
[07:45.61]  with something we'd asked we had these
[07:46.93]  people that we could ask now so it would
[07:49.87]  say like we're not sure whether you
[07:51.07]  would with this be better for you with
[07:52.24]  that be better and people would comment
[07:53.68]  and it just helped keep us going in the
[07:55.75]  right direction kind of gave us more
[07:57.28]  confidence we were building the right
[07:58.30]  thing and it was great for motivation as
[08:01.78]  well because we post something and we'd
[08:03.16]  get messages back you know this sounds
[08:05.65]  so amazing this is extremely powerful
[08:09.75]  I'm sitting here with goosebumps you
[08:12.46]  guys rock heart eyes emoji heart eyes
[08:14.74]  emoji open HTML nerd tag man crush close
[08:19.54]  HTML nerd tag and not even sure what
[08:22.03]  that means but people seem too happy and
[08:25.56]  and there were other things you know we
[08:27.52]  had the landing page we had the email
[08:29.08]  list we were building up building up all
[08:30.85]  this stuff and I mean it works it helps
[08:33.04]  it's it got us a lot of attention and
[08:36.99]  and it helped kind of keep us keep us on
[08:39.73]  track a little bit and then we got this
[08:42.34]  email this was from the CEO of one of
[08:45.46]  the one of our first customers our
[08:48.67]  pre-launch customers where they
[08:50.95]  basically said
[08:52.39]  like do you want to take investment that
[08:55.42]  we've been following what you're doing
[08:57.30]  if I could convince you to raise this is
[09:00.07]  my favorite part
[09:00.82]  half a million or a million or whatever
[09:04.74]  to help you grow and it starts with
[09:08.89]  suspect the answer is no because they
[09:10.60]  knew that we were bootstrap as we'd
[09:11.77]  always bootstrapped and we were gonna
[09:14.35]  say no because we were bootstrappers and
[09:16.30]  we always bootstrapped but we kind of we
[09:19.39]  thought like it's kind of naive to just
[09:21.96]  decide like we don't like investment so
[09:24.58]  we're not going to do it and so we took
[09:26.95]  a step back and we said like why why
[09:28.93]  have we never done that before what are
[09:30.25]  our concerns with that and we replied to
[09:32.89]  him and we said like these are some of
[09:34.06]  the things like this is why we are
[09:36.49]  leaning towards no like and I'm sure
[09:39.40]  you've kind of you've seen these all
[09:40.78]  you've heard of these so you've seen
[09:42.55]  companies do things like this we said we
[09:44.38]  don't want to we don't give up all the
[09:46.27]  control you know we don't want to give
[09:47.65]  out board seats and and have investors
[09:50.20]  that are telling us what we have to do
[09:51.40]  and the response was okay there will be
[09:55.54]  no board seats you'll you'll keep full
[09:57.49]  control and we're like okay that's
[10:00.12]  helpful but we want to you know we want
[10:04.87]  to stay loyal to our customers we've
[10:06.25]  seen other businesses where they take
[10:07.66]  investment and now they have to do
[10:08.77]  things to please the shareholders and
[10:10.27]  it's not always and the customers
[10:11.29]  interest and we don't like that and he
[10:13.81]  was like fine there will be no they
[10:16.30]  won't have any like the investors won't
[10:17.56]  have any say day-to-day
[10:19.18]  you'll you'll keep doing what's best to
[10:20.56]  your customers and we're like yeah well
[10:24.66]  what about kind of we can have to put
[10:26.62]  together a pitch deck we're gonna have
[10:27.88]  to go find these yeah it convinced these
[10:30.16]  investors it's time-consuming and he
[10:33.28]  said I'll I've got the investors I can
[10:34.96]  get them I have investors in my company
[10:36.55]  I'll do everything you won't lift a
[10:38.26]  finger and at that point we're like okay
[10:41.44]  this you've kind of taken out all the
[10:44.53]  reasons why we would ante if we were
[10:48.31]  ante the things that come along with
[10:49.48]  investment and we're like this this kind
[10:51.67]  of makes sense then it's gonna help us
[10:53.62]  grow we can go full-time we can we can
[10:55.45]  build this faster we can build a little
[10:56.68]  team to accelerate things as we took the
[10:59.50]  money and we launched beginning
[11:05.56]  January which we hired a few people sped
[11:07.63]  things up you know January we launched
[11:09.25]  and this was kind of MOR at the
[11:12.91]  beginning we launched about seven and a
[11:15.52]  half grand MRRR and we had about 75
[11:18.88]  grand a lot of it was annuals and
[11:20.59]  pre-launch and so on so about 75 grand
[11:22.45]  of revenue at that point total and seven
[11:25.78]  and a half grand monthly and we were
[11:27.70]  happy this was this was kind of this was
[11:29.35]  great this was this is what we wanted
[11:33.15]  and the following months of February
[11:35.62]  kind of flatlined and we were like
[11:37.18]  that's kind of that's normal we've seen
[11:39.25]  that happen everyone who has been
[11:40.99]  following along has now bought the ones
[11:42.40]  who want to like the next month is is
[11:45.03]  that's okay and we watched kind of this
[11:48.43]  happen the next month will that okay
[11:49.99]  we've got a bit more and then this and
[11:52.03]  then this and we're like okay this is
[11:55.59]  we've done something right we're at
[11:59.43]  almost 20k just under 20 K revenue four
[12:02.59]  months after launch em are our monthly
[12:05.05]  revenue right this is great like we can
[12:07.72]  you know we're gonna be retiring soon
[12:09.07]  this is gonna be us on a boat with I
[12:11.98]  think t-pain apparently that's you know
[12:15.34]  it's gonna be great
[12:18.78]  20km RR 4 months after launch party
[12:22.09]  right and there were a couple of
[12:25.57]  problems brewing
[12:26.67]  the first problem the first one in
[12:29.50]  itself isn't necessarily a problem but
[12:32.05]  is that that 20k we were not profitable
[12:34.81]  yet we were spending more than that on
[12:36.31]  you know we'd hired people and people
[12:37.90]  are expensive and itself there's not a
[12:39.97]  problem because if we kept growing in
[12:41.35]  that way we'd be profitable long before
[12:43.78]  long before we ran out of money the
[12:48.01]  bigger problem was kind of we were we
[12:50.62]  were pouring and we were marketing we
[12:53.17]  were we were like we just need more
[12:54.16]  customers like this we can be profitable
[12:55.48]  soon and we're just gonna get revenue
[12:57.61]  from wherever we can we get all these
[12:58.90]  new customers and just keep doing what
[13:00.19]  we're doing it's all great but the
[13:03.73]  second problem was there was some chair
[13:05.92]  on the horizon it takes us to part two
[13:09.30]  so
[13:14.56]  the month the following month June kind
[13:19.25]  of flatlined like this and we're like a
[13:20.51]  cave you know we had it we had we had
[13:22.13]  that happened just after launch as well
[13:23.54]  it might just be a temporary thing is
[13:24.71]  the summer people are going away and it
[13:26.66]  kind of recovered and then this and then
[13:29.54]  this and now we're like what the hell's
[13:34.19]  going on right and this is kind of
[13:36.71]  concerning again because we're spending
[13:39.17]  a helluva lot more than that each month
[13:40.49]  on on team and so we did what any and a
[13:45.68]  smart entrepreneurs would do we freaked
[13:49.67]  out no we took a step back and we're
[13:54.59]  like we need to we'd like we have to
[13:56.24]  figure out what's going on here and like
[14:01.04]  we need to know why this is happening
[14:03.28]  firstly like there's two aspects to why
[14:06.44]  the first one is very simple
[14:07.61]  what's the immediate cause and what I
[14:09.44]  mean is if revenue is going down like
[14:11.54]  something is that's either there aren't
[14:13.76]  people coming in the top of the funnel
[14:14.96]  anymore and do we need to fix that or
[14:18.97]  people are kind of taking out trials but
[14:21.20]  they're not we actually didn't have
[14:22.10]  trials at this point but if you do then
[14:23.78]  that's another possibility
[14:25.22]  people are taking our trials they're not
[14:28.22]  converting you can figure out what's up
[14:29.66]  with that in our case it was churn it
[14:32.87]  was it was the a lot of customers still
[14:36.38]  coming in and then a lot of them
[14:38.03]  cancelling this was our revenue this is
[14:40.97]  Archer and a revenue churn for the
[14:44.78]  months after launch you kind of you
[14:47.93]  might be forgiven for thinking okay
[14:49.16]  that's fine if that's if that's dollars
[14:51.23]  churn that kind of makes sense because
[14:52.73]  you were growing so fast so you're gonna
[14:54.20]  churn more dollars that's kind of normal
[14:55.49]  but this was percent churn so it kind of
[15:01.10]  hovered 5% at the beginning and then up
[15:02.99]  to 10% and before the year was out like
[15:06.11]  we were we were over 15% Chen and we
[15:08.24]  just we hadn't been paying nearly enough
[15:09.86]  attention to this and from speaking to
[15:13.43]  people it turns out it's a very common
[15:15.38]  thing I've spoken to a lot of people
[15:17.30]  even over the last couple of days who
[15:19.70]  have kind of seen this happen
[15:20.84]  kind of big launch and then Plateau and
[15:23.69]  it's from people dropping out and
[15:26.64]  robee even talked a few years ago Micro
[15:28.89]  Kampf drip did something pretty similar
[15:32.12]  it something happens a lot and we just
[15:35.19]  needed to figure out why we needed to
[15:36.51]  fix it the bottom line was we didn't
[15:41.28]  have a product that was exactly what our
[15:43.38]  market needed yet or we didn't have
[15:45.78]  product market fit and we kind of we
[15:51.54]  tricked ourselves into thinking we did
[15:53.07]  because of that big revenue right we we
[15:58.92]  kind of in my head if you made that much
[16:01.17]  money then you kind of you had a bit of
[16:03.54]  fit don't think it's always the case I
[16:05.55]  think what we were seeing is partly
[16:09.18]  because a lot of us have got kind of
[16:11.19]  better over the years we've learned how
[16:12.63]  to launch something to revenue instead
[16:14.85]  of launching it to nothing I've learned
[16:16.05]  how to build that audience sometimes
[16:18.99]  what happens is those people are signing
[16:22.05]  up they don't know yet whether it's
[16:25.44]  whether it's going to work for them and
[16:26.61]  they they cut you some slack because
[16:28.68]  they know it's new and it might take a
[16:30.30]  few months before they decide yeah this
[16:31.77]  is definitely not right for me and
[16:34.01]  they're also they're more loyal they
[16:36.39]  kind of they've been following along
[16:37.62]  they there's a lot of there's a lot of
[16:41.82]  kind of yeah there's a lot of loyalty to
[16:43.65]  you from those early launch customers it
[16:47.79]  doesn't mean you've got something right
[16:48.90]  yet it means that they see that there's
[16:51.00]  a problem your solution might not quite
[16:52.62]  be the one they need so what could we
[16:59.61]  have been looking at we were kind of we
[17:01.20]  took we took the high revenue as a sign
[17:03.09]  that we were we were doing right like I
[17:06.30]  said churn is a good thing to look up
[17:09.20]  the downside of churn is that you find
[17:11.61]  out much later so China's like it's a
[17:15.69]  very lagging indicator it's kind of it
[17:17.46]  tells you immediately that you had a
[17:19.65]  problem four months ago it's it's the
[17:23.85]  kind of if you need to be watching it
[17:27.09]  but it also it doesn't tell you stuff
[17:28.32]  early so other things like a lot of
[17:30.48]  people like to look at these kind of
[17:31.65]  survey kind of questions so there's MPs
[17:33.35]  where
[17:35.42]  okay there's a whole methodology around
[17:37.50]  NPS but the bit I'm kind of interested
[17:39.42]  in here is the idea of how likely are
[17:42.45]  you to want to recommend this to people
[17:44.07]  if you can figure out if you can get a
[17:45.96]  sense of how of whether people are like
[17:48.42]  I am definitely going to recommend this
[17:50.70]  like I love it versus the number of
[17:52.53]  people who are saying I like I can't see
[17:54.78]  myself taliano about this
[17:55.89]  it's the useful thing to know the naked
[18:00.48]  question is is this idea of like how
[18:02.25]  this points would you be if you did not
[18:03.42]  have this this has kind of been
[18:06.54]  popularized a lot this year by super
[18:08.37]  human you may have seen they they said
[18:10.02]  they used this to kind of measure how
[18:12.60]  they're how close they work for a market
[18:14.61]  fit they got it from Sean Ellis Sean
[18:16.68]  Ellis I think got it from somewhere else
[18:19.04]  but it's again it's a useful thing to
[18:21.33]  Sean's benchmark is is like you should
[18:24.69]  have 40% if more than 40% of people are
[18:27.33]  saying they'd be very disappointed
[18:28.65]  to not have your thing that can be a
[18:30.75]  good indicator but also just speaking
[18:33.78]  with customers as much as possible like
[18:35.94]  you get a feel for this stuff you get a
[18:37.47]  feel for people loving this or are they
[18:40.26]  just kind of along for the ride and
[18:41.58]  they're still figuring out whether
[18:43.10]  whether you can help them and so on
[18:47.57]  now we because we had hired we weren't
[18:52.74]  speaking with customers nearly as much
[18:54.00]  as we should have been we've kind of
[18:55.86]  created this abstraction layer between
[18:57.30]  us and customers because like we weren't
[18:59.70]  in the supporting books anymore we had
[19:01.02]  someone for that and we weren't doing
[19:03.09]  all the demo calls because there was
[19:04.14]  someone doing that and so us as the
[19:06.18]  founders were kind of we were a little
[19:07.32]  bit obstructed away and it wasn't a
[19:09.33]  great idea so Sean Ellis great actors if
[19:14.28]  you haven't reached product market fit
[19:15.54]  yet and again even if you have revenue
[19:18.11]  you may not have this product market fit
[19:20.39]  it is critical to keep your burn low and
[19:24.09]  focus on increasing a percentage of
[19:25.32]  users that say they'll be very
[19:26.67]  disappointed about your product the
[19:28.53]  founders should engage existing and
[19:30.33]  target users to learn how to make your
[19:31.95]  product a must-have so he's basically
[19:35.49]  saying if you don't have heard of market
[19:37.17]  fit yet don't spend money and learn
[19:40.26]  everything you can from customers what
[19:44.07]  are we doing spending lots of money
[19:47.11]  and we build this abstraction layer
[19:48.70]  between us and customers this means do
[19:55.15]  something about it and there's two
[20:01.15]  things here one is a short-term thing we
[20:03.94]  were very much on our way to running out
[20:05.80]  of money because we've been spending on
[20:07.30]  the assumption that revenue was going to
[20:08.62]  keep growing in the way in a way that it
[20:11.95]  had been and so there's this short-term
[20:14.83]  thing of we need to not run out of money
[20:16.15]  and then the longer-term of how do we
[20:17.80]  fix the Chad I'm going to look at the
[20:19.63]  both of those things in the short term
[20:21.85]  if you are in that position it's not a
[20:23.20]  nice position to be in but you have a
[20:25.54]  few options you can get rid of some of
[20:29.44]  those people that you're spending so
[20:30.55]  much money on not a nice thing to do you
[20:33.64]  can look at taking less money yourselves
[20:37.57]  or doing kind of pay cuts across across
[20:43.09]  the team again not a great thing to do
[20:45.15]  Josh Pigford their metrics had to ended
[20:48.73]  up doing that one he's talked a lot
[20:50.65]  about that online but they kind of said
[20:52.69]  everyone on the team needs to take less
[20:54.19]  money because we've screwed up here and
[20:56.50]  we're running out well you give out to
[21:00.01]  the investors and you say can we have a
[21:02.74]  little bit more please you need to
[21:04.36]  persuade them that it's a temporary
[21:05.59]  enough thing that you know that it's not
[21:08.08]  you can fix an other income something
[21:11.38]  like consulting it's an interesting one
[21:12.88]  because probably most people in this
[21:15.37]  room have done this at the beginning of
[21:17.62]  a SAS where where you start where you
[21:21.40]  can't even quit your consulting income
[21:22.63]  that's paying the bills while you get
[21:23.80]  the SAS off the ground and but it's
[21:28.30]  something that you can do later as well
[21:30.28]  and it's always in a way it's an easier
[21:33.10]  thing to do at that point because you're
[21:35.47]  if you're anything like us we had a lot
[21:37.60]  of customers who were saying and what
[21:39.43]  what you're doing I want to buy in but I
[21:41.86]  don't have the time to even implement it
[21:43.12]  myself can you do that for me and we
[21:46.51]  were like yeah we can kind of we were
[21:47.86]  the authority in doing that at that
[21:49.33]  point it was an easy sell and we would
[21:52.33]  we were like we'll set up the product
[21:54.04]  for you we'll set up all your email
[21:55.39]  marketing things around that it was time
[21:58.36]  consuming for us and I think if you're
[22:00.31]  running a SAS
