Title     : The Story of How Squadcast.fm Blew Past $100K MRR -  Zach Moreno and Rock Felder - MicroConf Remote
Video ID  : s1EtZu7eBCg
URL       : https://www.youtube.com/watch?v=s1EtZu7eBCg
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1158
Saved at  : 2026-06-20 21:51:52
------------------------------------------------------------

[00:00.89]  [Music]
[00:04.48]  our next keynote
[00:05.92]  is from the co-founders of squadcast
[00:10.12]  squadcast.fm is podcast it's remote
[00:13.36]  podcast recording software so you log
[00:15.92]  into a web browser
[00:17.04]  you send a link to a guest up to three
[00:19.60]  guests and you can all
[00:21.44]  just get in and instantly record local
[00:24.00]  audio
[00:24.48]  super high quality it's what i use to
[00:26.48]  record all three of my podcasts
[00:29.04]  so zach moreno and rock felder they've
[00:31.28]  been friends for most of their lives and
[00:32.64]  they're lucky to have maintained that
[00:33.84]  friendship
[00:34.48]  as they built squad cast into a company
[00:36.48]  that has blown past
[00:37.84]  100k mrr they've blown past that mark in
[00:40.48]  the past year
[00:41.84]  with that let's welcome rock and zach to
[00:43.92]  the show thank you gentlemen so much
[00:47.28]  hi thanks rob
[00:51.84]  can you hear us guys yep
[00:54.96]  all right well hello to our friends of
[00:56.64]  microcom thank you all for your time
[00:58.56]  today
[00:59.44]  we're super excited maybe even a little
[01:01.52]  nervous about sharing our story with you
[01:03.68]  on how we blew past 100k mrr just a
[01:06.72]  warning
[01:07.28]  uh it happened a little bit different
[01:08.96]  than we expected and we think it can for
[01:10.96]  you too
[01:12.32]  uh before we do get started with uh the
[01:14.88]  presentation though we would like to
[01:16.24]  introduce ourselves so zach say hi and
[01:17.92]  uh tell them a little something about
[01:19.20]  what you do at squad cast yeah hey
[01:20.80]  everyone i'm the co-founder and ceo of
[01:22.88]  squad cast with my good friend rock
[01:25.68]  yeah and i'm rock and i'm the co-founder
[01:27.28]  and cfo so kind of handle
[01:29.12]  uh more of the business sales side of
[01:31.36]  things okay
[01:33.28]  so a little bit about our back story
[01:36.32]  we're
[01:36.88]  long-time friends as we shared and we
[01:39.68]  are
[01:40.00]  avid podcast listeners rock actually
[01:42.24]  introduced me
[01:43.60]  to podcasts and i've always loved
[01:45.36]  listening because we have
[01:47.04]  we have a love for for learning new
[01:48.64]  things and podcasts are a fantastic way
[01:51.04]  to go
[01:51.92]  really deep into a niche topic uh very
[01:54.88]  quickly
[01:55.92]  and um from there we decided to make the
[01:59.04]  the transition over the course of a
[02:01.68]  couple years later decided to make the
[02:03.44]  jump from being a
[02:04.64]  passive listener to a lot of podcasts
[02:07.52]  and really
[02:08.00]  make the jump into being an active
[02:10.24]  creator and participate in making our
[02:12.32]  own show
[02:13.28]  we wanted to do a science fiction audio
[02:15.68]  drama
[02:16.32]  so um that's a relatively new category
[02:19.20]  within podcasting
[02:20.96]  and uh just fell in love with that right
[02:22.64]  away so uh
[02:24.64]  once we started that journey we had a we
[02:26.64]  had a constraint
[02:27.76]  of being a remote team and um
[02:30.80]  you know like like we are today so uh we
[02:33.36]  we didn't want to sacrifice the
[02:34.96]  the audio quality of our production uh
[02:37.76]  with
[02:38.08]  uh with that constraint of having a
[02:39.84]  remote producer and
[02:41.76]  voice actors and um authors and all of
[02:45.12]  those things we we needed to have high
[02:47.20]  quality production
