Title     : 370: Banzai: Pivoting from a Near  Collapse to 8 Figure ARR SaaS
Video ID  : 42RZZ3llZFs
URL       : https://www.youtube.com/watch?v=42RZZ3llZFs
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1585
Saved at  : 2026-06-20 20:52:54
------------------------------------------------------------

[00:00.12]  all right Joe welcome to the show hey
[00:02.04]  thanks ommer do you have a a favorite
[00:04.52]  quote something that inspires or
[00:06.28]  motivates you that you can share with us
[00:08.00]  the one that's been motivating me lately
[00:10.24]  is a quote from Warren Buffett the
[00:12.88]  chains of habit are too light to be
[00:14.52]  filled until they're too heavy to be
[00:16.08]  broken and uh this has been that's been
[00:19.24]  really important for me because I've
[00:20.60]  been trying to build good habits over
[00:22.52]  the last few months I don't know about
[00:23.68]  anybody else but uh yeah I've been
[00:25.32]  working from home a lot lately it's been
[00:26.80]  a big change for me the last couple of
[00:28.40]  years and it's like easy to get lazy and
[00:31.12]  it's easy to not go to the gym and it's
[00:32.72]  easy to like eat bad food and so uh I've
[00:36.24]  been using that to remind myself to get
[00:38.80]  up and go to the gym every day and you
[00:40.88]  know go on a walk and like you know even
[00:43.76]  little stuff like uh you know like spend
[00:46.32]  15 minutes talking to my wife every day
[00:48.28]  you know like little habits can be be
[00:50.20]  easy to ignore so I like that one yeah
[00:52.92]  love it that's important okay so tell us
[00:55.20]  about bunai what does the the business
[00:58.92]  do who who are you building these
[01:01.04]  products for and what are the main
[01:03.40]  problems you're you're trying to solve
[01:05.72]  sure um I mean Bonsai is a SAS company
[01:08.52]  we uh marketing technology products for
[01:12.36]  companies of all sizes but for really
[01:14.88]  any company that wants to grow faster
[01:17.12]  and uh we have a range of products uh
[01:20.68]  but the most popular product we have is
[01:22.88]  called demio um it's a webinar product
[01:26.44]  number one webinar product out there for
[01:30.00]  B2B
[01:31.36]  marketing um we have probably you know
[01:34.20]  about a million plus users per year on
[01:37.20]  that product so it's uh uh it's it's
[01:40.36]  been a fantastic uh product for us and
[01:44.48]  basically our vision as a company you
[01:46.48]  know right now we have uh customers that
[01:49.44]  range in size all the way from small
[01:50.96]  businesses to the Fortune 500 um but our
[01:53.72]  vision as a company is to basically add
[01:57.72]  value to every cust customer interaction
[02:00.88]  or customer relationship that a marketer
[02:03.48]  has uh and so we want to do that across
[02:06.52]  three different themes that we're
[02:07.60]  focused on uh engagement targeting and
[02:11.52]  data and analytics so uh we're building
[02:15.08]  and buying companies that are focused on
[02:18.36]  those three themes and uh or products
[02:21.44]  that are focused on those three themes
[02:23.28]  but all of which are basically designed
[02:26.04]  and built uh for marketers who want to
[02:28.80]  make their companies grow faster F and
[02:30.80]  then the vision for the product is it to
[02:33.36]  bring all of these Acquisitions together
[02:36.20]  into one integrated product or are you
[02:38.28]  gonna sell them as separate no no no
[02:41.84]  because because I think that's like uh I
[02:45.52]  think that's like uh I've seen so many
[02:48.44]  companies make this mistake of trying to
[02:50.44]  take two perfectly good products and
[02:52.44]  mash them together into this
[02:53.36]  Frankenstein thing and it never works
[02:56.36]  you know it never works the way they
[02:57.60]  think it's going to um our our view is
[03:01.44]  you know we want products that work
[03:03.32]  really well on their own we want to own
[03:05.04]  the best product in every category that
[03:07.76]  we you know have in our priority list so
[03:10.60]  um across those three themes there's a
[03:12.00]  lot you know you can slice those those
[03:14.44]  themes and you can even probably slice
[03:16.64]  the slices but uh but within each of
[03:20.40]  those you know we within each of those
[03:22.12]  slices we want to have you know the
[03:24.20]  number one product either you know
[03:26.44]  either what we think is the biggest
[03:28.88]  fastest growing
[03:30.44]  product in that space or we want to have
[03:32.16]  what we think is the highest rated
[03:34.16]  product in that space um because we want
[03:37.24]  to you know if we have the highest rated
[03:38.80]  product at least we know that we can
[03:40.08]  grow into the biggest um over time so
[03:42.92]  that's the that's the strategy awesome
[03:45.44]  and can you give us a sense of the size
[03:46.72]  of the business where you in terms of
[03:48.68]  Revenue size of team number of customers
[03:51.00]  any other data that you can share yeah
[03:52.84]  sure we just filed to go public so you
[03:55.00]  know I would uh direct any listeners to
[03:57.76]  go look at our public filings but we
[03:59.48]  have uh about 3,500 customers we uh have
[04:03.20]  people in 16 different time zones we
[04:04.84]  have customers in 54 different countries
[04:07.60]  um so we are you know uh and we're on a
[04:10.80]  you know great kind of growth trajectory
[04:13.76]  over the next you know few years uh so I
