Title     : 373: Check: Building a SaaS Startup  You're Not Rushing to Sell
Video ID  : cSuxL6jl-zM
URL       : https://www.youtube.com/watch?v=cSuxL6jl-zM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1118
Saved at  : 2026-06-20 20:52:08
------------------------------------------------------------

[00:00.20]  Andrew welcome to the show thanks for
[00:02.04]  having me on today Omar do you have a
[00:04.64]  favorite quote something that inspires
[00:06.56]  or motivates you that you can share with
[00:07.96]  us I love the William Gibson quote that
[00:10.56]  the future is already here it's just not
[00:12.64]  evenly distributed that's uh I I think
[00:15.04]  about that all the time as we build
[00:16.60]  product love that so tell us about cck
[00:20.80]  what does the product do who's it for
[00:23.24]  and what's the main problem you're
[00:24.92]  helping to solve Czech is a platform for
[00:28.12]  building new payroll products and
[00:30.28]  businesses so let me explain what that
[00:32.44]  means and why does anyone need a new
[00:34.20]  payroll service you know most folks like
[00:35.96]  hey every company has payroll already so
[00:38.68]  the way we think about it is a small
[00:40.44]  business owner H historically they might
[00:42.96]  have managed their business on pen and
[00:44.84]  paper over the last 10 years they've
[00:46.84]  begun to use some sort of platform you
[00:48.80]  can think of you know the squares and
[00:50.28]  toasts of the world to actually run
[00:52.20]  their business every day now payroll
[00:55.00]  historically has been a whole other
[00:56.36]  separate system disconnected from that
[00:58.68]  core one that they're using to run their
[01:00.52]  business that makes no sense to us we
[01:02.80]  think as a small business owner you have
[01:04.52]  way more things to do than you have time
[01:06.48]  to think about them payroll should not
[01:08.56]  be on that list so what we do is we work
[01:10.88]  with those platforms folks like Homebase
[01:12.92]  and house call Pro who are our customers
[01:15.28]  so that payroll is baked into that
[01:17.36]  workflow that's part of the everyday
[01:19.12]  platform for the small business owner
[01:20.96]  can you give us a sense of the size of
[01:22.96]  the business where you in terms of
[01:25.24]  Revenue customers size of Team yeah so
[01:28.56]  Czech is a serious C compy we're a
[01:30.64]  little over four years into the business
[01:32.52]  now uh the partners who we work with
[01:35.00]  power hundreds of thousands of
[01:36.68]  businesses more than three million
[01:38.84]  employees across all 50 states in the US
[01:42.08]  uh and DC and we're about a hundred or
[01:44.84]  so people and I think in total you've
[01:47.28]  raised about 119 million that's correct
[01:51.40]  yeah we've been really fortunate to be
[01:52.80]  backed by you know incredible investors
[01:55.16]  stripe Thrive index Bedrock Capital uh
[01:59.04]  in a slew of Amazing Angels as well so
[02:02.16]  let's talk about what you were doing
[02:04.64]  before you founded Czech you spent some
[02:08.00]  time at Google and then you you know
[02:11.20]  jumped into the startup world but your
[02:13.64]  first company was a b2c business is that
[02:17.28]  right that's right my first company was
[02:19.32]  called oyster and it was a uh
[02:22.08]  subscription service for ebooks so think
[02:24.80]  Spotify or Netflix but for ebooks uh and
[02:28.00]  you would access that you know on your
[02:29.32]  phone your tablet you know those sorts
[02:31.12]  of devices and it was started at about a
[02:33.72]  year out of school was 23 and had a
[02:36.12]  basically an amazing kind of fouryear
[02:37.92]  run there and just give us a kind of the
[02:41.44]  short version of the story like how did
[02:43.36]  you come up with the idea for that
[02:45.52]  business and you know like who who did
[02:49.88]  you build it with because you had some
[02:51.64]  co-founders with you on that business
[02:53.52]  right yeah I had two partners in that
[02:55.80]  business uh Eric and Willam uh and the
[02:58.88]  three of us were really one we loved
[03:00.92]  books we loved reading uh speaking for
[03:02.88]  myself I'm definitely a nerd and you
[03:04.52]  know always as a kid spent a lot of time
[03:06.08]  at the library and so we had that
[03:08.84]  experience on the one hand and on the
[03:10.20]  other hand you know we loved Netflix
[03:11.92]  Spotify at the time was relatively new
[03:13.88]  we loved what they had brought to music
[03:15.84]  and we said hey why could we bring this
[03:18.36]  you know unlimited subscription I'll
[03:20.64]  call it a more modern version of a
[03:22.12]  library type of model to you know the
[03:25.16]  book industry that seemed like something
[03:26.88]  that someone should do and we thought uh
[03:29.00]  we were based in York at the time New
[03:30.72]  York I mean still am but New York was a
[03:32.56]  much smaller Tech scene than the
[03:34.00]  publishing industry was based here we
[03:35.60]  said you know what we uh you we know how
[03:37.80]  to build software William was an
[03:39.48]  incredible designer uh Eric knew how to
[03:41.72]  do BD deals we were in the right place
[03:43.80]  we said hey let's go take a swing at
[03:45.40]  this thing and you know try and convince
[03:47.60]  these in some cases you know multi-
[03:49.24]  hundred year old publishing companies to
[03:51.64]  take a shot on some 20-some year old
[03:53.72]  guys on trying a totally new business
[03:55.32]  model I I think you ran that business
[03:57.32]  for three or four years grew it to about
[04:00.68]  7 million in AR and then you ended up
[04:04.08]  selling it to Google that's exactly
[04:07.28]  right yeah we were we were really
[04:09.20]  fortunate with you know the trajectory
[04:11.32]  of that business and and it's
[04:12.80]  interesting I think I learned a lot
[04:14.20]  there that Google had um the Google Play
[04:17.44]  Store uh and as part of that you know
[04:19.84]  they had an ebook app and a music app
[04:22.08]  and a video app Etc and but I think
[04:24.96]  ebooks for them had been underinvested
[04:26.80]  in and uh you know they looked at what
[04:28.84]  we had been able to bu and really the I
[04:30.48]  think consumer love that we've been able
[04:32.16]  to generate and they said hey if you
[04:33.84]  plug that uh you know kind of product
[04:36.12]  and that consumer love into our amazing
[04:38.72]  distribution engine where this app is
[04:40.24]  literally pre-installed on every Android
[04:42.12]  device in the entire world uh you know
[04:44.24]  we can really build something you know
[04:45.72]  pretty interesting and you know that was
[04:47.44]  the core thesis behind the deal and so
[04:50.16]  you ended up spending another three or
[04:51.96]  so years working at Google after that
[04:56.76]  acquisition uh and you know until you
[04:58.68]  came up with the idea of a check so so
[05:00.88]  tell me about how that idea was born
[05:03.12]  because you know you've gone through
[05:04.72]  you've had a successful exit with a BDC
[05:07.28]  business and now suddenly you're going
[05:09.88]  into B2B Enterprise completely different
[05:13.20]  world like where where did that idea
[05:15.32]  come from I if I can take one step back
[05:17.88]  I think this is where the story really
[05:19.36]  gets interesting you know you've got
[05:21.76]  this trajectory we you started this
[05:23.72]  company we sold it you know those three
[05:26.52]  years that Google were tough for me I
[05:28.76]  honestly like while the acquisition was
[05:30.60]  exciting from the outside it was not the
[05:32.60]  outcome that I wanted I wanted to build
