Title     : 382: Walls.io: Bootstrapping Solo  to Over $10M ARR - with Michael Kamleitner
Video ID  : HiGIzcuUPMI
URL       : https://www.youtube.com/watch?v=HiGIzcuUPMI
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1292
Saved at  : 2026-06-20 20:48:35
------------------------------------------------------------

[00:00.16]  Michael welcome to the show hi om thanks
[00:02.36]  for having me my pleasure do you have a
[00:05.60]  favorite quote something that inspires
[00:07.32]  or motivates you that you can share with
[00:08.84]  us yeah yeah I do I I did think about it
[00:11.56]  a lot and uh since uh since I've been a
[00:14.80]  founder of two SAS companies uh
[00:17.08]  bootstrap both and both time the solo
[00:19.40]  founder I I really love this quote which
[00:21.68]  is taken from a book from Sarah Lacy uh
[00:24.48]  and she originally titled her book once
[00:26.32]  you're lucky twice you're good and I
[00:29.28]  adapted that for myself uh since I'm a
[00:31.80]  two time two times founder once you're
[00:33.68]  lucky twice you're stupid because
[00:36.28]  sometimes I really felt very stupid
[00:38.36]  doing it twice at the same time alone
[00:40.68]  and bootstrapped the book is very good
[00:42.80]  though and uh definitely also
[00:45.16]  recommendation yeah that's the key there
[00:47.44]  it's not that you're a second time
[00:49.20]  founder it's that you've built two
[00:51.44]  companies in parallel and I think that's
[00:54.20]  a really interesting part of of your
[00:55.92]  story as we were talking earlier number
[00:58.04]  one your bootstrapped
[01:00.52]  number two you're a solo founder number
[01:03.40]  three you have built these two companies
[01:05.76]  in parallel and number four you're not
[01:08.64]  in Silicon Valley right like all the
[01:10.56]  things that people say you need to be
[01:12.00]  doing so it's going we're going to have
[01:13.72]  some fun with this conversation and
[01:15.52]  figure out what you've done um you know
[01:17.80]  because you've you obviously done
[01:19.08]  something right here why don't we start
[01:22.12]  by you telling us about walls IO what
[01:25.88]  what does the product do who's it for
[01:28.44]  and what's the main problem you're
[01:29.64]  trying solve and then also tell us about
[01:31.12]  the second company SWAT IO sure sure
[01:34.08]  happy to do so Omar so uh W IO is uh of
[01:37.36]  course it's a B2B SAU product in the
[01:39.04]  social media marketing space and and our
[01:41.32]  pitch is that wo engages your audience
[01:44.00]  with user generated content and by that
[01:46.96]  increases engagement and brand awareness
[01:49.16]  whether that's at events or um or on
[01:52.28]  your website or on your mobile app
[01:54.12]  anywhere you want to use user generated
[01:56.20]  content to increase engagement that's
[01:58.12]  where wo comes in uh and uh the second
[02:01.32]  company SWAT iio uh is a social media
[02:03.88]  management tool so that's a very very
[02:05.80]  classical software category a tool that
[02:07.80]  allows social media marketing
[02:09.24]  professionals to streamline their
[02:11.32]  Community Management their content
[02:13.12]  planning analytics everything that the
[02:15.16]  social media manager does every day give
[02:17.60]  us a sense of the size of the business
[02:19.20]  where are you in terms of Revenue size
[02:22.76]  of team number of customers all in all
[02:25.40]  we are now more than 65 uh team members
[02:28.72]  that's about 45
[02:30.28]  coming from swo and about 20 from from
[02:32.80]  wo we do we are coming from the same
[02:35.00]  parent company we are still sharing an
[02:36.80]  office so sometimes it's hard to say
[02:38.56]  which who's working for who which
[02:40.44]  company so it's 65 in total and I don't
[02:43.28]  disclose any Revenue numbers per se but
[02:46.08]  uh what I can tell you what I'm very
[02:48.16]  proud uh proud of and also thankful for
[02:50.40]  all my team is that we have been able to
[02:52.88]  cross the 10 million US Dollars uh
[02:56.44]  annual revenue both businesses combined
[02:59.92]  okay so let's um let's talk about how
[03:03.84]  you got started I think you you started
[03:07.24]  SWAT iio first and then about a year
[03:10.72]  later you launched walls IO so why don't
[03:14.52]  we go back
[03:16.28]  to those days like what year was that
[03:19.36]  and and what were you doing at the time
[03:22.04]  uh yeah let's go back down the memory
[03:24.36]  Memory Lane U that's almost 15 years ago
[03:27.16]  I think I used to be a software
[03:29.04]  developer myself back then and uh I
[03:31.40]  still remember 2008 found it super super
[03:34.24]  exciting when Facebook first launched
[03:36.24]  their their first public AP platform so
[03:39.04]  I was dabbling around in my bedroom
[03:40.80]  building tiny little and I would say
[03:42.84]  stupid little applications on top of
[03:45.16]  Facebook and out of that I've created my
[03:48.80]  first business which was a tiny B
[03:50.92]  Boutique uh software agency focusing on
[03:53.88]  building marketing apps on Facebook and
[03:56.24]  other social media platforms um so that
[03:58.88]  was the first real business I I I
[04:01.08]  created or founded myself uh however
[04:03.56]  pretty quickly I became aware that I
[04:06.28]  don't see myself in running an agency
[04:07.96]  forever I wanted to do product so I was
[04:10.76]  uh I was happy that and and and uh
[04:13.76]  blessed I would say that from the agency
[04:16.00]  business I was able to develop the
[04:17.68]  product ideas together with my team uh
[04:20.24]  for both SWAT iio and walls iio and
[04:22.84]  you're right swo was was founded or
[04:25.52]  created first as a product that's pretty
[04:27.80]  much 10 years ago in 2013 it's sometimes
[04:30.16]  hard to to pinpoint the exact date
[04:32.48]  because there used to be long periods of
[04:34.56]  prototyping and being unsure whether
[04:37.12]  this is the self-sustainable business
[04:39.36]  until we really jumped into the cold
[04:41.28]  water and said okay now let's make this
[04:43.28]  a real product and then I think two
[04:45.60]  years later or one yeah one year one or
[04:47.76]  two years later we did the same thing
[04:49.44]  again uh with wall areu okay so let's
[04:51.96]  talk about SWAT first so 2013 how how
[04:55.16]  did you come up with the idea you know
[04:57.24]  you said you wanted to start building a
[04:58.92]  a product business business get out of
[05:00.24]  this agency business I remember those
[05:02.28]  days by the way I remember when everyone
[05:04.16]  said Facebook apps were the thing that
[05:06.20]  were going to change the world and you
[05:08.24]  know there was kind of like this gold
[05:09.52]  rush to go and build these these apps
[05:12.16]  were you just constantly looking for a
[05:14.72]  product idea around that time and trying
[05:16.44]  to figure out how to get out of the
[05:17.60]  agency business or was this something
[05:19.04]  that you know opportunistically you you
[05:21.24]  came across and decided to pursue yeah
[05:23.92]  so both both happened at the same time I
[05:26.64]  was trying to find uh ideas myself and
[05:29.64]  we we did site projects here and there
[05:31.60]  but nothing really really stuck and
[05:33.20]  nothing really turned out viable but the
[05:35.60]  good news was we only had to look very
[05:37.64]  close at our agency customers to
[05:40.08]  basically find the ideas ready made for
[05:42.40]  us so uh the companies we were working
[05:45.04]  with like you said social media apps
[05:47.00]  were the hot sorry forgive my uh pardon
[05:49.84]  my French back then and suddenly huge or
[05:53.16]  bigger companies and Brands started to
[05:55.20]  build Facebook communities and they were
[05:57.40]  having trouble because once you have a
[05:58.88]  certain community
[06:00.08]  size of community you have to deal with
[06:02.40]  lots of incoming customer requests with
[06:04.88]  Spam you have suddenly two or three
[06:07.12]  people posting at the same time and you
[06:09.08]  need a tool to manage that it was not
[06:11.44]  really a big invention on our end but we
[06:13.48]  just saw what our what our bigger agency
[06:15.92]  customers were having trouble with and
[06:17.92]  then started to build a solution for
[06:19.36]  that okay and let's talk about like what
[06:22.92]  what you did in terms of you know
[06:25.64]  validating the idea was this was this
[06:29.16]  more about okay you just started
[06:31.20]  building the the product or did you did
[06:34.60]  you kind of go through and do the you
[06:36.28]  know customer validation thing and
[06:37.96]  interview some of your customers like
[06:40.56]  how did you get to a point where you
[06:41.76]  were like I'm confident that you know
[06:45.04]  we're going to invest time and money
[06:47.84]  into building this product we're going
[06:49.80]  to bootstrap right so you don't have the
[06:53.08]  the the benefit of of you know having
[06:55.24]  raised any money and you've got an
[06:57.60]  agency business to to keep r running at
[06:59.72]  the time uh so that's a lot of questions
[07:02.08]  to unpack first uh we didn't do what uh
[07:04.96]  usually what today you would recommend
[07:07.24]  uh to do like doing customer research
[07:09.44]  valid validating a product IDE we were
[07:12.16]  way too naive to I was way too naive to
[07:14.60]  do that also for a very very long time I
[07:17.76]  really thought like this yeah this is a
[07:19.96]  side project really maybe I can sell it
[07:22.44]  to 10 or 20 agency customers that would
[07:25.20]  have been already like paradise for me
[07:27.60]  so uh now nowadays swo has I think more
[07:30.88]  than 700 customers right so uh but so
[07:34.08]  the vision wasn't wasn't fully developed
[07:36.36]  yet in my in my head to be honest yeah
[07:38.40]  so we but on the on the so that's the
[07:41.00]  that's the criticism I would see for
[07:42.64]  myself looking back what we did right is
[07:45.20]  that we uh were working on the product
[07:47.84]  very closely with our future customers
[07:50.48]  we really made sure to to build the
[07:53.36]  first prototype not within months
[07:55.32]  probably even within weeks and get our
[07:57.20]  customers their hands on it and start
[07:58.92]  using it they didn't pay yet of course
[08:01.04]  but they gave us a lot of feedback which
[08:03.20]  mostly helped us in really finding that
[08:05.12]  sweet spot and later reaching what you
[08:07.40]  would call product Market fit although I
[08:09.92]  have to say it's also dangerous if you
[08:11.48]  only have like a handful of existing
[08:14.00]  agency customers who give you feedback
[08:16.12]  that can also very easily drive the
[08:18.16]  product management the product Direction
[08:20.00]  into a wrong uh into into a wrong way so
[08:22.28]  you get easily easily distracted by a
[08:24.76]  single customer who has these crazy
[08:26.44]  demands and crazy ideas which might
[08:28.52]  sound right for them but will never be
[08:30.68]  applicable to a broader number of
[08:32.76]  customers so that was difficult to
[08:34.76]  navigate and if I'm honest there's still
[08:38.36]  I think even to this day you will still
[08:40.04]  find the odd feature in our product that
[08:42.80]  clearly can be traced back to one
[08:45.36]  specific customer who had a lot of uh
[08:47.80]  who had a big word who had a big
[08:49.68]  presence in our in our minds and and
[08:51.84]  therefore influenced the product product
[08:54.08]  management how long did it take for you
[08:57.36]  to get your first 10 customers and did
[09:00.64]  they all come from existing agency
[09:04.04]  clients yeah I would I would say uh the
[09:06.52]  first 10 customers definitely took more
[09:08.44]  than one year something between one or
[09:10.32]  two years uh so it was really a kind of
[09:13.08]  slow process but that has also that also
[09:15.60]  has to do with some lessons I had to
[09:17.68]  learn during that time we can talk about
[09:19.76]  that later and those first 10 to 20
[09:22.32]  customers they were not exclusively uh
[09:24.48]  existing agency customers luckily
[09:26.68]  luckily uh what we achieved was that
[09:28.68]  these ear
[09:30.16]  agency customers then started to spread
[09:32.20]  the word and then new customers were
[09:34.64]  were joining so after this one or two
[09:36.96]  year period we were pretty sure that we
[09:39.56]  have a viable product on our hands
[09:41.96]  something that it's worth to really go
[09:44.52]  not all in but definitely uh definitely
[09:47.28]  allocate significant resources towards
[09:50.12]  okay so it took a couple of years to get
[09:54.08]  the first 10 customers for SWAT and
[09:58.68]  presumably
[10:01.16]  you it wasn't you know an easy thing to
[10:04.36]  do because you've still got to run the
[10:06.92]  agency you've still got to get money
[10:09.32]  coming in pay the bills you know keep
[10:11.52]  the lights on all that stuff while
[10:13.48]  you're
[10:14.28]  allocating resources for for a fair
[10:16.88]  amount of time without generating
[10:20.00]  Revenue so that sounds like a
[10:21.72]  challenging situation anyway but in the
[10:24.32]  middle of that you then decide let's
[10:27.00]  launch another product how did that
[10:29.32]  happen sort of sort of yes so uh just to
[10:32.52]  get the timeline straight the the second
[10:34.56]  product wasio was launched one or two
[10:37.44]  years after swo and at this point I was
[10:40.48]  already pretty much committed on on swo
[10:44.00]  although you could you could you could
[10:46.28]  ask me how committed was I when I came
[10:48.16]  up with the second with the second
[10:49.92]  product so was probably not fully
[10:51.84]  committed yet uh again again this came
[10:55.28]  the idea for wo which at at its core is
[10:58.44]  a social Med media content aggregator so
[11:00.64]  it it collects user generated content
[11:02.88]  from all sorts of social media platforms
[11:05.76]  uh the idea for that came again from a
[11:08.20]  very specific customer need or or it
[11:10.16]  wasn't actually a customer it actually
[11:11.56]  was a a friend of mine who was throwing
[11:13.56]  an throwing an party an event at a
[11:16.08]  co-working space we didn't have so many
[11:18.08]  of those IND Vienna back then and we
[11:20.04]  just wanted to create a fun element for
[11:21.84]  this for this event a video screen
[11:23.92]  collecting and encouraging everyone to
[11:25.64]  post on Twitter and on platforms which
[11:28.32]  are now forgotten like like four square
[11:30.88]  if anyone in your audience still
[11:32.60]  remembers that we didn't have Instagram
[11:34.60]  back then so the idea came again from
[11:37.00]  from uh close uh close Ally customer
[11:40.36]  partner and once we built that for this
[11:43.32]  event suddenly other people were asking
[11:45.40]  for it so again I had the feeling maybe
[11:48.44]  this could be more than a side project a
[11:50.52]  oneoff project maybe we could productize
[11:52.68]  this so it was very much the same the
[11:55.24]  same uh or similar story on how we came
[11:58.16]  up uh with the idea but of course in
[12:00.68]  hindsight I might have just said no and
[12:02.80]  focused on the first idea but I just
[12:04.56]  couldn't say no to a great product idea
[12:06.44]  that was a that was put right in front
[12:08.80]  of me I'm curious you know when we talk
[12:12.48]  about the two products
[12:13.92]  today they are clearly different serve a
[12:18.08]  very you know clear purpose and and need
[12:21.72]  but in the early days you could kind of
[12:23.92]  put them both into a social media app
[12:27.92]  bucket right so it possibly it would
[12:31.48]  have been as easy to say let's just
[12:34.68]  build all of this into one product did
[12:37.40]  you go through that thought process
[12:38.76]  where it's like why aren't we just you
[12:40.40]  know building this Uber product for
[12:43.20]  social media that does all of these
[12:44.80]  things versus saying no let's just do
[12:47.08]  this completely different completely
[12:48.80]  separately its own brand it's you know
[12:52.04]  how did you make that decision that's a
[12:53.96]  great question we we did consider that
[12:56.44]  for a while uh the the issue that I saw
[12:59.32]  and and still see if you want to have
[13:00.72]  like this 360 social media Suite that
[13:03.28]  that Beast that can do everything we
[13:05.68]  would not have been able to pull that
[13:07.80]  off uh in the way we were bootstrapped
[13:10.28]  so this there would have been way more
[13:13.12]  like other competitors which we
[13:14.60]  otherwise wouldn't have to face bigger
[13:16.72]  competitors funded with hundreds or at
[13:18.72]  least dozens of millions of uh of
[13:20.96]  capital who were able to offer this
[13:23.72]  Suite with way more features there was
[13:25.60]  not just swo and and wo there was there
[13:28.12]  was uh social media paid advertising
[13:30.36]  there was a monitoring or listening so
[13:32.44]  if you really want to have wanted to
[13:34.24]  compete in this sweet with this sweet
[13:36.60]  approach we wouldn't have been able to
[13:38.80]  to create all those products in our
[13:41.36]  bootstrap situation so that was off the
[13:43.80]  table and I think another reason for for
[13:47.48]  uh for deciding to have two independent
[13:50.20]  products which later became also
[13:52.08]  independent legal entities legal comp
[13:54.36]  like separate companies another reason
[13:56.72]  for that was to really allow both
[13:59.92]  products and later both companies to uh
[14:03.40]  grow and and develop on their own on
[14:06.16]  their own individual growth trajectory
[14:08.64]  so they weren't like tied to each other
[14:10.88]  so strong they could all both find their
[14:12.76]  way uh which also of course at one point
[14:16.32]  gives you more flexibility uh when
[14:18.44]  you're looking for partners maybe at one
[14:21.64]  uh if you at one point decide to to look
[14:24.92]  for m&a scenarios or if you're looking
[14:27.00]  for Investments That uh at a later stage
[14:30.44]  I think that's all easier if you have uh
[14:33.08]  mostly separated companies separated
[14:35.28]  entities who can go who can go their own
[14:37.48]  way but still uh you are absolutely
[14:39.72]  right I'm not saying this was the
[14:41.64]  absolute right or or best decision it uh
[14:44.16]  turned out well for me and for our
[14:46.36]  companies but who knows who knows what
[14:49.12]  would have happened if we went the other
[14:51.08]  way as you suggested so I'm not saying
[14:53.20]  this is like the only the only solution
[14:56.08]  or the best the best one neither but
[14:58.36]  that was my thinking back then you know
[15:00.16]  when we were talking earlier you said to
[15:02.08]  me you know mixing agency and and
[15:04.72]  product doesn't work at least you know
[15:07.08]  for us looking back at it
[15:10.28]  now you know things things worked out
[15:13.32]  got you to where you are today but I'm
[15:16.92]  guessing trying to do both cause more
[15:20.12]  problems than maybe you know you wanted
[15:23.12]  to deal with at the time yeah sure uh
[15:25.68]  that that is true the question of course
[15:27.20]  is always do you really have a choice uh
[15:29.72]  especially do you have a choice when
[15:31.12]  bootstrapping because you have to pay
[15:33.88]  your bills and your salaries somehow
[15:35.72]  right if you if you're not lucky enough
[15:38.24]  to to get that capital from some earlier
[15:41.04]  venture or I don't know from from
[15:42.72]  Friends families fools you will have to
[15:45.40]  to bankroll the development of your SAU
[15:48.12]  product somehow and I think in general
[15:51.00]  having a working agency software agency
[15:53.80]  business uh is a great way to to
[15:55.92]  bankroll that first one or two years of
[15:58.60]  product development but as you said
[16:00.52]  rightly it comes at a cost and and it
[16:03.12]  has to be navigated uh very consciously
[16:05.88]  things are probably only learned along
[16:07.56]  the way and which in hindsight slowed us
[16:09.92]  down
[16:11.00]  unnecessarily I guess the biggest and in
[16:13.20]  hindsight of course obvious learning is
[16:15.28]  trying to have as dedicated as possible
[16:18.72]  uh personal resources for agency and
