Title     : From $0 to $1M ARR: Our Outbound SaaS Journey (Banzai)  #saas
Video ID  : lzIrDbc7fHM
URL       : https://www.youtube.com/watch?v=lzIrDbc7fHM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 267
Saved at  : 2026-06-20 20:52:42
------------------------------------------------------------

[00:00.20]  so in the first 12 months was the was
[00:03.40]  there like a core product that you were
[00:04.88]  selling or was this more like a
[00:09.48]  service and you were kind of building
[00:11.76]  stuff on the fly as you were selling it
[00:14.44]  I'm trying to understand what you were
[00:15.84]  doing we were very much um in the like
[00:18.64]  rapid prototyping phase so we were like
[00:21.84]  let's build it on spreadsheets first and
[00:24.32]  then let's turn it into some code and
[00:26.92]  then let's turn it in more into code
[00:28.52]  over time so like my background I'm a
[00:31.08]  software engineer all the founders have
[00:33.16]  had experience with building software so
[00:35.40]  so we were you know we we kind of took
[00:37.84]  this approach of before we write any
[00:40.08]  code let's figure out what people will
[00:42.00]  pay us for and and so that's what we did
[00:44.32]  and then we were like okay well this is
[00:45.56]  the thing that seems like we could
[00:47.24]  probably scale so let's build a little
[00:48.84]  bit of code around this um yeah I I
[00:51.76]  built the you know first version of the
[00:53.60]  product once we kind of knew the
[00:55.28]  direction we were going um I I sat down
[00:58.72]  I hadn't I you know I'd been working as
[01:00.28]  a corporate executive for the last you
[01:01.80]  know five years before that so I hadn't
[01:04.04]  been doing a lot of cod writing but I
[01:05.40]  sat down uh learned to build python web
[01:09.12]  apps in Django and we built the first
[01:11.32]  version of the product in 30 days in
[01:13.16]  Python Django and that became like the
[01:15.68]  foundation of how we launched the the
[01:17.52]  company and we really like launched
[01:19.24]  formally in early 2017 very cool I like
[01:22.88]  Jango but I like flask even
[01:25.64]  more I think it well now now knowing
[01:28.56]  about it I would say I think it depends
[01:30.16]  on what you need to do yeah yeah
[01:32.52]  absolutely okay so a bunch of rapid
[01:36.00]  prototyping talking to lots of customers
[01:38.40]  exploring different problems that
[01:40.12]  they're having how long did it take to
[01:44.20]  get those first 10 customers and how did
[01:47.96]  you find them it took us
[01:51.20]  about a year to get the first 10
[01:55.00]  customers mostly it
[01:57.88]  was just Word of Mouth MTH kind of
[02:00.44]  referral type of things you know when
[02:03.08]  you're small you don't have any money to
[02:04.56]  spend kind of have to rely on that and
[02:07.72]  it it snowballs slowly because you got
[02:10.40]  to prove value for the first customer
[02:12.16]  before they'll tell their friends about
[02:13.32]  you once we won over bracket Computing
[02:15.88]  you know then they then they told two or
[02:17.48]  three friends about us and they told two
[02:18.88]  or three friends we hired so it it took
[02:21.44]  us a while to sign the first 10
[02:24.00]  customers like yeah probably about proba
[02:26.08]  probably took us a year we we signed the
[02:29.16]  next 100 customers in the second year so
[02:32.68]  it grew really fast from there um
[02:36.12]  because then we had a formula we knew
[02:38.28]  what the sore tooth was and basically
