Title     : 10 Things a CEO Should and Should Not Expect From the CMO  | SaaStr Software Community
Video ID  : I4cvu-d4rME
URL       : https://www.youtube.com/watch?v=I4cvu-d4rME
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 776
Saved at  : 2026-06-20 23:49:47
------------------------------------------------------------

[00:12.07]  [Music]
[00:14.90]  well last time we were on a stage
[00:16.31]  together we were filming b2b creatives
[00:19.34]  which thank you so much for being a part
[00:21.74]  of that it was a blast I learned so much
[00:24.50]  from you from we talked about category
[00:26.75]  creation why brand matters in b2b and
[00:29.57]  you know I think this was just right
[00:31.40]  after you guys took in a planned public
[00:33.29]  or congratulations 7.5 billion dollar
[00:35.99]  value or a market cap today well bad
[00:38.32]  yeah amazing and it that was fine that
[00:42.62]  was a super cool event we're in a big
[00:44.12]  stage and a quiet theater and it was in
[00:51.56]  a big dark Theater and we just got to
[00:53.03]  talk about marketing I think the you
[00:56.72]  having been it was a good conversation
[00:58.61]  Anthony has done great category creation
[01:02.24]  I know we're gonna hear about your book
[01:04.40]  I appreciate being a part of it but
[01:07.01]  you've really focused in the area of
[01:08.39]  customer success and I think a good
[01:09.89]  conversation during this here we go
[01:11.84]  photos up that session and just see a
[01:14.21]  moto CMO talking about you know how do
[01:16.37]  you take her 8 this great girls in a
[01:17.72]  category yep totally it was and I think
[01:21.23]  what's cool is we both actually now have
[01:23.03]  this time to kind of take a step back
[01:24.62]  between tours of duty think about kind
[01:27.68]  of what we want to do next see a lot of
[01:28.91]  these different companies and one thing
[01:31.19]  I've noticed is you know the demand for
[01:33.77]  great marketing talent it seems is is
[01:36.05]  higher than it's ever been before
[01:37.58]  whether it's checking LinkedIn messages
[01:39.92]  or Twitter or you know maybe some weird
[01:42.08]  text messages feels because it's never
[01:43.91]  been a better time to be a CMO than
[01:45.56]  today no I totally agree with that I
[01:47.84]  know you're gonna see this chart here
[01:50.84]  when we were talking about this i shared
[01:53.45]  with anthony and we put in this
[01:55.64]  presentation this is my rough excel like
[01:58.73]  a little tally of the different
[02:00.74]  opportunities that have come to me as
[02:02.84]  people have realized that I will Bri
[02:05.51]  enter the workforce soon so I mean I've
[02:07.85]  talked to over 60 recruiters and there's
[02:11.33]  been 58 different opportunities and I
[02:13.01]  think it's important to recognize that
[02:14.63]  more like it is a it is a Marcus CMO has
[02:20.06]  the choice of the companies they want to
[02:22.31]  go to and so really under
[02:24.80]  as a CEO or as a leader what you bring
[02:27.02]  to the conversation what you're looking
[02:29.21]  for in a marketer and then being able to
[02:32.54]  be very specific and find that good
[02:34.64]  match as opposed to trying to play a
[02:36.95]  volume game you're just not going to to
[02:39.86]  win I think the other things you just on
[02:42.44]  this point is I'm finding somebody
[02:44.75]  that's worked in the right size company
