Title     : 2 Minutes On:  How to "Top" a VP, i.e., Hire Her/His Boss
Video ID  : sG4VkvTXmmA
URL       : https://www.youtube.com/watch?v=sG4VkvTXmmA
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 56
Saved at  : 2026-06-21 00:14:48
------------------------------------------------------------

[00:00.30]  I want to spend just a couple minutes
[00:01.71]  talking about a tough topic with no
[00:03.60]  perfect answers but maybe a few insights
[00:05.97]  which is what do you do when the time
[00:07.53]  comes to top of ep2 hire someone above
[00:10.38]  her when you realize the VP that got you
[00:12.42]  to one or three or ten million isn't
[00:14.85]  quite enough to get to the next level
[00:16.56]  it's impossible to sequence this right
[00:18.84]  it's impossible to go out and hire
[00:20.22]  someone else and keep the current person
[00:22.65]  perfectly happy but I've learned a few
[00:24.48]  things first if you do this too early
[00:26.40]  you almost always lose momentum if you
[00:28.92]  got in hire someone's boss when it's
[00:30.54]  just getting good almost always the
[00:33.00]  business plateaus too early and the
[00:35.25]  second thing is conversely if you do it
[00:36.84]  too late you hit a wall you stop scaling
[00:39.03]  and growth slows down so what I do know
[00:41.67]  is if it's imperfect
[00:42.87]  when in doubt wait longer because if
[00:44.97]  you're going to hit some sort of
[00:46.08]  slowdown you might as well hit it and a
[00:48.21]  few quarters rather than hit it today so
[00:50.94]  what can you do first of all as we
[00:53.01]  talked about when in doubt wait longer
[00:55.08]  when in doubt see how far a stretch VP
[00:58.08]  can go because worst-case you can push
[01:00.51]  off that plateau a quarter or two the
[01:03.03]  second is when you decide it's time to
[01:04.95]  top a VP do whatever you can to keep the
[01:07.74]  current person at the company um let her
[01:10.89]  keep her title hire CRO or a CMO above a
[01:13.98]  VP the simple reason for nothing else
[01:16.26]  when you lose that knowledgebase
[01:18.72]  you'll lose so much momentum there -
[01:21.18]  usually your VPS of the folks that know
[01:23.16]  the most about the Cork's of your
[01:24.75]  product your sales processes marketing
[01:27.03]  whatever don't let that go out the door
[01:29.10]  and lasts transparencies always tough
[01:31.50]  when you're a topping person but what I
[01:33.39]  do know is you have to involve them in
[01:35.34]  the process bring them into it when
[01:37.05]  you're ready to top them explain to them
[01:39.51]  why they may not agree but it's much
[01:41.55]  better than trying to do something
[01:42.84]  stealthy behind someone's back at the
[01:45.09]  end of the day 95% of your VPS aren't
[01:47.25]  going to take you to 100 million but I
[01:49.11]  will tell you often they can go further
[01:50.67]  than you think so give them a chance to
[01:53.13]  at least defer the time when you stall
[01:55.59]  out in that transition between the next
[01:57.45]  VP
