Title     : 5 Critical & Company-Altering Learnings from B2B Startups | Y Combinator  MD Anu Hariharan
Video ID  : pPgtmFaxkrc
URL       : https://www.youtube.com/watch?v=pPgtmFaxkrc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 645
Saved at  : 2026-06-20 23:13:32
------------------------------------------------------------

[00:00.78]  foreign
[00:07.76]  it's well known as the best accelerator
[00:11.04]  in the world YC is still the best shot
[00:14.04]  at starting a company think of the
[00:16.86]  accelerator as the undergraduate program
[00:19.14]  and continuity is the graduate school
[00:21.38]  now we have a full machine all the way
[00:24.66]  to IPO
[00:27.66]  what makes YT is the community is the
[00:30.30]  founder Community we want to help that
[00:32.46]  young founder help them build the
[00:34.92]  confidence that they can do it it's very
[00:38.46]  hard to compare YC to a venture file we
[00:40.68]  actually know our Founders from day one
[00:42.84]  what we look for is how fast does the
[00:46.38]  founder move enable entrepreneurship
[00:49.20]  globally that's a mission there are just
[00:51.60]  way more Founders starting amazing
[00:54.36]  companies everywhere in the world YC
[00:56.76]  needs to scale
[01:03.80]  so just a minute on YC I think you many
[01:07.38]  of you know why she's you know well
[01:09.18]  known as one of the best accelerators I
[01:12.00]  helped lead our growth fund the
[01:13.68]  continuity fund along with Ali rogani we
[01:16.98]  launched it seven years ago at YC and we
[01:21.12]  con since then on we continue to support
[01:23.28]  YC companies well after the accelerator
[01:25.98]  program both through batch programming
[01:28.32]  help helping CEOs learn how to scale as
[01:30.72]  well as through Investments
[01:33.84]  so what are the five critical learnings
[01:36.48]  for founders
[01:37.92]  and I actually went back with our team
[01:40.74]  and reflected on all our notes of some
[01:43.80]  of the most successful YC companies
[01:46.44]  so the first learning that I want to
[01:48.84]  focus on is a very important one but
[01:52.32]  something that you probably have heard
[01:53.70]  many times
[01:55.14]  is the product good enough
[01:59.46]  many startups usually assume
[02:03.50]  fundraising as a signal or an
[02:05.88]  endorsement that you have a good product
[02:07.62]  that's the number one mistake most
[02:09.84]  Founders do so we see that at YC demo
[02:12.60]  day companies from the batch raise one
[02:14.94]  and a half million dollars they think
[02:16.56]  they have product Market fit all they go
[02:19.26]  on to raise the series a 18 months later
[02:21.48]  and they think they have product Market
[02:23.10]  fit
[02:24.60]  but most of them actually don't have a
[02:28.20]  good enough product
[02:30.00]  and so when you start scaling before you
[02:33.78]  have a good product it's quite deadly
[02:36.12]  you know Tom blomfield who is now a
[02:38.70]  visiting partner but a two-time YC
[02:40.50]  founder said this very eloquently if you
[02:43.92]  hire too fast before you have product
[02:47.16]  Market fit now you have a bunch of
[02:50.46]  people whose jobs depend on you not
[02:54.24]  changing the product
[02:56.58]  and that's why your product is not going
[02:58.56]  to be good enough
[02:59.88]  versus when you have very few people
[03:02.16]  really focused on is the product good
[03:04.14]  enough then you have a shot at making it
[03:06.60]  really better and the money you raised
[03:09.00]  will last you longer and so you have
[03:11.16]  more time to experiment
[03:13.92]  so the example that I want to give you
[03:15.90]  here is one from Mutiny I don't know how
[03:19.02]  many of you are familiar with Mutiny it
[03:20.94]  helps you personalize websites it's a
[03:23.28]  B2B startup that went through YC a few
[03:25.68]  years ago started by Julie who's one of
[03:27.72]  the co-founders
[03:29.04]  so you know she said you know
[03:31.92]  pre-lockdown
[03:34.50]  the product was amazing
[03:36.78]  right a lot you know a lot of because
[03:39.54]  what happened pre-lockdown it was a hot
[03:41.94]  Market all the startups were funded very
[03:45.18]  well so if you were a B2B startup or
[03:48.18]  even a b2c startup with a lot of cash
[03:50.10]  you were okay with your teams buying as
[03:53.76]  many SAS tools as possible spending as
[03:56.64]  much money because in your p l it didn't
[03:59.40]  really impact that much and so a lot of
[04:02.16]  B2B startups saw good Revenue growth
[04:05.94]  High willingness to pay then the
[04:08.70]  lockdown happened
[04:10.38]  and what happened suddenly these
[04:13.62]  startups that did not see much churn saw
[04:16.62]  15 churn
[04:19.62]  15 percent
[04:22.20]  so was the product really good enough
[04:26.22]  was it as valuable
[04:28.56]  no because if it was really valuable
[04:31.14]  they would pay for it no matter what the
[04:33.42]  market cycle is right so the way you
[04:36.66]  test for is the product good enough this
[04:38.52]  is where I'll break it down you have to
[04:40.26]  ask really three questions there are
[04:42.24]  multiple questions and there are nuances
[04:43.92]  but for most companies it boils down to
[04:46.68]  three questions so what are the three
[04:48.60]  questions
[04:49.82]  one you should go ask your customer
[04:53.46]  if my product goes away tomorrow
[04:57.36]  how disappointed will you be
[05:00.72]  somewhat disappointed or very
[05:03.24]  disappointed
[05:04.68]  and if at least 40 percent of your
[05:07.38]  customers
[05:09.24]  don't say very disappointed
[05:12.56]  you probably don't have a good enough
[05:15.12]  product it's just moderately appealing
[05:19.50]  so we say a rule of thumb is at least 40
[05:22.86]  percent of your customers will be very
[05:26.64]  disappointed if your product goes away
[05:29.94]  so that's one way to test
[05:32.46]  second way to test is you should know
[05:36.12]  yourself how often you expect your
[05:39.78]  customer to use the product so in the
[05:42.66]  case of mutiny Jale said I expect my
[05:46.20]  customers to experiment it with
[05:48.00]  experiment with the product or run
[05:49.68]  experimentations at least few times a
[05:52.62]  month
[05:53.46]  if it's few times a month and you go
[05:55.80]  back and study your customer data and go
[05:58.50]  and figure out all those customers who
[06:00.42]  are not using the product that often
[06:02.88]  they are at high degree of risk no
[06:05.46]  matter what they tell you
[06:07.50]  and so the second question you have to
[06:10.14]  ask is usage how often do you expect the
[06:13.32]  customers to use it and how does that
[06:15.36]  actually con you know compare to reality
[06:18.84]  the third trick you can use is growth
[06:23.34]  tricky part about growth you can buy
[06:26.28]  growth so it looks good
[06:28.86]  so the way to really look at growth is
[06:31.80]  if you have a self-serve model which
[06:34.14]  quite a few B2B startups do is your
[06:37.08]  inbound through the roof
[06:39.78]  if your product is really good you
[06:42.54]  probably are not going to be able you
[06:44.10]  don't have enough people on your team to
[06:46.74]  respond to inbound queries that's when
[06:49.62]  you have strong product Market fit if
[06:51.66]  it's once a week
[06:53.16]  or maybe like five inbounds a month
[06:55.44]  probably not good enough
[06:58.44]  if you have a outbound sales motion
[07:01.08]  especially as a young B2B startup
[07:03.48]  then you should really look at Pipeline
[07:06.18]  and conversion so one of the things
[07:08.34]  jelly did was
[07:10.38]  am I at least converting 20 of my
[07:14.82]  customers
[07:16.02]  when I do a demo
[07:18.00]  because if it's far less than 20 maybe
[07:20.88]  it's not that good enough because think
[07:22.32]  about it if you're doing 100 demos a
[07:24.66]  month that's 20 customers and if you
[07:27.90]  can't even convert 20 then you have to
[07:30.00]  ask yourself is the product really good
[07:32.40]  what's it what's it missing what would
[07:35.28]  it take for it to become valuable
[07:37.98]  and by the way this step is so important
[07:42.32]  throughout the life of your startup
[07:45.36]  another mistake I see companies do is
[07:48.24]  they will hit a certain product Market
[07:50.04]  fit and then they've gone on to scale
[07:52.56]  and they forgot to ask this question to
[07:55.80]  their earliest customers so if there's
[07:57.84]  one thing I'd like you all to take away
[08:00.12]  is make sure you ask this question every
[08:03.78]  year to every team member to your sales
[08:06.12]  team if you have customer service reps
[08:08.28]  is the product really good enough and
[08:11.64]  find tangible ways to measure that's the
[08:15.06]  number one mistake we see most funders
[08:17.52]  do especially post seed or cdsa
[08:25.50]  the second mistake
[08:28.02]  which we've seen pretty much hundred
[08:30.48]  percent of YC companies do including the
[08:33.30]  founder who's going to talk after me
[08:34.74]  which is Josh at Guster you should ask
[08:36.48]  him
[08:37.26]  is
[08:38.58]  they all underprice
[08:41.58]  because think about it you you've worked
[08:44.22]  so hard to get a product out of the door
[08:46.02]  you finally have 10 or 15 customers and
[08:48.90]  you're like wow geez I want to grow it
[08:50.46]  to 100 customers so maybe I should just
[08:52.68]  charge them like five dollars a month
[08:54.90]  right that's the number two mistake we
[08:58.14]  see now people often ask me
[09:01.02]  okay are startups on average
[09:02.70]  underpricing by 30 40 let me give you a
[09:06.90]  story
[09:08.22]  Peter Reinhardt from segment
[09:11.22]  I'm sure many of you are aware of
[09:13.20]  segment if not you should look it up
[09:15.42]  it's an absolutely amazing product to
[09:18.30]  collect unify and keep your date
[09:20.58]  customer data in one place
[09:23.36]  they pretty much graduated from MIT and
[09:27.06]  through a random pivot landed on this
