Title     : 5 Things Most VCs  Won't Tell You with August Capital
Video ID  : TyVFrKkXfrA
URL       : https://www.youtube.com/watch?v=TyVFrKkXfrA
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 524
Saved at  : 2026-06-21 00:14:05
------------------------------------------------------------

[00:05.68]  So,
[00:07.20]  I guess I'll start up by saying that uh
[00:10.92]  Jason Lemkin and I, Jason who started
[00:13.04]  Saster, have you guys seen Jason yet?
[00:14.80]  And
[00:15.72]  Jason and I started both in the same
[00:18.64]  uh incredible way that all uh all people
[00:21.40]  in the entrepreneurial ecosystem should
[00:22.96]  start. We were attorneys.
[00:25.40]  Turns out that's uh
[00:26.80]  not the best way to become anything
[00:28.60]  other than an attorney, but luckily
[00:31.00]  Jason and I escaped. Jason and I were
[00:33.28]  both working at a firm called Venture
[00:34.76]  Law Group back in the late '90s when the
[00:38.40]  first internet emerged. And we were
[00:40.56]  these young attorneys who were basically
[00:42.96]  uh
[00:43.92]  literally attached to our desks and
[00:46.24]  pounding away. Jason won the award for
[00:49.00]  uh
[00:49.56]  the most hours suffered or something.
[00:52.24]  And uh and he basically looked angry
[00:54.96]  every day.
[00:56.40]  Uh sad and angry. But now he and I have
[00:59.48]  escaped.
[01:01.08]  And now I'm a VC, he's a VC, life is
[01:03.76]  good.
[01:04.92]  And so since we've lived in the past
[01:07.44]  where we were representing you and we
[01:09.68]  know what entrepreneurs go through, we
[01:12.28]  have been making it our mission to tell
[01:14.12]  you the truth. And it turns out that
[01:16.64]  that just hasn't been the history of
[01:17.92]  venture capital. Hasn't been the history
[01:19.48]  that uh VCs get up there and go, "Oh,
[01:21.28]  you want to know the truth?" They're
[01:23.36]  usually telling you that's a I think it
[01:25.88]  was Bill Gurley who said that um
[01:28.32]  that venture capitalists are always
[01:30.08]  selling, right? And there's something to
[01:32.16]  that, obviously. That's why I wore this
[01:34.16]  fantastic shirt.
[01:35.80]  Uh because I think you're out there
[01:37.36]  thinking I would like to work with the
[01:39.28]  man who wore that shirt. That's how I'm
[01:41.56]  a seller. I'm always selling.
[01:44.04]  But but but Jason and I
[01:47.20]  uh I think are more inclined to say
[01:49.12]  like, "Oh, actually it turns out that
[01:50.64]  there's some good things about venture
[01:51.88]  capital and there's some bad things
[01:53.24]  about venture capital. There are some
[01:54.84]  good venture capitalists and there's
[01:56.24]  some bad venture capitalists." And so
[01:58.76]  um
[01:59.56]  when when this topic was proposed I sort
[02:01.68]  of sat there apologizing. I'm like on
[02:03.12]  the side. How's that? But then I'm here.
[02:05.32]  Uh
[02:06.24]  I
[02:07.56]  I said, "All right, there are a lot of
[02:08.56]  things actually that VCs don't really
[02:09.96]  tell tell you." And in fact um
[02:13.12]  I started the very first venture capital
[02:14.60]  blog
[02:15.84]  uh over a decade ago. It was called
[02:17.12]  Venture Blog. It was called Venture Blog
[02:18.56]  because it was the first so I could call
[02:19.88]  it Venture Blog. The second had to call
[02:21.40]  itself something else. Uh
[02:23.80]  I think the second called AVC. So sorry,
[02:26.08]  Fred Wilson.
[02:27.32]  Uh
[02:28.04]  Brad Feld went with Feld Thoughts. Uh
[02:30.68]  but we had Venture Blog. And I started
[02:32.76]  because I thought that the venture
[02:33.96]  industry was one that was
[02:35.48]  extraordinarily
[02:37.12]  non-transparent
[02:39.44]  for no good reason. Like VCs were hiding
[02:42.72]  things from you that would actually help
[02:44.80]  all of us.
[02:46.24]  So
[02:47.40]  uh so so here's the overarching theme of
[02:49.96]  what I'm going to say about the venture
[02:51.04]  industry that nobody no VCs tell you
[02:53.04]  about. And that is that it turns out
[02:55.60]  despite lots and lots of efforts to try
[02:58.24]  and
