Title     : "7 Tips and Tricks to having happy customers at Scale" New Relic  EVP, Roger Scott
Video ID  : zZVoW_Q_tOc
URL       : https://www.youtube.com/watch?v=zZVoW_Q_tOc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 777
Saved at  : 2026-06-20 23:58:45
------------------------------------------------------------

[00:02.18]  good afternoon how's everybody doing
[00:05.84]  good that's not a bad start as the
[00:11.31]  introduction said I'm the chief customer
[00:12.90]  officer of New Relic I've been with the
[00:15.48]  company for a little bit over four years
[00:17.31]  and I wanted to share a little bit of my
[00:18.87]  experiences and the company's
[00:20.07]  experiences of building the company to a
[00:23.07]  scale that we are today and some looking
[00:25.80]  back some of the lessons that we've
[00:27.36]  learned and things that I think would
[00:29.85]  potentially be of benefit to this
[00:31.59]  audience how many people in the audience
[00:33.84]  have either used New Relic or are aware
[00:35.61]  of New Relic okay so a fairly good
[00:39.66]  number we have a vision at New Relic
[00:42.78]  that we want to create more perfect
[00:44.88]  internet and through that we're going to
[00:47.31]  instrument measure and improve the
[00:50.94]  internet through the deployment of our
[00:53.10]  technology and that allows our customers
[00:55.35]  to build better software much more
[00:57.42]  perfect software to have better
[00:59.52]  relationships and so also build better
[01:01.92]  businesses we are the world's most
[01:05.55]  complete and comprehensive
[01:06.77]  instrumentation platform on the
[01:08.49]  marketplace today is cloud based that is
[01:10.86]  SAS based when we started out we built
[01:14.64]  the company purely as a SAS company we
[01:17.49]  didn't ever have an on-premise solution
[01:19.32]  we didn't ever have any technology that
[01:20.88]  sits on premise outside some of our
[01:22.68]  collector agent technology and so we've
[01:26.58]  built we started out in fairly small
[01:28.41]  fashion initially when we started the
[01:30.30]  company 11 12 years ago and focused very
[01:33.30]  heavily on the application performance
[01:34.92]  management marketplace and our CEO and
[01:37.68]  Founder Lucerne II was actually the
[01:40.59]  founder of the category of APM he had a
[01:43.08]  company called Wylie back in 2000 that
[01:45.27]  he started that ultimately sold on to
[01:47.10]  Computer Associates and ready was seen
[01:49.98]  as the sort of father of the APM market
[01:53.67]  segment and learnt a number of things in
[01:56.10]  that experience that we then applied in
[01:57.72]  terms of building arts New Relic which
[02:00.39]  is his second go-around on the whole
[02:02.61]  monitoring space that is extended beyond
[02:05.85]  APM quite significantly over the years
[02:07.65]  we have a full suite of six products
[02:09.33]  that we now are able to instrument right
[02:11.49]  from the front end customer experience
[02:13.57]  using a mobile application or you
[02:15.64]  accessing the Internet through a browser
[02:17.40]  to doing synthetic monitoring through to
[02:20.26]  the application itself and then
[02:21.61]  ultimately back out into the
[02:22.87]  infrastructure that it runs on and so
[02:25.03]  essentially I able to look from end to
[02:26.62]  end in terms of the full customer
[02:28.30]  experience and deliver insights and
[02:30.55]  analytics on top of that that hopefully
[02:33.19]  allow you to build better software
[02:34.45]  create better relationships and to have
[02:36.52]  better businesses so we're into our
[02:40.81]  second decade companies started back in
[02:43.17]  2007 2008 as I was introduced we have
[02:48.30]  17,000 customers were a global operation
[02:50.74]  right now but we started out with fairly
[02:52.96]  humble beginnings and focused very much
[02:55.63]  exclusively on a p.m. it was monitoring
[02:58.15]  Ruby on Rails back in the day we thought
[03:00.88]  it would have a business opportunity of
[03:02.62]  around about a hundred million dollars
[03:04.00]  in revenue we could see the market
[03:06.58]  opportunity there but nothing as big as
[03:07.96]  we've been able to realize now as a
[03:10.42]  company we work with mostly modern teams
[03:14.89]  so if you are building software and
[03:16.93]  you're running software today you should
[03:19.12]  be running New Relic or a New Relic
[03:20.95]  equivalent we'd like you to run New
[03:22.45]  Relic it's it's an integral part of your
[03:24.46]  business going forward and having a
[03:26.77]  platform like New Relic is going to be
[03:29.50]  essential to the success of your
[03:30.85]  business over time we started out in the
[03:34.39]  commercial SMB mid market space that was
[03:37.84]  interesting listening to Thiago from
[03:39.88]  talk desk and some of his experiences of
[03:42.31]  moving from a commercial business to an
[03:43.81]  enterprise business rings rings pretty
[03:45.85]  true for me and for new Rolex experience
[03:48.24]  and when I joined back for years just
[03:50.92]  over four years ago we're about a 140
[03:52.96]  million dollar business that was very
[03:54.43]  squarely in the commercial business so
[03:57.34]  much more of an Inside Sales mentality
[03:59.11]  hub base selling predominantly in North
[04:01.78]  America not really into a strong
[04:04.54]  relationship based selling and the trust
[04:06.31]  that he talked about but one thing that
[04:07.81]  we did really successfully in the early
[04:09.34]  days was established an incredible brand
[04:10.93]  and that brand led to viral adoption
[04:13.99]  whether it was in the commercial segment
[04:15.58]  or the enterprise segment we hadn't
[04:17.44]  actually formally sort of committed
[04:19.42]  ourselves to having more of an
[04:20.77]  enterprise sales organization but
[04:22.63]  actually that many enterprises already
[04:24.97]  had the use of New Relic
[04:27.25]  there was this viral adoption the
[04:28.96]  recognized brand developers were really
[04:31.63]  loyal to the product and they were able
[04:33.16]  to take the product with them wherever
[04:34.57]  they went and so you saw these little
[04:36.40]  pockets of the usage of New Relic even
[04:39.64]  in some of the largest enterprises
[04:40.96]  around the world so fast forward to
[04:44.02]  where we are today we're a 550 million
[04:46.39]  dollar plus AR our company since you
[04:49.72]  know over the last four years going from
[04:50.98]  140 to 550 we're still growing a 30 to
[04:53.53]  35 percent we've reaccelerating growth
[04:56.07]  if you look today over 50 percent of the
[04:59.05]  Fortune 100 would now use our product
[05:01.24]  and use it quite extensively and so
[05:04.15]  significantly bigger larger and more
[05:06.58]  successful company than we were four
[05:08.50]  years ago
[05:09.36]  so one of the things I like to do at
[05:12.55]  venues like this is to talk a little bit
[05:15.55]  about one of my passions and my pet one
[05:17.20]  of my hobbies is photography and I
[05:20.77]  absolutely love photography and I think
[05:22.36]  it's actually quite a good analogy for
[05:24.91]  the business world and it's a great
[05:26.29]  analogy for what some of the things that
[05:28.12]  you need to think about is a SAS
[05:29.44]  business and so these are three
[05:32.58]  gentlemen that I took a couple years ago
[05:35.23]  taking photographs in of Havana Cuba
[05:37.98]  they're all within about a mile radius
[05:41.46]  incredibly striking individuals and one
[05:44.50]  of the things that it taught me is that
[05:45.82]  great photography depends on exceptional
[05:48.34]  subject matter if you truly want to
[05:51.33]  inspire people to understand what it is
[05:53.95]  about you're the the subject that you
[05:56.59]  you are trying to photograph or the
[05:58.06]  message you're trying to get across
[05:59.11]  you've really got to have strong subject
[06:01.12]  matter and in that subject matter you've
[06:03.19]  got to be opinionated and you've got to
[06:04.75]  be provocative and you got to get under
[06:06.58]  the covers of the individual or the
[06:08.56]  company use either talk about the
[06:11.05]  photography or talk about a business
[06:12.61]  you've truly got to get under the covers
[06:14.11]  and understand what touches the soul of
[06:16.30]  individuals what's important to them tap
[06:18.64]  into something that's emotional and be
[06:20.41]  able to then show that in a photograph
[06:22.89]  is essential so subject matter is is
[06:26.41]  critical and our customers depend on us
[06:29.11]  and having strong subject matter when we
[06:30.88]  walk into meetings we've got to have
[06:32.74]  really strong opinions about things and
[06:35.80]  actually it was Ansel Adams I think most
[06:37.99]  people are familiar with Ansel Adams he
[06:39.49]  was a famous for
[06:40.42]  of the last century he was very famous
[06:44.23]  for photographing a lot of landscape
[06:46.33]  photography in the western states of the
[06:48.34]  US and he said great photographs are
[06:52.15]  made not taken I think there parallels
[06:55.30]  there for business as well that if you
[06:56.98]  want to have exceptional impact with a
[06:59.98]  customer you have to think about the
[07:01.69]  thing that you want to do with them the
[07:03.16]  value you want to deliver and you have
[07:05.26]  to think about how you're going to make
[07:06.37]  that it's not just something you take
[07:07.72]  it's not just something you turn up and
[07:09.58]  and switch on and deliver it's something
[07:12.67]  you have to be intentional about and
[07:15.37]  subject matter also includes the thought
[07:18.37]  process around focus and Ansel Adams
[07:21.40]  also said this he said there's nothing
[07:23.08]  worse than a sharp image of a fuzzy
[07:25.48]  concept think about that there's nothing
[07:28.66]  worse than a sharp image of a fuzzy
[07:30.76]  concept and how many times do we go into
[07:33.73]  your business situation and think we've
[07:35.11]  got absolute clarity about what we want
[07:36.88]  to talk about but the customer doesn't
[07:39.52]  really understand what the value is so
[07:42.28]  we've got a strong opinion we've got
[07:43.96]  clarity around what we want to say and
[07:45.76]  the customers looking they're scratching
[07:47.80]  their head and thinking well that's a
[07:49.06]  fuzzy concept I don't truly understand
[07:50.95]  that and so I think the whole essence of
[07:53.74]  subject matter what your focus is and
[07:55.84]  how you convey that over to your
[07:57.64]  customers is critical the second thing
[08:01.42]  in photography that I think is essential
[08:03.19]  is mindfulness I once did this amazing
[08:06.78]  photography course in Santa Fe New
[08:09.61]  Mexico in the USA with a gentleman
[08:14.08]  called George de wolf and georges de
[08:16.66]  wolf is a fine art photographer he's
[08:18.22]  relatively well known in the industry
[08:19.95]  and he did this whole course on
[08:21.94]  mindfulness and what he taught us was to
[08:24.07]  almost become meditative around
[08:26.50]  photography that you should immerse
[08:27.97]  yourself in the situation and you get to
