Title     : Aaref Hilaly, Sequoia Capital:  How to Manage Up & Have Happy a Board, Even When You Miss a Quarter
Video ID  : lAs7mpQbLFA
URL       : https://www.youtube.com/watch?v=lAs7mpQbLFA
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 467
Saved at  : 2026-06-21 00:28:37
------------------------------------------------------------

[00:00.00]  thanks again for joining us for this
[00:01.68]  last session for the hyper tactical
[00:04.86]  stage I get my name is Julie zeisman I
[00:08.19]  work for Oracle we're here at this Astor
[00:10.14]  conference to help startups grow their
[00:13.98]  business for those of you that weren't
[00:15.87]  in the last session we're currently
[00:17.43]  offering a $300 credit to for a lot of
[00:20.82]  our technical products so if you'd like
[00:23.55]  to hear more about that please come
[00:24.75]  visit our booth across the hall after
[00:26.70]  the session right now I'd like to
[00:29.34]  introduce our of Holly with Sequoia
[00:32.40]  partners our Sequoia Capital
[00:35.49]  Aarav is a partner focused on
[00:38.25]  early-stage SAS and investing in
[00:41.70]  early-stage SAS and enterprise companies
[00:44.36]  thank you good afternoon everyone
[00:52.61]  so how to manage up and have a happy
[00:54.93]  board even when you miss a quarter well
[00:57.08]  we we all know that bad things can
[01:01.11]  happen to good people
[01:02.28]  after all cars crash cats die elections
[01:06.12]  have unexpected results but in the
[01:08.55]  context of your business one of the
[01:11.19]  worst things that can happen is for you
[01:13.53]  to miss a quarter because when you do
[01:15.75]  that it's almost like a break of the
[01:18.33]  implicit agreement that you have with
[01:20.91]  all the stakeholders in the business and
[01:23.33]  whether it's employees or board members
[01:25.64]  people start having doubts doubt creeps
[01:28.32]  in like a cancer people start wondering
[01:30.33]  to themselves
[01:31.23]  does this founder know what they're
[01:32.58]  doing is this thing really gonna work
[01:34.35]  should I be doing this or should I be
[01:35.73]  doing something else and and so it's a
[01:38.88]  it's a it's a real issue I spent 10
[01:43.14]  years as an entrepreneur before joining
[01:45.90]  Sequoia at my first company a software
[01:48.66]  company called Center on I can tell you
[01:50.91]  we missed a lot of quarters am i I was a
[01:54.60]  completely clueless founder it was one
[01:56.52]  of my first jobs out of graduate school
[01:59.54]  at my second company which was a SAS
[02:02.43]  company called clear while I was a much
[02:04.08]  more confident CEO and again I can tell
[02:08.01]  you we missed a lot of quarters today a
[02:11.04]  Sequoia were very fortunate to work
[02:13.50]  the number of really great SAS companies
[02:16.43]  some small some now pretty substantial
[02:20.01]  and collectively as a group again I can
[02:24.27]  say they have missed a lot a lot of
[02:27.03]  quarters and it's not because these
[02:29.52]  companies aren't great or that the
[02:31.26]  founders on spectacular though they
[02:33.06]  don't have really compelling market
[02:35.01]  opportunities it's because life is
[02:38.34]  unpredictable and stuff happens and so
[02:41.19]  at some point you will miss no matter
[02:44.28]  how great you are no matter how
[02:45.75]  ultimately successful your business will
[02:47.61]  be this day will come when you will you
[02:50.94]  will miss your numbers and you'll have
[02:52.44]  to deal with it so in the next 15
[02:55.35]  minutes or so what I wanted to do is
[02:57.21]  just quickly run through a basic
[02:59.19]  survival guide for what to do when this
[03:02.55]  happens and they're really only four key
[03:05.43]  lessons that I that I have for you two
[03:08.19]  to be done before you miss which you
[03:10.83]  could be doing today and then two to do
[03:13.44]  at the time that it happens and they're
[03:17.01]  also a number of pitfalls which I'd
[03:18.75]  suggest that that you work hard to avoid
[03:21.53]  so let's start with the first lesson the
[03:24.24]  first lesson is don't manage the board
[03:27.87]  engage them now I realize that
[03:30.90]  the title for this talk is how to manage
[03:33.72]  the board and several of you may be
[03:36.00]  thinking at this point well if your
[03:37.32]  advice is don't then why bother coming
[03:39.12]  in the first place but it's actually a
