Title     : Algolia:  Lessons Learned Selling to 10,000 Customers Small, Medium and Large
Video ID  : 0rKwKRUhRqM
URL       : https://www.youtube.com/watch?v=0rKwKRUhRqM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1247
Saved at  : 2026-06-20 23:41:01
------------------------------------------------------------

[00:01.20]  okay well welcome everyone in this astro
[00:02.80]  community i'm
[00:03.60]  super excited to have bernadette nixon
[00:05.60]  the ceo of algolia here
[00:07.20]  we're gonna have a fun conversation on a
[00:10.16]  bunch of levels
[00:11.20]  um algolia has been part of saster since
[00:13.60]  the very beginning i was lucky enough to
[00:16.24]  lead their first seed round when i think
[00:18.00]  it was six people um
[00:19.52]  one in the u.s and we've had someone
[00:22.00]  from algolia participate in every saster
[00:24.16]  event
[00:25.20]  uh for for years and then it's exciting
[00:28.32]  to have bernadette here come as the ceo
[00:30.24]  as the company pushes through 100
[00:32.16]  million and then a billion in revenue
[00:34.40]  and even more interesting she joined
[00:35.84]  we're all distributed to we're all
[00:37.12]  running distributed teams today
[00:38.88]  but bernadette's super interesting
[00:40.24]  because she agreed to join just before
[00:42.56]  covet hit
[00:43.60]  um and probably was getting her boxes
[00:45.76]  packed and ready to move into her office
[00:48.32]  and then all of a sudden covet hit and
[00:50.64]  you've met
[00:51.36]  you've met like four people in the
[00:52.88]  company when you joined is that right
[00:54.72]  i i have met two algolians so far
[01:06.00]  but what did you have to change what did
[01:07.52]  you have to change that was different
[01:08.80]  than when you took the jobs
[01:10.40]  well i guess the good thing is that i've
[01:12.00]  been remote for 10 years
[01:13.76]  so i guess that was a good background
[01:15.76]  going into this
[01:16.80]  quite honestly so i didn't have to
[01:18.56]  change a huge amount but it did have to
[01:21.28]  um i had to edit some of the approach so
[01:23.92]  you know
[01:24.84]  frankly frankly covered or
[01:27.68]  all of us being remote as we were when i
[01:30.32]  joined
[01:31.76]  it was a bit of a leveling of the
[01:33.36]  playing field which was interesting
[01:35.36]  because ordinary i'd have joined i'd
[01:36.96]  have been in san francisco in person
[01:39.04]  and you know we've got a large
[01:40.72]  population as you know
[01:42.08]  overseas in in france in the uk you know
[01:45.12]  and they would have you know
[01:46.40]  felt a little bit like kind of left out
[01:48.16]  of the of the fun and the excitement so
[01:50.56]  it was actually being you know i was in
[01:52.32]  my office here at home as i am today
[01:54.64]  um and it was a great sort of it leveled
[01:57.12]  the playing field everybody felt that
[01:58.88]  they were
[01:59.44]  on the you know the same uh the same
[02:02.00]  level
[02:02.48]  in terms of getting to know me and and
[02:04.48]  vice versa
[02:05.60]  so i've always done listening tours when
[02:07.68]  i've started
[02:09.04]  a new position um normally or in person
[02:12.24]  but i do one or two usually that are
[02:14.40]  virtual obviously i had to make it all
[02:16.80]  virtual this time so
[02:18.40]  made it smaller groups and did more of
[02:20.56]  them for longer
[02:21.68]  so for the first six weeks i was
[02:23.76]  probably doing three listening
[02:25.76]  um uh list part of the three meetings on
[02:29.12]  the listening tour
