Title     : Atlassian SaaStrbite:  Be the Change You Seek: The Importance of Values with Atlassian & Trello
Video ID  : 2vautingy5o
URL       : https://www.youtube.com/watch?v=2vautingy5o
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 301
Saved at  : 2026-06-21 00:26:00
------------------------------------------------------------

[00:00.00]  you know one of the interesting things
[00:01.53]  when we first started talking about the
[00:05.61]  acquisition so it's been about actually
[00:07.08]  it's almost exactly a year since we
[00:08.82]  closed the acquisition yeah and when we
[00:11.61]  first met
[00:12.54]  for like lunch that one day downtown New
[00:16.68]  York at that Mexican restaurant I give
[00:18.84]  them a great review I said this is a
[00:20.22]  great place to get acquire yo the you
[00:24.90]  know the first I remember that
[00:26.22]  conversation because the stuff that we
[00:27.87]  were talking about was about the people
[00:29.61]  and the values and I think a lot of
[00:31.92]  times when you think about companies and
[00:34.92]  their values it's like this thing that
[00:36.75]  they put on the website right you know
[00:38.22]  and and something was very important and
[00:40.50]  eye-opening to me was the way that
[00:42.75]  allows values or just we've woven
[00:47.25]  throughout the company and actually
[00:48.48]  practice on a daily basis and you would
[00:50.28]  talk to me about in fact we were talking
[00:53.01]  about things that were similar between
[00:54.33]  Trello and lasting and trying to find
[00:55.68]  alignment of those values and you know
[00:57.42]  one of the lasting values be the change
[00:59.34]  you seek and we at Charlie we had one
[01:02.10]  called don't do nothing which was a very
[01:04.34]  similar intent which is you know to give
[01:07.08]  people autonomy and responsibility and
[01:11.16]  and and let them act another one of our
[01:15.15]  values that elasti is build with heart
[01:16.86]  and balance can you talk a little bit
[01:20.46]  about that and tell us how you do that
[01:21.63]  sure I guess first I'd say you know when
[01:25.71]  you talk about the evolution in 15 years
[01:27.30]  and stuff and we started building
[01:28.80]  products right we were two engineers and
[01:31.44]  we wanted to build things we didn't
[01:33.84]  really want to build a company when to
[01:34.83]  build things and then as the things that
[01:37.59]  we built got a little bit successful
[01:39.21]  when we built another thing and we were
[01:40.83]  very focused on customers and products
[01:42.63]  and features and it sort of you know we
[01:46.17]  evolved into realizing that the company
[01:48.69]  challenge of building was more exciting
[01:52.29]  and interesting than the product
[01:53.79]  challenge of building right we still
[01:55.47]  build products were a product company
[01:56.85]  through and through and then what didn't
[01:59.85]  scale in that model was the founders
[02:01.68]  right I could no longer go and talk to
[02:03.54]  every single person individually we
[02:05.19]  didn't you know we stopped interviewing
[02:06.96]  every hire and you start thinking [ __ ]
[02:09.63]  okay how do i scale this
[02:11.99]  you know what we've been doing and one
[02:15.02]  of the things we came to was the values
[02:16.52]  right so when I try to explain him to
[02:17.93]  founder as I say look it's think of it
[02:20.09]  as an engineering scale issue if you
[02:21.83]  have to write down what it is that you
[02:25.07]  never want to lose about the company
[02:26.54]  don't write down anything you aspire to
[02:27.95]  be in the future that that's not the way
[02:29.39]  it works because I really want to do
[02:30.86]  this so firstly don't write down
[02:32.87]  anything you spot of you secondly don't
[02:34.16]  write down any basic human values right
[02:36.56]  you'll notice our values there's no
[02:37.76]  honesty there's no integrity you like
[02:39.44]  that stuff you get hired or fired for
[02:40.79]  that's like simple basic human values
[02:42.47]  that's not unique company values that
[02:44.27]  how you want the company to feel and
[02:46.58]  then we wrote them down and they've
[02:47.36]  worked really well like I've lost the
[02:48.77]  test of time how long they been turned
[02:51.14]  down for for thirteen years twelve years
[02:53.54]  something like this and everything else
[02:54.98]  so anyway build with heart and balance
[02:57.56]  is how would I explain it it's one of my
[03:00.17]  favorite values oh the other thing I
[03:01.94]  should say about the values bison values
[03:03.77]  they're designed to be sort of their
[03:06.95]  design it'd be axiomatic right they're
[03:08.81]  not a set of equations that you answer
[03:10.88]  problems with they're thought-provoking
[03:13.90]  lenses to look at questions or decisions
[03:16.73]  that you have to make and you want
[03:18.11]  people to kind of consider how they are
[03:19.76]  affected by these things rather than you
[03:22.49]  know it's not a it's not a weapon you
[03:25.07]  should never say we are doing this
[03:26.24]  because of value X we've had plenty of
[03:28.49]  people try to do that internally it's
[03:31.16]  supposed to be AXA mating so hot bill
[03:32.66]  with hot and balanced we're building
[03:34.37]  things what we do as a company and when
[03:37.79]  we build the company there is the way I
[03:40.28]  explain it is there's a lot of really
[03:41.18]  hard decisions we have to make my job is
[03:44.99]  making the hard decisions on a regular
[03:47.18]  basis right and and when I make those
[03:50.45]  decisions or when anyone's making
[03:52.10]  decision in the company I want them to
[03:53.36]  consider both the heart aspect and the
[03:55.88]  balance balance is easy you want to
[03:57.44]  consider the options you don't want to
[03:58.97]  just head right because you happen to
[04:00.26]  prefer that you want to think about left
[04:02.00]  think about right have we considered you
[04:03.95]  know if we take in a balanced approach
[04:05.36]  to the problem consider the customer the
[04:07.28]  shareholder the staff that you know
[04:08.87]  whatever the balance of the decision is
[04:10.40]  bit hot and abstract and then secondly
[04:12.32]  you want to do it with heart and what
[04:14.15]  does that mean well it means two things
[04:15.26]  to me one is you want to do it with
[04:16.64]  passion like you're making decision you
[04:17.72]  want to lean into it and actually do it
[04:18.89]  and like show people why it's exciting
[04:21.50]  or the good way to go and secondly you
[04:23.45]  want to do it with with some form of
[04:24.95]  caring right because these hard
[04:27.80]  decisions have impacts on people on on
[04:31.15]  on customers on someone and you should
[04:34.55]  think through the impact that doesn't
[04:35.81]  mean the decision is wrong but the
[04:37.67]  impact of that decision needs to be
[04:39.14]  thought through and too many times I
[04:40.73]  think people take this sort of abstract
