Title     : Ben Chestnut:  The Top 10 Learnings Scaling Mailchimp to $1B ARR
Video ID  : wS4_TZCNLvs
URL       : https://www.youtube.com/watch?v=wS4_TZCNLvs
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1198
Saved at  : 2026-06-20 22:47:45
------------------------------------------------------------

[00:00.08]  let's welcome Ben Chestnut Co and
[00:02.32]  founder of of MailChimp um so this is
[00:07.64]  very excited to me Ben thank you so much
[00:09.08]  for coming and joining joining thousands
[00:11.08]  of us in cyberspace here about time you
[00:13.52]  invited me yeah I've been asking Ben
[00:16.12]  over Twitter for years to come and I
[00:18.80]  think his kids got older they had Sports
[00:21.60]  and spring break and it's hard to lure
[00:23.40]  someone from Atlanta sometimes although
[00:25.08]  you never know every once in a while
[00:26.28]  someone has to have a meeting in the
[00:27.64]  Bary or Paris and and they'll come
[00:30.68]  um but I'm I'm super excited STS finally
[00:33.44]  align and I can be here with you and
[00:34.84]  your audience and I want a copy of that
[00:36.88]  video I'm going to play that every
[00:38.08]  morning just to get me
[00:39.40]  going you should you may miss the office
[00:42.32]  though when you see
[00:43.60]  it do you miss the office by the way I
[00:46.56]  do dearly miss it yeah what's Your Gut
[00:49.48]  on all the off office stuff where where
[00:51.72]  will we be has MailChimp gone made any
[00:54.48]  formal decisions and where will you be
[00:56.12]  at the end of next year in an office do
[00:57.36]  you have have you figured that out I I
[00:58.92]  really like what Patrick holl said
[01:00.32]  recently on Twitter I think that you
[01:01.68]  know when things do get back to normal
[01:03.24]  and they will six months after that
[01:04.84]  you'll look back and and things will
[01:06.84]  look like nothing ever
[01:08.64]  happened fa Blind Faith that it'll get
[01:11.24]  back to normal I have family that was
[01:13.12]  stationed in China for work and they
[01:14.56]  said it got back to normal it's
[01:16.88]  definitely back to normally even in
[01:18.20]  Europe even like all the entrepreneurs I
[01:20.00]  know in France it's like 90% right but
[01:22.64]  um all right so no thinking of uh
[01:25.04]  getting back to normal is sort of how
