Title     : Bootstrapping vs  Fundraising
Video ID  : 8VR6aBkers8
URL       : https://www.youtube.com/watch?v=8VR6aBkers8
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 785
Saved at  : 2026-06-21 00:18:29
------------------------------------------------------------

[00:00.00]  please welcome Eric Gundersen CEO of
[00:02.16]  MapBox and Noah wind trub vice chairman
[00:04.86]  of JPMorgan hello everybody
[00:16.46]  all right so on the background screen
[00:19.08]  you're seeing some cool maps that I've
[00:21.18]  no idea what they are but they're cool
[00:23.70]  my name is Noah wind Trump vice-chairman
[00:26.22]  over at JPMorgan looking forward to
[00:27.99]  working with you all as you scale go
[00:29.85]  from bootstrap to fundraising
[00:31.32]  which is the title of this panel so
[00:33.00]  we're gonna hang out the next half hour
[00:35.22]  I think I'm the least interesting person
[00:36.90]  on this stage which makes it this is the
[00:39.06]  most interesting person you're gonna
[00:40.02]  hear from just by way of background Eric
[00:43.08]  Gundersen is one of those originals you
[00:45.27]  know Eric doesn't believe that there's a
[00:47.31]  mold that you follow he is who he is and
[00:49.22]  everybody wants to follow who he is and
[00:51.63]  who he's becoming so when I met Eric a
[00:54.03]  few years ago I had heard of the company
[00:56.43]  he's gonna tell you exactly what they're
[00:58.80]  doing but you know when you guys get
[01:01.20]  done with this twenty nine minutes and
[01:02.55]  seven seconds of fun here you're gonna
[01:05.13]  realize what I realized which is there's
[01:07.38]  very few things that you have to know
[01:09.36]  about an entrepreneur are they honest
[01:10.89]  are they open
[01:11.85]  are they transparent and are they hungry
[01:13.29]  and if they're all four of those they're
[01:15.54]  gonna kick ass from bootstrap they're
[01:17.58]  gonna figure out how to raise money
[01:18.63]  whether no one wants to put money in
[01:20.28]  which doesn't happen many times for Eric
[01:22.05]  or what everybody does which happens for
[01:24.69]  Eric
[01:25.11]  so you're gonna hear about that but
[01:26.61]  before we go into some of those details
[01:28.38]  Eric just tell us in a couple minutes
[01:30.75]  what is matte box what are you doing
[01:32.67]  what problem are you solving and why is
[01:34.47]  Matt bike so kick-ass so whether you're
[01:38.06]  literally looking for a gym on classpass
[01:40.76]  sharing photos on snapchat watching your
[01:44.64]  groceries delivered on insta guard
[01:46.91]  getting something on door - we looking
[01:51.54]  at weather data coming in on the weather
[01:55.11]  channel using tableau maps all right
[01:57.30]  it's we put locate we make it easy for
[01:59.97]  developers to add location of maps to
[02:03.18]  their their apps sometimes those are
[02:05.69]  highly visual you can see some of the we
[02:09.00]  basically took video game technology and
[02:11.28]  can render out the map
[02:13.20]  over 60 frames a 60 frames a second so
[02:16.77]  and it's not just the map of the world
[02:19.14]  it's your own data put into the map so
[02:23.49]  for example if you open up snapchat
[02:25.20]  right now you're gonna see this crazy
[02:28.23]  heat map sneaking through San Francisco
[02:31.05]  because Justin Trudeau motorcade just
[02:34.56]  rolled through and you're seeing
[02:35.88]  everybody posts up there so here it is
[02:37.41]  it's that's you know it's their bitmoji
[02:39.78]  world that they made but and it's their
[02:44.07]  data that they designed linked to it but
[02:46.62]  it's all of our map functionality and we
[02:49.44]  scale it all around around the world
[02:51.45]  so give you a sense of scale and there's
[02:55.29]  some interesting look back and how that
[02:57.66]  how that's how that's changed but we
[02:59.82]  have we have over a million registered
[03:01.92]  developers 1 million we actually
[03:04.32]  announced that this morning that's a
[03:06.57]  bout as large as any company I could
[03:09.21]  think of especially at private side when
[03:11.16]  Twilio did their s1 file yeah I think
[03:16.26]  was right so you it was just for the
[03:21.27]  writer I was stoked when we hit a
[03:22.50]  thousand yeah remember that moment I was
[03:24.66]  like yes the key part for us is the
[03:28.59]  active developers so almost 10% of those
[03:31.11]  are active you've been hitting our api's
[03:33.57]  in the last 30 days and what's important
[03:36.72]  about that is that means it's not just
[03:39.18]  weird not just serving those developers
[03:40.74]  we're serving maps to all of the users
[03:43.59]  of those developer apps so we're we're
[03:46.26]  touching over 300 million people a month
[03:49.05]  right now or better said 300 million
[03:50.76]  people a month are touching our Maps
[03:52.11]  and every time you're using an app that
[03:55.98]  has map box inside we're able to collect
[04:00.03]  anonymous aggregated telemetry back
[04:02.97]  allowed it to longitude timestamp
[04:04.50]  elevation things that help us not just
[04:06.54]  map the world live but show real time
[04:09.96]  traffic and also have a much more high
[04:12.84]  fidelity map we can talk a little bit
