Title     : Building Consumer Grade Enterprise Products  | SaaStr Software Community
Video ID  : nfI_NuNXSnM
URL       : https://www.youtube.com/watch?v=nfI_NuNXSnM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1061
Saved at  : 2026-06-20 23:51:34
------------------------------------------------------------

[00:00.03]  please welcome in vision studio VP of
[00:02.46]  Product Ciara Peter box product
[00:05.10]  management senior director Bala
[00:06.90]  stepanova Google Maps design director
[00:09.54]  Craig Villa Moore and crunchbase head of
[00:12.03]  marketing and growth Shani bonzer very
[00:21.90]  excited to talk to you today about
[00:23.82]  building consumer grade products for the
[00:25.89]  enterprise we'll do a quick round of
[00:28.35]  intro so Bella's senior director of
[00:30.66]  product at box she founded a box's
[00:33.63]  growth team as well as the product
[00:35.91]  operations team and before box she ran
[00:38.52]  product and engineering teams building
[00:40.17]  large-scale financial platforms for
[00:42.51]  Accenture clients Craig
[00:46.14]  Craig's designed and led teams at
[00:47.81]  enterprise and consumer companies
[00:49.86]  including Salesforce eBay and Google as
[00:53.01]  the chief design architect at Salesforce
[00:54.66]  he led the Lightning experience which is
[00:56.49]  a redesign of all the company's core
[00:58.53]  products and he currently leads UX
[01:00.51]  design for Google Maps and SHINee is the
[01:05.13]  head of marketing at crunch marketing
[01:07.26]  and growth at CrunchBase leading
[01:09.17]  innovative companies to connect with the
[01:11.67]  people behind him and pursue new
[01:13.35]  opportunities prior to that she has 13
[01:17.31]  years of b2b and b2c experience in
[01:19.35]  Silicon Valley and has led marketing
[01:23.73]  teams at Dropbox Salesforce and NVIDIA
[01:26.91]  thank you guys for being here
[01:28.86]  so it's interesting because we are at a
[01:31.95]  SAS conference so we're talking a lot
[01:34.53]  about enterprise products but our panel
[01:37.47]  is on consumer so this is something that
[01:40.56]  we hear a lot you know people say oh you
[01:42.45]  got an you got to be consumer like in
[01:44.37]  your product you know so so what is that
[01:47.16]  what does that mean to you guys maybe
[01:49.56]  I'll start with you Bella what is what
[01:51.42]  does consumer mean for you know with an
[01:53.10]  enterprise yeah absolutely so for me as
[01:55.47]  a product manager it means really
[01:57.27]  thinking about the end user really
[01:58.89]  thinking about the user persona as
[02:00.81]  opposed to thinking about the buyer and
[02:03.24]  sort of the checklist of features that
[02:05.43]  you have which is also absolutely
[02:07.17]  necessary but thinking about the value
[02:09.51]  that you bring to the end-user the
[02:11.73]  experience that you
[02:12.94]  deliver and those experiences have a
[02:15.16]  very different baseline in a consumer
[02:17.17]  space we need to think about how do
[02:20.05]  users use your product every day at work
[02:22.09]  they should be able to use it on a
[02:23.50]  mobile device or any other device versus
[02:25.54]  desktop they shouldn't have to worry
[02:27.31]  about VPN they should trust the security
[02:30.16]  that the product has without sacrificing
[02:32.86]  the user experience so really thinking
[02:35.20]  through the value that you deliver and
[02:36.91]  how's your product smart product that
[02:39.07]  really helps users get their work done
[02:40.63]  versus getting them there way cool
[02:44.37]  correct
[02:45.75]  yeah I would say you know
[02:48.43]  consumerization of enterprises is sort
[02:51.88]  of a shortcut way of saying build
[02:54.04]  interfaces that that don't suck right I
[02:56.62]  think that there's a lot of history in
[02:58.66]  enterprise software with you is that
[03:01.21]  people don't exactly enjoy using and so
[03:03.73]  the way that I've seen it referenced is
[03:05.47]  really kind of this shorthand of like
[03:06.91]  hey Facebook is doing something
[03:08.59]  interesting over there why can't we do
[03:10.09]  that here in the enterprise space and
[03:12.16]  sort of what's stopping us from that and
[03:15.13]  so I think fundamentally it's about if
[03:16.60]  you look to the consumer consumer
[03:18.34]  software space
[03:19.30]  you really can't succeed unless you have
[03:20.98]  a great experience and so that acts as a
[03:23.65]  form of inspiration I think the other
[03:26.35]  thing that's really important about the
[03:27.61]  consumer approach is a really intensive
[03:30.40]  focus on on the user themselves and one
[03:33.61]  of the challenges with enterprise
[03:34.84]  software is you know there's a lot of
[03:36.43]  face time and there's a lot of time
[03:37.87]  spent on the customer a little typically
[03:40.15]  a little less spent with the users and
[03:42.22]  so I think that's also the sort of the
