Title     : Building a Second Unicorn:  A Deep Dive with Harness and AppDynamics Founder Jyoti Bansal
Video ID  : LMAxG-ddDkU
URL       : https://www.youtube.com/watch?v=LMAxG-ddDkU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1606
Saved at  : 2026-06-20 23:35:29
------------------------------------------------------------

[00:00.40]  but it's really my privilege to
[00:03.20]  introduce
[00:04.24]  all to all of you someone who needs no
[00:06.48]  introduction
[00:07.76]  uh which is jyoti bansal he's had an
[00:11.60]  incredible journey in enterprise
[00:14.32]  software
[00:15.36]  being the founder of not one but three
[00:18.00]  amazing
[00:18.72]  enterprise software companies app
[00:21.44]  dynamics which you know i'm sure all of
[00:23.52]  you have heard of
[00:24.64]  and is a category leader in application
[00:26.96]  performance monitoring
[00:29.12]  harness which is a new emerging
[00:31.76]  disruptor
[00:33.12]  in the cicd space and traceable which is
[00:36.72]  a new challenger company
[00:38.72]  uh in application and apr security
[00:42.16]  so you know there's a good reason why we
[00:44.72]  teasingly call him the elon musk of
[00:47.28]  enterprise software um and last but not
[00:50.32]  the least uh he's also the co-founder
[00:52.88]  of unusual ventures where um i'm super
[00:56.08]  honored to
[00:57.04]  be a partner uh and get to collaborate
[00:59.92]  with jyoti
[01:01.04]  um they are really really excited to be
[01:03.60]  here together
[01:04.56]  and hopefully you know we'll be able to
[01:06.64]  have a conversation that's very helpful
[01:08.88]  to everybody in this audience we'll be
[01:10.72]  going
[01:11.28]  through some questions but uh then we'll
[01:14.48]  you know also have time for q a
[01:17.28]  um and i'm going to keep a track uh for
[01:19.84]  you know who
[01:20.48]  i'm going to talk who asks the best
[01:22.16]  question or can make jyoti laugh that
[01:24.56]  can be that can be our
[01:26.56]  bar um all right so with that
[01:29.92]  here's this was kind of the biggest
[01:31.92]  question i asked jyoti the first time
[01:34.56]  that i met him
[01:35.60]  which is you know if you go back to 2017
[01:40.00]  um you know app dynamics was acquired by
[01:42.48]  cisco
[01:43.20]  jyoti finally has free time and a young
[01:46.56]  family and um you know is
[01:49.60]  a billionaire amazing amazing success
[01:53.04]  jyoti what motivated you to think about
[01:56.24]  starting another company and being a
[01:58.80]  founder again
[02:00.48]  yeah it's a you know it's a it's a good
[02:02.80]  question and
[02:03.76]  you know when app dynamics was acquired
[02:05.44]  in 2017 and it was a big acquisition and
[02:07.92]  everything
[02:08.32]  so the first instinct i had which
[02:11.36]  made sense was that i should now i don't
[02:13.52]  need any more money i have more money
[02:15.20]  than i could ever spend in my life you
[02:16.80]  know i've achieved
[02:17.92]  good amount of success you know it's uh
[02:20.72]  so i should retire and enjoy what i do
[02:22.88]  right so and uh so i went on a
[02:25.36]  retirement
[02:26.24]  for about uh you know six to eight
[02:28.24]  months and we you know we had a list of
[02:29.68]  things on our checklist that we wanted
[02:31.36]  to do like in a safari in africa
[02:33.28]  we wanted to go and trek in bhutan we
[02:35.92]  wanted to see machu picchu
[02:37.36]  seafoods in norway and all like this was
[02:40.48]  a list of things that like you know
[02:42.08]  when i was running app dynamics i could
[02:43.44]  never get to because i didn't have time
[02:44.80]  to do any of that right
[02:46.24]  so we went and do event to do all of
[02:48.56]  those but in about six to seven months
[02:50.80]  you're done
[02:51.52]  you know it's like uh you know my wife
[02:54.40]  and i and
[02:54.96]  um what now it's i can't be doing this
[02:58.40]  all my life like you know and i started
[02:59.92]  to look at like you know
[03:01.04]  uh like what you know at some point in
[03:04.48]  life you think of
[03:05.52]  uh you know if you don't have to worry
[03:07.44]  about money you don't have to worry
[03:08.56]  about your career success whatever it is
[03:10.32]  right
[03:10.80]  you should be doing what you enjoy so i
[03:12.88]  looked at okay what do i enjoy
[03:14.16]  and i realized that i really enjoyed the
[03:16.72]  journey of building a startup so you
[03:18.56]  know i'm i'm
[03:19.20]  at the core of it i'm a product guy i
[03:21.04]  love building great products
[03:22.64]  uh but then you know you can't build
[03:24.08]  just great products you have to combine
[03:25.60]  them
[03:25.92]  with building great teams and then that
[03:27.84]  builds a great business right
[03:29.36]  i enjoyed that you know the hustle of it
[03:31.20]  the competitive element of
[03:32.56]  it the building the team the competing
[03:34.48]  in the market all sort of things that
[03:35.76]  come with the startup
[03:36.88]  and i was like okay that's what i
[03:38.16]  enjoyed why should i do it again like
[03:40.00]  you know who cares what the outcome or
[03:41.92]  anything could be but that's what i
[03:43.20]  enjoy i will do it again
[03:44.96]  the second part is is is the problem
[03:47.52]  itself like what harness does and what
[03:49.20]  traceable does right because that's also
[03:50.80]  important like
[03:51.44]  i didn't seek out to i want to start a
[03:53.52]  second company so
[03:54.56]  now let me go and hunt for problem ideas
[03:56.88]  or you know ideas
