Title     : Byron Deeter, Bessemer Ventures  + Jason Lemkin on Cloud 100, Growing 100% at $100m ARR, & More
Video ID  : 9xmaCjU8Kt4
URL       : https://www.youtube.com/watch?v=9xmaCjU8Kt4
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 979
Saved at  : 2026-06-20 23:34:29
------------------------------------------------------------

[00:00.80]  hey everybody
[00:02.32]  at saster i'm super excited today to
[00:05.44]  have one of our og and favorite friends
[00:07.92]  byron dieter from bessemer venture
[00:09.52]  partners byron's been part of the saster
[00:11.84]  community since the very beginning
[00:14.24]  um he's done the state of the cloud both
[00:16.56]  digitally in the real world at saster
[00:18.00]  annuals
[00:19.44]  for six years or something like that
[00:21.36]  been all over um his partners have come
[00:23.28]  to disaster europe and done the same
[00:25.04]  buyer and i have worked together in some
[00:26.48]  capacity
[00:27.76]  since i started in sas and
[00:30.80]  wanted to bring him on today
[00:32.96]  um talk a little bit about his event
[00:34.72]  coming up the cloud 100 awards and then
[00:37.12]  talk about really
[00:38.80]  as we come into these last seasons of
[00:41.04]  covid in a and a brave new world what's
[00:43.52]  really going on in sas um with you know
[00:46.96]  unicorns being minted hourly can't even
[00:49.28]  keep up with my newsletters what's going
[00:51.28]  on
[00:52.16]  um seems like
[00:53.68]  everything's just going up but not
[00:55.28]  really so i want to dig into all these
[00:56.64]  things with byron for a few minutes um
[00:58.88]  first of all byron thanks for thanks for
[01:00.40]  joining us today it's great to have you
[01:01.68]  back
[01:02.72]  uh jason you always make it fun anytime
[01:04.96]  and i appreciate you not putting years
[01:06.72]  to uh the tenure of our of our
[01:08.88]  relationship as uh i i think there's now
[01:11.04]  a two-decade handle on that which is
[01:12.56]  scary
[01:14.00]  so let's first just talk for a minute um
[01:16.40]  about the cloud 100 this is um for a
[01:19.44]  couple reasons but this is an award
[01:21.12]  you've been doing for six years um for
[01:24.96]  100 of the top cloud and sas companies
[01:27.44]  first of all when is it this year it's
[01:28.88]  digitally is it sold out can i still get
[01:31.44]  a ticket how give me give me the deets
[01:33.20]  on the cloud 100.
[01:35.04]  you bet thank you
[01:36.40]  i mean this has been an outgrowth of um
[01:38.40]  a lot of the cloud uh education and
[01:40.72]  community development we've done for
[01:42.08]  years we do it in partnership with
[01:44.08]  forbes magazine each year and salesforce
[01:46.40]  ventures and the shift we made last year
[01:49.12]  forcibly so
[01:50.56]  because of kovid was we took an offline
[01:52.72]  event and moved it online it used to be
[01:54.96]  a very intimate event with the top 100
[01:57.92]  private cloud ceos the public cloud ceos
[02:00.80]  who are the judges
[02:02.24]  and then a small community around that
[02:03.68]  but you know sub 200 people in a room
[02:05.84]  going really deep
[02:07.36]  we flipped that on its head last year
[02:08.96]  and opened it up to the external
[02:10.80]  community used the content that we used
[02:12.72]  to have internally and had some very
[02:14.64]  focused discussions and and sessions
[02:17.84]  that ended up
[02:19.44]  you know attracting tens of thousands of
[02:21.52]  viewers and and over a million um kind
[02:24.00]  of video impressions and so
[02:26.08]  we're gonna roll forward with that
[02:27.44]  format again this year my hope is next
[02:29.68]  year that we uh can do uh a combination
[02:32.32]  of the in person and the digital but the
[02:34.48]  great news is it in the digital format
[02:36.56]  it doesn't sell out and so if folks go
[02:38.64]  to
[02:39.64]  vcloud100.com um uh you can sign up for
[02:43.28]  the free virtual summit
[02:45.20]  and the content is um
[02:48.56]  you know available to all it's going to
[02:50.48]  drop on august 10th where we're going to
[02:52.40]  publish the list um in conjunction with
[02:54.48]  forbes uh of the definitive rankings and
[02:57.52]  then you know you'll see the speakers
[02:59.44]  you know ranging from melanie at canva
[03:02.00]  and chris at toast to allie databricks
[03:05.20]  um there's a number of folks that have
[03:06.72]  been wow
[03:07.76]  reese witherspoon let's be clear
[03:10.72]  we've got some superstars from other
[03:12.72]  areas absolutely
[03:14.08]  larry fitzgerald uh
[03:16.48]  so not the canva and toast aren't
[03:17.92]  exciting i want to ask you about in a
[03:19.12]  second but reese witherspoon will be at
[03:21.64]  thecloud100.com you can hear your
[03:23.36]  thoughts on entrepreneurship which i
[03:24.80]  want to hear
[03:25.92]  um
[03:27.44]  it's awesome like it is so impressive
[03:30.08]  these superstars in other fields that
[03:32.16]  also have real interest in tech and
[03:34.08]  they're building tech businesses and
[03:35.36]  participating and it's just fun when you
[03:37.44]  you get discussions going with
[03:39.04]  interesting people across fields and so
[03:40.96]  i mean rhys is fully engaged the
[03:43.36]  discussion's great i can't wait to
[03:44.72]  release it to the world similarly larry
[03:46.56]  fitzgerald who's an investor with us at
[03:48.48]  a number of companies
[03:49.92]  loves tech and is engaged and and you'll
[03:52.16]  hear his his thoughts on team building
[03:54.00]  and leadership and the role of tech
[03:56.00]  and it's just it's it's it's interesting
[03:58.08]  fun relevant content to business
[03:59.92]  builders and entrepreneurs out there the
[04:01.20]  saster audience it's like a perfect you
[04:03.20]  know overlap it is i'm excited to to do
[04:06.40]  it and so tell me like six years in
[04:09.44]  you know i do remember when the cloud
[04:10.64]  100 launched i think you and alex talked
[04:12.64]  about it a bit backstage at faster
[04:14.16]  annual i think it was a little bit of
[04:15.60]  work to figure out to find a hundred i
[04:17.76]  mean they're obviously a hundred grade
[04:18.96]  sas companies but i remember being work
[04:20.80]  like you had to hunt
[04:22.24]  how the heck now literally how we have
[04:24.48]  700 cloud unicorns right and so there's
[04:26.96]  probably 2 000 unicorns to be this is my
[04:30.08]  view for every one unicorn there's three
[04:32.64]  in every vc's portfolio that will be
[04:34.48]  there right if things so how do these 2
[04:36.64]  000
[04:37.68]  how do you pick a 100 today
[04:40.48]  i mean that's the well thing so to
[04:42.08]  clarify there's over 700 unicorns not
[04:44.08]  cloud unicorns um but uh we as we
[04:46.80]  predicted with our state of the cloud uh
[04:48.56]  report at saster yes uh last year that
[04:51.20]  we anticipated the cloud 100 for the
[04:53.92]  first time ever crossing over to where
[04:56.00]  the entire list was a hundred unicorns
[04:59.20]  and uh and so uh at the risk of of uh of
[05:03.12]  spoiling uh some of our own news i'll
[05:05.12]  share that the the cloud unicorn list is
[05:08.24]  staggeringly large has never been more
[05:10.32]  impressive
[05:11.52]  and you're absolutely right back when
[05:13.28]  you know you were building echo sign and
[05:14.96]  when you were launching disaster it was
[05:17.12]  almost inconceivable to think of
[05:20.00]  the ecosystem that we have today and the
[05:22.16]  strength of this this community with
[05:24.08]  multiple trillions of market cap for the
[05:26.32]  publics and hundreds of billions of
[05:28.40]  dollars of private cloud market cap and
[05:30.96]  so our judges have never had a harder
[05:33.76]  challenge um and i'll tell you there are
[05:35.60]  unicorns that didn't make the list
[05:37.60]  whereas um you know when we started this
[05:39.76]  as you said um many years back that
[05:43.44]  getting to the billion dollar status was
[05:45.12]  the win that was the ipo or the exit and
[05:47.20]  these days that's the series b or
[05:48.80]  seriously financing often and let me a
