Title     : Customer Logos -- Quality or Quantity?  Quick Take from SaaStr Europa
Video ID  : Mg4DDygtCc8
URL       : https://www.youtube.com/watch?v=Mg4DDygtCc8
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 25
Saved at  : 2026-06-21 00:10:09
------------------------------------------------------------

[00:00.06]  yeah it's a good question logo quantity
[00:03.09]  equality so for us we went with quality
[00:04.98]  so we're customers like HSBC running
[00:07.59]  their whole transformation program on us
[00:09.09]  globally same with McDonald's in
[00:11.64]  McDonald's I love because you look at
[00:12.90]  their share price the last 18 months in
[00:15.81]  right in the top sort of headline is
[00:18.00]  their digital transformation literally
[00:20.04]  just moving away from you know human
[00:23.63]  interactions to kiosks to apps to those
[00:26.22]  sorts of things is driven a very
[00:27.42]  different outcome for McDonald's and
[00:28.71]  that's all written on a platform we
[00:31.89]  realized fairly early on that the
[00:33.93]  problem we solve is pretty complicated
[00:35.34]  and the sales cycle will be nine months
[00:38.94]  whether you're spending 50k or five
[00:42.12]  million with us right so we just
[00:43.80]  realized it well you know if if that's
[00:46.14]  the way it's going to be for the time
[00:47.88]  being what we should do is pretty
[00:49.11]  optimized for doing massive
[00:50.88]  transformations first and then back into
[00:53.25]  smaller ones as we got scale
