Title     : Customer Success  Upsells, Cross sells and Expansion
Video ID  : aA6SmCHuWUU
URL       : https://www.youtube.com/watch?v=aA6SmCHuWUU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1160
Saved at  : 2026-06-21 00:45:22
------------------------------------------------------------

[00:01.02]  [Music]
[00:09.08]  so hello everyone uh I'm Santi sovi
[00:12.68]  General partner with emergence capital
[00:15.84]  and I've been in the SAS space for I was
[00:18.44]  counting almost 15 years I started a SAS
[00:21.96]  company before we it was even called SAS
[00:24.00]  it was ASP for those of you who remember
[00:26.68]  it h and started in Argentina so had
[00:30.12]  nothing like this before uh so Jason
[00:32.80]  thanks very much for putting this group
[00:34.36]  together what's this we have a cake here
[00:37.92]  um and I think I mean that's Jason he's
[00:40.76]  been sending emails back and forth he
[00:42.36]  said he was going to bring in a cake um
[00:45.16]  to celebrate that I've been promoted at
[00:47.28]  emergence so thank you and I thought he
[00:49.48]  was just kidding so thank you
[00:52.48]  J feel free to get some cake after the
[00:55.88]  panels uh I have the pleasure of uh
[00:59.16]  sitting in this panel with great people
[01:00.80]  who've observed the customer journey in
[01:03.60]  great companies Sarah at Cornerstone uh
[01:07.56]  April at better works and David at
[01:09.68]  radius intelligence I'll let them do a
[01:11.92]  30 second uh intro on themselves on the
[01:15.56]  companies that they are with and I'll I
[01:18.28]  mean the question that I'm asking you is
[01:20.08]  why did you decide to join this
[01:21.76]  companies that you're in you could
[01:23.08]  probably join any company in the world
[01:25.00]  and you're a companies that you picked
[01:27.68]  so great to hear a little bit about your
[01:29.40]  journey
[01:30.72]  Sarah you sure uh I'm Sarah Jacobson as
[01:33.68]  Santi mentioned I'm with Cornerstone on
[01:35.24]  demand for those of you who are not
[01:36.80]  familiar with Cornerstone we're a
[01:38.64]  provider of Talent Management Solutions
[01:40.52]  so essentially we allow organizations to
[01:42.56]  manage the employee life cycle so
[01:44.60]  recruiting training performance Etc I
[01:47.60]  actually joined Cornerstone 10 years ago
[01:49.92]  when we were preventure funding around 7
[01:52.40]  million in annual revenue and uh today
[01:55.56]  well we're announcing earnings tomorrow
[01:57.16]  so I'll uh if you feel if you want to
[02:00.88]  know what our revenue is for 2015 you
[02:02.56]  can join in on the our earnings
[02:04.08]  announcement but um I joined
[02:06.48]  Cornerstone uh for the people actually I
[02:09.52]  was so impressed by the people and so
[02:11.28]  impressed by the culture that uh it just
[02:14.68]  seemed like an awesome place to an
[02:16.64]  awesome company to be a part of and I
[02:18.00]  was excited to join a startup at the
[02:19.72]  time and be a part of a of a journey and
[02:21.56]  part of a fast growing company and for
[02:24.08]  those reasons I I haven't left it's it's
[02:26.28]  been a fast growing company ever since
[02:27.92]  and I still continue to work with
[02:29.12]  amazing people
[02:30.48]  and and love what I do thank you hi
[02:33.44]  everyone I'm April Omen I'm currently
[02:35.88]  the head of customer success at
[02:38.00]  betterworks I spent five years at
[02:40.32]  Salesforce spent a bit of time at
[02:42.48]  Cornerstone on demand and then I was at
[02:44.36]  Zora most recently for for three years I
[02:47.36]  joined betterworks which is a Enterprise
[02:50.12]  gold management platform that really is
[02:52.72]  intending to ensure openness
[02:55.08]  connectedness transparency and
[02:57.28]  organizations tracking aspirational
[02:59.20]  goals so that ultimately they become
[03:01.44]  efficient and effective at whatever
[03:03.24]  their mission is I've been in customer
[03:05.64]  success my entire career and am really
[03:08.72]  excited to be here on this
[03:10.80]  panel wonderful uh good afternoon I'm
