Title     : Experience SaaStr Annual
Video ID  : MxyJtrF3L0s
URL       : https://www.youtube.com/watch?v=MxyJtrF3L0s
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 77
Saved at  : 2026-06-20 23:58:38
------------------------------------------------------------

[00:00.24]  I'm here because this is where the cloud
[00:02.08]  meets. This is where the greatest minds
[00:03.60]  in SAS are this week here in San Jose.
[00:07.60]  One of the coolest things I think about
[00:09.04]  Saster is that it brings in
[00:11.28]  entrepreneurial energy and talent from
[00:13.20]  all over the world.
[00:15.92]  Saster is 25 times bigger than it was
[00:19.28]  the first year, which seemed big. The
[00:20.88]  original mission was just to share
[00:23.60]  12,500 people all committed to SAS under
[00:26.32]  one roof.
[00:28.40]  I've met about like five billionaires in
[00:30.80]  the last 3 days. 15, 20, 30 billion
[00:34.56]  companies. It's next level.
[00:37.20]  The impact that Sastro has had on me is
[00:39.52]  just to think much, much bigger. I want
[00:42.32]  to turn my company into a unicorn. Now,
[00:45.52]  no matter where you are in enterprise or
[00:47.52]  cloud, there's an area that you're
[00:49.44]  really trying to grow in, and this is
[00:52.16]  the place where you can make all those
[00:53.36]  connections.
[00:56.16]  No one's going to get anything without
[00:57.84]  trying. You don't get anything without
[01:00.32]  trying in this world. And if you're
[01:02.08]  trying to do something that has a
[01:03.44]  ridiculously low chance of success, you
[01:05.76]  got to be prettying confident.
[01:08.96]  The topics here, if I wasn't speaking, I
[01:10.96]  would still be here.
[01:13.68]  We always have the feeling deep inside
[01:16.80]  that we were on to something.
[01:19.52]  You get there and you realize like
[01:21.68]  there's so much more to go. How do I
[01:23.44]  keep growing? People
[01:26.32]  who give up art at Saster, they're not
[01:28.56]  investing in the next step.
[01:34.42]  [Music]
[01:37.36]  Saster is a startup like like every
[01:39.28]  other startup. The community keeps us
[01:42.72]  going and as hard as it is, we're also
[01:45.20]  very privileged to be in this situation.
[01:47.20]  Um we're privileged to be able to have
[01:49.28]  this organization that can give back.
[01:53.12]  I've read all the Sasser material
[01:54.56]  religiously back in the day, but to see
[01:56.72]  the community that it's engendered is
[01:59.20]  amazing.
[02:01.36]  Saster is incredibly important to bring
[02:03.92]  the the industry together and most
[02:06.96]  importantly the people.
[02:12.63]  [Music]
[02:15.20]  I went to an early Sasser to learn about
[02:16.88]  SAS and the community was so great to me
[02:19.12]  and the knowledge sharing was incredible
[02:21.44]  that I jumped at the chance to try and
[02:23.28]  come here and give back to the
[02:24.56]  community.
[02:26.56]  You spend so much time running your
[02:28.88]  business all year long and you come to
[02:30.48]  SAS and you realize there's a whole
[02:32.24]  community of other CEOs or COOs who are
[02:35.60]  having very similar challenges as you
[02:37.76]  and you can actually sit and talk about
[02:39.76]  what are some strategies to overcome
[02:41.44]  those challenges.
[02:42.72]  [Music]
[02:44.40]  I think it's incredible just to see how
[02:47.04]  much this has grown. I've been coming to
[02:48.64]  Sasser for the past couple years and
[02:50.40]  this year just the roster of speakers,
[02:52.56]  the enthusiasm and the ability for a
[02:55.44]  community to come together and really
[02:57.68]  rally around an incredible amount of
[02:59.44]  resources is just an amazing thing to
[03:01.76]  see.
