Title     : Founder ROI
Video ID  : EulhT-ImFrE
URL       : https://www.youtube.com/watch?v=EulhT-ImFrE
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 40
Saved at  : 2026-06-21 00:48:58
------------------------------------------------------------

[00:07.33]  Jason lempkin i am the initial voice
[00:10.28]  behind us after which has since grown to
[00:13.25]  be the largest global community for SATs
[00:16.10]  and BB founders the world all about
[00:18.56]  making it easier to push that rock up
[00:20.03]  the mountain we get to 1 million and
[00:22.22]  then 10 million in 20 and 100 million
[00:24.17]  air are just that much easier Twitter
[00:25.82]  well over 5,000 founders flying in from
[00:29.60]  all across the globe this februari and
[00:31.58]  every februari meet with their peers and
[00:33.62]  learn from each other some of you have
[00:34.97]  10 or more customers you want to grow
[00:36.95]  more quickly we're about founders with
[00:39.14]  customers that want to grow their
[00:40.49]  business even faster and the real team
[00:42.47]  will be the playbook scaling money today
[00:44.90]  shoes and uniforms two stages 150
[00:47.96]  speakers 5,000 attendees will be the
[00:50.42]  biggest non vendor thing the SAS world
[00:52.58]  has ever seen so all across the spectrum
[00:54.83]  5 million 10 million to 400 million and
[00:58.34]  air are we'll hear from all different
[00:59.99]  speakers at all different levels we grow
[01:02.30]  the number of speakers 10x we've tripled
[01:04.40]  the days we'll have five times your peer
[01:08.09]  set the great founders coming and the
[01:10.97]  real goal is to learn
[01:12.66]  much and have it be 20 times as regular
[01:14.52]  part so we're going to try to have fun
[01:15.80]  it's not all going to be haha fun it's
[01:18.99]  not all going to be kumbaya let's all
[01:20.76]  get together in a cruise ship it be cool
[01:22.98]  first time founders fund it's going to
[01:24.69]  be wrong miss journey together there's
[01:26.31]  only two choices and sass you how to
[01:28.05]  keep growing or you're gonna you're
[01:29.82]  going to descend and decline into
[01:31.44]  nothingness and watch after many op
[01:37.11]  we're coming for you
