Title     : Get EXCITED!!  SaaStr Annual 2023 is Almost Here! Sep 6-8 in SF Bay!!
Video ID  : GIhuLkwzP8U
URL       : https://www.youtube.com/watch?v=GIhuLkwzP8U
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 83
Saved at  : 2026-06-20 22:59:50
------------------------------------------------------------

[00:00.18]  hey everybody get excited we're almost
[00:02.46]  there it's Sasser annual 2023 September
[00:05.64]  6th through 8th in the SF area we're
[00:07.80]  actually at the San Mateo County
[00:09.06]  Fairgrounds which is right in between
[00:10.32]  Palo Alto and San Francisco it's just 10
[00:12.24]  to 15 minutes north of Palo Alto 15 to
[00:14.70]  20 minutes south of Soma in San
[00:16.56]  Francisco and it's epic because we have
[00:18.66]  40 indoor and outdoor acres for a big
[00:21.42]  Festival style event for 12 000 of the
[00:24.54]  best in SAS and Cloud if you haven't
[00:26.88]  been before even if you have it's new
[00:28.74]  it's different this year we've got seven
[00:30.78]  stages running the best in Sasson Cloud
[00:33.00]  the best Co cro CMO CCO cpos they'll all
[00:36.48]  be there from leaders like Monday and
[00:38.10]  MailChimp and Asana and pagerduty
[00:40.80]  um to uh fresh works and on and on the
[00:43.32]  best of the best will be there sharing
[00:45.06]  it with you if you like to learn in
[00:47.22]  smaller sessions more intimate sessions
[00:48.78]  will have over 500 brain dates and
[00:51.42]  workshops in Hangar East which is just
[00:53.22]  above my head uh we'll have over a
[00:55.44]  hundred tables and mini workshops for
[00:57.96]  brain dates where you can meet with tons
[00:59.70]  of top
[01:00.96]  um Revenue leaders and Founders in
[01:02.46]  one-on-one one on four one on eight one
[01:04.26]  on 16 sessions to do really meet people
[01:06.48]  some folks stay in these brain dates in
[01:08.76]  fact all three days uh and also we'll
[01:10.86]  have a new Container Park with a zip
[01:12.30]  line flying above with two smaller
[01:13.98]  Workshop stages where you can get really
[01:15.90]  close to top Revenue leaders and CEOs
[01:18.06]  and ask in-depth amas and in fact we'll
[01:20.10]  have 55 amas this year across the stages
[01:23.16]  in addition to these workshops and braid
[01:24.90]  dates so you will meet interact with and
[01:26.64]  get to know the best of the best here
[01:28.86]  it's pretty crazy again we've got 40
[01:30.66]  acres or so much so much fun stuff going
[01:32.82]  on we've got Sasser Square Park we've
[01:34.68]  got the fun Plaza stage where we will
[01:36.72]  have
[01:37.68]  are incredible
[01:39.66]  um big party uh the second night um uh
[01:42.84]  um and and there we'll have the cheat
[01:44.52]  codes which is going to be pretty fun in
[01:46.38]  the huge Hangar West above my head uh
[01:48.54]  the first night we'll have the first
[01:49.56]  ever Wine and Food Festival
[01:51.78]  um we will go and we'll have tons of
[01:53.22]  stations where you can meet friends you
[01:54.78]  can have some of the best wines from
[01:56.10]  Napa some of the best snacks
[01:58.08]  um and anyhow they'll be fun stuff to do
[01:59.70]  all day again from the zip line to the
[02:01.44]  brain dates to The Wine and Food
[02:02.64]  Festival to cheat codes to brain dates
[02:04.98]  to workshops there's almost too much
[02:07.14]  um and then day three don't forget six
[02:08.94]  seven eight day three is money day
[02:11.28]  um in addition to having a massive AI
[02:13.26]  track we'll have over 600 of the top VCS
[02:16.68]  in SAS and Cloud there on Friday the 8th
[02:19.38]  um we'll have tons of ways to meet VCS
[02:21.36]  pitch VCS get in front of VCS and all
[02:23.82]  those stages will be lit up with many of
[02:25.56]  the best VCS from many of the best
[02:26.94]  friends from Bessemer to Sequoia to uh
[02:29.22]  to Peak 15
[02:30.66]  um to light speed and on and on they'll
[02:32.16]  all be there almost all the best
[02:33.36]  investors in SAS and Cloud will be there
[02:35.22]  so it's it's almost three full days it's
[02:37.68]  there's a lot to take in but boy it's
[02:39.78]  fun I really hope you could enjoy us for
[02:41.40]  the whole time or as much of it as you
[02:42.96]  can September 6th to 8th in the SF area
[02:45.60]  it's saster annual 2023 it's gonna rock
