Title     : Get Excited for 2026 SaaStr Annual!!  May 10-12 in SF Bay Area!!
Video ID  : HEqBPN6EnZw
URL       : https://www.youtube.com/watch?v=HEqBPN6EnZw
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 51
Saved at  : 2026-06-20 23:02:42
------------------------------------------------------------

[00:00.00]  there's something really magical when
[00:01.68]  you get people together in a room to
[00:03.36]  brainstorm as opposed to just like being
[00:04.98]  a little box on a screen also it's so
[00:07.26]  fun to figure out how tall people are
[00:08.82]  after only hang out with them on Zoom
[00:11.10]  for the last couple of years we are
[00:12.66]  sassers let's do it
[00:23.22]  faster I just met all these cool
[00:25.74]  Founders that are really excited to
[00:27.60]  learn more and I love that Community
[00:29.22]  what other conference has literally this
[00:31.32]  amount of great minds in one place
[00:34.10]  [Music]
[00:44.78]  SAS companies are I believe powering the
[00:48.36]  future of innovation on the internet and
[00:50.10]  nowhere is that more evidence than in
[00:52.20]  the world of SAS and I think when I look
[00:54.00]  around here at saster I just see
[00:56.10]  Innovation and I see the best that the
[00:59.40]  tech world has to offer this is Tech
[01:01.20]  this is SAS right and I love just being
[01:05.04]  here and the energy most of the best
[01:06.72]  playbooks are inside the minds of the
[01:08.46]  leaders who've gone from IPO to IPO or
[01:10.56]  founding company to founding company and
[01:12.66]  because they're busy that's not public
[01:14.70]  right and how can you accelerate
[01:16.44]  everyone's learnings to create better
[01:17.94]  experiences you bring them together a
[01:19.80]  great form like this where you can have
[01:21.24]  events with people much smarter than me
[01:23.52]  on stage and deep workshops and
[01:25.98]  networking and this is like the
[01:27.54]  heartbeat of SAS we'll have 1700
[01:29.52]  mentorship and great day sessions where
[01:31.14]  everyone's sharing this mentorship and
[01:33.18]  brain dates was nascent for us before
[01:35.04]  the world game now it's our Hub maybe
[01:37.26]  next year we'll have 2500. it's amazing
[01:39.96]  icam disaster six years ago and I was
[01:43.50]  blown away I learned so much and I was
[01:45.36]  like one day I'm gonna speak here so
[01:46.50]  here I am customers in the US I think
[01:49.62]  that we're meeting all at the same time
[01:52.28]  it's a collaboration it's the
[01:55.08]  conversation and it's even more
[01:56.64]  important now than before so you have to
[01:58.62]  be here if you're in sex
[02:02.52]  foreign
[02:07.93]  [Music]
