Title     : Guidewire:  From $0 to $6B, The Biggest SaaS Success Story You've Never Heard Of
Video ID  : u6-ZY85AI-A
URL       : https://www.youtube.com/watch?v=u6-ZY85AI-A
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 859
Saved at  : 2026-06-21 00:09:35
------------------------------------------------------------

[00:09.47]  [Applause]
[00:14.05]  well thank you David it's great to be
[00:16.64]  here it's great to be with Marcus I've
[00:18.71]  had the pleasure of getting Oh Marcus in
[00:20.36]  the last couple years through another
[00:22.22]  great founder ROG dadada is the founder
[00:25.19]  and CEO of Bloom reach and Marcus has
[00:27.86]  imbued our board meetings with quite a
[00:29.69]  bit of wisdom from his incredible
[00:32.33]  journey with with guidewire I was joking
[00:35.18]  with with David ahead of time that guide
[00:37.31]  was probably the largest SAS company
[00:38.96]  that most people this conference have
[00:40.85]  never heard of and you know but I
[00:44.60]  thought I'd share a few statistics about
[00:46.79]  the wonderful business that Marcus and
[00:49.07]  his team have built you know the company
[00:51.41]  was founded in 2001 today they've north
[00:54.59]  of 500 million dollars of revenue
[00:56.35]  projecting 600 in the coming year 20%
[01:01.58]  profit margins nearly 100 million of
[01:04.07]  free cash flow they've had 27 straight
[01:07.28]  quarters of meeting or beating their
[01:09.41]  expectations and for all of this
[01:12.50]  you know Wall Street certainly has a
[01:14.30]  Monday morning was rewarding the company
[01:16.52]  with a six billion dollar market cap a
[01:19.46]  revenue multiple north of 11 times and
[01:23.12]  this is despite having a third of the
[01:25.61]  revenue be services revenue so really
[01:27.71]  just a remarkable business and a
[01:30.62]  remarkable journey but you know I
[01:32.33]  thought for today's session what would
[01:34.25]  be most interesting is really starting
[01:35.87]  at the beginning you know the early days
[01:37.25]  most of the founders in the room here
[01:39.83]  and at this conference are you know in
[01:41.99]  the early days of their startup and and
[01:43.85]  that's where I thought we'd focus
[01:44.96]  today's session so Marcus take us back
[01:48.16]  2001 you were you know Young had worked
[01:52.07]  a little bit at McKinsey spent a couple
[01:53.90]  years at Arriba you and your co-founders
[01:56.24]  were looking to start a company
[01:57.44]  why property and casualty insurance
[01:59.45]  how'd you decide on probably the most
[02:03.31]  unglamorous space in the universe tell
[02:06.95]  tell us about how guidewire got started
[02:09.05]  sure so uh
[02:09.89]  gonna beat our minds back to that era
[02:11.48]  what seems like a long time ago
[02:13.67]  you know I've it's been a long journey
[02:15.20]  for me this is here 17 for me you know
