Title     : How to Bridge the Gap Between Product and Sales Teams:  Lenny & Jason
Video ID  : ZoqtqhdjT7I
URL       : https://www.youtube.com/watch?v=ZoqtqhdjT7I
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 171
Saved at  : 2026-06-20 22:50:59
------------------------------------------------------------

[00:00.04]  we just need this one feature can we
[00:01.60]  just get this on the road map what's the
[00:03.60]  best way to help that salesperson
[00:05.28]  understand why it's not happening help
[00:06.56]  them feel like okay I get it is it
[00:08.20]  exactly what just said like okay we
[00:09.60]  could change everything here's the story
[00:11.52]  points you have this quarter well are
[00:12.92]  you assuming are you assuming that PM is
[00:15.28]  the header product or or empowered
[00:17.24]  enough to make the decisions I'd say
[00:19.60]  yeah that PM could put something on the
[00:21.08]  road map if they think it's important
[00:23.44]  the the reason I'm a little confused
[00:24.76]  just but I want to get it right is I'm
[00:26.52]  hearing what I'm hearing which maybe
[00:27.88]  isn't what what you said what I'm
[00:29.32]  hearing is a Jun an Junior IC rep is
[00:31.72]  talking to kind of a more mid-level
[00:33.80]  product person about the road map that's
[00:35.76]  a bro as and that's you want to have
[00:37.76]  that that's like one of the reasons we
[00:38.84]  actually go to the office because those
[00:40.40]  discussions don't happen on Zoom Lenny
[00:42.48]  they don't happen and you want those
[00:44.08]  discussions to happen but you don't
[00:46.32]  actually want them empowered you want
[00:48.68]  them to say listen I will talk to my
[00:50.36]  boss that's the right answer it's too
[00:52.72]  confusing this stress between product
[00:55.08]  and sales is a good thing it's a it's a
[00:58.20]  sign of a well-run B2B company when
[01:00.28]  there is stress between product and
[01:02.00]  sales it's a good sign it is a good if
[01:04.32]  there's no stress you're not you're not
[01:06.20]  in enough deals you're not in enough
[01:09.16]  deals if there's no stress but the
[01:11.08]  stress has to have enough process even
[01:13.40]  in a startup that it doesn't break
[01:14.68]  because as your question looks the fact
[01:16.16]  it can break organizations again and
[01:17.76]  again right people get people resented
[01:19.64]  on either side right and so you this is
[01:22.04]  one thing where the answer has to be
[01:23.24]  look we can chat about it over lunch we
[01:24.80]  can chat about this and and and and
[01:26.92]  actually you've got a good idea you
[01:28.52]  you're individual contributor I'm tell
[01:30.24]  my boss on Monday that I think we should
[01:32.36]  do I'm gonna I'm GNA use a little social
[01:33.88]  to say we should do this but you got to
[01:35.00]  push the decisions up that's as far as
[01:36.68]  it go make recomend otherwise in instead
[01:38.84]  of that one one stressful conversation
[01:41.08]  at the VP level you've got a hundred
[01:42.44]  you've got 10 times 10 times 100 in
[01:44.80]  again they're fun lunch conversations
[01:46.40]  but they they wreck you so the advice
[01:48.88]  there is basically talk to your manager
[01:51.52]  I'll talk to my manager they need to
[01:53.16]  Hash this out it's not my call I think
[01:55.32]  you got to push it up and I think you
[01:56.48]  got to force the vpa sales and the vpa
[01:58.64]  product to have this weekly meeting
[02:00.80]  about the budget and that will force
[02:02.56]  them to have enough just enough
[02:04.64]  organization on their team so that it
[02:06.24]  can all be surfaced up because that
[02:07.88]  means they each have to have a meeting
[02:09.16]  with their team for 30 minutes each week
[02:11.12]  and say I'm gonna put up on the
[02:12.24]  Whiteboard guys to my sales team I'm
[02:13.56]  gonna put up on the white like the sales
[02:15.20]  team's gonna say and I've been in many
[02:17.00]  of these meetings where you force the
[02:18.24]  sales team to Force rank what they want
[02:20.20]  and you you end up I can tell you Lenny
[02:22.68]  100% of the time in the sales meeting
[02:24.12]  when you force do a whiteboard Force
[02:25.88]  rank you end up walking out with very
[02:27.92]  different uh outputs than when you start
[02:29.92]  the meeting in sales 100% of time on the
[02:31.64]  product side you need to do the convers
[02:33.76]  you you just say we owe sales 10% of our
[02:35.88]  points so we're going to put in a weekly
[02:37.60]  in our team meeting we're going to put
[02:38.76]  in 15 minutes of our team meeting and
[02:40.88]  we're going to make sure we have the
[02:41.68]  priorities right from the sales team
[02:42.72]  let's go over what I got from Linda this
[02:44.44]  is what she says is she wrong should we
[02:47.16]  do something how can we help the sales
[02:48.64]  team be even more successful and what
[02:49.84]  inputs is the team hearing and they can
[02:51.20]  raise their head they say look I just
[02:52.28]  had this hallway conversation with Bobby
[02:53.72]  but honestly Lenny I can build a Subs
[02:55.64]  spot integration in a day what I thought
[02:58.08]  it I thought it was really hard no I did
[02:59.32]  it my last company and listen actually
[03:01.20]  we can actually Outsource it to Bob and
[03:02.76]  Linda at this agency I know for 20 grand
[03:04.52]  they'll build it next week I'm like
[03:05.88]  that's a magical moment right that's a
[03:08.40]  magical moment but you got to each have
[03:09.84]  these parallel meetings or it's just
[03:11.44]  it's just it's just that the good thing
[03:14.12]  that tension can become a can become
[03:15.88]  debilitating right you when you we've
[03:17.28]  all seen those fights those almost
[03:18.68]  fights that break out and they come from
[03:20.92]  the a place of passion right but you got
[03:24.08]  to have structure great advice another
[03:27.52]  Trend I've been noticing is that product
[03:29.24]  teams are taking on p&l responsibilities
[03:31.76]  and revenue goals what's your sense of
[03:33.80]  is that good is that bad how do you
[03:35.04]  think about that for product teams you
[03:37.56]  want everyone to be aligned on the big
[03:39.28]  picture with a revenue goal for the end
[03:41.48]  of the year is the question you mean
[03:43.36]  having Financial bonuses and stuff tied
