Title     : How to Create a $50M ARR Inbound Revenue Machine with Justyn Howard  and Mike Volpe
Video ID  : q3kbBvAojvU
URL       : https://www.youtube.com/watch?v=q3kbBvAojvU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 865
Saved at  : 2026-06-21 00:19:40
------------------------------------------------------------

[00:00.03]  please welcome Mike Volpe CMO at cyber
[00:03.00]  reason and Justin Howard founder and CEO
[00:05.49]  of sprout social the bar must be closed
[00:27.33]  I actually stole that joke from Justin
[00:31.14]  you literally just told me that two
[00:32.34]  minutes ago and I was like that's a good
[00:33.51]  joke I'm gonna steal it that's right we
[00:34.98]  share jokes yeah but yeah this is a lot
[00:36.99]  of people for 5 p.m. it is it's great
[00:38.67]  we're pumped to be here we're gonna talk
[00:40.20]  about building a 50 million dollar or
[00:41.88]  100 million dollar actually should be a
[00:43.44]  hundred million I think yeah I mean the
[00:45.00]  numbers a little outdated although not
[00:46.62]  all of that is is is about so yeah it's
[00:50.43]  fine
[00:50.88]  but this is marketing so you exaggerate
[00:53.34]  a little bit right so building a fifty
[00:55.32]  or a hundred million dollar inbound
[00:56.52]  revenue business I'm Mike Volpe I've
[00:59.82]  done marketing for a long time probably
[01:02.01]  for this particular presentation the
[01:04.38]  relevant thing as part of the founding
[01:05.79]  team at HubSpot which obviously had a
[01:08.01]  almost completed about model grew that
[01:10.56]  to 150 million through our IPO and
[01:13.02]  Justin why don't you introduce yourself
[01:14.52]  yeah so I'm Justin Howard I am the CEO
[01:16.92]  and one of the founders at sprout social
[01:19.13]  where chicago-based
[01:21.03]  sass company and we've been at this for
[01:23.28]  I think it's coming up on eight years
[01:24.96]  now yeah cool awesome and represent non
[01:28.59]  Silicon Valley
[01:29.64]  sass companies Boston Chicago there's a
[01:32.16]  few of us sir shout out there's like two
[01:33.60]  people in the back going yeah right
[01:35.19]  there we go you guys are your guys are
[01:37.44]  with us awesome cool it's a 5 p.m. show
[01:39.60]  so we're gonna have some fun with this
[01:40.77]  alright so talk a little bit about just
[01:43.05]  like what sprout show so what do you
[01:44.46]  guys sell and then I want to branch into
[01:47.34]  like a whole conversation about who do
[01:48.51]  you sell to yeah so sprout we've we've
[01:52.95]  got a couple of products the kind of the
[01:54.63]  flagship of the core product social
[01:56.04]  media management software we work with
[01:58.41]  about 21,000 brands around the world who
[02:01.83]  use it to more effectively manage their
[02:03.63]  social create strong relationship with
[02:05.10]  their customers we also have an employee
[02:08.01]  advocacy and engagement product also in
[02:10.20]  the in the social space and
[02:12.81]  recently made an acquisition in the
[02:14.22]  social analytics and listening so we've
[02:17.25]  got a few products the the flagship of
[02:19.23]  which is this social media management
[02:20.88]  okay so 21,000 customers you sell the
[02:24.24]  small businesses so yes all the big
[02:28.11]  businesses we do you sell the enterprise
[02:29.91]  yes you sell the fortune 100 we do what
[02:32.28]  the hell man yeah so that's like against
[02:34.68]  all the traditional advice about sets
[02:36.63]  like Pickers course our target market
[02:38.43]  and like like what's yeah where's that
[02:39.96]  coming from
[02:40.62]  so not something that we intentionally
[02:43.29]  set out to do I don't think the you know
[02:45.33]  the the idea early on was let's let's
[02:48.00]  build really great software and myself
[02:50.97]  and and a couple other folks on the
[02:52.62]  early team we came out of the enterprise
[02:54.00]  space we knew some things that we didn't
[02:55.35]  necessarily like about that we we felt
[02:58.56]  that we could build great products find
[03:01.26]  efficiencies in how we sell a market and
[03:04.25]  and it worked and over time we started
[03:06.90]  to realize that you know what our
[03:08.25]  customer base is really diverse we've
[03:10.95]  got large enterprise we've got SMB we've
[03:12.99]  got agencies we've got we've got midmark
[03:14.70]  and everything in between and you know
[03:18.18]  again not intentional but when you come
[03:20.97]  to that realization then you've got a
[03:22.14]  choice to make
[03:23.16]  where do we want to focus right because
[03:24.93]  everyone suggests you've got to pick a
[03:26.70]  niche you've got to pick your focus is
[03:28.11]  it SMB are you in a price and we kind of
[03:30.93]  resisted that idea and said you know
[03:32.19]  what these these segments are all really
[03:33.93]  interesting to us for different reasons
[03:35.55]  and if we can add value to all of them
[03:37.80]  and do it profitably as a company then
[03:40.77]  let's let's kind of take on that
[03:41.91]  challenge and so all of those those
[03:44.58]  parts of our business are growing
[03:46.26]  thriving in a very important to us so
[03:48.12]  tell us about the inbound side of it so
[03:50.04]  you've got you know you sell the
[03:51.39]  businesses of almost any size obviously
[03:54.12]  you've got the set of use cases around
[03:55.86]  the product for that but we're like
[03:57.51]  where the leads come from is it
[03:59.64]  different in the enterprise you actually
[04:00.96]  have like an SDR team do an outbound for
[04:02.76]  the fortune 100 or where does all this
[04:04.86]  come from
[04:05.43]  yes so it's it's a ball evolved a bit
[04:07.47]  over time I'll say on the whole you know
[04:10.71]  probably the first six years of our life
[04:12.60]  the the vast majority if not all of our
[04:14.70]  revenue was inbound and when we say
[04:17.10]  inbound in our world that means through
[04:19.20]  our free trial funnel we have a 30 day
[04:20.88]  free trial of our product and to a
[04:23.40]  lesser degree people who are requesting
[04:25.29]  more information
