Title     : How to Really Sell into The Enterprise:  A Discussion with Talkdesk, Adobe and Intel
Video ID  : UH3pz-uKe9k
URL       : https://www.youtube.com/watch?v=UH3pz-uKe9k
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 919
Saved at  : 2026-06-21 00:36:40
------------------------------------------------------------

[00:01.00]  good afternoon to everyone my name is
[00:02.64]  gadish shamia I'm the CEO of uh talk
[00:05.44]  desk I think you heard the name a lot in
[00:07.40]  the last last um uh few days doctus is a
[00:11.00]  call center uh in the cloud uh we sell
[00:13.48]  to sales teams and and um SDR team sales
[00:16.56]  team uh and um and customer service
[00:19.80]  teams um what else one of the fastest
[00:22.92]  SAS growing companies in the valley and
[00:24.76]  all this great stuff so I've done done
[00:26.36]  my part which is the only thing going to
[00:27.88]  hear about me and talk desk uh and now
[00:30.08]  can talk about setting to the Enterprise
[00:31.72]  so this topic is is pretty interesting
[00:34.76]  because um well let me try quick show of
[00:37.36]  hands how many of you would prefer to
[00:39.96]  sell one time $1 million deal instead of
[00:43.76]  100 times $10,000 deal show
[00:46.76]  hands okay there's some crazy people in
[00:49.08]  the room that still prefer to sell a lot
[00:50.48]  of small deals but you know most people
[00:52.36]  will prefer to sell 1 million doll deal
[00:54.76]  instead of1 $10,000 deals and we all
[00:57.92]  know why it's it's easier it's it's
[01:00.52]  cheaper it's most cost cost effective we
[01:03.48]  also know that most um most startups
[01:06.32]  start was SMB because we have limited
[01:08.88]  amount of money so we have to uh launch
[01:10.72]  an MVP and the MVP is not Enterprise
[01:12.88]  grade the day we launch it so we have to
[01:15.00]  sell to smbs and we have to try on smbs
[01:17.44]  but with in sample of time we have to
[01:19.44]  move up Market otherwise we deal with
[01:21.40]  children we deal with monthly customers
[01:23.16]  we deal with your $10 per user per month
[01:25.44]  is too expensive for me so we have to go
[01:27.40]  up Market this entire session is going
[01:29.60]  to be about going up market and how to
[01:31.72]  actually sell in the Enterprise and I
[01:34.36]  have a pretty astonish P astonishing
[01:36.76]  panel here that will do most of a
[01:38.20]  talking so don't get used to me that
[01:40.12]  much um we have I have two uh um St from
[01:43.60]  St from uh from the last so Lac Bell
