Title     : How to Scale Your Sales Team From 1 to 100 Reps:  Dave Baga, CRO at Lyft
Video ID  : 1cwY862TCBc
URL       : https://www.youtube.com/watch?v=1cwY862TCBc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 831
Saved at  : 2026-06-21 00:36:20
------------------------------------------------------------

[00:00.08]  good morning please welcome will ker
[00:02.64]  from light speed Venture partners and
[00:04.68]  David Baga Chief business officer of
[00:07.60]  Lyft all right well uh welcome to saster
[00:11.20]  2017 I just found out about a couple
[00:13.60]  minutes ago that we got to kick off the
[00:16.24]  conference and I was going to do my B my
[00:18.56]  best Jason impersonation but I am not
[00:20.76]  nearly as charismatic or funny so we
[00:23.20]  will just hop right into this um it's my
[00:25.68]  pleasure to be able to uh introduce and
[00:28.84]  just engage in a conversation with David
[00:30.60]  Baga who is Chief business officer at
[00:33.00]  Lyft and as you all know the topic that
[00:35.20]  we're uh going to really just casually
[00:38.08]  discuss is um how to put a lot of veneer
[00:41.24]  on your business to get to a $100
[00:42.88]  million valuation as quickly as
[00:46.44]  possible easy right easy um in fact it's
[00:50.84]  building and scaling your company up
[00:52.56]  through the various stages and the
[00:54.60]  reason why David is just such a uh a
[00:57.36]  great person to be able to engage a
[00:58.80]  conversation with is he has a a very
[01:00.20]  unique perspective he's been part of
[01:02.16]  companies that have sold to different
[01:04.44]  types of customers uh different types of
[01:06.84]  products and really operated at various
[01:09.40]  stages very successfully so without
[01:12.00]  further Ado David great thank you so uh
[01:15.52]  really excited to be here today and and
[01:17.16]  share some of this story um I I have had
[01:20.40]  a very varied background and it's been a
[01:23.20]  great privilege to have experiences that
[01:25.40]  range from the biggest companies in the
[01:28.08]  in the world some of the most mature
[01:30.00]  sales organizations like Oracle to the
[01:32.76]  earliest age startups and uh and
[01:35.24]  everything in between with the
[01:36.48]  mid-market sellers like information
[01:38.52]  Builders uh I've had uh a couple of
[01:41.48]  experiences now where I have been
[01:44.24]  literally the oneman band and the first
[01:46.52]  professional seller in an organization
[01:48.76]  uh first at Rocket Lawyer and uh and
[01:51.32]  then uh most recently at Lyft and and
[01:55.12]  it's one of the most uh interesting
[01:57.96]  provocative challenging uh scary periods
[02:01.36]  of of going from 1 to 100 and then
[02:04.32]  things kind of start to to form around
[02:06.36]  you and you start to to recruit and
[02:08.48]  build a team and all of a sudden you're
[02:10.84]  not on stage by yourself you you've got
[02:13.24]  you got some folks to support you you
[02:14.76]  got to cast of characters and that's a
[02:16.76]  really really fun
[02:18.76]  period if you keep going you you end up
[02:22.16]  in a situation where you actually find
[02:24.60]  yourself leading a a mature organization
[02:27.00]  you're orchestrating and leading
[02:28.88]  Specialists across the across a wide
[02:31.68]  spectrum of go to market functions and
[02:34.52]  that's where I find myself here today at
[02:36.48]  at Lyft and so through that experience
[02:38.88]  of um the rocket lawyers trapez
[02:41.92]  information Builders oracles and and and
[02:45.08]  lft I have uh I've got a conclusion and
[02:49.60]  and really what it comes down to is that
[02:52.40]  going from 1 to 100 is really
[02:56.80]  hard thank you for coming yeah
[03:00.56]  I I'm pretty much done here right so I
[03:03.84]  uh I've done it now a couple times and
[03:06.12]  it's still really [ __ ] hard so I
[03:09.20]  don't want anyone walking out of here
[03:10.80]  thinking that they're going to just take
[03:12.16]  great notes and have a Playbook that
[03:13.92]  they can go operate against the the
[03:15.96]  struggle is really constant but I can
[03:18.44]  assure you that it is uh the most
[03:20.72]  rewarding uh part of the the entire
[03:23.28]  journey is right here in this period so
[03:26.80]  if you don't mind let's do a little uh
[03:28.88]  survey uh who in the audience would put
[03:32.00]  themselves in the Onan band category
[03:35.32]  raise your hands founder Le sales
[03:37.96]  calling on every favor you have can you
[03:40.12]  see anything I can't see anything yeah
[03:42.40]  um how about the rock band who feels
[03:45.60]  that you know they've got a little
[03:47.24]  momentum they have a bit of a team going
[03:49.32]  you're feeling good but every now and
[03:50.80]  then you're making things
[03:52.80]  up and then how about the orchestra how
[03:55.68]  many people out there are and if you're
[03:57.96]  in an orchestra please I'd like to meet
[03:59.68]  meet with you after light speed would
[04:01.36]  love to um but let's get into the three
[04:04.40]  stages of growth uh kind of walk us
[04:06.52]  through just some lessons learned and
[04:08.68]  how you kind of categorize it yeah so I
[04:10.80]  I think that there there are really
[04:12.16]  three distinct stages and a lot of while
[04:14.88]  they're related um going from you know
[04:17.64]  finding your product Market fit to
[04:20.32]  really trying to design and build your
[04:22.08]  goto Market model and then finally
[04:24.04]  really operating at scale and and trying
[04:25.84]  to drive towards profitability they are
[04:28.24]  related entities but they are different
[04:30.88]  sports and so it's not like going from
[04:32.92]  minor league hockey to Junior Hockey to
[04:35.44]  to to the NHL it's really that you're
[04:37.92]  picking up a brand new set of skills
[04:39.56]  with completely different motions and so
[04:41.68]  I think it's important to recognize that
[04:43.36]  you have to have a really conscious
[04:45.60]  shift and have a distinct mindset uh
[04:48.28]  that prepares yourself for each of these
[04:50.44]  phases I've noticed you don't have
[04:53.32]  metrics and like hey 1 million ARR we're
[04:57.12]  off to the next phase uh 10 customers
[04:59.60]  were often than that why do you avoid
[05:01.40]  putting metrics when it seems like
[05:03.60]  that's all people want to write about
[05:05.16]  that's all people want to calibrate
[05:07.24]  around VCS love metrics okay we do we do
[05:11.20]  we I love metrics too but I I don't
[05:13.08]  think it's quite as uh as binary so I
[05:15.28]  could tell you that you uh you know it
[05:18.96]  it's likely that there's a range that if
[05:20.88]  you are under 2 million in ARR that you
[05:25.00]  probably are still finding product
[05:26.36]  Market fit uh if you are 2 to 25 then
[05:29.88]  you are building your go to market but
[05:31.52]  you're not yet scaling but I can also
[05:34.68]  tell you that when you think you have
[05:36.76]  shut the door on product Market fit and
[05:38.64]  you're like check that box you're coming
[05:41.92]  back because you're going to search for
[05:43.12]  it again because you're going to need
[05:44.68]  new Industries new segments new products
[05:48.00]  that you're going to introduce for cross
[05:49.32]  sell and upsell and so you're coming
[05:51.20]  back through this whole stage again and
[05:52.84]  in fact you could go through this stage
