Title     : Is It Really Easier the Second Time Around?  Josh James, CEO Domo
Video ID  : l4x3C__Bu3U
URL       : https://www.youtube.com/watch?v=l4x3C__Bu3U
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 113
Saved at  : 2026-06-20 23:34:38
------------------------------------------------------------

[00:05.76]  and any things that you thought
[00:07.52]  having had a huge first success that you
[00:09.28]  thought would be easier the second time
[00:10.48]  than actually weren't
[00:11.76]  well i thought this year easier
[00:14.96]  and you guys all know for starting
[00:17.28]  companies it's not easy and
[00:18.96]  i think you just get older and more
[00:20.40]  tired and still
[00:22.00]  like no one's picking up the ball and
[00:23.76]  running with you still there's things
[00:25.04]  you have to do
[00:26.16]  yeah um i think there's higher
[00:28.24]  expectations so there's a different type
[00:30.00]  of stress um you know the first time
[00:32.64]  around no one has expectations everyone
[00:34.16]  thinks you're going to fail
[00:35.52]  and so it's just kind of like it's
[00:36.64]  comforting in the early days yeah it is
[00:38.64]  like you know if you do it's not a big
[00:40.24]  deal you get a badge of monitor this
[00:41.52]  time around people have expectations and
[00:43.68]  they throw money at you and um that's
[00:46.64]  that's that's definitely nerve-wracking
[00:48.24]  and i think the other big lesson
[00:50.64]  or big difference is uh i figured let's
[00:53.36]  go get some of those same people that we
[00:54.64]  worked with last time
[00:55.68]  yeah getting the band back get the
[00:56.88]  people that have been there done that
[00:58.16]  and we'll upgrade in other places and
[01:00.00]  get more of the more people that have
[01:01.20]  been there done that
[01:02.48]  and then you lose that wonderful thing
[01:04.48]  that happens in a
[01:05.60]  brand new startup with brand new
[01:07.12]  founders is
[01:08.80]  everyone's like trying to make a name
[01:10.56]  for themselves everyone's putting
[01:11.76]  everything on the line
[01:13.36]  and it's all been there done that and it
[01:16.72]  all kind of ends at six seven o'clock
[01:19.12]  and there's not the 11 30 text messages
[01:21.52]  and so we had to make sure we pulled
[01:23.44]  some of those
[01:25.44]  i mean generally speaking younger people
[01:28.00]  in and promoting them
[01:29.60]  and making it their life and and having
[01:31.92]  that kind of energy
[01:33.12]  is extremely important was it so there's
[01:34.72]  the energy and then also sometimes
[01:36.72]  everyone wants to get the band back
[01:37.84]  together right it's the easiest way to
[01:39.36]  repeat
[01:39.84]  lightning sure but do you find that
[01:41.68]  sometimes it's they only want to do
[01:43.36]  things sort of the way that where they
[01:44.56]  were successful was that was that an
[01:45.92]  issue as well
[01:46.96]  yeah and that's what we want to do we
[01:48.32]  know what we know how to crush it one
[01:49.52]  way and the world evolves
[01:50.88]  well i mean even with me i mean there's
[01:53.28]  things that
[01:54.32]  i was sure were gonna work the same way
[01:57.36]  yeah there were some things i knew that
[01:58.56]  we screwed up and i'm like we've gotta
[02:00.00]  improve those things
[02:01.44]  um you know and you definitely shoot
[02:04.48]  people in the head a lot faster
[02:05.92]  because you've learned that less than a
[02:07.04]  million times um
[02:08.96]  but you know there's things like we
[02:12.08]  at omniture it was really easy to sell
[02:14.80]  it's like do you have a website okay
[02:16.48]  here you need to web analytics
[02:18.00]  yeah and domo is not as easy people
[02:21.04]  don't understand they're like
[02:22.00]  well it's bi we're like no no no no
[02:23.76]  that's and like oh it's bi 2.0 and i'm
[02:25.76]  like no that's kind of like this
[02:27.20]  sucks 2.0 because bi kind of sucked
[02:30.56]  and so it's uh understanding how to be
[02:34.48]  much more consultative in the selling
[02:36.08]  process and training the whole
[02:37.12]  organization on that process
[02:38.96]  is something we had to really we had to
[02:40.80]  completely relearn so that was different
[02:42.56]  and you need different dna in the team
[02:44.16]  you think
[02:45.76]  some dna difference yes and
[02:48.88]  i think uh i'm really comfortable i mean
[02:51.92]  if people come into my office which they
[02:53.84]  often do to come and complain about
[02:55.36]  somebody else on the team
[02:56.56]  yeah first thing i do is call that
[02:58.16]  person say hey come in here
[02:59.60]  okay say it again and you know it makes
[03:02.72]  people uncomfortable but they learn real
[03:04.32]  quick like we're not going to walk
[03:05.52]  around and complain about each other
[03:06.88]  we're going to
[03:07.68]  get in a room we're going to figure it
[03:08.80]  out we're going to fight and we're not
[03:10.64]  going to make it personal
[03:12.08]  um but if you're going to come in here
[03:13.12]  and say something about somebody then
[03:14.24]  that person is going to be walking in
[03:15.28]  here two minutes later so
[03:17.12]  um but i think uh i mean that's what's
[03:19.20]  spun fighting and trying to make things
[03:21.28]  win and beating the heck out of
[03:22.40]  competition and that's that's fun
