Title     : Join Kyle Porter, Founder and CEO of SalesLoft,  at SaaStr Annual 2018!
Video ID  : dKTXw_x313g
URL       : https://www.youtube.com/watch?v=dKTXw_x313g
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 29
Saved at  : 2026-06-21 00:27:39
------------------------------------------------------------

[00:01.30]  Kyle Porter founder and CEO of sales law
[00:03.98]  when you're looking at how do you find
[00:05.99]  the right sales technology don't be the
[00:08.63]  Terminator be the Iron Man or iron woman
[00:10.49]  and find technologies that accelerate
[00:12.83]  your human level and human connection
[00:14.81]  with your buyers
[00:15.62]  you know this conference has been
[00:16.52]  absolutely phenomenal for us so many of
[00:19.04]  our customers are here in attendance
[00:20.39]  our biggest pipeline opportunities
[00:22.04]  they're sitting at this conference
[00:23.27]  waiting to meet us and you know I said
[00:25.43]  it before that Sastre really in our eyes
[00:27.92]  has supplanted the the Salesforce
[00:30.29]  Dreamforce conference is really the
[00:31.52]  ultimate SAS event you know where
[00:33.83]  there's just so much concentration of
[00:35.15]  amazing people doing amazing things with
[00:36.89]  software all in one room we were honored
[00:39.74]  to be one of the early sponsors of
[00:41.03]  Sasser last year and and I remember
[00:43.13]  right after the show we're like sign us
[00:44.36]  up again and so we got we got our logo
[00:46.52]  on the lanyards and and you know we just
[00:48.71]  went back to back to back with customer
[00:50.45]  meetings prospect meetings and then
[00:52.43]  meetings with partners and so it's been
[00:53.78]  phenomenal
