Title     : Justin Kan + Jason Lemkin:  "Things VCs Say ..."
Video ID  : LbGCx34CldQ
URL       : https://www.youtube.com/watch?v=LbGCx34CldQ
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 890
Saved at  : 2026-06-20 23:55:57
------------------------------------------------------------

[00:00.33]  [Music]
[00:04.22]  all right thanks everybody for coming we
[00:09.03]  thought we'd have some fun Justin and I
[00:12.32]  have a few things in common but we're
[00:15.06]  both founders who have also been sort of
[00:17.43]  accidental investors
[00:18.78]  Justin among other things was twitch and
[00:21.51]  Justin TV you first start up I actually
[00:23.55]  had a really shitty first startup that
[00:25.26]  was kind of like Google Calendar but not
[00:27.18]  as good not as good all right
[00:29.49]  so and then and then and then among
[00:32.25]  other things Justin
[00:34.53]  co-founded Justin TV and then twitch it
[00:36.45]  was acquired and then you joined YC and
[00:38.67]  you became both an angel and an
[00:40.11]  institutional investor you had two more
[00:42.15]  startups and now you're running atrium
[00:43.80]  after all those learnings to sort of
[00:46.32]  revolutionize legal services for
[00:48.03]  startups but you've done how many
[00:49.32]  investments have you done with all
[00:50.94]  different Hadson over 100 yeah well with
[00:52.98]  including YC it's like 250 250 okay and
[00:56.43]  I'm an accidental investor too I was a
[00:58.05]  co-founder twice I built a community
[00:59.67]  called SAS tur I got tricked into being
[01:02.07]  a traditional VC for twenty two months I
[01:04.23]  did ten investments there over 15 X and
[01:07.44]  then I hated working for someone else
[01:10.11]  and then I accidentally invested my own
[01:11.70]  ninety million to invest but I consider
[01:13.53]  myself an accidental investor and I run
[01:15.99]  also accidentally sort of a community
[01:18.63]  called SAS another Lou 25 million next
[01:20.37]  year so I keep stumbling into things and
[01:22.32]  Justins had a fun journey so we thought
[01:24.27]  we could do at this time is take have a
[01:26.58]  little bit of fun and take all this
[01:28.05]  advice that you see on the Twitter and
[01:29.88]  on the blog and on Bebo and MySpace that
[01:33.09]  investors say and deconstruct it a
[01:35.64]  little bit because every bit of advice
[01:38.94]  you'll get from an investor from the
[01:40.23]  smallest angel to Softbank to the
[01:42.75]  biggest ones it's all biased and there's
[01:45.09]  a bunch of biases the smallest investors
[01:47.42]  worry worry you'll you'll run out of
[01:49.89]  money or that they'll get crammed down
[01:51.39]  the biggest investors want to stuff as
[01:52.98]  much money into their winners as they
[01:54.33]  can so we're not going to talk about
[01:56.19]  mega rounds today because of the
[01:58.14]  audience but we we thought we would have
[01:59.76]  some fun and just deconstruct it until
[02:01.95]  we run out of time well then let me not
[02:03.81]  lose my atrium thing things that VCS
[02:05.46]  will say to you and maybe just dig into
[02:08.22]  it the actual truth so the first one
[02:11.91]  just to warm it up is you need a warm
[02:13.53]  intro
[02:14.44]  and so a lot of folks will tell you see
[02:17.53]  on the internet like it's very hard to
[02:19.30]  just call the email and investor you
[02:20.95]  need a warm intro and if you're in Y
[02:22.24]  Combinator or a few co-founded twitch
[02:24.13]  it's probably out hard to get a warm
[02:25.36]  intro is it for me no no no no now I can
[02:28.48]  get a warm intro so I'm half what do you
[02:30.94]  do if you don't have a warm intro is it
[02:32.47]  death will you is it are you unfund Abul
[02:34.51]  it's game over shut your company down
[02:36.54]  now just you can you can figure it out
[02:39.43]  right like so people do respond you can
[02:41.47]  if you start with cold intros you just
[02:43.60]  need a massive top of funnel because
[02:44.95]  there's gonna be a lot of fall-off but I
[02:47.35]  mean I think another thing you can do is
[02:48.67]  just someone in this room right has a
[02:51.19]  connection to someone you want to talk
[02:52.72]  to you and it's not that hard to make
[02:54.46]  friends with other founders who have
[02:55.84]  been funded and figure out how to get
[02:57.13]  access to their investors yes alright
[02:59.44]  that's what we're just starting off
[03:01.03]  that's what we did we like for justin.tv
[03:03.07]  it was like a stupid idea we're
