Title     : Key Lessons from a $5B SaaS Category Leader,  Doug Pepper, Shasta Ventures Managing Director
Video ID  : kB_-qgX7Xbg
URL       : https://www.youtube.com/watch?v=kB_-qgX7Xbg
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 503
Saved at  : 2026-06-20 23:55:13
------------------------------------------------------------

[00:01.91]  all right good morning everybody how are
[00:05.70]  you I really appreciate you coming here
[00:09.57]  since Jason Lumpkin is speaking
[00:11.49]  downstairs are you sure you don't want
[00:12.81]  to be there I'm amazed there's this many
[00:15.90]  people in the room I appreciate it I'm
[00:18.60]  really excited to give this talk about a
[00:21.00]  great company and and some really great
[00:23.46]  lessons learned from the journey I'll
[00:26.37]  just do a quick introduction my name is
[00:28.59]  Doug pepper I've been in venture capital
[00:30.66]  for about 20 years made my first SAS
[00:33.84]  investment about 18 years ago and have
[00:37.20]  really been focused on this space for a
[00:39.72]  long time I work at a firm called Shasta
[00:42.51]  ventures we are based in Silicon Valley
[00:45.42]  both down on Sand Hill Road as well as
[00:48.27]  up in the city of San Francisco we make
[00:50.70]  early-stage series-a investments in both
[00:53.88]  consumer and enterprise companies my own
[00:57.33]  focus has always been enterprise SAS and
[01:00.32]  my real focus in life is finding product
[01:03.93]  oriented founders that have built really
[01:06.93]  amazing breakthrough products in big
[01:09.63]  categories and I've always believed in
[01:12.51]  kind of two key areas for the enterprise
[01:15.54]  that I think they'll never stop
[01:16.98]  investing in one is the customer journey
[01:20.04]  and the other is the employee experience
[01:22.23]  to me companies will always be trying to
[01:25.71]  innovate around how do they serve their
[01:27.84]  customers better and out their employees
[01:29.67]  better in order to build their
[01:31.71]  businesses and drive more revenue so
[01:33.66]  that's generally what I focus on and the
[01:37.32]  topic here really is as much about key
[01:40.65]  lessons as it is really the reality of
[01:43.16]  the entrepreneurial journey in a SAS
[01:46.14]  company and I think there's a
[01:47.97]  misconception out there that successful
[01:51.51]  SAS companies are really nice smooth
[01:54.41]  rides up into the right and I think we
[01:57.69]  all think of companies like Facebook and
[01:59.52]  Hoover and others and imagine that it
[02:01.89]  must have been easy once they launched
[02:03.60]  and of course now we all know the
[02:05.61]  reality is different that all these
[02:07.65]  companies are a set of challenges that
[02:10.53]  need to be overcome and key decisions
[02:12.72]  that determine what
[02:14.19]  you are a failure a good company or a
[02:17.07]  great company and I'm gonna talk about
[02:19.41]  one investment that I was a part of for
[02:21.51]  many years called Marketo
[02:22.83]  who's heard of Marketo most everybody
[02:25.58]  and the kind of challenges we saw along
[02:29.52]  the way and what were those key
[02:30.72]  decisions that led us ultimately to be a
[02:33.06]  great company and by the way when I said
[02:35.01]  say us I really mean them because I was
[02:37.62]  just an investor but I had a front-row
[02:39.57]  seat so this is the dream I think this
[02:43.77]  is the misconception that many people
[02:45.78]  have that a successful company is a
[02:48.99]  smooth up into the right journey from
[02:52.05]  the beginning and those of us and those
[02:55.56]  of you who are involved in these
[02:57.57]  companies even the successful ones look
[03:01.41]  an awful lot more like this challenges
[03:04.77]  mistakes problems surprises every step
[03:09.90]  of the way and it's the reaction to
[03:12.90]  those problems it's the decisions
[03:15.08]  associated with those problems that
[03:17.79]  determine whether you're going up and to
[03:20.55]  the right or or flat or down quite
[03:23.37]  frankly so this was the Marketo journey
[03:26.13]  just a bit of history the company was
[03:28.47]  founded all the way back in 2006
[03:30.42]  amazingly I was lucky enough to invest
[03:33.36]  when it was three founders and a
[03:35.67]  PowerPoint deck so they had an idea and
[03:38.54]  fast forward 2013 the company went
[03:41.58]  public three years after that it was
[03:44.67]  acquired by vista for 1.8 billion
[03:47.22]  dollars and then was acquired by Adobe
[03:49.11]  for four point seven five billion
[03:51.87]  dollars in 2018 so one might think well
[03:55.14]  gosh what a great journey must have been
[03:56.85]  easy must have been smooth the reality
[03:59.46]  was very very different it was scary at
[04:02.70]  times and and lots of challenges that
[04:06.15]  the team really successfully navigated
[04:09.09]  and so I'll talk about some of those
[04:11.40]  challenges and what were the key actions
[04:13.56]  that were taken that led them to really
[04:16.38]  build something very very special and
[04:18.62]  and I can't go through all of them there
[04:20.94]  are way too many to talk about so I've
[04:22.74]  picked out just a few that I think are
[04:25.26]  representative and can be learned
[04:27.75]  the first is just literally funding the
[04:30.18]  company in 2006 this challenge they had
[04:32.49]  actually long before they met me thank
[04:34.89]  God for me that they had challenged
[04:37.80]  fundraising because that gave me the
[04:39.78]  opportunity to invest but back in 2006
[04:43.92]  there was they were fighting
[04:45.45]  conventional wisdom in the conventional
[04:48.45]  wisdom at that time was that you could
[04:50.64]  not make money selling software to
[04:53.07]  marketers Salesforce was already
[04:55.47]  successful they were selling seat based
[04:58.08]  and the feeling was that CMOS and
[05:01.05]  marketing didn't have enough seats there
[05:03.06]  just aren't enough marketers in a
[05:04.35]  company to generate enough revenue
[05:06.36]  selling seats and even back in 2006 SAS
[05:10.71]  was not what it is today most firms
[05:13.62]  weren't focused on it and so they spent
[05:15.96]  months and months going up and down Sand
[05:17.97]  Hill Road got mostly knows in fact all
[05:21.54]  knows until I was lucky enough to meet
[05:24.18]  them and one of the founders shared with
[05:26.34]  me later that he was two weeks away from
[05:28.62]  taking a different job before we decided
[05:31.56]  to fund it because the fundraising was
[05:33.45]  so challenging and so how did they get
[05:35.43]  over that how did they navigate through
[05:37.53]  that the first was that they never gave
[05:40.26]  up they believed in their vision and
[05:43.31]  they took a bunch of knows and just kept
[05:47.04]  at it but they did some other things as
[05:49.23]  well you know the first was that they
[05:51.21]  had picked an amazing category and to me
[05:54.51]  the single most important characteristic
[05:57.42]  of market or category that you pick is
[05:59.94]  something that that we call wine now
[06:01.83]  which I'm sure you've heard of which is
[06:05.13]  the the meeting of two things at once
[06:08.67]  which is a dramatically increased need
