Title     : Klaviyo's $9.5B Revolution in eCommerce Marketing:  A Deep Dive with CEO Andrew Bialecki
Video ID  : zwzV0muXB64
URL       : https://www.youtube.com/watch?v=zwzV0muXB64
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 2102
Saved at  : 2026-06-20 23:34:54
------------------------------------------------------------

[00:02.64]  hey everybody
[00:03.44]  i'm super excited to have um
[00:07.28]  the co-founder and ceo of one of the
[00:09.36]  companies that i i've admired from the
[00:11.28]  distance for many years clavio
[00:13.12]  um and uh andrew blocky's here
[00:16.88]  um now uh crazy a 9.5 billion dollar
[00:20.80]  i wrote this up a 9.5 billion dollar
[00:22.80]  leader an email on multi-channel
[00:24.32]  marketing for e-commerce and more right
[00:26.08]  is that is that a fair is that a fair
[00:27.44]  summary
[00:28.64]  it's great well thanks for having us uh
[00:31.36]  we still have a long way to go
[00:32.72]  uh but uh yes i think we're we
[00:35.36]  definitely feel like we're further along
[00:36.96]  than we were a few years ago yeah
[00:38.32]  we're getting somewhere so what's fun
[00:40.40]  for me we'll we'll dig in here
[00:42.16]  for folks that i'm i'm interested in
[00:44.80]  personally one piece of
[00:46.40]  e-commerce which is the b2b side and um
[00:49.68]  if if you're not in it you will find um
[00:52.80]  klavio fascinating like the scale and
[00:54.88]  what it's learned if you are in it
[00:56.16]  what's interesting is
[00:57.60]  clavio's one of these hero companies and
[00:59.68]  the b2b the b2b in e-commerce is huge
[01:02.24]  but it is a vertical which we'll dig
[01:04.00]  into
[01:04.72]  um and i invested early in algolia which
[01:07.28]  is a search api which became very
[01:10.08]  e-commerce focus and i was the first
[01:11.84]  real investor in a company called
[01:12.96]  gorgeous
[01:13.92]  also on shopify that andrew knows and if
[01:16.40]  and granted i wasn't i wasn't a merchant
[01:18.40]  bangladesh but but you would see a few
[01:19.76]  years ago
[01:21.28]  klavio's starting to be a de facto
[01:23.84]  choice which we'll talk about right you
[01:25.12]  go from the upstart
[01:26.56]  to kind of a leader and it's very
[01:28.24]  interesting transition point
[01:30.08]  and i think everyone that's now in
[01:32.16]  especially in the shopify ecosystem
[01:34.00]  looks to learn and steal and borrow and
[01:36.00]  emulate a lot of
[01:37.76]  the clavio playbook so it's pretty it's
[01:39.44]  going to be pretty funny to dig
[01:40.88]  into it but first before we get there
[01:42.64]  i'm sorry and i'm i'm embarrassed to say
[01:44.00]  this but what is a clavio just so
[01:45.76]  just so i know what does the title mean
[01:49.12]  what's the name of the company what what
[01:51.20]  what what is it
[01:52.32]  okay so what is yeah so uh
[01:55.52]  when we started at night my co-founder
[01:57.92]  we wanted to pick a name for our company
[01:59.92]  that we felt like would be durable and
[02:01.52]  agnostic enough generally enough that we
[02:03.04]  want to get kind of lumped in with you
[02:04.48]  see companies that are either about like
[02:05.76]  oh about
[02:06.24]  marketing specifically or email or sales
[02:09.28]  and we were like yep
[02:10.08]  what we want to build is something more
[02:11.36]  abstract now so uh the
[02:13.28]  the name clavio comes from the word
[02:14.88]  clavia uh which in spanish is a pin or a
[02:17.44]  mountaineering spike so we like this
[02:18.80]  idea of if you want to climb a mountain
[02:20.24]  you need like
[02:21.12]  tools to do it and so uh that's what we
[02:23.44]  wanted to be it's like
[02:24.56]  tools to get hard things done so maybe
[02:27.36]  the amazon of marketing
[02:29.20]  uh yeah or i mean hopefully much more
[02:31.12]  than just marketing we think that's like
[02:32.56]  hey how do we just help
[02:33.76]  more businesses be successful
[02:35.60]  independently so that takes maybe a
[02:37.52]  little bit of the
[02:38.08]  anti-amazon in there all right so let's
[02:39.92]  get into the footprint in a bit
[02:41.36]  let's just spend a little bit of time in
[02:42.80]  the early days so we can we can
[02:44.24]  understand the company today so you're
[02:46.08]  so not an overnight success story right
[02:48.08]  founded in 2012
[02:50.08]  um what was the original idea
[02:53.44]  and what was the 10x feature like the
