Title     : LP Confidential  Secrets from the Folks that Give VCs Money
Video ID  : eCuFt9zuRnM
URL       : https://www.youtube.com/watch?v=eCuFt9zuRnM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 516
Saved at  : 2026-06-21 00:28:19
------------------------------------------------------------

[00:00.04]  hey everybody my name is David Apple I'm
[00:02.60]  head of the software and SAS vertical at
[00:04.28]  intact we are sponsors of the Tactical
[00:06.60]  stage thank you for coming to this
[00:08.92]  session instead of any of the other ones
[00:11.36]  usually we got gang house packed in but
[00:13.92]  I think the center stage is pulling
[00:16.00]  people but I think that's a mistake
[00:18.04]  because we got a fantastic session right
[00:19.96]  now A good friend of mine Tom Barnes at
[00:22.36]  Excel KKR once said this phrase to me
[00:25.00]  everybody is labor for somebody else's
[00:27.88]  capital and that's the session that
[00:30.16]  we've got right now which is for all of
[00:32.00]  us who are investors or uh portfolio
[00:35.40]  company leaders we're trying to make our
[00:37.40]  investors a return but then the
[00:39.92]  investors are labor for somebody else's
[00:42.52]  capital and that's what today's
[00:43.76]  session's fantastically about I'm going
[00:46.40]  to introduce our panel in just a moment
[00:48.40]  is they're going to give you perspective
[00:50.12]  of what are the LPS asking the venture
[00:52.52]  capitalist so you have some context to
[00:54.12]  know what your customers customer is
[00:56.12]  looking for Harry Stans is going to be
[00:58.72]  our moderator for those of you you don't
[01:00.20]  know Harry Harry is leader of the
[01:02.24]  podcast TW the 20 minute BC 130,000
[01:05.60]  subscribers if you haven't subscribed to
[01:07.80]  it I suggested he's also in charge of
[01:09.72]  the official saster podcast and then
[01:13.12]  we've got three great investors uh
[01:15.52]  beaser is from sa Sapphire Ventures
[01:18.28]  great firm Alex is from trusted insight
[01:21.44]  and Chris is from Venture investment
[01:23.84]  Associates so with that allow me to
[01:25.52]  introduce the four of them thank
[01:28.84]  you
[01:31.37]  [Applause]
[01:33.48]  thanks
[01:34.64]  man there you go you can me you can
[01:36.80]  scoot
[01:39.08]  on so before we start today I do want to
[01:41.56]  just kick off with a little promotion
[01:42.80]  here for Chris now Chris is slightly
[01:45.00]  behind uh Bea in Twitter followers so if
[01:47.68]  you get out your phones now and follow C
[01:49.96]  Duos d u v oos he will get closer to Bey
[01:54.20]  he's 2,000 behind so just please look at
[01:56.72]  that face you can't say seriously like
[01:58.84]  like all I want to do is it's it was my
[02:00.60]  Christmas wish to catch up to beer and
[02:02.32]  then she went to Europe and the next day
[02:04.16]  I was like you know I just told you you
[02:05.92]  got to start investing in Europe right
[02:07.68]  three people from Europe here anyone in
[02:09.12]  the crowd see see all right all right
[02:11.72]  I'm on it but let let's let's start
[02:13.72]  today LP panel with for anyone that
[02:15.88]  doesn't know what are LPS and and why do
[02:18.72]  they matter in our ecosystem so so let's
[02:21.12]  start with that I I'll start with You
[02:22.48]  Chris What are LPS and and why do they
[02:24.16]  matter well as LPS we're the money
[02:26.52]  behind the money so we're the people
[02:28.92]  that that deploy the Venture capitalists
[02:31.72]  that fund your companies so when your
[02:33.76]  venture capitalist is pounding on you
[02:35.72]  and telling you that you need to make
[02:37.60]  this thing work it's because we're
[02:40.00]  pounding on them saying we want 3x LPS
[02:42.64]  can only count to three right it's like
[02:44.56]  that's our multiple that's our hurdle
[02:45.96]  rate um you know anything else beyond
[02:48.00]  that is like a you know kind of a once-
[02:49.36]  in a-lifetime uh kind of thing but um
[02:52.20]  but we're pushing all our GPS to to get
[02:54.56]  Capital uh you know Moola in the Kola
[02:57.08]  right we give money and you know we give
[02:58.48]  our GPS a dollar and we want to come
[03:00.16]  back with uh with two of its friends for
[03:01.88]  a total of three absolutely I I do want
[03:04.12]  to then go to you beer in terms of you
[03:06.12]  said about 3x in terms of different fund
[03:08.48]  sizes obviously returns are very
[03:09.88]  different according to the fund sizes
[03:11.48]  and you've invested in lights of local
[03:13.32]  globe and blue yard differing fund sizes
[03:15.04]  and local Grobe smaller is the return
[03:17.24]  expectations different then according to
[03:19.00]  the fund
[03:20.08]  size uh not necessarily I think whenever
[03:23.44]  we invest and we only invest in early
[03:25.64]  stage Venture we're looking for a
[03:27.24]  significantly large outcome as Chris
[03:28.96]  said it's extraordinarily hard to have a
[03:30.72]  3X but you invest in early stage because
[03:33.44]  both seed and a it's a highrisk high
[03:35.08]  reward scenario so that's what should
[03:36.96]  dictate the return profile as your fund
[03:39.24]  gets a lot larger and starts doing
[03:40.72]  multi-stage that can bring down the
[03:42.52]  return expectation just because
[03:43.92]  returning a$2 billion fund is just it
[03:46.92]  involves a lot more companies exiting at
[03:49.28]  much higher valuations than it does at a
[03:51.64]  $60 million fund so I don't I think
[03:53.48]  about it more as stage and size a
[03:54.88]  vehicle than just vehicle can I double
[03:56.88]  click on that yeah double
[03:58.36]  click sometimes we lose sight of of
[04:00.96]  basic arithmetic and one of the things
[04:02.60]  that's a real challenge is if a VC is
[04:04.60]  running a $500 million fund for them to
[04:07.60]  return three times that money which is
[04:09.08]  the number that would make the people on
[04:10.36]  this stage happy they've got to generate
[04:12.68]  a billion and a half dollars in returns
[04:15.48]  to their ownership and in a lot of cases
[04:17.80]  these folks are only owning 10% of
[04:20.16]  companies right so they have to actually
[04:22.28]  generate 15 billion dollars under that
[04:25.12]  scenario in um in Enterprise Value and
[04:29.16]  that's like last time I checked a pretty
[04:30.60]  darn big company you said obviously
[04:32.24]  about returning the money and the
[04:33.36]  liquidity intrigued about the liquidity
[04:35.60]  event itself we've seen kind of the
[04:36.92]  prolonged periods of privatization um
[04:39.52]  Alex is is that a concern for you in
[04:41.44]  terms of the elongated exit Horizon that
[04:44.16]  we're seeing now with public markets
[04:46.56]  potentially wanting more um I don't
[04:49.56]  think so because For the First
[04:52.88]  Time uh in kind of recorded history the
[04:56.60]  best companies in almost every sector is
[04:59.68]  a technology company and those that
[05:02.24]  don't have a technology company will get
[05:04.32]  a technology company so the best
[05:06.68]  logistics company is arguably Uber the
[05:09.84]  best um and the most prominent um
[05:13.48]  hospitality company is Airbnb the best
[05:16.40]  media companies are Google and uh uh uh
[05:20.88]  Google and Facebook so we we think in
[05:24.52]  financial services in healthc care in
[05:27.64]  oil and gas the best compan companies
[05:29.92]  will be technology companies and
[05:32.44]  realizing that for the first time ever
[05:35.68]  non-tech buyers like unil buying Dollar
[05:38.96]  Shave Club and um GM buying Cruise
[05:43.56]  automation for the first time ever
[05:45.92]  non-technology companies are buying
[05:48.40]  technology companies at the high
[05:50.64]  multiples where a Google a Facebook or a
[05:53.96]  Yahoo used to buy I do I do want to stay
[05:56.24]  on that in terms of kind of
[05:57.24]  transitioning times and and ask you
[05:59.04]  again Alex
[06:00.08]  uh how do do you think in particular the
[06:02.96]  integration of maybe artificial
[06:04.52]  intelligence and machine learning is
[06:06.32]  going to affect the lp landscape uh in
[06:08.64]  coordination with the VC landscape and
[06:10.28]  potentially the selection process for
[06:11.92]  fund
[06:12.76]  managers I think it be um Way Beyond uh
[06:16.88]  Way Beyond this election process I think
[06:20.32]  you know and this is the way I
[06:21.84]  rationalize it if we can have autonomous
[06:25.36]  cars if we can have Alexa then why
[06:29.52]  shouldn't we have manager selection and
[06:32.36]  security selection with algorithms so I
[06:36.28]  think in 10 years we will have
[06:39.08]  autonomous portfolios across all asset
[06:42.04]  classes but perhaps not in three years
[06:45.12]  so I think the
[06:46.72]  landscape that you see will radically be
[06:50.80]  different in the next few years so how
[06:53.68]  would a computer pick a firsttime
[06:56.64]  manager I can't tell you my trade secret
[06:59.56]  okay back back stage we'll get a
[07:01.20]  cocktail and then we'll
[07:03.12]  chat absolutely uh on on the picking
[07:05.84]  element though I'm always um very much a
[07:08.08]  fan of uh Venture and Venture returns
[07:10.28]  are predominantly based around access in
[07:12.24]  95% of uh situations and and not picking
[07:16.40]  I'm intrigued Chris obviously an LP in
[07:18.44]  first round when uh back in the early
[07:20.68]  days when I'm sure it was a
[07:22.72]  picking ecosystem talk to me what's your
[07:25.16]  thesis on the access versus picking
[07:27.36]  thesis you know it's it's interesting
[07:29.48]  because I spend a lot of time trying to
[07:32.08]  figure out how I can be non-consensus
[07:34.76]  right right so you know a lot of people
[07:37.52]  as you guys know a lot of people in the
[07:39.32]  investing World spend their lives trying
[07:41.80]  to avoid being wrong and alone right and
[07:44.28]  if you try to be you know if you avoid
[07:48.44]  being alone um you know to take the
[07:51.20]  chance of being wrong and alone out of
[07:52.48]  play you know you take the right and
[07:54.04]  alone box out of you know out of the mix
[07:56.16]  and that's where fortune and Glory
[07:57.48]  reside right and so I spent a lot of of
[07:59.48]  my day looking for folks who are kind of
[08:01.68]  off the beaten path or you know it seems
[08:03.92]  kind of uh you know almost quaint to
[08:06.16]  think of you know first round before it
[08:08.08]  was first round with a capital f and a
[08:09.68]  capital R um but Josh and I used to sit
[08:12.56]  there uh uh in the kahak and Marriott uh
[08:15.84]  in 2004 2005 and he'd be like you know I
[08:18.04]  have this idea like how can we like make
[08:20.48]  the Venture firm a platform how can we
[08:22.64]  create you know the Napster of venture
[08:24.72]  capital and I said you know Josh you're
[08:26.28]  talking about you know portfolio as
[08:28.16]  community and it goes holy smokes this
[08:29.68]  is It's amazing it was so much fun
[08:31.64]  because it was you know kind of totally
[08:33.08]  untrod ground and you know Alex I think
[08:35.52]  you know has uh has talked about uh you
[08:37.60]  know Ai and kind of autonomous uh
[08:40.08]  portfolios and and Beer's amazing I I
[08:42.72]  sit next to beeser only so that I can
[08:44.40]  like osmote the intelligence um but for
[08:47.64]  me you know I I'm just kind of like out
[08:49.24]  there trying to pick things that that
[08:50.48]  are different in hopes that uh that I
[08:52.68]  can in being courageous you know Fools
[08:54.60]  Rush In where uh Where Angels Fear Fear
[08:57.16]  To Tread and that's kind of how I roll I
[08:58.92]  I'm obviously uh staying relatively on
[09:01.00]  the theme of first round there and one
[09:02.84]  particularly interesting element for me
[09:04.28]  is the scaling of funds as they achieve
[09:06.00]  success the lights of softtech lowcase
[09:08.32]  first round scaling what are the
[09:10.08]  thoughts on this and the ability to
[09:11.52]  scale successfully with fund movements
[09:14.12]  upwards and this is put out to to the
[09:16.92]  floor I I think I think in Venture more
[09:20.04]  than anything and I think that's why
[09:22.28]  traditional Venture Capital which is
[09:23.96]  most people's um uh portfolio is not
[09:27.08]  mature Capital anymore uh as funds have
[09:29.92]  scaled they have increasingly become
[09:32.32]  private Equity uh and if you look at the
[09:34.76]  success of first round capital or Y
[09:37.92]  combinator uh they are now the first
[09:40.36]  call of entrepreneurs no longer is seoa
[09:44.00]  Kleiner XL the first call it is why
[09:46.76]  combinator and the Myriad of
