Title     : Lessons from Gusto: How To  NPS 75 With 40K Customers
Video ID  : rTdaAay4GBc
URL       : https://www.youtube.com/watch?v=rTdaAay4GBc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 638
Saved at  : 2026-06-21 00:29:46
------------------------------------------------------------

[00:00.03]  so the title of this session is how to
[00:01.89]  get NBS 75 with 40,000 customers you
[00:07.71]  know there's a lot of different
[00:08.43]  benchmarks out there for for NPS for b2b
[00:10.92]  software companies I think the average
[00:12.57]  we're hearing something in like the 30
[00:14.54]  if you get to 50 you're doing great if
[00:17.88]  you get to 75 that's that's pretty
[00:19.68]  amazing and so we're gonna learn from
[00:21.39]  some of the experts here our speakers
[00:23.64]  are Joshua Reeves CEO of gusto and Lexie
[00:27.00]  Reece the chief customer experience
[00:28.47]  officer of gusto and gustin's built a
[00:30.48]  product that offers one intuitive place
[00:32.61]  to manage payroll benefits and HR for
[00:35.79]  small businesses and over 40,000 small
[00:37.68]  businesses in the platform let's welcome
[00:39.33]  to the stage thank you hi everyone my
[00:47.37]  name is Josh I'm the co-founder and CEO
[00:49.41]  of gusto and this is my colleague Lexie
[00:51.90]  she leads our customer experience team
[00:53.91]  and we're thrilled to be here today
[00:55.53]  we're gonna be talking about NPS which
[00:58.68]  is a way of saying customer experience
[01:00.54]  customer satisfaction and why that
[01:02.85]  matters is it drives the bottom line
[01:04.83]  things like retention you want to keep
[01:06.84]  the customers that you get especially in
[01:08.64]  a subscription business but it's also
[01:10.80]  just the right thing to do in terms of
[01:12.63]  serving your customer well I'm gonna be
[01:15.03]  sharing kind of five kind of parts of
[01:18.03]  our philosophy various pieces of advice
[01:20.07]  from the early days at gusto and Alexia
[01:22.71]  will be sharing some five key insights
[01:24.51]  on how to operationalize and scale those
[01:27.32]  philosophies as we've grown to over
[01:29.22]  40,000 customers before I dive in though
[01:32.28]  I want to give a quick description of
[01:34.44]  what is Gaston
[01:35.76]  we are the people platform what that
[01:38.07]  means is we help you build great teams
[01:40.38]  pay those teams help them do great work
[01:43.17]  and also stay compliant so that's things
[01:45.93]  like payroll health insurance 401k
[01:48.18]  onboarding and for us it's a really
[01:52.17]  exciting thing to be involved with we
[01:54.03]  actually started the company me and two
[01:56.40]  co-founders because we had felt the pain
[01:58.32]  ourselves we had basically run prior
[02:00.99]  businesses been frustrated with that
[02:02.82]  experience and felt like it could be
[02:04.74]  done better we had family that had run
[02:06.66]  small businesses as well and we realized
[02:09.03]  that a lot of folks were in pain so it's
[02:12.00]  actually a good
[02:13.44]  connection to the first piece of advice
[02:14.91]  which is really understand why you're
[02:17.64]  starting your company what your
[02:19.38]  motivation is what drives you what
[02:21.66]  inspires you
[02:22.59]  for us it was all about that problem
[02:24.90]  right this problem of how people build
[02:27.30]  companies not making it purely a
[02:29.22]  transactional relationship and so when
[02:32.19]  we thought about what is that origin
[02:34.17]  again for us it's not about being I
[02:36.51]  think Silicon Valley gets cut up are you
[02:38.46]  engineering driven sales driven product
[02:40.62]  driven we are customer driven and so the
[02:43.62]  way we describe it is we're solving a
[02:46.41]  problem by building a business we're not
[02:48.87]  creating a business for the sake of it
[02:50.54]  so make sure you understand why you're
[02:52.92]  starting your company and if service is
[02:54.42]  a part of it then that should be very
[02:55.86]  authentic second piece of advice is
[02:58.89]  really to celebrate what you don't know
[03:01.82]  in our case many folks at gussto have
[03:04.62]  never worked in this industry before and
[03:06.84]  that's become a strength because we have
[03:08.64]  a fresh perspective as we spend more
[03:10.92]  time in the industry it's been fun you
[03:12.75]  know you talk to someone about payroll
[03:14.25]  the first thing they say is oh that's a
[03:16.26]  chore that's a hassle or if they're
[03:18.75]  really affected by it they say it's a
[03:20.40]  it's a headache or a nightmare and for
[03:22.83]  us we always believed that the building
[03:25.38]  blocks of what we're creating here were
[03:27.15]  inherently delightful they're people are
[03:29.46]  getting paid I mean I walk around San
[03:30.99]  Francisco I was in New Orleans last year
[03:33.06]  wearing the gussto t-shirt and people go
[03:34.74]  hey payday guy right I mean it's it's a
[03:37.47]  wonderful thing to be a part of people
[03:38.82]  love to get paid and we send those
[03:39.99]  emails to sell for a hundred thousand
[03:41.49]  people a saying you got paid today and
[03:42.90]  on the employer side it's a chance to
